Date,Open,High,Low,Close,Volume,Change
2015-01-02,64700,66400,64100,65900,1424,0.018547140649149974
2015-01-05,66900,66900,65500,66000,2024,0.0015174506828528056
2015-01-06,66000,66200,63600,64100,3269,-0.028787878787878807
2015-01-07,64000,65400,63500,65000,2282,0.014040561622464809
2015-01-08,65100,65100,63600,64200,3166,-0.012307692307692353
2015-01-09,63800,65100,62900,63400,6118,-0.012461059190031154
2015-01-12,63200,65100,63100,65100,3255,0.02681388012618302
2015-01-13,65200,65700,64500,65500,1741,0.006144393241167334
2015-01-14,65500,67200,64800,66600,2649,0.016793893129771087
2015-01-15,66900,67200,64400,65500,5547,-0.016516516516516533
2015-01-16,64700,65700,63500,63600,5480,-0.02900763358778624
2015-01-19,63700,65000,63500,63800,2071,0.003144654088050425
2015-01-20,63900,64800,63200,64800,2408,0.01567398119122254
2015-01-21,64800,65800,63800,65700,2286,0.01388888888888884
2015-01-22,66000,66000,64700,65600,930,-0.0015220700152207556
2015-01-23,65600,67100,65500,66600,2297,0.015243902439024293
2015-01-26,66300,66500,64500,64500,4408,-0.03153153153153154
2015-01-27,64600,65600,64200,65100,3873,0.009302325581395321
2015-01-28,65100,66000,64100,65700,5059,0.009216589861751112
2015-01-29,65000,65700,64400,65500,4791,-0.0030441400304414
2015-01-30,65500,65900,64700,64900,2372,-0.009160305343511421
2015-02-02,64900,66100,64500,66100,4048,0.018489984591679498
2015-02-03,65800,66400,65300,66300,2228,0.00302571860816947
2015-02-04,66300,67500,66000,66600,4300,0.004524886877828038
2015-02-05,66500,67400,66000,67200,2240,0.009009009009008917
2015-02-06,66500,68500,66500,68300,4741,0.016369047619047672
2015-02-09,68000,69500,67500,69100,9116,0.01171303074670571
2015-02-10,69000,69200,67500,69000,4220,-0.0014471780028944004
2015-02-11,68300,68800,67000,67700,3008,-0.018840579710144967
2015-02-12,68300,68300,66600,67800,5269,0.001477104874446189
2015-02-13,67800,68400,66500,67500,3832,-0.004424778761061954
2015-02-16,67700,68200,66200,66400,4770,-0.016296296296296253
2015-02-17,67100,67100,65400,66000,8185,-0.0060240963855421326
2015-02-23,66500,66500,65700,66000,6661,0.0
2015-02-24,66400,68500,66100,68400,5158,0.036363636363636376
2015-02-25,68300,69200,68000,68700,2277,0.004385964912280604
2015-02-26,68700,68900,67500,68100,3568,-0.008733624454148492
2015-02-27,68100,68900,67500,68700,1976,0.008810572687224738
2015-03-02,68600,68700,67600,67600,2563,-0.01601164483260553
2015-03-03,67600,68400,66700,66700,3604,-0.013313609467455634
2015-03-04,66600,68300,66600,67800,2704,0.016491754122938573
2015-03-05,67800,68400,66400,68400,4283,0.008849557522123908
2015-03-06,68300,68300,67200,67900,4134,-0.007309941520467822
2015-03-09,67800,67800,66800,67400,3828,-0.007363770250368162
2015-03-10,67700,67700,65300,65300,7811,-0.03115727002967361
2015-03-11,65300,66900,65100,65500,10830,0.003062787136294043
2015-03-12,66700,67700,65800,67300,7218,0.027480916030534264
2015-03-13,67500,68900,67500,68100,7255,0.011887072808320909
2015-03-16,69400,69400,68100,68900,6506,0.011747430249632984
2015-03-17,69100,69100,67400,68600,10330,-0.004354136429608135
2015-03-18,68600,71000,68400,69200,6654,0.008746355685131268
2015-03-19,70000,70000,67600,69500,6041,0.004335260115607031
2015-03-20,69500,69500,68500,69100,2797,-0.0057553956834532904
2015-03-23,70000,70000,67900,68000,5435,-0.01591895803183796
2015-03-24,68100,69000,67800,68300,5523,0.004411764705882337
2015-03-25,68900,71400,68300,71400,11778,0.04538799414348471
2015-03-26,71300,71800,71000,71800,11379,0.0056022408963585235
2015-03-27,71700,75000,71200,74300,15416,0.03481894150417819
2015-03-30,74500,77600,74000,76200,13021,0.025572005383580176
2015-03-31,76000,79500,75500,79400,13415,0.04199475065616798
2015-04-01,79600,80200,75500,77000,16813,-0.030226700251889116
2015-04-02,77000,78100,76300,77400,7169,0.0051948051948051965
2015-04-03,76800,79300,76800,77000,9370,-0.0051679586563307955
2015-04-06,77600,79300,76900,79200,3473,0.02857142857142847
