Date,Open,High,Low,Close,Volume,Change
2015-01-02,3045,3315,3040,3060,1202619,0.013245033112582849
2015-01-05,3060,3155,3000,3070,460962,0.0032679738562091387
2015-01-06,3070,3125,3000,3035,467933,-0.01140065146579805
2015-01-07,3060,3100,2985,2985,376667,-0.016474464579901205
2015-01-08,2985,3080,2985,3010,284670,0.008375209380234505
2015-01-09,3010,3250,3010,3190,718687,0.05980066445182719
2015-01-12,3260,3625,3260,3550,2086447,0.11285266457680243
2015-01-13,3630,3850,3520,3600,2239584,0.014084507042253502
2015-01-14,3610,3845,3600,3700,1261364,0.02777777777777768
2015-01-15,3810,4190,3790,4135,2217860,0.11756756756756759
2015-01-16,4180,4560,3910,4545,3546617,0.09915356711003631
2015-01-19,4575,5190,4480,5190,3394349,0.14191419141914197
2015-01-20,5210,5640,4420,4525,6341546,-0.12813102119460495
2015-01-21,4500,4725,4275,4640,7883731,0.02541436464088398
2015-01-22,4685,4690,4475,4645,2272679,0.0010775862068965747
2015-01-23,4550,4655,4450,4510,1063121,-0.0290635091496233
2015-01-26,4420,4660,4400,4580,1370061,0.015521064301552201
2015-01-27,4575,4575,4195,4230,1551866,-0.07641921397379914
2015-01-28,4105,4310,4020,4285,2371309,0.013002364066193817
2015-01-29,4190,4230,4070,4100,958051,-0.043173862310385114
2015-01-30,4130,4280,4105,4240,938322,0.034146341463414664
2015-02-02,4240,4345,4165,4270,740588,0.007075471698113178
2015-02-03,4310,4385,4170,4200,934308,-0.016393442622950838
2015-02-04,4200,4580,4200,4415,1394927,0.05119047619047623
2015-02-05,4415,4420,4265,4370,495107,-0.010192525481313663
2015-02-06,4420,4485,4335,4340,800893,-0.006864988558352381
2015-02-09,4220,4240,3910,4045,1236802,-0.0679723502304147
2015-02-10,4075,4205,4050,4110,441211,0.01606922126081578
2015-02-11,4070,4700,4070,4700,1796439,0.14355231143552305
2015-02-12,4700,4875,4565,4650,1128679,-0.010638297872340385
2015-02-13,4650,4960,4620,4755,1499795,0.022580645161290214
2015-02-16,4815,5100,4770,4935,1299778,0.03785488958990535
2015-02-17,5000,5310,4965,5240,1432194,0.06180344478216826
2015-02-23,5260,5470,5130,5250,964132,0.001908396946564972
2015-02-24,5180,5300,4900,5150,1005628,-0.01904761904761909
2015-02-25,5240,5260,5040,5130,578108,-0.003883495145631022
2015-02-26,5170,5760,5170,5680,1938464,0.1072124756335282
2015-02-27,5790,5860,5400,5600,969758,-0.014084507042253502
2015-03-02,5750,5780,5150,5240,1315090,-0.06428571428571428
2015-03-03,5350,5470,5230,5340,748378,0.01908396946564883
2015-03-04,5380,5600,5350,5450,964567,0.020599250936329527
2015-03-05,5550,5550,5300,5410,427506,-0.007339449541284404
2015-03-06,5380,5440,5130,5260,663749,-0.027726432532347522
2015-03-09,5290,5320,5160,5270,370771,0.0019011406844107182
2015-03-10,5270,5370,5100,5200,475862,-0.013282732447817858
2015-03-11,5130,5130,4990,5020,450138,-0.0346153846153846
2015-03-12,4960,5390,4960,5270,584363,0.04980079681274896
2015-03-13,5300,5310,5100,5250,619087,-0.003795066413662229
2015-03-16,5220,5340,5180,5210,261306,-0.007619047619047636
2015-03-17,5200,5660,5200,5460,770176,0.04798464491362764
2015-03-18,5470,5510,5350,5350,347409,-0.020146520146520186
2015-03-19,5360,5520,5330,5380,253734,0.005607476635514086
2015-03-20,5370,5520,5350,5380,357876,0.0
2015-03-23,5300,5420,5290,5350,310650,-0.005576208178438624
2015-03-24,5300,5310,5100,5140,572356,-0.03925233644859816
2015-03-25,5190,5540,5150,5460,992022,0.0622568093385214
2015-03-26,5500,5960,5420,5660,1733974,0.03663003663003672
2015-03-27,5710,5840,5600,5600,435657,-0.010600706713780883
2015-03-30,5730,5760,5580,5700,561351,0.017857142857142794
2015-03-31,5690,5870,5630,5860,598813,0.02807017543859658
2015-04-01,5950,6090,5770,5860,756931,0.0
2015-04-02,6000,6440,5900,6400,1847569,0.0921501706484642
2015-04-03,6400,7030,6190,6990,2358463,0.09218750000000009
2015-04-06,7100,7590,7090,7430,2029045,0.06294706723891275
2015-04-07,7500,7500,7110,7380,1087261,-0.006729475100942128
2015-04-08,7500,7530,7240,7530,1120550,0.020325203252032464
2015-04-09,7680,7720,7400,7460,753486,-0.009296148738379806
2015-04-10,7460,7500,6970,7100,1357417,-0.04825737265415553
2015-04-13,7100,7300,6850,7160,906539,0.008450704225352101
2015-04-14,7120,7250,6780,6880,947670,-0.03910614525139666
2015-04-15,6760,7180,6760,7050,642695,0.024709302325581328
2015-04-16,7050,7160,6940,7050,351395,0.0
2015-04-17,7050,7180,6790,6930,636702,-0.017021276595744705
2015-04-20,6830,6890,6560,6560,959940,-0.053391053391053434
2015-04-21,6550,6850,6410,6690,934761,0.01981707317073167
2015-04-22,6750,6790,5800,6240,1533864,-0.06726457399103136
2015-04-23,6150,6230,5620,5740,1313825,-0.08012820512820518
2015-04-24,5530,5800,5470,5590,1314366,-0.026132404181184676
2015-04-27,5590,5760,5280,5540,1346773,-0.008944543828264706
2015-04-28,5410,5440,5100,5100,1474739,-0.07942238267148016
2015-04-29,5150,5860,5150,5860,2450029,0.14901960784313717
2015-04-30,5960,6110,5560,5800,1744765,-0.010238907849829393
2015-05-04,5680,5780,5360,5400,631226,-0.06896551724137934
2015-05-06,5400,5730,5380,5630,642279,0.042592592592592515
2015-05-07,5690,5750,5300,5450,525042,-0.03197158081705154
2015-05-08,5400,5870,5370,5770,838736,0.05871559633027523
2015-05-11,5900,5970,5720,5920,584932,0.025996533795493937
2015-05-12,5910,6280,5820,6190,916461,0.045608108108108114
2015-05-13,6250,6280,6050,6190,409704,0.0
2015-05-14,6220,6270,6080,6190,378167,0.0
2015-05-15,6200,6450,6150,6190,517313,0.0
2015-05-18,6190,6190,5650,5770,933505,-0.06785137318255252
2015-05-19,5760,6020,5510,5940,748060,0.029462738301559765
2015-05-20,6000,6020,5700,5860,368066,-0.013468013468013518
2015-05-21,5900,5900,5500,5840,412421,-0.0034129692832765013
2015-05-22,5800,5920,5680,5730,276542,-0.018835616438356184
2015-05-26,5620,6250,5620,6100,1068225,0.06457242582897038
2015-05-27,6150,6150,5850,5890,374799,-0.03442622950819674
2015-05-28,5890,6170,5670,5730,535730,-0.02716468590831922
2015-05-29,5800,6100,5630,6100,659006,0.06457242582897038
2015-06-01,6040,6100,5830,5950,459504,-0.024590163934426257
2015-06-02,5940,5950,5610,5610,531287,-0.05714285714285716
2015-06-03,5530,5780,5500,5640,313877,0.005347593582887722
2015-06-04,5510,5810,5510,5620,166564,-0.0035460992907800915
2015-06-05,5600,5950,5570,5850,452520,0.040925266903914626
2015-06-08,5900,6050,5840,5940,434314,0.01538461538461533
2015-06-09,5980,6080,5860,6060,533487,0.02020202020202011
2015-06-10,6150,6850,6090,6710,2813538,0.10726072607260728
2015-06-11,6850,7100,6610,6700,1599816,-0.0014903129657227732
2015-06-12,6670,6860,6450,6530,920336,-0.025373134328358193
2015-06-15,6530,6730,6500,6680,548597,0.02297090352220521
2015-06-16,6750,7000,6670,7000,1618669,0.0479041916167664
2015-06-17,7000,7090,6820,6830,712965,-0.024285714285714244
2015-06-18,6830,6920,6700,6810,466196,-0.002928257686676372
2015-06-19,6900,7360,6830,7300,1996057,0.07195301027900136
2015-06-22,7280,7550,7210,7400,757704,0.013698630136986356
2015-06-23,7470,7620,7400,7550,740703,0.020270270270270174
2015-06-24,7510,7800,7510,7790,1176084,0.03178807947019857
2015-06-25,7800,8250,7740,7830,1469102,0.005134788189987249
2015-06-26,7840,8060,7810,8040,776749,0.026819923371647514
2015-06-29,7800,8040,7760,7930,638531,-0.013681592039801016
2015-06-30,7890,8110,7800,8020,686031,0.011349306431273742
2015-07-01,8070,8550,8070,8480,1267367,0.057356608478803084
2015-07-02,8600,8680,8290,8480,549188,0.0
2015-07-03,8500,9140,8410,8550,1546061,0.008254716981132004
2015-07-06,8400,8960,8370,8650,925096,0.011695906432748648
2015-07-07,8870,9080,8100,8500,1323644,-0.017341040462427793
2015-07-08,8600,8610,7910,8230,624164,-0.03176470588235292
2015-07-09,8200,8200,7690,7980,765776,-0.03037667071688943
2015-07-10,7770,8420,7700,8420,774900,0.05513784461152893
2015-07-13,8580,8750,8300,8750,547741,0.039192399049881255
2015-07-14,8860,9040,8700,9020,650753,0.030857142857142916
2015-07-15,9100,9230,8960,9070,504532,0.005543237250554389
2015-07-16,9090,9100,8790,8800,471627,-0.029768467475192906
2015-07-17,8810,8970,8650,8850,422575,0.005681818181818121
2015-07-20,8890,9060,8560,9050,437693,0.02259887005649719
2015-07-21,9200,9210,8960,9150,531968,0.011049723756906049
2015-07-22,9150,9210,8980,9050,258362,-0.010928961748633892
2015-07-23,9000,9200,8900,8900,510712,-0.016574585635359074
2015-07-24,8850,8960,8590,8710,394037,-0.02134831460674158
2015-07-27,8630,8840,8300,8400,417881,-0.03559127439724452
2015-07-28,7810,8150,7400,7950,993064,-0.0535714285714286
2015-07-29,7990,8280,7640,7650,473317,-0.037735849056603765
2015-07-30,7510,7950,7450,7730,420241,0.010457516339869244
2015-07-31,7730,8080,7470,8040,402202,0.040103492884864256
2015-08-03,7910,8500,7910,8380,599645,0.04228855721393043
2015-08-04,8460,8900,8430,8710,763369,0.039379474940334225
2015-08-05,8710,8810,8480,8700,352223,-0.0011481056257175437
2015-08-06,8610,8890,8610,8780,346346,0.009195402298850519
2015-08-07,8780,8950,8690,8820,295798,0.004555808656036442
2015-08-10,8750,8800,8630,8660,133622,-0.01814058956916098
2015-08-11,8650,8750,7900,8080,596709,-0.06697459584295617
2015-08-12,7900,8050,7450,7840,633886,-0.02970297029702973
2015-08-13,7950,8100,7810,8050,390385,0.02678571428571419
2015-08-17,8050,8050,7100,7100,862781,-0.11801242236024845
2015-08-18,7030,7260,6400,6420,1038574,-0.09577464788732393
2015-08-19,6170,6360,5890,6030,1457789,-0.06074766355140182
2015-08-20,5930,6350,5930,5970,805137,-0.00995024875621886
2015-08-21,5690,6080,5520,5940,633343,-0.005025125628140725
2015-08-24,5810,6280,5810,6020,450929,0.013468013468013407
2015-08-25,6110,6400,6060,6400,636848,0.06312292358803995
2015-08-26,6400,6650,6300,6650,621476,0.0390625
2015-08-27,6710,6780,6520,6580,337680,-0.010526315789473717
2015-08-28,6640,6690,6430,6650,365633,0.010638297872340496
2015-08-31,6660,6660,6400,6490,267362,-0.024060150375939893
