Date,Open,High,Low,Close,Volume,Change
2015-01-02,1761,1786,1494,1558,402598,-0.11225071225071226
2015-01-05,1558,1589,1443,1482,52995,-0.04878048780487809
2015-01-06,1519,1519,1424,1450,28854,-0.021592442645074206
2015-01-07,1443,1462,1424,1450,9888,0.0
2015-01-08,1449,1494,1405,1456,47961,0.004137931034482678
2015-01-09,1430,1456,1418,1437,13639,-0.013049450549450503
2015-01-12,1449,1449,1418,1437,11259,0.0
2015-01-13,1437,1443,1411,1412,7443,-0.01739735560194855
2015-01-14,1424,1437,1405,1424,8761,0.008498583569405138
2015-01-15,1437,1443,1405,1444,1861,0.014044943820224809
2015-01-16,1443,1449,1424,1424,1357,-0.013850415512465353
2015-01-19,1424,1437,1418,1431,824,0.004915730337078594
2015-01-20,1437,1462,1411,1463,5308,0.02236198462613559
2015-01-21,1456,1462,1424,1463,2743,0.0
2015-01-22,1437,1456,1411,1456,808,-0.004784688995215336
2015-01-23,1456,1462,1456,1463,1220,0.004807692307692291
2015-01-26,1437,1468,1437,1456,1004,-0.004784688995215336
2015-01-27,1443,1462,1424,1450,8467,-0.004120879120879106
2015-01-28,1443,1488,1443,1450,3156,0.0
2015-01-29,1449,1456,1437,1450,6106,0.0
2015-01-30,1462,1462,1437,1463,11829,0.008965517241379395
2015-02-02,1462,1519,1462,1475,4108,0.008202323991797655
2015-02-03,1488,1691,1488,1692,279088,0.1471186440677965
2015-02-04,1767,1767,1513,1533,259911,-0.09397163120567376
2015-02-05,1538,1545,1468,1507,74830,-0.016960208741030658
2015-02-06,1481,1589,1481,1514,96869,0.004644990046449804
2015-02-09,1532,1736,1519,1736,320094,0.1466314398943196
2015-02-10,1717,1990,1577,1819,355783,0.047811059907834075
2015-02-11,1780,1952,1685,1717,157566,-0.05607476635514019
2015-02-12,1742,1933,1697,1781,194797,0.0372743156668609
2015-02-13,1780,2047,1742,2048,251260,0.149915777653004
2015-02-16,2206,2352,2015,2175,420343,0.06201171875
2015-02-17,2098,2104,1856,1889,169418,-0.1314942528735632
2015-02-23,1869,1971,1786,1876,47150,-0.006881948120698755
2015-02-24,1869,1958,1844,1882,62392,0.0031982942430703876
2015-02-25,1895,1977,1837,1844,39432,-0.020191285866099862
2015-02-26,1850,1856,1799,1819,42762,-0.013557483731019504
2015-02-27,1812,1888,1786,1831,16010,0.006597031335898951
2015-03-02,1856,1907,1812,1819,16648,-0.006553795740032786
2015-03-03,1818,2003,1799,1851,104399,0.017592083562396832
2015-03-04,1818,2124,1818,2124,217203,0.14748784440842777
2015-03-05,2066,2225,1977,2169,84286,0.021186440677966045
2015-03-06,2314,2492,1996,2048,197653,-0.055786076532964524
2015-03-09,2079,2352,2073,2353,121195,0.14892578125
2015-03-10,2473,2473,2098,2289,43671,-0.02719932001699954
2015-03-11,2289,2632,2289,2633,170249,0.15028396679772826
2015-03-12,3027,3027,3027,3027,25275,0.14963919483478927
2015-03-13,3478,3478,2575,2690,378815,-0.11133135117277837
2015-03-16,2836,3090,2575,3091,236534,0.14907063197026016
2015-03-17,2798,3497,2798,3148,460517,0.0184406340989971
2015-03-18,3090,3618,2925,3612,339421,0.14739517153748416
2015-03-19,3942,3942,3179,3370,250403,-0.0669988925802879
2015-03-20,3389,3523,2963,3052,79309,-0.09436201780415432
2015-03-23,2887,3300,2887,3027,75469,-0.008191349934469239
2015-03-24,3001,3033,2842,2900,36068,-0.04195573174760492
2015-03-25,2899,2982,2798,2830,67112,-0.024137931034482807
2015-03-26,2836,2963,2798,2893,30156,0.02226148409893991
2015-03-27,2887,2887,2759,2792,16800,-0.034911856204631886
2015-03-30,2791,2995,2791,2824,16819,0.011461318051575908
2015-03-31,2829,2861,2728,2728,10571,-0.03399433427762044
2015-04-01,2715,2747,2594,2709,12415,-0.006964809384164217
2015-04-02,2696,2721,2531,2626,22409,-0.0306386120339609
2015-04-03,2626,2721,2562,2645,13025,0.007235338918507139
2015-04-06,2670,3039,2645,3040,237377,0.1493383742911154
2015-04-07,2887,3179,2753,2862,223760,-0.05855263157894741
2015-04-08,2874,2874,2702,2773,37377,-0.031097134870719745
2015-04-09,2772,2874,2709,2754,41427,-0.006851785070320915
2015-04-10,2823,2823,2626,2696,25656,-0.021060275962236696
2015-04-13,2747,2785,2613,2754,26145,0.021513353115726996
2015-04-14,2785,2804,2670,2747,26084,-0.0025417574437182067
2015-04-15,2798,2848,2664,2677,40777,-0.02548234437568253
2015-04-16,2683,2893,2683,2855,109058,0.06649234217407551
2015-04-17,2836,3077,2804,2970,100268,0.04028021015761829
2015-04-20,2988,3014,2791,2900,37580,-0.023569023569023573
2015-04-21,2829,2880,2772,2862,19565,-0.013103448275862073
2015-04-22,2893,2925,2454,2671,134053,-0.06673654786862337
2015-04-23,2696,2759,2556,2556,14311,-0.04305503556720325
2015-04-24,2600,2613,2486,2576,20670,0.00782472613458518
2015-04-27,2575,2607,2492,2576,8954,0.0
2015-04-28,2581,2607,2492,2544,17160,-0.012422360248447228
2015-04-29,2505,2575,2505,2576,15058,0.012578616352201255
2015-04-30,2607,2651,2480,2499,5299,-0.029891304347826053
2015-05-04,2480,2518,2365,2385,14191,-0.04561824729891961
2015-05-06,2391,2391,2302,2340,3729,-0.018867924528301883
2015-05-07,2340,2467,2340,2366,10051,0.011111111111111072
2015-05-08,2365,2613,2359,2493,25326,0.0536770921386307
2015-05-11,2422,2499,2422,2493,8008,0.0
2015-05-12,2480,2518,2448,2518,16315,0.010028078620136327
2015-05-13,2505,2537,2422,2537,24528,0.007545671167593415
2015-05-14,2537,2550,2492,2518,2801,-0.007489160425699692
2015-05-15,2518,2562,2499,2556,3433,0.015091342335186608
2015-05-18,2632,2632,2435,2455,6351,-0.03951486697965567
2015-05-19,2461,2461,2391,2442,9640,-0.005295315682281032
2015-05-20,2429,2448,2384,2448,11920,0.002457002457002533
2015-05-21,2454,2467,2429,2467,595,0.0077614379084967045
2015-05-22,2467,2473,2448,2467,1313,0.0
2015-05-26,2480,2518,2359,2417,7835,-0.020267531414673745
2015-05-27,2416,2435,2384,2397,4861,-0.008274720728175478
2015-05-28,2410,2410,2365,2397,6384,0.0
2015-05-29,2403,2486,2378,2397,10907,0.0
2015-06-01,2410,2753,2378,2754,271881,0.14893617021276606
2015-06-02,2791,2976,2372,2372,428766,-0.13870733478576613
2015-06-03,2378,2378,2041,2067,109379,-0.1285834738617201
2015-06-04,2060,2372,2054,2372,208441,0.14755684567005312
2015-06-05,2384,2556,2155,2169,348129,-0.08558178752107926
2015-06-08,2193,2308,2155,2188,50999,0.008759797141539849
2015-06-09,2314,2314,2174,2251,30872,0.028793418647166336
