Date,Open,High,Low,Close,Volume,Change
2015-01-02,746,798,746,798,100,0.04862023653088032
2015-01-05,765,788,765,788,19,-0.01253132832080206
2015-01-06,777,777,777,777,1,-0.013959390862944177
2015-01-07,772,772,772,772,0,-0.006435006435006385
2015-01-08,756,766,750,750,2751,-0.02849740932642486
2015-01-09,747,747,730,730,2088,-0.026666666666666616
2015-01-12,714,727,714,716,1388,-0.019178082191780854
2015-01-13,715,735,715,735,131,0.026536312849162025
2015-01-14,721,721,721,721,1,-0.01904761904761909
2015-01-15,722,723,722,723,3,0.00277392510402219
2015-01-16,715,715,706,706,196,-0.023513139695712337
2015-01-19,706,706,698,698,138,-0.011331444759206777
2015-01-20,719,719,700,712,441,0.02005730659025784
2015-01-21,710,745,710,715,1844,0.004213483146067398
2015-01-22,716,717,715,716,939,0.0013986013986013734
2015-01-23,716,734,715,730,142,0.019553072625698276
2015-01-26,705,720,705,709,1410,-0.02876712328767128
2015-01-27,709,716,704,716,2510,0.009873060648801113
2015-01-28,716,716,716,716,111,0.0
2015-01-29,715,718,715,716,38,0.0
2015-01-30,703,706,703,705,114,-0.015363128491620137
2015-02-02,662,704,662,686,240,-0.026950354609929117
2015-02-03,688,690,680,690,1414,0.005830903790087438
2015-02-04,686,697,685,686,552,-0.005797101449275366
2015-02-05,694,694,690,691,492,0.007288629737609353
2015-02-06,691,697,680,697,1087,0.00868306801736618
2015-02-09,681,703,681,697,745,0.0
2015-02-10,713,713,690,694,528,-0.004304160688665681
2015-02-11,697,704,695,695,1659,0.0014409221902016434
2015-02-12,695,703,690,701,296,0.008633093525179936
2015-02-13,701,701,700,700,15,-0.0014265335235378318
2015-02-16,693,701,693,700,2281,0.0
2015-02-17,700,702,698,702,7000,0.0028571428571428914
2015-02-23,704,725,702,719,1638,0.024216524216524205
2015-02-24,720,819,718,739,19898,0.02781641168289295
2015-02-25,768,849,760,816,75581,0.10419485791610295
2015-02-26,816,816,701,725,24918,-0.1115196078431373
2015-02-27,728,749,715,727,6378,0.0027586206896552667
2015-03-02,738,738,702,715,2677,-0.016506189821182904
2015-03-03,725,725,702,719,2463,0.005594405594405494
2015-03-04,708,742,708,734,2814,0.020862308762169768
2015-03-05,735,742,730,735,1222,0.0013623978201635634
2015-03-06,736,749,721,742,1430,0.00952380952380949
2015-03-09,731,744,707,712,1239,-0.040431266846361225
2015-03-10,712,735,712,712,3759,0.0
2015-03-11,720,737,715,736,4472,0.03370786516853941
2015-03-12,739,741,730,740,454,0.005434782608695565
2015-03-13,751,751,701,712,4993,-0.037837837837837784
2015-03-16,722,738,716,735,4189,0.032303370786516794
2015-03-17,735,737,731,731,538,-0.0054421768707483276
2015-03-18,722,738,720,726,7538,-0.0068399452804377425
2015-03-19,730,740,721,734,412,0.011019283746556363
2015-03-20,750,750,721,730,837,-0.00544959128065392
2015-03-23,730,839,720,839,166869,0.1493150684931508
2015-03-24,806,859,730,730,207383,-0.1299165673420739
2015-03-25,736,736,717,717,46366,-0.017808219178082174
2015-03-26,717,739,706,718,14927,0.001394700139470073
2015-03-27,720,726,710,712,11907,-0.00835654596100277
2015-03-30,715,744,715,731,12327,0.026685393258427004
2015-03-31,741,741,731,740,3640,0.012311901504787892
2015-04-01,729,740,720,730,15206,-0.013513513513513487
2015-04-02,738,739,720,729,8988,-0.00136986301369868
