Date,Open,High,Low,Close,Volume,Change
2015-01-02,121000,122000,119000,121000,1640,0.0
2015-01-05,121500,121500,119000,121000,2386,0.0
2015-01-06,122000,126500,120000,124000,2612,0.024793388429751984
2015-01-07,123000,131500,121500,127500,4915,0.02822580645161299
2015-01-08,127500,128000,126000,127500,2711,0.0
2015-01-09,127500,128000,126000,127500,2738,0.0
2015-01-12,127500,135500,127500,130000,401,0.019607843137254832
2015-01-13,130000,132000,129000,131500,1609,0.011538461538461497
2015-01-14,131500,131500,129000,130000,2146,-0.011406844106463865
2015-01-15,131000,131000,127500,128000,2184,-0.01538461538461533
2015-01-16,128000,131000,126000,129000,2574,0.0078125
2015-01-19,129000,130500,127500,129000,1569,0.0
2015-01-20,129000,129500,127000,129000,1061,0.0
2015-01-21,129000,129500,127500,129000,627,0.0
2015-01-22,129000,129000,127500,129000,1610,0.0
2015-01-23,128500,131500,127500,128000,1242,-0.007751937984496138
2015-01-26,128000,130000,124000,124000,1194,-0.03125
2015-01-27,124500,124500,116500,117000,2852,-0.056451612903225756
2015-01-28,117000,117500,114500,117500,1395,0.004273504273504258
2015-01-29,118500,120500,115000,115000,902,-0.021276595744680882
2015-01-30,116500,116500,110000,113000,3427,-0.017391304347826098
2015-02-02,112500,116500,112000,115000,1029,0.017699115044247815
2015-02-03,115000,117000,114500,116500,679,0.01304347826086949
2015-02-04,117000,124000,116000,123000,1840,0.05579399141630903
2015-02-05,121500,123000,115000,115000,1492,-0.06504065040650409
2015-02-06,114500,117500,114000,116500,579,0.01304347826086949
2015-02-09,117000,117000,110000,113000,1763,-0.030042918454935674
2015-02-10,111500,112500,109000,112500,839,-0.004424778761061954
2015-02-11,113000,113000,109000,112000,1089,-0.004444444444444473
2015-02-12,110500,112000,109000,111000,530,-0.008928571428571397
2015-02-13,111500,112000,108500,111500,2352,0.0045045045045044585
2015-02-16,111500,112000,108000,109000,996,-0.022421524663677084
2015-02-17,109000,111000,107500,109500,283,0.004587155963302836
2015-02-23,108000,111000,108000,110000,752,0.004566210045662045
2015-02-24,110500,111000,109500,111000,427,0.009090909090909038
2015-02-25,111000,114500,110000,114000,782,0.027027027027026973
2015-02-26,113000,116000,113000,116000,652,0.01754385964912286
2015-02-27,116000,117000,114000,116000,795,0.0
