Date,Open,High,Low,Close,Volume,Change
2015-01-02,20850,20900,20450,20850,971,-0.004773269689737458
2015-01-05,20850,21150,20500,21050,2640,0.00959232613908867
2015-01-06,21050,21600,20950,21200,5483,0.0071258907363420665
2015-01-07,21200,21350,20550,20750,3354,-0.021226415094339646
2015-01-08,20250,20900,20150,20300,4330,-0.02168674698795181
2015-01-09,20250,20350,20050,20150,3406,-0.007389162561576401
2015-01-12,20200,20200,19850,20150,2534,0.0
2015-01-13,20250,20350,19950,20200,1019,0.002481389578163684
2015-01-14,20200,20750,19900,20100,1438,-0.004950495049504955
2015-01-15,20400,20550,19850,20400,5993,0.014925373134328401
2015-01-16,20300,20400,19850,20200,11868,-0.009803921568627416
2015-01-19,20200,20400,19950,20150,6059,-0.0024752475247524774
2015-01-20,20100,20600,20050,20400,13247,0.012406947890818865
2015-01-21,20250,20300,19950,20150,4177,-0.01225490196078427
2015-01-22,19950,20500,19950,20350,5861,0.00992555831265518
2015-01-23,20250,23200,20250,21650,50028,0.06388206388206386
2015-01-26,22500,22850,21300,21400,36279,-0.011547344110854452
2015-01-27,22200,23750,21400,22400,66513,0.04672897196261672
2015-01-28,21800,22500,21500,21900,31203,-0.022321428571428603
2015-01-29,21700,21850,21200,21350,19742,-0.02511415525114158
2015-01-30,21250,21950,21100,21500,9500,0.007025761124121788
2015-02-02,21500,21650,20850,20950,8304,-0.025581395348837188
2015-02-03,21050,21850,20650,21400,7214,0.021479713603818507
2015-02-04,21200,21750,21000,21200,7126,-0.009345794392523366
2015-02-05,20950,21500,20950,21050,5893,-0.007075471698113178
2015-02-06,21050,22050,21000,22000,16944,0.0451306413301662
2015-02-09,22000,22600,21600,21650,11372,-0.015909090909090873
2015-02-10,21850,22750,21100,21100,23918,-0.025404157043879882
2015-02-11,21350,23400,21300,22000,44507,0.042654028436019065
2015-02-12,22200,22450,21600,21750,17583,-0.011363636363636354
2015-02-13,22300,23800,21500,22800,51686,0.048275862068965614
2015-02-16,23000,23500,22500,23450,26231,0.028508771929824483
2015-02-17,23950,24000,22500,22600,16456,-0.03624733475479747
2015-02-23,22500,22550,21650,22150,12560,-0.019911504424778736
2015-02-24,22350,22950,22150,22350,5935,0.009029345372460584
2015-02-25,22350,22750,21950,22250,10804,-0.004474272930648726
2015-02-26,22250,22600,21850,22050,8603,-0.008988764044943864
2015-02-27,22250,22500,21600,21650,10973,-0.01814058956916098
2015-03-02,21900,21900,21400,21550,6918,-0.004618937644341847
2015-03-03,21500,22200,21450,22150,4581,0.0278422273781902
2015-03-04,21900,22150,21700,21800,13318,-0.015801354401805856
2015-03-05,22450,22450,21700,22100,5264,0.013761467889908285
2015-03-06,22250,23100,22050,23100,20044,0.045248868778280604
2015-03-09,23500,24000,22550,23900,19114,0.03463203463203457
2015-03-10,24000,24000,22750,23300,10728,-0.025104602510460206
2015-03-11,23050,23050,22350,22950,6243,-0.015021459227467782
2015-03-12,22600,22900,22600,22700,1020,-0.01089324618736387
2015-03-13,22800,23200,22300,23100,9422,0.017621145374449254
2015-03-16,22900,23300,22900,23250,5632,0.006493506493506551
2015-03-17,23350,23400,23000,23250,4448,0.0
2015-03-18,23300,23400,22900,23100,8022,-0.006451612903225823
2015-03-19,23300,24000,23200,23750,8143,0.02813852813852824
2015-03-20,24300,24300,23350,23700,1732,-0.002105263157894721
2015-03-23,23900,23900,22800,23200,7935,-0.021097046413502074
2015-03-24,23150,23500,23150,23500,2922,0.012931034482758674
2015-03-25,23250,23500,23150,23450,2321,-0.0021276595744680327
2015-03-26,23450,23450,23000,23300,4555,-0.006396588486140775
2015-03-27,23300,23300,22850,23100,3366,-0.008583690987124415
2015-03-30,23100,23550,22600,23450,5391,0.015151515151515138
2015-03-31,23500,23850,23050,23250,13350,-0.008528784648187626
2015-04-01,23200,24600,23000,23250,19120,0.0
2015-04-02,23300,23400,22800,23350,5068,0.004301075268817289
2015-04-03,23100,23400,22900,23400,2019,0.0021413276231263545
2015-04-06,23150,23200,22850,23100,11970,-0.012820512820512775
2015-04-07,23000,23200,22850,23000,8999,-0.0043290043290042934
2015-04-08,22950,23100,22700,23000,6411,0.0
2015-04-09,22900,23300,22200,22200,10146,-0.034782608695652195
2015-04-10,22300,22700,22150,22150,7188,-0.0022522522522522292
2015-04-13,22400,22950,22150,22500,5822,0.015801354401805856
2015-04-14,22600,23200,22600,22950,5155,0.020000000000000018
2015-04-15,22850,23000,22750,22850,6237,-0.004357298474945481
2015-04-16,22900,23000,22600,22650,6769,-0.008752735229759279
2015-04-17,22850,22850,22600,22750,6044,0.004415011037527616
2015-04-20,22650,22800,22450,22500,7406,-0.01098901098901095
2015-04-21,22400,22600,22150,22300,4982,-0.008888888888888835
