Date,Open,High,Low,Close,Volume,Change
2015-01-02,5000,5060,4830,4910,4349,0.003064351378958108
2015-01-05,4990,5040,4900,4945,7097,0.007128309572301372
2015-01-06,4825,5290,4825,4980,4908,0.00707785642062686
2015-01-07,5000,5000,4880,4960,1641,-0.004016064257028162
2015-01-08,5090,5090,4700,4715,5257,-0.04939516129032262
2015-01-09,4995,4995,4615,4800,844,0.018027571580063517
2015-01-12,4820,5050,4700,4910,1168,0.022916666666666696
2015-01-13,4995,4995,4830,4930,537,0.004073319755600879
2015-01-14,4920,4965,4760,4940,557,0.0020283975659229903
2015-01-15,4935,4940,4805,4885,405,-0.011133603238866363
2015-01-16,4885,4930,4750,4885,63,0.0
2015-01-19,4980,4980,4800,4800,95,-0.017400204708290734
2015-01-20,4800,5500,4800,5460,43111,0.13749999999999996
2015-01-21,5570,5670,5110,5360,17377,-0.01831501831501836
2015-01-22,5500,5500,4900,5030,5105,-0.06156716417910446
2015-01-23,4950,5120,4930,5040,774,0.001988071570576455
2015-01-26,5090,5140,5040,5040,840,0.0
2015-01-27,5150,5270,5100,5120,641,0.015873015873015817
2015-01-28,5250,5250,5020,5160,477,0.0078125
2015-01-29,5000,5150,5000,5120,3083,-0.007751937984496138
2015-01-30,5190,5230,5050,5200,398,0.015625
2015-02-02,5010,5180,4990,4990,2889,-0.04038461538461535
2015-02-03,5050,5390,5050,5290,8590,0.060120240480961984
2015-02-04,5480,5480,5200,5230,3976,-0.011342155009451793
2015-02-05,5270,5470,5200,5210,343,-0.003824091778202643
2015-02-06,5300,5750,5270,5300,2800,0.017274472168905985
2015-02-09,5300,5390,5170,5270,1175,-0.005660377358490565
2015-02-10,5290,5290,5030,5170,875,-0.018975332068311146
2015-02-11,5110,5300,5110,5300,1431,0.025145067698259194
2015-02-12,5330,5680,5180,5280,1081,-0.0037735849056603765
2015-02-13,5400,5550,5140,5350,762,0.01325757575757569
2015-02-16,5430,5430,5280,5370,1136,0.0037383177570093906
2015-02-17,5430,5440,5320,5440,2234,0.013035381750465591
2015-02-23,5440,5440,5270,5280,333,-0.02941176470588236
2015-02-24,5310,5390,5130,5240,1939,-0.007575757575757569
2015-02-25,5230,5400,5230,5310,3783,0.013358778625954137
2015-02-26,5330,5440,5300,5400,6258,0.016949152542372836
2015-02-27,5430,5600,5400,5460,3355,0.011111111111111072
2015-03-02,5460,5830,5340,5580,2749,0.0219780219780219
2015-03-03,5700,5780,5550,5740,7718,0.028673835125448077
2015-03-04,5870,5870,5610,5690,5562,-0.008710801393728262
2015-03-05,5620,5990,5620,5800,3812,0.019332161687170446
2015-03-06,5800,5910,5800,5800,339,0.0
2015-03-09,5800,6590,5730,6240,29638,0.07586206896551717
2015-03-10,6050,6470,5910,6050,4202,-0.03044871794871795
2015-03-11,6050,6280,5860,5920,3095,-0.02148760330578514
2015-03-12,6250,6250,5750,5800,5019,-0.020270270270270285
2015-03-13,5830,6080,5720,5830,3685,0.005172413793103514
2015-03-16,5930,5930,5560,5570,7017,-0.044596912521440824
2015-03-17,5700,5720,5470,5700,2296,0.02333931777378817
2015-03-18,5650,6100,5590,6000,11508,0.05263157894736836
2015-03-19,5910,6140,5910,6000,2197,0.0
2015-03-20,6000,6880,5930,6280,37948,0.046666666666666634
2015-03-23,6530,7220,6410,6600,54548,0.05095541401273884
2015-03-24,6540,6800,6350,6540,14598,-0.009090909090909038
2015-03-25,6590,6880,6500,6710,14479,0.025993883792049033
2015-03-26,6620,6740,6440,6700,7395,-0.0014903129657227732
2015-03-27,6820,6830,6310,6380,2885,-0.047761194029850795
2015-03-30,6400,6630,6260,6260,6933,-0.018808777429467072
2015-03-31,6220,6490,6210,6320,2198,0.009584664536741228
2015-04-01,6320,6600,6270,6360,3029,0.006329113924050667
2015-04-02,6530,6530,6300,6450,1430,0.014150943396226356
2015-04-03,6450,6900,6250,6360,4803,-0.013953488372092981
2015-04-06,6400,6470,6200,6280,2304,-0.012578616352201255
2015-04-07,6250,6380,6250,6380,277,0.015923566878981
2015-04-08,6490,6490,6260,6280,2148,-0.01567398119122254
2015-04-09,6310,6420,6260,6260,478,-0.0031847133757961776
2015-04-10,6260,6550,6050,6290,1690,0.004792332268370503
2015-04-13,6250,6390,6160,6390,6129,0.015898251192368873
2015-04-14,6390,6410,6170,6220,2525,-0.026604068857590035
2015-04-15,6260,6280,5740,5910,4376,-0.04983922829581988
2015-04-16,5910,6190,5910,6040,2189,0.021996615905245376
2015-04-17,6140,6140,5860,6030,220,-0.0016556291390728006
2015-04-20,6030,6100,6010,6010,442,-0.0033167495854062867
2015-04-21,6130,6130,6010,6080,11,0.011647254575707144
2015-04-22,6140,6230,5710,5720,3615,-0.05921052631578949
2015-04-23,5610,5830,5610,5800,7425,0.013986013986013957
2015-04-24,5620,6040,5620,6040,1920,0.04137931034482767
2015-04-27,6090,6090,5730,5890,563,-0.024834437086092676
2015-04-28,5710,6080,5710,5800,1363,-0.015280135823429575
2015-04-29,5940,5940,5670,5760,608,-0.006896551724137945
2015-04-30,5680,5840,5680,5800,48,0.00694444444444442
2015-05-04,5880,5950,5770,5890,1070,0.01551724137931032
2015-05-06,5850,5850,5720,5840,86,-0.008488964346349714
2015-05-07,5670,5860,5670,5860,351,0.003424657534246478
2015-05-08,5940,5940,5730,5920,120,0.010238907849829282
2015-05-11,5990,5990,5760,5970,128,0.008445945945946054
2015-05-12,5810,6050,5810,5850,265,-0.02010050251256279
2015-05-13,5960,5960,5960,5960,10,0.018803418803418737
2015-05-14,5900,6090,5830,6080,7782,0.020134228187919545
2015-05-15,6000,6120,5860,6030,709,-0.008223684210526327
2015-05-18,6130,6130,5520,5690,3405,-0.056384742951907096
2015-05-19,5680,5850,5680,5850,1318,0.02811950790861162
2015-05-20,5890,5900,5880,5900,37,0.008547008547008517
2015-05-21,5920,5940,5920,5940,33,0.006779661016949046
2015-05-22,5960,6010,5720,5940,178,0.0
2015-05-26,5990,6050,5860,6000,216,0.010101010101010166
2015-05-27,5700,6060,5700,5990,120,-0.0016666666666667052
2015-05-28,6010,6030,5800,6000,742,0.0016694490818029983
2015-05-29,5890,6020,5810,5860,1531,-0.023333333333333317
2015-06-01,5890,5950,5860,5950,805,0.015358361774743923
2015-06-02,6020,6050,5900,5990,2747,0.006722689075630228
2015-06-03,6030,6030,5750,5750,1801,-0.04006677796327207
2015-06-04,5760,6040,5750,5850,2253,0.017391304347825987
2015-06-05,5710,6020,5710,5810,7248,-0.006837606837606813
2015-06-08,5840,5980,5710,5900,2138,0.015490533562822817
2015-06-09,6030,6030,5800,5880,7037,-0.003389830508474523
2015-06-10,5990,6430,5850,6240,12904,0.061224489795918435
2015-06-11,6390,6390,6140,6290,1743,0.008012820512820484
2015-06-12,6280,6300,6110,6300,4232,0.0015898251192367763
2015-06-15,6360,6450,6200,6370,4753,0.011111111111111072
2015-06-16,6400,7240,6230,6580,49733,0.03296703296703307
2015-06-17,7300,7300,6720,7170,33353,0.08966565349544076
2015-06-18,7280,7990,7080,7400,42092,0.03207810320781035
2015-06-19,7020,7540,6920,7000,11189,-0.05405405405405406
2015-06-22,7020,7350,6970,7060,16473,0.008571428571428674
2015-06-23,7030,7450,7000,7250,15524,0.026912181303116123
2015-06-24,7410,8780,7250,8280,65806,0.14206896551724135
2015-06-25,7910,8200,7430,7540,25778,-0.08937198067632846
2015-06-26,7500,7660,7250,7540,8682,0.0
2015-06-29,7400,7680,6940,6940,16310,-0.07957559681697612
