Date,Open,High,Low,Close,Volume,Change
2015-01-02,0,0,0,13650,0,0.0
2015-01-05,13950,13950,13950,13950,7,0.0219780219780219
2015-01-06,13800,13800,13800,13800,0,-0.010752688172043001
2015-01-07,13000,13700,13000,13700,68,-0.007246376811594235
2015-01-08,13250,13400,13200,13200,54,-0.03649635036496346
2015-01-09,13300,13350,13300,13350,10,0.011363636363636465
2015-01-12,13450,13450,13450,13450,8,0.0074906367041198685
2015-01-13,13250,13250,13250,13250,1,-0.014869888475836479
2015-01-14,13750,13750,13150,13550,84,0.02264150943396226
2015-01-15,13550,13550,13550,13550,0,0.0
2015-01-16,13500,13500,13000,13200,22,-0.02583025830258301
2015-01-19,13500,13500,13500,13500,1,0.022727272727272707
2015-01-20,13450,13450,13450,13450,1,-0.0037037037037036535
2015-01-21,13450,13450,13200,13350,202,-0.0074349442379182396
2015-01-22,13600,13600,13200,13200,387,-0.011235955056179803
2015-01-23,13200,13600,12900,13400,2302,0.015151515151515138
2015-01-26,13400,14400,13350,14400,923,0.07462686567164178
2015-01-27,14300,14650,13800,13800,846,-0.04166666666666663
2015-01-28,13550,15300,13550,15300,504,0.10869565217391308
2015-01-29,14800,15450,14800,15450,64,0.009803921568627416
2015-01-30,15000,15400,14750,15400,104,-0.003236245954692518
2015-02-02,14900,14900,14900,14900,1,-0.03246753246753242
2015-02-03,15400,15400,14900,15200,18,0.020134228187919545
2015-02-04,15400,15400,14900,15100,217,-0.006578947368421018
2015-02-05,15400,16350,15400,15400,336,0.019867549668874274
2015-02-06,16200,17700,16200,16400,20344,0.06493506493506485
2015-02-09,17000,18850,16400,18850,10089,0.14939024390243905
2015-02-10,21650,21650,20050,21650,27212,0.14854111405835546
2015-02-11,21800,24850,18450,18450,42320,-0.14780600461893767
2015-02-12,20850,21200,17950,21200,22224,0.14905149051490518
2015-02-13,22200,24350,21650,24000,27326,0.13207547169811318
2015-02-16,0,0,0,24000,0,0.0
2015-02-17,23000,23900,20500,21800,15045,-0.09166666666666667
2015-02-23,19050,20050,18550,18650,15225,-0.14449541284403666
2015-02-24,18650,19500,18300,18600,8679,-0.002680965147453085
2015-02-25,18900,18900,17100,18300,14752,-0.016129032258064502
2015-02-26,18300,18300,17050,17650,13540,-0.03551912568306015
2015-02-27,17400,17550,16700,16800,10853,-0.04815864022662886
2015-03-02,17000,17000,15950,16300,9222,-0.029761904761904767
2015-03-03,16000,16800,16000,16250,5979,-0.0030674846625766694
2015-03-04,16050,16400,15900,16100,7590,-0.009230769230769265
2015-03-05,16100,16900,15850,16450,7520,0.021739130434782705
2015-03-06,16650,16650,16150,16400,6357,-0.003039513677811523
2015-03-09,16850,17150,16500,16650,6740,0.015243902439024293
2015-03-10,16550,16750,16100,16450,12197,-0.012012012012011963
2015-03-11,16800,16900,16450,16650,4429,0.012158054711246091
2015-03-12,16700,16700,16450,16450,6444,-0.012012012012011963
2015-03-13,16450,16600,16450,16450,5687,0.0
2015-03-16,16850,16850,16300,16700,17997,0.015197568389057725
2015-03-17,16750,16750,16450,16500,6484,-0.0119760479041916
2015-03-18,16500,16600,16450,16500,4059,0.0
2015-03-19,16500,17000,16500,16850,1963,0.021212121212121238
2015-03-20,16950,17000,16550,16750,6333,-0.005934718100890191
2015-03-23,16500,16900,16500,16550,4758,-0.011940298507462699
2015-03-24,16550,16800,16550,16550,2569,0.0
2015-03-25,16550,16750,16550,16600,2581,0.0030211480362538623
2015-03-26,16650,16800,16600,16600,1002,0.0
2015-03-27,16800,16800,16650,16650,563,0.003012048192771122
2015-03-30,16600,16750,16600,16650,703,0.0
2015-03-31,16800,17000,16650,17000,3480,0.021021021021021102
2015-04-01,16950,16950,16600,16650,838,-0.020588235294117685
2015-04-02,16650,16750,16500,16750,3456,0.006006006006006093
2015-04-03,16550,16750,16550,16750,158,0.0
2015-04-06,16700,16700,16550,16600,1222,-0.008955223880596996
2015-04-07,16650,16750,16600,16750,1023,0.009036144578313143
2015-04-08,16750,16800,16650,16800,2733,0.0029850746268655914
2015-04-09,16800,16800,16650,16700,2508,-0.005952380952380931
2015-04-10,16700,16850,16650,16850,565,0.008982035928143617
2015-04-13,16850,17050,16850,16900,1273,0.0029673590504450953
2015-04-14,16650,16850,16600,16800,292,-0.00591715976331364
2015-04-15,16400,16750,16400,16750,339,-0.0029761904761904656
2015-04-16,16750,16800,16600,16800,173,0.0029850746268655914
2015-04-17,16700,16800,16650,16750,882,-0.0029761904761904656
2015-04-20,16650,16800,16600,16800,4824,0.0029850746268655914
2015-04-21,16700,16800,16500,16750,1588,-0.0029761904761904656
2015-04-22,16600,16700,16450,16500,1217,-0.014925373134328401
2015-04-23,16500,17050,16500,16800,255,0.018181818181818077
2015-04-24,16500,16800,16500,16800,507,0.0
2015-04-27,16950,16950,16550,16800,231,0.0
2015-04-28,17000,17000,16550,16850,103,0.0029761904761904656
2015-04-29,16600,16800,16500,16800,104,-0.0029673590504450953
2015-04-30,16950,16950,16000,16800,658,0.0
2015-05-04,16800,16800,16350,16350,553,-0.0267857142857143
2015-05-06,16550,16550,16350,16550,28,0.012232415902140747
2015-05-07,16550,16550,16400,16400,30,-0.009063444108761365
2015-05-08,16600,16750,16100,16100,153,-0.018292682926829285
2015-05-11,16050,16500,16000,16050,1360,-0.0031055900621117516
2015-05-12,16150,16500,16050,16300,164,0.015576323987538832
2015-05-13,16200,16450,15600,16300,895,0.0
2015-05-14,16300,16300,16300,16300,1,0.0
2015-05-15,16200,16600,16200,16600,153,0.018404907975460016
2015-05-18,16250,16350,16100,16350,27,-0.015060240963855387
2015-05-19,16150,16200,15800,16200,411,-0.00917431192660545
2015-05-20,16300,17300,16300,16800,4638,0.03703703703703698
2015-05-21,16800,17250,16500,16850,951,0.0029761904761904656
2015-05-22,16800,16800,16350,16350,462,-0.029673590504451064
2015-05-26,16350,16500,16000,16200,788,-0.00917431192660545
2015-05-27,16200,17000,15750,16250,1100,0.0030864197530864335
2015-05-28,16000,16950,16000,16150,212,-0.006153846153846176
2015-05-29,16600,16600,16500,16500,22,0.021671826625387025
2015-06-01,16500,16750,16300,16600,150,0.0060606060606061
2015-06-02,16700,17100,16400,16850,4118,0.015060240963855387
2015-06-03,17000,17000,16200,16750,987,-0.005934718100890191
2015-06-04,16750,16750,16250,16500,512,-0.014925373134328401
2015-06-05,16500,16800,16400,16800,295,0.018181818181818077
2015-06-08,16700,16850,16700,16700,343,-0.005952380952380931
2015-06-09,16400,16750,16200,16750,1805,0.0029940119760478723
2015-06-10,16750,16950,16300,16550,1213,-0.011940298507462699
2015-06-11,16800,16800,16450,16750,13,0.012084592145015005
2015-06-12,16750,16750,16600,16750,3,0.0
2015-06-15,16800,16800,16350,16650,216,-0.005970149253731294
2015-06-16,16600,16850,16350,16750,324,0.006006006006006093
2015-06-17,16750,19900,16450,18700,5650,0.11641791044776117
2015-06-18,20000,24300,19150,24300,47944,0.2994652406417113
2015-06-19,28800,31550,27100,31550,65615,0.2983539094650205
2015-06-22,37000,41000,35500,40800,99104,0.2931854199683044
2015-06-23,0,0,0,40800,0,0.0
2015-06-24,42900,45600,28650,28650,47425,-0.2977941176470589
2015-06-25,25500,25500,22500,23800,29138,-0.16928446771378713
2015-06-26,24200,30900,23800,30900,27251,0.2983193277310925
2015-06-29,33250,39250,31200,36900,71213,0.1941747572815533
2015-06-30,40000,40500,29800,31300,54739,-0.1517615176151762
2015-07-01,35600,35600,32050,33400,23682,0.06709265175718859
2015-07-02,34000,35500,30650,34000,17310,0.017964071856287456
2015-07-03,35800,35800,33000,34050,11232,0.0014705882352941124
2015-07-06,34050,36500,33000,33150,16199,-0.026431718061673992
2015-07-07,33200,33900,27750,29500,10711,-0.11010558069381604
2015-07-08,29500,30500,26300,28600,9848,-0.03050847457627115
2015-07-09,30000,34600,27900,30250,13884,0.05769230769230771
2015-07-10,30350,33950,30300,31200,8116,0.03140495867768589
2015-07-13,32400,32400,28900,29750,4052,-0.04647435897435892
2015-07-14,30950,32350,29850,30500,8241,0.025210084033613356
2015-07-15,31050,31050,29600,29950,4300,-0.0180327868852459
2015-07-16,30500,30500,27900,28300,4829,-0.05509181969949917
2015-07-17,28300,28300,26750,26800,4172,-0.05300353356890464
2015-07-20,25850,26800,25800,26700,1622,-0.003731343283582045
2015-07-21,26700,27300,26100,26800,836,0.0037453183520599342
2015-07-22,26900,27500,25400,25400,2428,-0.052238805970149294
2015-07-23,25200,25600,24300,24700,4376,-0.027559055118110187
2015-07-24,24100,26200,24100,25050,1272,0.014170040485830038
2015-07-27,25100,25700,23750,24800,2042,-0.009980039920159722
2015-07-28,26700,32200,26500,32200,82196,0.2983870967741935
2015-07-29,32500,36700,27400,27450,68021,-0.14751552795031053
2015-07-30,27600,27750,24950,26950,13932,-0.01821493624772308
2015-07-31,26900,32700,26000,28600,21369,0.061224489795918435
2015-08-03,28150,28500,26050,26600,3893,-0.0699300699300699
2015-08-04,25450,27900,25450,27600,2258,0.03759398496240607
2015-08-05,28000,28500,26850,28200,2671,0.021739130434782705
2015-08-06,28900,28900,27000,27300,2108,-0.03191489361702127
2015-08-07,27600,32500,27050,28650,4077,0.0494505494505495
2015-08-10,29000,30000,27900,27900,4050,-0.02617801047120416
2015-08-11,27700,28500,27000,27100,2085,-0.028673835125448077
2015-08-12,27050,27900,25600,26800,1832,-0.011070110701106972
2015-08-13,27450,29000,26200,27300,3188,0.018656716417910557
2015-08-17,27300,27900,26300,26300,967,-0.03663003663003661
2015-08-18,26450,27250,25600,26900,1831,0.02281368821292773
2015-08-19,26850,26850,24550,26200,3146,-0.026022304832713727
2015-08-20,25000,25800,25000,25000,1367,-0.04580152671755722
2015-08-21,24350,24350,22250,22600,1295,-0.09599999999999997
2015-08-24,22250,23750,21700,22800,948,0.008849557522123908
2015-08-25,22150,24750,22150,22900,1277,0.004385964912280604
2015-08-26,22950,24950,22950,24500,751,0.06986899563318771
2015-08-27,25000,25650,24250,24800,1243,0.012244897959183598
2015-08-28,25850,26500,24700,25100,393,0.012096774193548487
2015-08-31,24600,25900,24350,25000,334,-0.003984063745019917
2015-09-01,26000,26250,24750,25350,344,0.014000000000000012
2015-09-02,25350,25950,24350,25950,456,0.023668639053254337
2015-09-03,25900,26950,25000,26750,377,0.030828516377649384
2015-09-04,27000,27000,25400,26000,797,-0.028037383177570097
2015-09-07,26900,26950,26050,26650,613,0.02499999999999991
2015-09-08,26850,26850,24400,26400,914,-0.009380863039399667
