Date,Open,High,Low,Close,Volume,Change
2015-01-02,1292,1304,1281,1299,31144,0.004640371229698292
2015-01-05,1304,1332,1287,1321,174695,0.016936104695919996
2015-01-06,1304,1326,1292,1310,52738,-0.00832702498107496
2015-01-07,1309,1315,1287,1299,89174,-0.008396946564885543
2015-01-08,1298,1309,1287,1299,124677,0.0
2015-01-09,1304,1332,1298,1315,148501,0.012317167051578037
2015-01-12,1321,1343,1309,1332,99019,0.012927756653992484
2015-01-13,1332,1343,1315,1332,52125,0.0
2015-01-14,1337,1365,1309,1327,81419,-0.0037537537537537524
2015-01-15,1337,1337,1304,1315,105349,-0.009042954031650341
2015-01-16,1315,1315,1276,1282,151643,-0.025095057034220547
2015-01-19,1287,1304,1281,1299,144796,0.013260530421216776
2015-01-20,1292,1315,1292,1304,47134,0.0038491147036181506
2015-01-21,1304,1326,1298,1310,57845,0.004601226993865115
2015-01-22,1321,1326,1298,1315,47387,0.003816793893129722
2015-01-23,1321,1321,1292,1299,76546,-0.012167300380228174
2015-01-26,1309,1309,1276,1293,190483,-0.004618937644341847
2015-01-27,1292,1309,1287,1310,86681,0.01314771848414531
2015-01-28,1304,1354,1298,1349,225569,0.02977099236641223
2015-01-29,1360,1365,1332,1349,100834,0.0
2015-01-30,1349,1371,1337,1349,119555,0.0
2015-02-02,1365,1365,1332,1349,83531,0.0
2015-02-03,1354,1388,1343,1372,205458,0.017049666419570064
2015-02-04,1388,1394,1371,1383,136851,0.008017492711370311
2015-02-05,1394,1422,1371,1411,304806,0.02024584237165583
2015-02-06,1399,1405,1349,1349,402755,-0.04394046775336635
2015-02-09,1354,1371,1337,1355,174592,0.004447739065974732
2015-02-10,1354,1360,1321,1349,201454,-0.0044280442804428555
2015-02-11,1349,1360,1321,1332,259782,-0.012601927353595221
2015-02-12,1337,1343,1292,1321,190536,-0.008258258258258211
2015-02-13,1326,1343,1321,1338,103756,0.012869038607115746
2015-02-16,1337,1349,1326,1349,100377,0.008221225710014934
2015-02-17,1360,1360,1332,1349,109638,0.0
2015-02-23,1360,1365,1343,1343,137430,-0.004447739065974843
2015-02-24,1343,1360,1343,1355,163030,0.008935219657483229
2015-02-25,1360,1399,1349,1394,489114,0.028782287822878283
2015-02-26,1382,1394,1371,1394,167433,0.0
2015-02-27,1394,1410,1382,1388,235876,-0.004304160688665681
2015-03-02,1399,1540,1394,1473,1685835,0.061239193083573396
2015-03-03,1467,1495,1427,1478,552012,0.0033944331296673624
2015-03-04,1478,1523,1467,1507,381766,0.01962110960757779
2015-03-05,1506,1506,1461,1484,245934,-0.015262110152621133
2015-03-06,1495,1523,1455,1462,400228,-0.014824797843665749
2015-03-09,1461,1484,1433,1478,404574,0.010943912448700521
2015-03-10,1478,1500,1433,1445,390099,-0.022327469553450663
2015-03-11,1427,1461,1410,1450,202615,0.0034602076124568004
2015-03-12,1455,1484,1444,1473,204085,0.01586206896551734
2015-03-13,1484,1489,1439,1450,167465,-0.015614392396469778
2015-03-16,1450,1517,1444,1484,248668,0.02344827586206888
2015-03-17,1495,1500,1455,1467,182487,-0.011455525606469008
2015-03-18,1478,1489,1444,1445,226956,-0.01499659168370826
2015-03-19,1450,1455,1427,1450,245731,0.0034602076124568004
2015-03-20,1450,1484,1450,1467,151880,0.01172413793103444
2015-03-23,1495,1512,1467,1484,228435,0.011588275391956282
2015-03-24,1506,1528,1484,1484,260124,0.0
2015-03-25,1495,1607,1495,1557,1077521,0.04919137466307277
2015-03-26,1573,1573,1512,1529,376150,-0.017983301220295456
2015-03-27,1528,1545,1478,1478,292847,-0.03335513407455859
2015-03-30,1484,1500,1472,1490,194970,0.008119079837618504
2015-03-31,1517,1551,1500,1529,334368,0.026174496644295386
2015-04-01,1534,1540,1500,1529,202294,0.0
2015-04-02,1551,1551,1478,1540,203786,0.007194244604316502
2015-04-03,1557,1557,1517,1535,191876,-0.0032467532467532756
2015-04-06,1540,1551,1528,1529,160626,-0.003908794788273662
2015-04-07,1534,1573,1517,1546,278241,0.011118378024852937
2015-04-08,1545,1596,1545,1591,384531,0.029107373868046515
2015-04-09,1590,1607,1557,1574,253939,-0.010685103708359511
2015-04-10,1585,1686,1573,1636,791761,0.03939008894536222
2015-04-13,1647,1658,1613,1619,305435,-0.010391198044009786
2015-04-14,1630,1647,1568,1568,477589,-0.0315009264978382
2015-04-15,1585,1590,1534,1591,350366,0.014668367346938771
2015-04-16,1607,1703,1579,1585,423208,-0.0037712130735386706
2015-04-17,1579,1618,1573,1585,169136,0.0
2015-04-20,1573,1607,1568,1585,154273,0.0
2015-04-21,1596,1663,1579,1585,345362,0.0
2015-04-22,1596,1618,1495,1557,457088,-0.01766561514195586
2015-04-23,1573,1573,1517,1557,263107,0.0
2015-04-24,1551,1562,1484,1484,449392,-0.04688503532434163
2015-04-27,1489,1517,1489,1518,184510,0.022911051212938016
2015-04-28,1534,1534,1495,1507,149461,-0.007246376811594235
2015-04-29,1512,1579,1506,1574,380390,0.0444591904445919
2015-04-30,1590,1596,1489,1512,283064,-0.03939008894536211
2015-05-04,1517,1523,1484,1490,152384,-0.014550264550264536
2015-05-06,1484,1484,1422,1433,294221,-0.03825503355704696
2015-05-07,1427,1450,1399,1439,399433,0.004187020237264472
2015-05-08,1439,1472,1433,1456,176195,0.011813759555246772
2015-05-11,1478,1596,1478,1568,551101,0.07692307692307687
2015-05-12,1568,1585,1528,1557,181794,-0.007015306122448939
2015-05-13,1562,1590,1528,1580,269913,0.014771997430957029
2015-05-14,1596,1607,1573,1580,333113,0.0
2015-05-15,1590,1613,1568,1580,296939,0.0
2015-05-18,1562,1579,1534,1551,318300,-0.018354430379746822
2015-05-19,1551,1568,1540,1551,152869,0.0
2015-05-20,1551,1579,1545,1551,290396,0.0
2015-05-21,1568,1613,1551,1574,289497,0.014829142488717029
2015-05-22,1573,1663,1573,1619,659984,0.02858958068615003
