Date,Open,High,Low,Close,Volume,Change
2015-01-02,2500,2565,2500,2545,136189,0.028282828282828243
2015-01-05,2535,2560,2510,2545,81812,0.0
2015-01-06,2550,2615,2545,2595,367850,0.01964636542239684
2015-01-07,2590,2640,2560,2595,161966,0.0
2015-01-08,2595,2625,2575,2600,82631,0.0019267822736031004
2015-01-09,2605,2625,2565,2590,66525,-0.0038461538461538325
2015-01-12,2590,2605,2570,2590,64411,0.0
2015-01-13,2625,2625,2570,2590,48180,0.0
2015-01-14,2590,2590,2555,2580,61219,-0.0038610038610038533
2015-01-15,2580,2580,2560,2575,49264,-0.0019379844961240345
2015-01-16,2595,2595,2555,2560,66802,-0.005825242718446644
2015-01-19,2560,2575,2535,2540,80135,-0.0078125
2015-01-20,2540,2570,2540,2555,21165,0.0059055118110236116
2015-01-21,2555,2565,2535,2540,52898,-0.005870841487279899
2015-01-22,2525,2545,2510,2520,71297,-0.007874015748031482
2015-01-23,2520,2535,2485,2500,95301,-0.007936507936507908
2015-01-26,2480,2520,2480,2505,83459,0.0020000000000000018
2015-01-27,2510,2540,2500,2540,81594,0.013972055888223478
2015-01-28,2540,2545,2515,2530,50514,-0.003937007874015741
2015-01-29,2525,2530,2490,2505,97622,-0.00988142292490124
2015-01-30,2500,2580,2500,2540,81895,0.013972055888223478
2015-02-02,2540,2575,2520,2545,104910,0.0019685039370078705
2015-02-03,2545,2565,2520,2525,88469,-0.007858546168958758
2015-02-04,2525,2560,2520,2550,194395,0.00990099009900991
2015-02-05,2575,2575,2535,2560,107196,0.0039215686274509665
2015-02-06,2560,2610,2550,2605,347419,0.017578125
2015-02-09,2625,2630,2565,2570,185130,-0.013435700575815779
2015-02-10,2575,2590,2550,2560,108762,-0.0038910505836575737
2015-02-11,2560,2610,2560,2605,108305,0.017578125
2015-02-12,2605,2620,2550,2600,149139,-0.0019193857965451588
2015-02-13,2615,2680,2600,2650,325413,0.019230769230769162
2015-02-16,2675,2675,2630,2645,158368,-0.0018867924528301883
2015-02-17,2645,2655,2630,2630,71376,-0.005671077504725952
2015-02-23,2630,2645,2610,2620,111104,-0.0038022813688213253
2015-02-24,2625,2655,2615,2650,151157,0.011450381679389388
2015-02-25,2695,2695,2605,2645,98141,-0.0018867924528301883
2015-02-26,2650,2660,2610,2610,103684,-0.013232514177693777
2015-02-27,2615,2635,2600,2610,134925,0.0
2015-03-02,2630,2645,2610,2610,123377,0.0
2015-03-03,2620,2650,2615,2650,183770,0.015325670498084198
2015-03-04,2650,2725,2630,2715,330886,0.02452830188679256
2015-03-05,2730,2750,2685,2700,251297,-0.0055248618784530246
2015-03-06,2730,2835,2690,2810,978187,0.040740740740740744
2015-03-09,2860,2865,2735,2735,399210,-0.026690391459074703
2015-03-10,2755,2795,2720,2765,224841,0.010968921389396646
2015-03-11,2705,2760,2655,2670,424780,-0.03435804701627487
2015-03-12,2750,2750,2675,2680,213745,0.0037453183520599342
2015-03-13,2685,2700,2670,2685,154244,0.001865671641791078
2015-03-16,2685,2760,2675,2760,354608,0.027932960893854775
2015-03-17,2790,2800,2710,2730,256113,-0.010869565217391353
2015-03-18,2740,2745,2665,2675,277749,-0.020146520146520186
2015-03-19,2670,2695,2635,2675,199797,0.0
2015-03-20,2685,2705,2645,2670,168192,-0.0018691588785046953
2015-03-23,2670,2715,2655,2715,181248,0.016853932584269593
2015-03-24,2715,2735,2670,2690,133884,-0.009208103130755041
2015-03-25,2690,2785,2680,2735,294590,0.016728624535315983
2015-03-26,2730,2795,2725,2790,233377,0.02010968921389389
2015-03-27,2775,2825,2730,2755,270584,-0.012544802867383464
2015-03-30,2775,2825,2725,2775,233559,0.007259528130671544
2015-03-31,2825,3010,2780,2925,1939047,0.054054054054053946
2015-04-01,2960,3340,2945,3220,4463774,0.10085470085470094
2015-04-02,3255,3260,3050,3080,1576345,-0.04347826086956519
2015-04-03,3115,3135,3010,3070,794501,-0.0032467532467532756
2015-04-06,3100,3170,3060,3135,631749,0.021172638436482094
2015-04-07,3175,3175,3025,3080,588326,-0.01754385964912286
2015-04-08,3080,3095,3000,3050,594527,-0.009740259740259716
2015-04-09,3055,3150,3050,3100,584735,0.016393442622950838
2015-04-10,3100,3110,3065,3075,426457,-0.008064516129032251
2015-04-13,3090,3255,3080,3185,1068046,0.03577235772357734
2015-04-14,3185,3430,3165,3215,2086545,0.009419152276295195
2015-04-15,3220,3255,3140,3150,722055,-0.02021772939346811
2015-04-16,3155,3275,3120,3190,651189,0.012698412698412653
2015-04-17,3230,3230,3160,3170,365329,-0.006269592476489061
2015-04-20,3165,3165,3070,3075,558919,-0.029968454258675115
2015-04-21,3105,3200,3075,3110,394403,0.011382113821138296
2015-04-22,3130,3215,2940,3040,671357,-0.022508038585209
2015-04-23,3080,3090,2905,2915,547807,-0.041118421052631526
2015-04-24,2915,2940,2860,2915,387367,0.0
2015-04-27,2995,3100,2945,3100,551320,0.06346483704974282
2015-04-28,3100,3135,2945,2950,609357,-0.048387096774193505
2015-04-29,2950,2990,2905,2960,316344,0.003389830508474523
2015-04-30,2935,2980,2900,2900,201503,-0.020270270270270285
2015-05-04,2875,2940,2875,2935,167144,0.012068965517241459
2015-05-06,2930,2930,2795,2815,369687,-0.040885860306643984
2015-05-07,2785,2830,2745,2820,183287,0.001776198934280604
2015-05-08,2830,2890,2760,2875,156803,0.019503546099290725
2015-05-11,2905,3080,2870,3040,436690,0.05739130434782602
2015-05-12,3005,3070,2970,3035,323324,-0.00164473684210531
2015-05-13,3035,3095,3010,3050,241434,0.0049423393739702615
2015-05-14,3060,3205,3055,3095,757830,0.014754098360655776
2015-05-15,3100,3150,3050,3090,327190,-0.001615508885298822
2015-05-18,3065,3095,2980,3090,341935,0.0
2015-05-19,3095,3110,3010,3100,263258,0.003236245954692629
2015-05-20,3110,3225,3110,3200,508649,0.032258064516129004
2015-05-21,3200,3275,3175,3255,637117,0.01718749999999991
2015-05-22,3255,3360,3190,3275,835582,0.006144393241167334
2015-05-26,3385,3720,3355,3650,3167961,0.11450381679389321
2015-05-27,3650,3650,3475,3505,1175379,-0.03972602739726028
2015-05-28,3510,3975,3475,3770,2151948,0.07560627674750364
2015-05-29,3805,3930,3700,3700,1189430,-0.018567639257294433
2015-06-01,3690,3690,3500,3575,922731,-0.03378378378378377
2015-06-02,3540,3610,3380,3395,1011146,-0.05034965034965033
2015-06-03,3390,3460,3320,3355,529945,-0.01178203240058906
2015-06-04,3400,3425,3285,3335,393450,-0.005961251862891204
2015-06-05,3330,3335,3170,3170,546196,-0.04947526236881561
2015-06-08,3170,3330,3150,3290,448705,0.03785488958990535
2015-06-09,3350,3350,3280,3310,375621,0.006079027355623046
2015-06-10,3285,3455,3285,3360,455111,0.015105740181268867
2015-06-11,3385,3385,3280,3300,347975,-0.017857142857142905
2015-06-12,3310,3320,3165,3170,344058,-0.039393939393939426
2015-06-15,3190,3250,3120,3195,237836,0.007886435331230235
2015-06-16,3175,3260,3130,3210,267312,0.0046948356807512415
2015-06-17,3240,3240,3150,3230,194902,0.006230529595015577
2015-06-18,3210,3255,3190,3230,203214,0.0
2015-06-19,3240,3380,3230,3380,512942,0.04643962848297223
2015-06-22,3375,3395,3325,3325,198977,-0.016272189349112454
2015-06-23,3340,3480,3340,3470,551018,0.043609022556390986
2015-06-24,3515,3515,3395,3450,386282,-0.0057636887608069065
2015-06-25,3450,3545,3400,3490,517572,0.011594202898550732
2015-06-26,3520,3525,3325,3350,469890,-0.04011461318051579
2015-06-29,3310,3310,3180,3180,322864,-0.05074626865671639
2015-06-30,3105,3250,3100,3205,321401,0.007861635220125729
2015-07-01,3210,3240,3140,3175,392915,-0.009360374414976613
2015-07-02,3235,3245,3165,3230,311036,0.017322834645669305
2015-07-03,3250,3290,3205,3205,353044,-0.007739938080495334
2015-07-06,3200,3200,3100,3100,401864,-0.032761310452418146
2015-07-07,3100,3405,3100,3295,1229417,0.06290322580645169
2015-07-08,3290,3450,3250,3315,886915,0.006069802731411222
2015-07-09,3315,3315,3170,3265,604372,-0.015082956259426794
2015-07-10,3265,3275,3220,3250,193661,-0.004594180704441064
2015-07-13,3235,3410,3220,3390,468017,0.04307692307692301
2015-07-14,3440,3620,3370,3620,1637703,0.06784660766961648
2015-07-15,3690,3935,3650,3750,2640129,0.035911602209944826
2015-07-16,3805,4025,3805,3950,2272200,0.05333333333333323
2015-07-17,4000,4015,3820,3865,1171779,-0.021518987341772156
2015-07-20,3890,5020,3845,5020,7390828,0.2988357050452781
2015-07-21,5440,6320,5070,5220,18835911,0.03984063745019917
2015-07-22,5070,5640,5000,5240,7474030,0.003831417624521105
2015-07-23,5150,5460,5100,5240,2582706,0.0
2015-07-24,5100,5480,5100,5400,3079085,0.03053435114503822
2015-07-27,5400,5440,4865,5000,1999364,-0.07407407407407407
2015-07-28,4900,5030,4550,4800,1726750,-0.040000000000000036
2015-07-29,4860,4865,4500,4500,1223768,-0.0625
2015-07-30,4530,4785,4455,4515,1570894,0.0033333333333334103
2015-07-31,4500,4755,4500,4690,1036456,0.03875968992248069
2015-08-03,4745,5020,4675,4895,1786999,0.04371002132196167
2015-08-04,4930,5130,4695,4835,1696530,-0.012257405515832431
2015-08-05,4905,4920,4760,4865,766338,0.006204756980351611
2015-08-06,4885,5030,4730,4730,961639,-0.027749229188078095
2015-08-07,4730,5220,4705,5010,3614111,0.059196617336152224
2015-08-10,5050,5480,4955,5390,3973645,0.07584830339321358
2015-08-11,5500,5540,5050,5110,2084331,-0.051948051948051965
2015-08-12,5030,5240,4605,4850,1352669,-0.050880626223091974
2015-08-13,4840,5030,4730,4975,831648,0.025773195876288568
2015-08-17,5030,5070,4725,4755,760289,-0.04422110552763814
2015-08-18,4750,4830,4510,4535,930257,-0.046267087276551044
2015-08-19,4500,4500,4040,4200,1331018,-0.07386990077177513
2015-08-20,4100,4390,4090,4140,631741,-0.014285714285714235
2015-08-21,3850,4020,3780,3900,875682,-0.05797101449275366
2015-08-24,3805,4040,3780,3910,584446,0.002564102564102555
2015-08-25,4075,4330,3915,4310,777836,0.10230179028132991
2015-08-26,4260,4340,4135,4330,689669,0.004640371229698292
