Date,Open,High,Low,Close,Volume,Change
2015-01-02,2855,2910,2800,2830,507967,-0.010489510489510523
2015-01-05,2845,2845,2705,2760,810277,-0.02473498233215543
2015-01-06,2740,2810,2710,2775,665373,0.005434782608695565
2015-01-07,2770,2775,2405,2570,3531723,-0.0738738738738739
2015-01-08,2625,2625,2475,2490,1273532,-0.0311284046692607
2015-01-09,2505,2540,2425,2430,1317361,-0.02409638554216864
2015-01-12,2435,2580,2430,2570,901780,0.057613168724279795
2015-01-13,2570,2595,2535,2560,477089,-0.0038910505836575737
2015-01-14,2590,2660,2550,2650,530382,0.03515625
2015-01-15,2615,2690,2600,2650,483103,0.0
2015-01-16,2670,2670,2585,2620,381844,-0.01132075471698113
2015-01-19,2650,2670,2560,2590,312855,-0.011450381679389277
2015-01-20,2580,2610,2500,2600,589404,0.0038610038610038533
2015-01-21,2605,2665,2550,2595,388133,-0.0019230769230769162
2015-01-22,2625,2625,2515,2525,441547,-0.026974951830443183
2015-01-23,2525,2560,2445,2500,618794,-0.00990099009900991
2015-01-26,2485,2525,2470,2520,296111,0.008000000000000007
2015-01-27,2520,2540,2470,2500,467380,-0.007936507936507908
2015-01-28,2480,2525,2450,2505,313106,0.0020000000000000018
2015-01-29,2490,2555,2465,2480,546144,-0.009980039920159722
2015-01-30,2495,2755,2485,2650,2220473,0.06854838709677424
2015-02-02,2615,2655,2565,2600,580333,-0.018867924528301883
2015-02-03,2565,2570,2475,2560,721001,-0.01538461538461533
2015-02-04,2570,2700,2550,2700,658967,0.0546875
2015-02-05,2730,2810,2670,2715,1375365,0.005555555555555536
2015-02-06,2735,2820,2715,2775,521270,0.022099447513812098
2015-02-09,2780,2795,2675,2760,718701,-0.00540540540540535
2015-02-10,2790,2895,2765,2850,1867491,0.032608695652173836
2015-02-11,2850,3015,2815,2975,1802053,0.04385964912280693
2015-02-12,2990,2995,2900,2935,538739,-0.013445378151260456
2015-02-13,2935,2950,2795,2875,962452,-0.020442930153321992
2015-02-16,2900,2900,2790,2810,664402,-0.022608695652173938
2015-02-17,2810,2840,2750,2820,414076,0.003558718861210064
2015-02-23,2840,2875,2825,2865,382921,0.015957446808510634
2015-02-24,2890,2925,2845,2860,516177,-0.0017452006980802626
2015-02-25,2880,2890,2765,2770,746928,-0.03146853146853146
2015-02-26,2770,2860,2755,2810,409988,0.014440433212996373
2015-02-27,2795,2830,2650,2655,1132053,-0.05516014234875444
2015-03-02,2640,2675,2585,2600,653828,-0.020715630885122405
2015-03-03,2610,2635,2590,2615,505596,0.005769230769230749
2015-03-04,2630,2630,2560,2565,734085,-0.019120458891013437
2015-03-05,2550,2610,2550,2595,400047,0.011695906432748648
2015-03-06,2600,2610,2540,2550,476602,-0.017341040462427793
2015-03-09,2550,2555,2460,2490,462777,-0.02352941176470591
2015-03-10,2490,2505,2435,2460,409399,-0.012048192771084376
2015-03-11,2430,2535,2430,2500,252016,0.016260162601626105
2015-03-12,2525,2545,2485,2510,312912,0.0040000000000000036
2015-03-13,2510,2540,2500,2500,221037,-0.003984063745019917
2015-03-16,2530,2600,2515,2585,495233,0.03400000000000003
2015-03-17,2595,2620,2550,2560,392784,-0.009671179883945835
2015-03-18,2570,2595,2530,2550,213939,-0.00390625
2015-03-19,2550,2560,2475,2520,418627,-0.0117647058823529
2015-03-20,2545,2545,2490,2505,204239,-0.005952380952380931
2015-03-23,2520,2560,2485,2535,295504,0.011976047904191711
2015-03-24,2535,2560,2495,2560,430942,0.009861932938856066
