Date,Open,High,Low,Close,Volume,Change
2015-01-02,33600,35300,33000,35300,5900,0.04747774480712175
2015-01-05,34500,34900,33500,33500,5019,-0.05099150141643061
2015-01-06,33500,33500,32400,32600,6560,-0.0268656716417911
2015-01-07,32400,32600,31800,32350,8229,-0.0076687116564416735
2015-01-08,32300,33250,31900,32800,4949,0.01391035548686248
2015-01-09,32200,32350,31800,32050,5142,-0.02286585365853655
2015-01-12,31700,32250,31400,32150,7647,0.0031201248049921304
2015-01-13,32150,32150,31450,31800,6353,-0.010886469673405896
2015-01-14,31550,31900,31350,31800,4857,0.0
2015-01-15,31850,31850,31350,31500,4496,-0.009433962264150941
2015-01-16,31250,31700,30050,30200,16196,-0.041269841269841234
2015-01-19,30050,30650,29600,29900,7936,-0.009933774834437137
2015-01-20,29900,30400,29300,30400,8391,0.01672240802675584
2015-01-21,30350,30750,30000,30450,17585,0.00164473684210531
2015-01-22,30900,32200,30350,31050,28335,0.019704433497536922
2015-01-23,31400,32200,30850,31950,27337,0.02898550724637672
2015-01-26,32000,32050,31050,31650,18100,-0.009389671361502372
2015-01-27,31950,32300,31500,32150,8782,0.01579778830963674
2015-01-28,32400,32850,31550,32800,9231,0.02021772939346822
2015-01-29,32800,32800,31850,32200,17473,-0.018292682926829285
2015-01-30,32000,32600,32000,32250,5135,0.0015527950310558758
2015-02-02,32950,32950,32050,32250,113045,0.0
2015-02-03,32250,33000,32200,32500,8575,0.007751937984496138
2015-02-04,32500,32950,31950,32100,41497,-0.012307692307692353
2015-02-05,31800,34250,31800,34050,16724,0.06074766355140193
2015-02-06,34050,34450,33600,33850,3622,-0.005873715124816492
2015-02-09,33850,34700,33750,34250,11928,0.011816838995568624
2015-02-10,34000,34500,33650,33850,4997,-0.011678832116788329
2015-02-11,33700,34400,33300,33500,4597,-0.010339734121122546
2015-02-12,33300,33900,33250,33850,7176,0.010447761194029903
2015-02-13,33400,34400,33200,33500,12374,-0.010339734121122546
2015-02-16,33450,33900,32700,32700,6782,-0.023880597014925398
2015-02-17,32650,33550,32050,32550,7413,-0.004587155963302725
2015-02-23,33750,33750,32200,32450,12470,-0.003072196620583667
2015-02-24,33050,34250,32500,33800,11998,0.04160246533127898
2015-02-25,34200,35250,33800,35250,13232,0.04289940828402372
2015-02-26,35650,35700,35100,35250,6417,0.0
2015-02-27,35200,35500,33450,34800,5281,-0.012765957446808529
2015-03-02,34800,36400,34600,35250,6494,0.012931034482758674
2015-03-03,34800,35400,34000,34000,8088,-0.03546099290780147
2015-03-04,34400,35400,33350,35250,14713,0.03676470588235303
2015-03-05,36100,36350,35450,36200,8441,0.026950354609929006
2015-03-06,36200,36900,36200,36750,9425,0.015193370165745845
2015-03-09,36950,36950,35500,35500,3955,-0.03401360544217691
2015-03-10,35450,36350,35050,35400,2713,-0.0028169014084507005
2015-03-11,35400,35450,34300,35400,5679,0.0
2015-03-12,34950,36300,34950,36100,4962,0.019774011299435124
2015-03-13,36550,36600,35500,35700,2596,-0.011080332409972304
2015-03-16,35900,36300,35300,35700,3497,0.0
2015-03-17,36200,36500,36000,36400,3893,0.019607843137254832
2015-03-18,36550,36550,34800,34800,7695,-0.04395604395604391
2015-03-19,34800,35300,34050,34700,6770,-0.002873563218390829
2015-03-20,34500,34950,33800,33800,9493,-0.025936599423631135
2015-03-23,34050,34650,33950,34250,5553,0.013313609467455523
2015-03-24,34650,36400,34550,36350,14582,0.0613138686131387
2015-03-25,36700,37750,36400,37300,27570,0.026134800550206227
2015-03-26,37350,39850,37300,38000,57293,0.018766756032171594
2015-03-27,38200,39400,38000,38250,35616,0.006578947368421018
2015-03-30,38250,39200,37500,38300,40655,0.0013071895424836555
2015-03-31,38700,40800,38350,40000,49053,0.044386422976501416
2015-04-01,39950,40400,39500,40150,39940,0.00374999999999992
2015-04-02,40000,40300,39350,40000,24272,-0.0037359900373599153
2015-04-03,40500,41800,39550,41300,39159,0.03249999999999997
2015-04-06,41100,42100,40150,41500,41509,0.004842615012106588
2015-04-07,41600,43000,40550,41600,25083,0.002409638554216942
2015-04-08,41600,43150,41250,43150,19406,0.03725961538461542
2015-04-09,43150,45000,42800,44750,18647,0.037079953650057895
2015-04-10,44650,46750,43800,46550,30219,0.040223463687150796
2015-04-13,46550,47500,44650,46450,23829,-0.002148227712137518
2015-04-14,47000,49000,45300,46200,32543,-0.005382131324004336
2015-04-15,45500,46950,43950,44450,31179,-0.037878787878787845
2015-04-16,44550,44600,42850,43550,26873,-0.020247469066366652
2015-04-17,43500,44850,42700,44500,22115,0.021814006888633664
2015-04-20,43600,44250,43150,44200,16292,-0.006741573033707815
2015-04-21,43750,44150,42650,42950,32344,-0.02828054298642535
2015-04-22,42700,42750,40100,41600,36213,-0.03143189755529685
2015-04-23,41600,41900,39700,39750,30984,-0.044471153846153855
2015-04-24,39550,41350,39300,40600,15909,0.021383647798742134
2015-04-27,39750,41600,39750,41500,13130,0.022167487684729092
