Date,Open,High,Low,Close,Volume,Change
2015-01-02,1640,1640,1605,1610,25458,-0.012269938650306789
2015-01-05,1620,1630,1600,1600,55228,-0.006211180124223614
2015-01-06,1590,1610,1550,1595,28772,-0.0031250000000000444
2015-01-07,1585,1600,1560,1590,15931,-0.0031347962382445305
2015-01-08,1615,1630,1580,1630,74850,0.02515723270440251
2015-01-09,1640,1710,1630,1710,90944,0.04907975460122693
2015-01-12,1730,1750,1695,1700,53877,-0.005847953216374324
2015-01-13,1710,1740,1685,1725,89895,0.014705882352941124
2015-01-14,1730,1775,1710,1750,86696,0.01449275362318847
2015-01-15,1730,1750,1725,1750,27507,0.0
2015-01-16,1740,1775,1710,1755,28282,0.0028571428571428914
2015-01-19,1750,1770,1740,1750,21441,-0.002849002849002802
2015-01-20,1750,1785,1745,1780,73252,0.017142857142857126
2015-01-21,1770,1785,1755,1770,55007,-0.005617977528089901
2015-01-22,1770,1780,1750,1770,31439,0.0
2015-01-23,1770,1770,1730,1730,36610,-0.02259887005649719
2015-01-26,1720,1760,1715,1760,46649,0.01734104046242768
2015-01-27,1740,1770,1735,1735,40877,-0.014204545454545414
2015-01-28,1730,1750,1700,1735,26924,0.0
2015-01-29,1735,1750,1720,1730,19614,-0.0028818443804035088
2015-01-30,1730,1745,1700,1720,31274,-0.005780346820809301
2015-02-02,1725,1730,1700,1730,43824,0.005813953488372103
2015-02-03,1715,1830,1695,1825,291711,0.054913294797687806
2015-02-04,1990,2095,1980,2020,2445796,0.10684931506849304
2015-02-05,2040,2045,1945,2000,402183,-0.00990099009900991
2015-02-06,1995,2040,1960,2005,489872,0.0024999999999999467
2015-02-09,1975,2005,1975,1985,220887,-0.009975062344139696
2015-02-10,1995,1995,1910,1950,163976,-0.017632241813602012
2015-02-11,1950,1975,1910,1960,112005,0.00512820512820511
2015-02-12,1915,1960,1900,1930,205117,-0.015306122448979553
2015-02-13,1935,1990,1920,1940,101760,0.005181347150259086
2015-02-16,1935,1970,1920,1970,94178,0.015463917525773141
2015-02-17,1960,1985,1920,1975,112648,0.002538071065989911
2015-02-23,2010,2170,2010,2075,565476,0.05063291139240511
2015-02-24,2055,2075,1995,2010,159771,-0.031325301204819245
2015-02-25,2020,2065,2005,2050,128128,0.01990049751243772
2015-02-26,2050,2055,2000,2025,80475,-0.012195121951219523
2015-02-27,2010,2035,1990,2005,162413,-0.00987654320987652
2015-03-02,2010,2015,1995,2000,93403,-0.0024937655860348684
2015-03-03,2040,2260,2025,2190,779324,0.09499999999999997
2015-03-04,2225,2290,2190,2240,653988,0.022831050228310446
2015-03-05,2250,2305,2240,2280,428935,0.017857142857142794
2015-03-06,2280,2320,2270,2295,414851,0.006578947368421018
2015-03-09,2295,2320,2130,2130,618743,-0.07189542483660127
2015-03-10,2135,2170,2090,2100,442644,-0.014084507042253502
2015-03-11,2095,2230,2090,2230,726606,0.06190476190476191
2015-03-12,2280,2435,2280,2430,1547615,0.08968609865470856
2015-03-13,2550,2550,2420,2490,1131779,0.024691358024691468
