Date,Open,High,Low,Close,Volume,Change
2015-01-02,2905,2905,2900,2900,57,-0.0186125211505922
2015-01-05,2855,2855,2850,2850,1182,-0.017241379310344862
2015-01-06,2800,2840,2775,2775,4110,-0.02631578947368418
2015-01-07,2760,2850,2760,2850,20,0.027027027027026973
2015-01-08,2845,2850,2845,2850,152,0.0
2015-01-09,2940,2940,2930,2930,598,0.02807017543859658
2015-01-12,2800,2930,2765,2920,421,-0.0034129692832765013
2015-01-13,2920,2920,2920,2920,196,0.0
2015-01-14,2850,2910,2850,2910,57,-0.003424657534246589
2015-01-15,2830,2910,2830,2900,5,-0.0034364261168384758
2015-01-16,2820,2820,2820,2820,100,-0.02758620689655178
2015-01-19,2890,2890,2825,2870,49,0.01773049645390068
2015-01-20,2820,2900,2820,2900,62,0.010452961672473782
2015-01-21,2920,2940,2920,2940,3,0.01379310344827589
2015-01-22,2935,2940,2935,2940,3,0.0
2015-01-23,2940,2940,2940,2940,30,0.0
2015-01-26,2940,2950,2940,2950,7,0.00340136054421758
2015-01-27,2990,2990,2860,2950,6,0.0
2015-01-28,2855,2980,2855,2980,26,0.01016949152542379
2015-01-29,3070,3070,3010,3010,3,0.010067114093959662
2015-01-30,3010,3010,3000,3000,342,-0.0033222591362126463
2015-02-02,2850,2995,2850,2995,214,-0.0016666666666667052
2015-02-03,3095,3180,2950,3035,1547,0.013355592654423987
2015-02-04,3120,3120,3105,3105,2,0.023064250411861664
2015-02-05,3100,3100,3070,3070,31,-0.011272141706924366
2015-02-06,3060,3060,3060,3060,2,-0.0032573289902280145
2015-02-09,3165,3165,3150,3150,102,0.02941176470588225
2015-02-10,3180,3180,3180,3180,1,0.00952380952380949
2015-02-11,3160,3160,3150,3160,314,-0.0062893081761006275
2015-02-12,2980,3180,2980,3180,512,0.006329113924050667
2015-02-13,3170,3170,2860,3030,948,-0.047169811320754707
2015-02-16,3040,3090,3035,3090,47,0.01980198019801982
2015-02-17,3090,3090,3090,3090,33,0.0
2015-02-23,3020,3090,3020,3090,142,0.0
2015-02-24,3090,3090,3090,3090,206,0.0
2015-02-25,3120,3120,3120,3120,2,0.009708737864077666
2015-02-26,3070,3080,3020,3080,288,-0.012820512820512775
2015-02-27,3135,3135,3135,3135,1,0.017857142857142794
2015-03-02,3120,3120,2910,2910,1310,-0.0717703349282297
2015-03-03,3010,3010,2925,2970,348,0.020618556701030855
2015-03-04,2970,2995,2935,2995,1111,0.008417508417508435
2015-03-05,3080,3140,3010,3040,34,0.015025041736226985
2015-03-06,3135,3135,3130,3130,22,0.02960526315789469
2015-03-09,3140,3330,3010,3175,3452,0.01437699680511173
2015-03-10,3260,3650,2960,3050,94436,-0.03937007874015752
2015-03-11,3125,3330,3020,3195,23237,0.04754098360655745
2015-03-12,3310,3670,3030,3180,242612,-0.0046948356807511304
2015-03-13,3200,3300,3040,3115,57406,-0.020440251572327095
2015-03-16,3080,3150,3030,3100,30541,-0.0048154093097912964
2015-03-17,3080,3150,3020,3080,20364,-0.006451612903225823
2015-03-18,3100,3145,3040,3110,6718,0.009740259740259827
2015-03-19,3180,3180,3050,3160,5138,0.016077170418006492
2015-03-20,3160,3260,3070,3200,3605,0.012658227848101333
2015-03-23,3250,3250,3135,3195,1933,-0.0015625000000000222
2015-03-24,3250,3300,3120,3245,6827,0.015649452269170583
2015-03-25,3245,3275,3190,3245,2381,0.0
2015-03-26,3240,3245,3135,3220,4043,-0.007704160246533087
2015-03-27,3155,3480,3155,3250,3767,0.009316770186335477
2015-03-30,3275,3440,3150,3275,4575,0.007692307692307665
2015-03-31,3280,3350,3195,3325,7111,0.01526717557251911
2015-04-01,3260,3820,3260,3820,176068,0.1488721804511277
2015-04-02,3910,4030,3300,3310,204319,-0.1335078534031413
2015-04-03,3490,3735,3355,3440,80215,0.0392749244712991
2015-04-06,3430,3780,3430,3510,40738,0.02034883720930236
2015-04-07,3510,3645,3335,3505,23555,-0.0014245014245014564
2015-04-08,3510,3570,3425,3475,21139,-0.008559201141226769
2015-04-09,3475,3580,3350,3445,30600,-0.008633093525179825
2015-04-10,3445,3480,3375,3450,15774,0.0014513788098693414
2015-04-13,3435,3450,3385,3435,13321,-0.004347826086956497
2015-04-14,3405,3465,3350,3450,16648,0.004366812227074135
2015-04-15,3465,3495,3425,3475,5500,0.007246376811594235
2015-04-16,3520,3995,3520,3995,238446,0.14964028776978422
2015-04-17,4010,4050,3630,3775,74136,-0.0550688360450563
2015-04-20,3785,3785,3630,3780,35588,0.0013245033112583293
2015-04-21,3815,3970,3600,3745,39320,-0.0092592592592593
2015-04-22,3770,3795,3630,3770,16074,0.006675567423231055
2015-04-23,3670,3820,3670,3750,4319,-0.0053050397877983935
2015-04-24,3640,3795,3555,3750,38146,0.0
2015-04-27,3650,3890,3650,3830,11900,0.021333333333333426
2015-04-28,3820,3820,3720,3760,3518,-0.018276762402088753
2015-04-29,3765,3850,3705,3760,2871,0.0
2015-04-30,3820,3880,3760,3760,4285,0.0
2015-05-04,3770,3830,3720,3775,2876,0.003989361702127603
2015-05-06,3775,3780,3610,3640,13984,-0.03576158940397356
2015-05-07,3610,3685,3565,3620,6538,-0.005494505494505475
2015-05-08,3655,3750,3615,3695,4628,0.02071823204419898
2015-05-11,3715,3715,3600,3695,10185,0.0
2015-05-12,3625,3630,3550,3595,24247,-0.02706359945872805
2015-05-13,3585,3600,3555,3595,3322,0.0
2015-05-14,3595,3795,3595,3685,10929,0.025034770514603677
2015-05-15,3700,3765,3625,3625,4671,-0.016282225237449155
2015-05-18,3570,3575,3510,3560,2115,-0.017931034482758568
2015-05-19,3560,3760,3540,3640,3165,0.022471910112359605
2015-05-20,3640,3880,3600,3780,17027,0.03846153846153855
2015-05-21,3780,3960,3670,3870,27150,0.023809523809523725
2015-05-22,3895,4090,3815,3915,21246,0.011627906976744207
