Date,Open,High,Low,Close,Volume,Change
2015-01-02,388656,430759,380992,395432,3976,-0.08017464567258825
2015-01-05,395149,435456,391771,400478,1507,0.012760727508142944
2015-01-06,398742,410421,353320,353340,1701,-0.11770434330974489
2015-01-07,353107,356447,314403,319712,1394,-0.09517178921152436
2015-01-08,319333,367304,319333,367672,4828,0.15001000900810735
2015-01-09,379423,414769,356702,392917,3791,0.06866174198742359
2015-01-12,392863,392863,344872,356725,1514,-0.0921110565335681
2015-01-13,356451,409364,344618,409731,4788,0.1485906510617423
2015-01-14,424554,470749,423763,445036,6938,0.08616628958999928
2015-01-15,445555,450690,400133,413955,4145,-0.06983929389981935
2015-01-16,403469,437193,390034,400478,2019,-0.032556678866060285
2015-01-19,396766,423773,393407,393755,2422,-0.0167874390103826
2015-01-20,395344,409629,386908,392063,1866,-0.00429708829094233
2015-01-21,395938,395938,380746,381133,951,-0.027878172640621535
2015-01-22,377583,397736,364978,365963,917,-0.03980237869720016
2015-01-23,365934,383540,356668,369332,726,0.009205848678691453
2015-01-26,369343,369343,347414,347472,878,-0.059187939306640125
2015-01-27,346614,370108,344819,346634,990,-0.002411705115807905
2015-01-28,346568,354888,335545,343248,509,-0.009768228159961256
2015-01-29,343253,353349,343253,344103,398,0.002490910362187071
2015-01-30,343009,343009,321910,332334,674,-0.034201968596612065
2015-02-02,343248,343248,328056,337380,366,0.01518352019354019
2015-02-03,347384,347384,325493,327288,439,-0.029912857905032952
2015-02-04,332774,333720,321906,323065,345,-0.01290300897069252
2015-02-05,328057,328867,310316,318019,386,-0.015619147849504023
2015-02-06,315432,319582,310316,318019,158,0.0
2015-02-09,312649,326104,305121,313827,279,-0.01318160235709187
2015-02-10,313622,331402,313622,320534,287,0.021371647436326358
2015-02-11,280864,292698,273316,278490,2224,-0.13116861237809407
2015-02-12,282638,285997,275129,275959,640,-0.009088297604940898
2015-02-13,280640,280640,273092,274250,478,-0.006192948952561839
2015-02-16,272525,282602,269976,278490,599,0.01546034639927063
2015-02-17,272555,280876,272555,279312,254,0.0029516320155122955
2015-02-23,282386,282386,273101,280167,195,0.0030610929713008606
2015-02-24,280881,280881,272561,275959,280,-0.015019613302066248
2015-02-25,277491,285174,270792,285213,977,0.033533967002344456
2015-02-26,287567,287567,280850,285213,446,0.0
2015-02-27,282377,283980,277243,283536,363,-0.005879816137413063
2015-03-02,285210,285982,280095,282682,475,-0.003011963207493973
2015-03-03,284215,324715,284215,324774,3309,0.14890230011107897
2015-03-04,319558,370095,319558,353340,4064,0.08795654824585708
2015-03-05,360037,366755,324711,340733,1343,-0.03567951548084003
2015-03-06,336506,351544,327221,336526,631,-0.012346910924389443
2015-03-09,335328,335328,308457,319712,749,-0.04996345007517988
2015-03-10,319337,327850,303352,303720,711,-0.050020018016214585
2015-03-11,305092,314358,302525,306251,428,0.008333333333333304
2015-03-12,304519,350733,304519,336526,1304,0.09885682005936314
2015-03-13,341231,386653,337081,387001,3805,0.14998841099944737
2015-03-16,386871,444956,386871,404669,5678,0.04565362880199286
2015-03-17,406020,464898,400133,465284,3969,0.14978908688335402
2015-03-18,498621,518775,470785,471152,4266,0.01261165223820293
2015-03-19,496108,496108,400145,410570,7432,-0.12858270791591675
2015-03-20,410189,448893,400131,429899,1767,0.047078451908322494
2015-03-23,420690,422311,366002,376909,3411,-0.12326151026171261
2015-03-24,353343,394461,320545,392917,5904,0.042471790272983645
2015-03-25,386653,401053,377368,387001,1008,-0.01505661501029476
2015-03-26,402154,433175,393661,396286,2839,0.023992186066702725
2015-03-27,395916,400067,379141,399623,934,0.008420686070161443
2015-03-30,403678,403678,366712,385340,820,-0.03574118606786891
2015-03-31,378333,386614,336251,344957,1860,-0.10479835988996733
2015-04-01,368371,380996,350786,370186,1609,0.07313665181457396
2015-04-02,362613,379427,355740,356725,933,-0.036362801402538225
2015-04-03,353856,395127,353856,387001,1013,0.08487210035741821
2015-04-06,384408,387766,368385,373540,924,-0.03478285585825358
2015-04-07,375783,375783,367309,374394,412,0.0022862344059537687
2015-04-08,379945,426160,374019,422338,2140,0.1280576077608082
2015-04-09,426441,460976,422271,457675,2151,0.08366995155538937
2015-04-10,462719,493760,459206,486290,2306,0.0625225323646692
2015-04-13,486227,486227,427350,479567,2428,-0.01382508379773384
2015-04-14,496348,496348,465153,493028,927,0.028069070640807325
2015-04-15,507937,565870,477571,566218,2897,0.14844998661333642
2015-04-16,548254,623095,538196,582210,3882,0.02824353870770624
2015-04-17,588929,619197,569567,573795,1448,-0.014453547688978219
2015-04-20,572007,622565,572007,606601,1800,0.057173729293563014
2015-04-21,615001,656079,550989,641100,2651,0.05687263951097998
2015-04-22,640847,655113,584401,617547,1203,-0.036738418343472135
2015-04-23,616346,623894,588702,591463,827,-0.04223808066430568
2015-04-24,591357,598074,555200,583886,1126,-0.012810606918776002
2015-04-27,603986,603986,568601,573795,867,-0.017282483224465017
2015-04-28,560093,659239,560093,659607,2313,0.14955166915013196
2015-04-29,676441,758021,673101,745435,4459,0.13011990473115054
2015-04-30,745130,756790,706426,737004,1892,-0.011310174596041223
2015-05-04,737841,790754,737841,774017,1204,0.050220894323504295
2015-05-06,771213,798084,743396,782449,896,0.010893817577650067
2015-05-07,782070,782070,751839,772341,582,-0.012918413851893185
2015-05-08,772239,772239,733534,771486,642,-0.0011070239699821904
2015-05-11,836171,886729,790749,886768,3114,0.14942850550755304
2015-05-12,861473,901780,849639,858153,1253,-0.03226886852028943
2015-05-13,874908,883364,837786,841339,579,-0.019593242696815172
2015-05-14,856098,856098,758535,758864,1047,-0.0980282620917371
2015-05-15,756998,839370,755222,773195,1083,0.018884806763794337
2015-05-18,816105,816105,760606,774872,505,0.002168922458112066
2015-05-19,773081,789065,731943,764780,422,-0.013024086558812265
2015-05-20,790521,790521,745079,746257,583,-0.024220037134862316
2015-05-21,729913,783791,723195,749643,906,0.004537310872795741
2015-05-22,736920,774814,682211,706728,862,-0.05724724969085282
2015-05-26,706641,723455,630989,647822,1245,-0.08335031299170259
2015-05-27,646606,662570,607110,662976,1000,0.023392228112043112
2015-05-28,663772,760505,663772,715160,1439,0.07871174823824689
2015-05-29,750118,750118,686299,689060,549,-0.036495329716427105
2015-06-01,713425,713425,643505,668022,706,-0.03053144864017643
2015-06-02,655873,714866,655873,707551,590,0.05917320088260558
2015-06-03,730186,742830,694009,738680,904,0.04399541517148586
2015-06-04,715117,832852,715117,793395,1596,0.07407131640223108
2015-06-05,791604,794152,695759,731974,1716,-0.07741541098696114
2015-06-08,787171,787171,703043,710920,651,-0.028763316729829236
2015-06-09,604538,604538,604538,604924,154,-0.149096944803916
2015-06-10,514626,637457,514626,588078,7298,-0.02784812637620593
2015-06-11,593893,622502,587967,605746,926,0.030043633667642622
2015-06-12,590292,687081,590292,656254,577,0.08338148332799555
2015-06-15,698167,703301,623306,647822,629,-0.012848683588976173
2015-06-16,656104,735308,607342,622593,408,-0.03894433964885413
2015-06-17,621505,654284,597838,598186,458,-0.039202175417969665
2015-06-18,599782,631769,590497,618353,205,0.03371359409949415
2015-06-19,605745,617444,573006,587272,242,-0.05026416949541768
2015-06-22,666165,666165,566054,586401,414,-0.0014831287716764452
2015-06-23,586167,608868,548254,582210,768,-0.007146986447840287
2015-06-24,582100,582100,538395,580517,755,-0.0029078854708781687
2015-06-25,560285,655319,560285,605746,937,0.043459536930012366
2015-06-26,589685,639277,588912,588932,334,-0.02775750892288187
2015-06-29,588660,588660,538121,548565,545,-0.06854271800479517
2015-06-30,548193,560818,521341,532557,353,-0.02918159197178094
2015-07-01,532257,536407,506988,514034,492,-0.03478125346207073
2015-07-02,522958,532243,488559,491320,706,-0.04418773855425906
2015-07-03,492970,538393,492970,493028,839,0.0034763494260359185
2015-07-06,488814,492965,445805,454338,899,-0.07847424487047394
2015-07-07,462440,490142,414507,425723,825,-0.06298174486835795
2015-07-08,434118,466897,416358,421532,1333,-0.00984442935899632
2015-07-09,429752,429752,406240,408055,568,-0.03197147547517154
2015-07-10,426404,426404,386908,392063,510,-0.03919079535846881
2015-07-13,396976,397748,377594,378618,875,-0.03429295801950194
2015-07-14,385879,393407,378350,393755,728,0.039979610055517645
