Date,Open,High,Low,Close,Volume,Change
2015-01-02,30000,30450,28600,29100,44872,-0.025125628140703515
2015-01-05,29200,29250,27800,29100,45480,0.0
2015-01-06,29100,29550,28600,29350,20211,0.00859106529209619
2015-01-07,29000,29050,28450,28800,11702,-0.01873935264054516
2015-01-08,28300,29350,27900,29300,23053,0.01736111111111116
2015-01-09,29050,29300,28000,29050,34965,-0.008532423208191142
2015-01-12,29050,30300,28700,30300,35057,0.04302925989672968
2015-01-13,30450,30950,30300,30700,15226,0.013201320132013139
2015-01-14,30700,32250,30150,32100,26259,0.0456026058631922
2015-01-15,32050,32750,30600,31700,38564,-0.012461059190031154
2015-01-16,32450,32450,30400,31100,28524,-0.018927444794952675
2015-01-19,30900,31750,30750,31750,10941,0.020900321543408262
2015-01-20,32250,32250,31250,31300,15841,-0.014173228346456734
2015-01-21,31100,34950,31100,34000,84341,0.08626198083067083
2015-01-22,34200,36500,34000,34750,52083,0.022058823529411686
2015-01-23,35400,36950,34800,36700,48667,0.05611510791366903
2015-01-26,36700,38900,36200,38000,82012,0.03542234332425065
2015-01-27,39200,39250,37400,39150,57072,0.03026315789473677
2015-01-28,39000,40450,38200,40300,60071,0.02937420178799499
2015-01-29,40300,40450,39250,39950,42527,-0.008684863523573227
2015-01-30,40050,40500,39400,40150,31576,0.005006257822277815
2015-02-02,40000,40900,39400,40850,29707,0.01743462017434627
2015-02-03,41600,44900,41450,44500,89328,0.08935128518971847
2015-02-04,44500,45550,43500,44450,51781,-0.0011235955056180247
2015-02-05,44450,44450,42600,43550,55601,-0.020247469066366652
2015-02-06,43100,45900,43100,45900,50269,0.053960964408725554
2015-02-09,46300,47750,45050,47200,61892,0.028322440087146017
2015-02-10,47000,50000,46600,50000,97004,0.05932203389830515
2015-02-11,50200,52000,49050,49400,138610,-0.01200000000000001
2015-02-12,49400,50900,49050,49800,60307,0.00809716599190291
2015-02-13,49900,51100,49400,51100,54069,0.026104417670682833
2015-02-16,51300,51300,44100,47500,90572,-0.07045009784735812
2015-02-17,47150,49250,44400,48950,80646,0.030526315789473735
2015-02-23,49150,51500,48000,50900,91208,0.039836567926455624
2015-02-24,50900,54500,50600,53000,95124,0.04125736738703334
2015-02-25,53500,55000,52600,53500,47789,0.009433962264151052
2015-02-26,54000,58500,53500,56500,98335,0.05607476635514019
2015-02-27,56900,63800,56900,60800,146749,0.07610619469026547
2015-03-02,62000,69900,61600,69000,158215,0.13486842105263164
2015-03-03,70600,74500,62000,64800,182654,-0.060869565217391286
2015-03-04,64000,66700,61500,66100,119014,0.020061728395061706
2015-03-05,67200,71300,66400,70700,96868,0.06959152798789714
2015-03-06,70900,72700,68300,70000,67736,-0.00990099009900991
2015-03-09,70000,70400,62900,64500,75587,-0.07857142857142863
2015-03-10,64900,66900,54900,59200,331846,-0.08217054263565893
2015-03-11,58800,62400,56200,62000,93690,0.04729729729729737
2015-03-12,63100,64200,59800,61300,62050,-0.011290322580645107
2015-03-13,61900,63000,60200,61700,40254,0.006525285481239873
2015-03-16,60800,61700,57800,60700,61349,-0.01620745542949753
2015-03-17,60500,62800,58000,60400,59095,-0.0049423393739703725
2015-03-18,61100,61300,54800,56600,78765,-0.0629139072847682
2015-03-19,56300,60000,53000,59000,157358,0.042402826855123754
2015-03-20,59600,59600,56200,56400,39414,-0.04406779661016946
2015-03-23,56500,59100,56400,58900,40068,0.04432624113475181
2015-03-24,59100,59200,57000,57800,20761,-0.018675721561969394
2015-03-25,57200,60500,57000,59100,48057,0.02249134948096887
2015-03-26,58600,59800,57000,58600,33626,-0.008460236886632777
2015-03-27,57600,58600,55300,55600,44747,-0.05119453924914674
2015-03-30,55600,57000,54300,54300,29525,-0.023381294964028743
2015-03-31,54500,54500,51600,52500,96863,-0.03314917127071826
2015-04-01,52500,57800,50400,57200,104146,0.08952380952380956
2015-04-02,58000,61500,57900,59100,85986,0.03321678321678312
2015-04-03,59100,64500,57200,63700,112160,0.07783417935702208
2015-04-06,64300,65200,60500,61200,61671,-0.039246467817896424
2015-04-07,61200,62000,59000,60600,29587,-0.009803921568627416
2015-04-08,59200,61000,57600,59700,49364,-0.014851485148514865
2015-04-09,60400,61400,58400,59000,35717,-0.011725293132328285
2015-04-10,60000,61000,57400,58500,39790,-0.008474576271186418
2015-04-13,60000,61000,58000,59000,37883,0.008547008547008517
2015-04-14,58100,58700,56400,56400,44292,-0.04406779661016946
2015-04-15,56000,60100,56000,59700,43230,0.0585106382978724
2015-04-16,60300,61000,57600,59700,46695,0.0
2015-04-17,59400,60500,58700,60100,24849,0.00670016750418756
2015-04-20,59300,59500,57500,58400,29232,-0.028286189683860208
2015-04-21,58400,63000,56900,62700,123307,0.07363013698630128
2015-04-22,62800,67900,60900,65800,161708,0.04944178628389162
2015-04-23,65800,68900,63600,65500,106753,-0.00455927051671734
2015-04-24,67000,67900,64000,65500,58267,0.0
2015-04-27,66000,67200,64500,65600,33381,0.0015267175572519776
2015-04-28,66900,69300,66000,67000,52933,0.021341463414634054
2015-04-29,67000,68800,63600,66800,44885,-0.0029850746268657025
2015-04-30,67000,68500,64100,68500,45615,0.025449101796407136
2015-05-04,69000,77000,67500,74000,113252,0.08029197080291972
2015-05-06,74300,78000,72900,74400,48215,0.00540540540540535
2015-05-07,73700,76800,71000,74100,49399,-0.0040322580645161255
2015-05-08,73900,74700,71500,71500,29533,-0.03508771929824561
2015-05-11,72000,75900,70500,72700,43964,0.016783216783216703
2015-05-12,73000,73000,68900,71300,49863,-0.019257221458046758
2015-05-13,70300,72300,69500,71600,15757,0.004207573632538653
2015-05-14,71500,73300,70000,72400,24828,0.011173184357541999
2015-05-15,72600,74400,70800,71000,34723,-0.01933701657458564
2015-05-18,70000,76200,69000,72900,72695,0.026760563380281654
2015-05-19,72500,73100,71300,72100,30062,-0.010973936899862813
2015-05-20,72500,72900,69100,71500,59912,-0.00832177531206657
2015-05-21,70500,73800,69600,71700,61760,0.002797202797202747
2015-05-22,71600,73300,70000,72500,26685,0.01115760111576014
2015-05-26,71700,74400,70800,74100,45834,0.022068965517241468
2015-05-27,73800,74700,71800,74700,42258,0.00809716599190291
2015-05-28,75000,81400,74700,78800,69561,0.05488621151271755
2015-05-29,78100,79800,76000,78800,35362,0.0
2015-06-01,78800,79500,77000,78000,12341,-0.010152284263959421
2015-06-02,77000,77500,74200,74200,36017,-0.04871794871794877
2015-06-03,73000,78400,72000,77300,26112,0.0417789757412399
2015-06-04,77000,77400,75000,76700,18345,-0.0077619663648124115
2015-06-05,75800,77600,75000,77200,17182,0.006518904823989535
2015-06-08,77000,78000,75900,78000,15125,0.010362694300518172
2015-06-09,78000,80400,71300,77800,136195,-0.002564102564102555
2015-06-10,77300,77300,74200,75900,26094,-0.024421593830334154
2015-06-11,75700,77000,74200,76400,17226,0.006587615283267567
2015-06-12,75600,76400,74100,75700,13980,-0.009162303664921434
2015-06-15,75600,75600,72400,74700,16229,-0.013210039630118908
2015-06-16,74700,74700,71000,71900,26677,-0.03748326639892907
2015-06-17,71900,74700,70600,74500,23763,0.03616133518776077
2015-06-18,74400,76900,73700,75900,16970,0.01879194630872494
2015-06-19,75700,77300,74400,75600,11192,-0.0039525691699604515
2015-06-22,75600,76400,74500,74900,9654,-0.0092592592592593
2015-06-23,74800,75300,72000,73700,22431,-0.01602136181575431
2015-06-24,72500,73600,70500,71500,52339,-0.02985074626865669
2015-06-25,71500,74100,69100,73900,23792,0.03356643356643363
2015-06-26,73900,74000,70900,71900,37339,-0.02706359945872805
2015-06-29,71800,71800,66600,69400,38398,-0.03477051460361613
2015-06-30,69100,72500,66400,72500,48165,0.04466858789625361
2015-07-01,71000,72700,70200,72400,19341,-0.0013793103448276334
2015-07-02,73300,73300,70000,70000,17109,-0.03314917127071826
2015-07-03,70800,71100,68200,70200,7174,0.0028571428571428914
2015-07-06,70200,70200,66500,68200,33158,-0.028490028490028463
