Date,Open,High,Low,Close,Volume,Change
2015-01-02,3735,3820,3630,3785,831356,0.016107382550335503
2015-01-05,3830,3920,3785,3855,855195,0.018494055482166427
2015-01-06,3850,3925,3815,3890,730698,0.009079118028534339
2015-01-07,3885,3935,3840,3865,552041,-0.006426735218509005
2015-01-08,3915,3915,3755,3830,743630,-0.009055627425614499
2015-01-09,3850,3950,3825,3875,452200,0.011749347258485532
2015-01-12,3910,3915,3865,3905,316898,0.007741935483871032
2015-01-13,3905,3910,3790,3810,597827,-0.02432778489116516
2015-01-14,3770,3905,3770,3890,553999,0.0209973753280841
2015-01-15,3900,3900,3830,3870,342667,-0.005141388174807249
2015-01-16,3880,3880,3740,3780,564998,-0.023255813953488413
2015-01-19,3800,3825,3720,3770,469357,-0.002645502645502673
2015-01-20,3795,3840,3750,3785,370026,0.003978779840848823
2015-01-21,3770,3800,3750,3750,395214,-0.009247027741083214
2015-01-22,3750,3755,3525,3675,1811332,-0.020000000000000018
2015-01-23,3690,3690,3600,3645,471375,-0.008163265306122436
2015-01-26,3650,3695,3575,3600,405094,-0.012345679012345734
2015-01-27,3610,3730,3585,3730,530425,0.036111111111111205
2015-01-28,3695,3750,3665,3730,359296,0.0
2015-01-29,3730,3730,3660,3665,281398,-0.017426273458445052
2015-01-30,3700,3710,3590,3625,353374,-0.010914051841746208
2015-02-02,3600,3625,3550,3560,461011,-0.017931034482758568
2015-02-03,3555,3580,3505,3530,478147,-0.008426966292134797
2015-02-04,3540,3540,3335,3445,1821286,-0.024079320113314484
2015-02-05,3435,3505,3410,3415,678281,-0.00870827285921627
2015-02-06,3415,3440,3325,3360,876167,-0.016105417276720324
2015-02-09,3420,3420,3220,3315,1311704,-0.013392857142857095
2015-02-10,3315,3320,3070,3230,2268441,-0.02564102564102566
2015-02-11,3180,3550,3120,3470,2356372,0.07430340557275539
2015-02-12,3415,3780,3375,3715,2273561,0.07060518731988474
2015-02-13,3715,3760,3630,3645,1053695,-0.018842530282637937
2015-02-16,3610,3685,3500,3520,862386,-0.03429355281207136
2015-02-17,3490,3565,3425,3500,605886,-0.005681818181818232
2015-02-23,3525,3525,3355,3370,1201083,-0.037142857142857144
2015-02-24,3345,3430,3340,3380,667603,0.0029673590504450953
2015-02-25,3365,3365,3200,3270,1756401,-0.03254437869822491
2015-02-26,3285,3720,3285,3635,2042131,0.1116207951070336
2015-02-27,3670,3710,3545,3580,818712,-0.015130674002751032
2015-03-02,3580,3620,3500,3620,825600,0.011173184357541999
2015-03-03,3615,4100,3615,3730,1806912,0.03038674033149169
2015-03-04,3730,3835,3665,3725,1154199,-0.0013404825737265424
2015-03-05,3720,3755,3675,3755,557701,0.008053691275167862
2015-03-06,3775,3895,3715,3805,1252098,0.013315579227696439
2015-03-09,3805,3845,3750,3805,549813,0.0
2015-03-10,3810,3835,3650,3715,931643,-0.023653088042049908
2015-03-11,3715,3865,3670,3680,751172,-0.009421265141319024
2015-03-12,3600,3780,3565,3765,715608,0.02309782608695654
2015-03-13,3760,3785,3700,3730,496014,-0.009296148738379806
2015-03-16,3770,3780,3715,3735,628484,0.0013404825737264314
2015-03-17,3780,3780,3710,3735,681917,0.0
2015-03-18,3725,3760,3660,3735,892577,0.0
2015-03-19,3765,3780,3625,3625,1060938,-0.029451137884872858
2015-03-20,3650,3940,3635,3820,3890438,0.053793103448275925
2015-03-23,3825,3855,3710,3710,1160506,-0.028795811518324554
2015-03-24,3760,3930,3730,3900,1845768,0.05121293800539073
2015-03-25,3715,3930,3645,3820,3998316,-0.02051282051282055
2015-03-26,3785,3960,3785,3895,2156982,0.01963350785340312
2015-03-27,3920,3930,3785,3885,1051850,-0.0025673940949936247
2015-03-30,3930,4100,3885,4075,3567400,0.04890604890604888
2015-03-31,4085,4365,3705,3710,14666058,-0.0895705521472393
2015-04-01,3630,3795,3470,3750,6646914,0.010781671159029615
2015-04-02,3790,3845,3550,3550,3257245,-0.053333333333333344
2015-04-03,3530,3620,3515,3570,2059822,0.005633802816901401
2015-04-06,3555,3555,3215,3315,8851162,-0.0714285714285714
2015-04-07,3330,3425,3315,3390,2504817,0.02262443438914019
2015-04-08,3400,3495,3360,3495,2790381,0.030973451327433565
