Date,Open,High,Low,Close,Volume,Change
2015-01-02,5979,6002,5756,5957,36187,0.0074412311855234226
2015-01-05,6002,6158,5934,6025,73111,0.011415141849924426
2015-01-06,6024,6046,5912,5957,24232,-0.011286307053941957
2015-01-07,5979,6046,5823,5935,61113,-0.0036931341279167196
2015-01-08,5934,6336,5823,6247,303309,0.05256950294860996
2015-01-09,6381,7184,6269,7185,862146,0.15015207299503763
2015-01-12,7362,8076,7206,7675,1131566,0.06819763395963818
2015-01-13,7675,8054,7519,7988,704474,0.04078175895765468
2015-01-14,8389,9169,8233,8925,1306509,0.11730095142714081
2015-01-15,8790,9482,8701,9081,814802,0.017478991596638682
2015-01-16,0,0,0,9081,0,0.0
2015-01-19,9371,9527,8858,8858,296397,-0.024556766875894698
2015-01-20,8902,9326,8858,9327,202978,0.052946489049446877
2015-01-21,9549,9951,9326,9951,252553,0.06690254100997106
2015-01-22,9728,10129,8858,9260,701809,-0.06944025726057679
2015-01-23,9593,10419,9482,9817,773485,0.06015118790496765
2015-01-26,10062,10107,9237,9773,406686,-0.0044820209840072955
2015-01-27,9683,9862,9348,9840,276831,0.0068556226337870285
2015-01-28,9817,9817,9103,9237,389263,-0.06128048780487805
2015-01-29,9103,9371,8992,9193,230466,-0.0047634513370141685
2015-01-30,9348,9706,9036,9103,250566,-0.00979005765256169
2015-02-02,9147,9504,8947,9505,144770,0.04416126551686261
2015-02-03,9504,9527,9214,9371,121531,-0.014097843240399754
2015-02-04,9304,10776,9237,10777,727359,0.15003734926902146
2015-02-05,10687,10821,10352,10688,341510,-0.008258327920571573
2015-02-06,10754,10955,10508,10866,324092,0.0166541916167664
2015-02-09,10866,11066,10286,10487,332068,-0.034879440456469735
2015-02-10,10620,10620,9772,10264,300392,-0.02126442261848005
2015-02-11,10508,10620,10218,10375,159074,0.010814497272018775
2015-02-12,10352,10732,10263,10375,152043,0.0
2015-02-13,10442,10531,9996,10085,192182,-0.02795180722891566
2015-02-16,10085,10129,9504,9505,214108,-0.05751115518096184
2015-02-17,9638,10442,9594,10241,274797,0.07743293003682283
2015-02-23,10486,10710,10263,10398,171352,0.015330534127526718
2015-02-24,10420,10553,10152,10487,120933,0.008559338334295008
