Date,Open,High,Low,Close,Volume,Change
2015-01-02,305000,309000,300500,303000,38894,-0.011419249592169667
2015-01-05,302500,318500,301000,315500,59258,0.041254125412541365
2015-01-06,313500,327000,311000,321000,75625,0.017432646592709933
2015-01-07,322500,323000,312500,320000,44558,-0.0031152647975077885
2015-01-08,316000,325500,314000,323000,57174,0.009374999999999911
2015-01-09,324000,337500,320500,331500,77422,0.026315789473684292
2015-01-12,332000,343500,331500,335500,64694,0.012066365007541435
2015-01-13,335000,342000,333000,336000,40966,0.0014903129657228842
2015-01-14,337000,343500,332500,336500,62417,0.0014880952380953438
2015-01-15,335000,351500,335000,347000,83215,0.031203566121842385
2015-01-16,343500,351000,341000,343000,41227,-0.011527377521613813
2015-01-19,346500,346500,339000,342000,27004,-0.002915451895043719
2015-01-20,342500,358000,340500,351000,60063,0.026315789473684292
2015-01-21,357500,359500,351500,354000,53737,0.008547008547008517
2015-01-22,356000,357500,350000,357500,43968,0.009887005649717562
2015-01-23,354000,360000,350000,358000,45443,0.0013986013986013734
2015-01-26,354500,363000,351000,357000,30618,-0.0027932960893854997
2015-01-27,362000,363000,353000,363000,40541,0.01680672268907557
2015-01-28,360500,363000,355000,357000,46869,-0.016528925619834656
2015-01-29,356000,361000,351000,353500,41938,-0.009803921568627416
2015-01-30,351500,357500,346500,352000,53598,-0.004243281471004279
2015-02-02,349000,354500,349000,354000,26605,0.005681818181818121
2015-02-03,351500,363000,351500,359500,57600,0.015536723163841915
2015-02-04,359500,375500,354500,369500,113343,0.02781641168289295
2015-02-05,367000,374000,361000,371500,59096,0.005412719891745521
2015-02-06,371500,386000,370500,373500,68443,0.0053835800807537915
2015-02-09,376000,385000,373000,381000,70598,0.02008032128514059
2015-02-10,384500,384500,370500,375000,48805,-0.015748031496062964
2015-02-11,378000,383500,370500,372500,36216,-0.00666666666666671
2015-02-12,369500,374000,363000,364000,36052,-0.02281879194630876
2015-02-13,365000,369000,362500,367000,32891,0.008241758241758212
2015-02-16,364000,366500,355000,357500,47188,-0.02588555858310626
2015-02-17,359000,365500,358000,360000,25664,0.006993006993007089
2015-02-23,357500,363500,355000,358000,30425,-0.005555555555555536
2015-02-24,354500,357000,353000,355000,34969,-0.008379888268156388
2015-02-25,357000,368500,356500,363000,32602,0.022535211267605604
2015-02-26,360500,362500,347000,349500,62116,-0.037190082644628086
2015-02-27,350000,358500,348000,357500,40602,0.022889842632331847
2015-03-02,357500,358500,351000,351000,36135,-0.018181818181818188
2015-03-03,350000,351000,345000,348000,36842,-0.008547008547008517
2015-03-04,351500,352000,347000,349500,37820,0.004310344827586299
2015-03-05,347500,348500,340500,346500,82067,-0.008583690987124415
2015-03-06,347000,351000,343500,345000,28299,-0.0043290043290042934
2015-03-09,342000,346500,335500,339500,41213,-0.01594202898550723
2015-03-10,341500,343000,333000,334000,43250,-0.016200294550810068
2015-03-11,330500,333000,321500,321500,71600,-0.03742514970059885
2015-03-12,324000,337000,321500,331000,66971,0.029548989113530322
2015-03-13,335500,338500,331500,332500,25130,0.004531722054380571
2015-03-16,328000,348000,328000,343500,68873,0.03308270676691727
2015-03-17,346500,347000,339000,345000,45928,0.004366812227074135
2015-03-18,346500,362500,342500,358500,100562,0.03913043478260869
2015-03-19,364000,370000,360500,369000,61805,0.029288702928870203
2015-03-20,364000,373000,362500,366500,44057,-0.006775067750677488
2015-03-23,365500,367000,356000,360500,30575,-0.016371077762619368
2015-03-24,358000,378000,357500,372500,59049,0.03328710124826628
2015-03-25,376000,393000,373500,389000,89813,0.04429530201342291
2015-03-26,388500,392000,373500,389500,81301,0.0012853470437017567
2015-03-27,389500,390500,382500,385000,29780,-0.011553273427471145
2015-03-30,383000,392000,383000,386500,29631,0.003896103896103842
2015-03-31,386500,389500,375000,378000,54663,-0.021992238033635148
2015-04-01,375500,383500,372000,372000,42223,-0.015873015873015928
2015-04-02,373500,388500,373500,387000,56599,0.040322580645161255
2015-04-03,390000,398000,388000,391000,31151,0.010335917312661591
2015-04-06,395000,399000,390500,391500,27418,0.0012787723785165905
2015-04-07,391500,395000,389500,394500,27672,0.00766283524904221
2015-04-08,390000,393000,382000,388500,40681,-0.01520912547528519
2015-04-09,385500,391000,383000,383500,21527,-0.012870012870012881
2015-04-10,384000,392500,383500,392500,35379,0.02346805736636237
2015-04-13,392000,393000,381500,383000,49765,-0.02420382165605095
2015-04-14,383000,387000,379500,384000,41566,0.0026109660574411553
2015-04-15,384500,407500,384000,396500,119227,0.03255208333333326
2015-04-16,401000,415500,398500,402000,75015,0.013871374527112179
2015-04-17,403000,420000,402000,408500,72621,0.016169154228855787
2015-04-20,407500,423000,405000,414500,86393,0.014687882496940086
2015-04-21,413000,418500,412000,416500,40706,0.004825090470446325
2015-04-22,413000,414500,403500,410000,58364,-0.015606242496998823
2015-04-23,406500,420000,400500,419500,51885,0.023170731707317094
2015-04-24,417000,430000,401000,407000,61989,-0.02979737783075087
2015-04-27,411500,416000,407500,415000,35900,0.019656019656019597
2015-04-28,416000,418000,408000,409000,26485,-0.014457831325301207
2015-04-29,412500,415000,403000,408500,27655,-0.0012224938875305957
2015-04-30,406000,425000,406000,418500,69254,0.02447980416156681
2015-05-04,418500,427500,414000,421000,35022,0.005973715651135025
2015-05-06,418000,426000,413000,421500,31190,0.0011876484560569
2015-05-07,418000,434000,405000,419000,77887,-0.005931198102016588
2015-05-08,422000,445500,418500,443500,110004,0.05847255369928406
2015-05-11,445000,469500,444500,455500,64280,0.027057497181510737
2015-05-12,452000,457000,445000,451500,37810,-0.008781558726673966
2015-05-13,449500,456500,446000,450500,30609,-0.0022148394241418012
2015-05-14,453000,454000,440500,447000,41340,-0.007769145394006638
2015-05-15,449000,451000,440000,443500,33971,-0.007829977628635354
2015-05-18,443500,450500,440000,447000,37232,0.007891770011273946
2015-05-19,448000,455000,443500,445000,44781,-0.004474272930648726
2015-05-20,445000,453000,444000,447500,43723,0.00561797752808979
2015-05-21,448000,460500,446000,458500,47131,0.024581005586592264
2015-05-22,461500,464000,436000,444500,80727,-0.03053435114503822
2015-05-26,445000,445500,420000,425500,92660,-0.042744656917885315
2015-05-27,421000,424500,407500,424500,81908,-0.002350176263219761
2015-05-28,420000,426500,418500,418500,32993,-0.014134275618374548
2015-05-29,415000,423000,410000,410000,56305,-0.020310633213859064
2015-06-01,412500,421500,404000,420500,49794,0.025609756097561
2015-06-02,421000,423500,400500,404000,77343,-0.03923900118906065
2015-06-03,404000,409500,399500,406000,52018,0.004950495049504955
2015-06-04,398500,402000,390500,395500,71777,-0.025862068965517238
2015-06-05,392000,404000,392000,402000,43194,0.01643489254108732
2015-06-08,403000,405000,395000,403000,36426,0.0024875621890547706
2015-06-09,399000,415500,399000,408500,48003,0.013647642679900818
2015-06-10,414000,414000,395500,398000,61087,-0.025703794369645094
2015-06-11,402000,402500,392000,395500,36391,-0.006281407035175879
2015-06-12,397500,406500,394500,401500,52707,0.015170670037926604
2015-06-15,401500,405000,396500,404000,51160,0.0062266500622665255
2015-06-16,404000,405000,394000,402000,56857,-0.004950495049504955
2015-06-17,402000,412000,397000,412000,66576,0.02487562189054726
2015-06-18,412000,422000,408000,421000,58144,0.02184466019417486
2015-06-19,423500,430500,421000,425000,73717,0.009501187648456089
2015-06-22,428000,430500,416500,420500,53660,-0.010588235294117676
2015-06-23,420500,428000,419000,426000,32132,0.013079667063020217
2015-06-24,425500,430000,413500,417000,52166,-0.021126760563380254
2015-06-25,415500,444000,414500,441000,75101,0.05755395683453246
2015-06-26,441000,445500,432000,443500,46226,0.005668934240362855
2015-06-29,435000,439500,431000,433000,43508,-0.02367531003382184
2015-06-30,433000,441500,426000,441000,44495,0.018475750577367167
2015-07-01,441000,441000,403000,406500,214977,-0.07823129251700678
2015-07-02,411500,417500,406500,416000,96992,0.02337023370233693
2015-07-03,415500,416000,405000,405500,45286,-0.02524038461538458
2015-07-06,402000,410000,395500,395500,46492,-0.024660912453760786
2015-07-07,398000,406500,392500,396500,45974,0.0025284450063212116
2015-07-08,397500,404000,394000,402500,53376,0.015132408575031508
2015-07-09,402500,405000,391000,399500,44430,-0.007453416149068359
2015-07-10,403500,410500,403000,410500,29306,0.027534418022528095
2015-07-13,406000,415000,406000,413000,27335,0.006090133982947554
2015-07-14,415000,436000,413500,434000,67069,0.05084745762711873
2015-07-15,436500,445000,435000,441000,68538,0.016129032258064502
2015-07-16,443000,444000,436000,439000,33681,-0.0045351473922902175
2015-07-17,439000,444500,430000,430000,34701,-0.02050113895216399
2015-07-20,429000,441000,429000,440000,26363,0.023255813953488413
2015-07-21,438500,443000,427000,436500,38894,-0.007954545454545436
2015-07-22,432000,436000,426500,432000,32444,-0.010309278350515427
2015-07-23,436000,436500,423500,430000,51449,-0.00462962962962965
2015-07-24,433500,433500,422000,431500,32725,0.0034883720930232176
2015-07-27,425000,427500,414000,420500,55488,-0.02549246813441486
2015-07-28,414000,423500,407000,417500,42161,-0.007134363852556502
2015-07-29,412500,417500,411000,416500,33356,-0.0023952095808382756
2015-07-30,418000,421000,406000,409000,55479,-0.01800720288115243
