Date,Open,High,Low,Close,Volume,Change
2015-01-02,13929,13929,13495,13542,4601,-0.02785355348169416
2015-01-05,13473,13473,12673,13108,21401,-0.032048441884507506
2015-01-06,13084,13153,12491,13153,17945,0.0034330180042720926
2015-01-07,13199,13199,12651,13016,17824,-0.010415874705390404
2015-01-08,13404,13495,12902,13450,11040,0.0333435771358328
2015-01-09,13450,13907,12902,13610,29248,0.011895910780669094
2015-01-12,13404,13929,13404,13839,6126,0.01682586333578251
2015-01-13,14112,14112,13518,13770,5990,-0.0049859093865163295
2015-01-14,13655,13770,13518,13770,2417,0.0
2015-01-15,13770,13929,13495,13930,14500,0.01161946259985469
2015-01-16,14158,14158,13632,14113,5073,0.01313711414213925
2015-01-19,13929,14614,13929,14524,12469,0.029122086019981674
2015-01-20,14386,14592,14249,14387,4965,-0.009432663178187806
2015-01-21,14181,14774,14181,14706,6856,0.022172794884270486
2015-01-22,14637,15025,14637,14912,4198,0.014007887936896557
2015-01-23,14797,14957,14774,14889,3031,-0.0015423819742489409
2015-01-26,14637,15208,14592,15094,4372,0.013768553966015284
2015-01-27,15003,15300,14866,15209,3535,0.0076189214257320614
2015-01-28,15117,15208,14729,14820,7185,-0.025576961009928345
2015-01-29,14796,14796,14272,14272,5305,-0.03697705802968965
2015-01-30,14409,14432,13907,14204,19724,-0.004764573991031362
2015-02-02,14226,14455,13952,14387,3962,0.012883694733877737
2015-02-03,14295,14706,13975,14387,4333,0.0
2015-02-04,14295,14409,14158,14227,4873,-0.011121151039132582
2015-02-05,14340,14340,13952,14135,5500,-0.006466577634076098
2015-02-06,14340,14340,13952,14204,7807,0.004881499823134128
2015-02-09,14157,14522,14066,14387,5683,0.012883694733877737
2015-02-10,14614,14614,13838,14204,11555,-0.012719816501007841
2015-02-11,14021,14363,13632,14227,65732,0.0016192621796677908
2015-02-12,14226,14226,13838,13930,8845,-0.02087579953609331
2015-02-13,13769,14066,13564,13701,16772,-0.016439339554917498
2015-02-16,13952,13952,13495,13587,5896,-0.008320560543026101
2015-02-17,13495,13861,13404,13861,5050,0.020166335467726393
2015-02-23,13860,13860,13473,13701,6878,-0.011543178702835277
2015-02-24,13700,13792,13495,13679,6788,-0.001605722210057614
2015-02-25,14066,14066,13495,13679,7991,0.0
2015-02-26,13907,13907,13518,13793,2824,0.008333942539659356
2015-02-27,13792,13792,13495,13679,6079,-0.00826506198796495
2015-03-02,13884,13884,13381,13747,12024,0.004971123620147733
2015-03-03,13541,13701,13426,13473,15627,-0.01993162144467886
2015-03-04,13518,13518,13084,13359,23929,-0.008461367178802082
2015-03-05,13473,13473,13062,13313,14189,-0.003443371509843529
2015-03-06,13313,13450,13153,13382,4240,0.005182903928490967
2015-03-09,13404,13587,13107,13473,8858,0.0068001793453893455
2015-03-10,13587,13632,13176,13542,11501,0.005121353818748675
2015-03-11,13518,13564,13244,13313,7956,-0.0169103529759268
2015-03-12,13495,13495,13153,13473,6345,0.01201832795012403
2015-03-13,13473,13791,13313,13473,8902,0.0
2015-03-16,13518,13701,13199,13268,14692,-0.015215616418021272
2015-03-17,13404,13404,13039,13131,18064,-0.010325595417545963
2015-03-18,13084,13313,12970,13245,13877,0.008681745487777004
2015-03-19,13244,13929,13153,13861,23657,0.04650811627029072
2015-03-20,13906,14066,13747,14067,4135,0.01486184257990053
