Date,Open,High,Low,Close,Volume,Change
2015-01-02,30127,31447,29638,30567,589554,0.01791601451929803
2015-01-05,30860,31496,30176,30910,404981,0.011221251676644783
2015-01-06,31056,32328,30371,30470,924231,-0.014234875444839812
2015-01-07,29295,30811,28806,30665,1282832,0.006399737446668885
2015-01-08,30322,30714,29735,30665,372328,0.0
2015-01-09,30469,31398,30469,31008,300826,0.011185390510353832
2015-01-12,31007,31154,29295,29932,444131,-0.03470072239422084
2015-01-13,29931,30909,29100,29296,501342,-0.021248162501670498
2015-01-14,29833,30322,29687,30127,205525,0.028365647187329257
2015-01-15,30029,30518,29687,30127,246190,0.0
2015-01-16,30127,31300,29638,30959,530579,0.027616423805888468
2015-01-19,31203,31203,29784,30127,248864,-0.026874253044348984
2015-01-20,30127,31447,29882,30910,412226,0.025989975769243445
2015-01-21,31203,31985,31056,31448,291666,0.017405370430281453
2015-01-22,31447,31447,30273,30470,343245,-0.031098957008394823
2015-01-23,30811,31007,30029,30470,224081,0.0
2015-01-26,30469,31252,30127,31203,229063,0.024056448966196298
2015-01-27,31300,31349,30567,30567,173992,-0.020382655513892844
2015-01-28,30616,30616,29931,30470,218940,-0.0031733568881473495
2015-01-29,30762,32621,30371,31790,852938,0.04332129963898912
2015-01-30,32083,32279,31154,31937,321392,0.004624095627555835
2015-02-02,30860,31447,30176,31008,358974,-0.029088518019851572
2015-02-03,30811,30909,30225,30763,322162,-0.007901186790505665
2015-02-04,30322,31203,30078,30910,359338,0.004778467639697137
2015-02-05,31398,32279,30714,31448,574896,0.017405370430281453
2015-02-06,31398,31887,30860,31546,241007,0.003116255405749113
2015-02-09,31300,31447,30518,30763,263306,-0.024820896468648934
2015-02-10,30420,31105,29784,30323,296301,-0.014302896336508164
2015-02-11,30518,30665,29931,30372,198847,0.001615935098769894
2015-02-12,30371,30616,29638,29736,161967,-0.020940339786645557
2015-02-13,29833,30127,28855,29736,261454,0.0
2015-02-16,29295,29344,28317,28758,511953,-0.03288942695722352
2015-02-17,28415,29246,28121,29149,296169,0.013596216704916841
2015-02-23,29442,29638,29197,29491,215846,0.011732821023019646
2015-02-24,29295,29931,28806,29442,371794,-0.0016615238547353917
2015-02-25,29687,29784,29344,29589,149545,0.004992867332382245
2015-02-26,29638,29980,29197,29687,409346,0.0033120416370948647
2015-02-27,29735,30714,29687,30616,343938,0.031293158621618966
2015-03-02,30714,31447,30078,30176,474136,-0.014371570420695035
2015-03-03,30225,30762,29149,29442,517472,-0.024323966065747604
2015-03-04,29442,29687,29051,29149,369820,-0.00995176958087085
2015-03-05,29246,29393,28659,29198,404721,0.0016810182167483756
2015-03-06,29344,29344,28611,28660,330900,-0.018425919583533124
2015-03-09,29051,29100,28415,28758,245403,0.0034193998604326037
2015-03-10,29051,29051,27535,27682,491512,-0.037415675638083346
2015-03-11,27583,28317,27535,28024,364797,0.012354598656166393
2015-03-12,28024,29491,27779,29442,311047,0.05059948615472454
2015-03-13,29882,29882,28757,29345,233921,-0.0032946131376944132
2015-03-16,29344,30420,28855,30274,460771,0.03165786334980414
2015-03-17,30860,31594,30762,31203,709443,0.030686397568870927
2015-03-18,31252,31741,30909,31154,307593,-0.0015703618241835748
2015-03-19,31252,31447,30420,31252,248855,0.0031456634782049964
2015-03-20,30909,31300,30762,31203,160528,-0.0015678996544221668
2015-03-23,31056,31349,30518,31301,216996,0.0031407236483671497
2015-03-24,30811,32230,30811,32083,407266,0.024983227372927352
2015-03-25,31985,32279,31643,32083,211361,0.0
2015-03-26,31741,31838,30616,30910,338531,-0.0365614188199358
2015-03-27,30811,31105,30322,31105,219601,0.006308637981235821
2015-03-30,31300,34235,31300,33844,1012252,0.08805658254299953
2015-03-31,34235,35311,33844,34969,925105,0.033240751684198155
2015-04-01,34626,35653,34431,35556,372202,0.016786296433984438
2015-04-02,35115,35653,34382,34871,365162,-0.019265384182697742
2015-04-03,35164,36583,34871,36045,474366,0.03366694387886793
2015-04-06,36191,36436,34724,36387,456135,0.009488139825218456
2015-04-07,36191,36191,34626,35458,445157,-0.025531096270646092
2015-04-08,35213,36093,34822,35996,396502,0.015172880591121984
2015-04-09,36387,36925,34920,35360,372204,-0.017668629847760853
2015-04-10,34724,35507,34479,35311,360760,-0.0013857466063348367
2015-04-13,35311,35311,34137,34725,373369,-0.016595395202628094
2015-04-14,34577,35066,33697,33893,356345,-0.02395968322534192
2015-04-15,33893,34284,33599,34235,275586,0.010090579175640935
2015-04-16,33941,33941,32768,33111,514213,-0.03283189718124724
2015-04-17,33110,33844,33061,33649,397479,0.016248376672404863
2015-04-20,33990,35311,33893,35214,567832,0.04650955451870775
2015-04-21,35555,35555,34479,35409,381560,0.005537570284545934
2015-04-22,35996,36778,34871,36290,806516,0.02488068005309385
2015-04-23,37072,37365,35409,36338,682442,0.0013226784238082878
2015-04-24,36338,36485,33159,34529,977820,-0.04978259673069518
2015-04-27,34186,34235,33404,33697,558097,-0.024095687682817335
2015-04-28,33697,34431,33452,33600,258888,-0.0028785945336380347
2015-04-29,33452,33795,32963,33600,319351,0.0
2015-04-30,33159,33697,31447,32230,583319,-0.04077380952380949
2015-05-04,32083,32474,31252,31399,314339,-0.025783431585479355
2015-05-06,31007,31007,28806,29980,592612,-0.04519252205484248
2015-05-07,29735,31252,29540,31252,339463,0.042428285523682385
2015-05-08,31594,32572,31545,31692,345058,0.014079098937668011
2015-05-11,31741,32279,31349,31937,195683,0.007730657579199773
2015-05-12,31594,31838,29931,30421,524049,-0.04746845351786333
2015-05-13,30518,30811,29833,29883,325777,-0.01768515170441476
2015-05-14,29931,31252,29931,30127,318591,0.008165177525683465
2015-05-15,31056,31887,30371,30714,529867,0.01948418362266402
2015-05-18,31007,31007,29784,29883,297910,-0.027056065637819926
2015-05-19,30224,30762,29931,30567,275255,0.022889268145768416
2015-05-20,30665,32621,30665,31986,659280,0.04642261262145442
2015-05-21,31985,31985,30762,31448,312606,-0.016819858688176037
2015-05-22,31300,31300,30078,30421,474594,-0.03265708471126938
2015-05-26,30518,30616,29589,30078,269134,-0.01127510601229409
2015-05-27,30322,30469,29784,30372,308721,0.009774586076201963
2015-05-28,30078,30420,29784,30078,174097,-0.009679968391939964
2015-05-29,29638,30273,29344,30225,340254,0.004887293038100982
2015-06-01,29540,29540,28513,29002,630559,-0.0404631927212572
2015-06-02,29002,29002,27388,27682,705747,-0.04551410247569132
2015-06-03,26801,27583,26459,27535,629336,-0.005310309948703074
2015-06-04,27192,28073,27192,27731,282937,0.007118213183221256
2015-06-05,27388,27975,27094,27975,214294,0.008798817208178544
2015-06-08,27877,28708,27437,28464,372414,0.017479892761394167
2015-06-09,28121,28562,27877,28171,343865,-0.010293704328274367
2015-06-10,28170,28268,27143,27877,412434,-0.010436264243370852
2015-06-11,27681,27828,27094,27388,354308,-0.017541342325214315
2015-06-12,27437,27730,26361,26606,499080,-0.028552650795969026
2015-06-15,26508,26508,24258,24356,1157446,-0.08456739081410203
2015-06-16,24209,25138,24160,25139,615007,0.0321481359829201
2015-06-17,25285,25285,24453,25139,528838,0.0
2015-06-18,25480,25823,24796,25383,442954,0.009706034448466516
2015-06-19,25285,26214,24845,26019,399908,0.025056139936177724
2015-06-22,26459,27192,26263,26997,451488,0.03758791652254123
2015-06-23,27388,27388,26410,26753,343796,-0.00903804126384411
2015-06-24,26801,26801,26018,26508,363302,-0.009157851455911525
2015-06-25,26410,26703,25921,26410,230924,-0.0036969971329410267
2015-06-26,26605,26948,25872,26459,308775,0.001855357819007919
2015-06-29,25823,26556,25432,25921,277083,-0.020333345931441094
2015-06-30,25725,27045,25432,26801,378428,0.03394930751128422
2015-07-01,27388,28562,26899,28464,490439,0.062049923510316685
2015-07-02,28611,28806,28170,28220,415683,-0.008572231590781354
2015-07-03,28219,28708,27241,28171,260417,-0.001736357193479754
2015-07-06,27486,28366,27486,27877,306064,-0.010436264243370852
2015-07-07,28806,29833,28513,29736,1219369,0.06668579832837107
2015-07-08,29589,30078,29051,29932,476545,0.006591337099811634
2015-07-09,29491,29491,27779,29345,617512,-0.019611118535346805
2015-07-10,29051,29393,28170,29100,326274,-0.008348952121315367
2015-07-13,29393,29784,28464,29736,246506,0.02185567010309275
2015-07-14,29735,29980,28904,28904,315651,-0.027979553403282176
2015-07-15,29246,29687,28415,28953,273304,0.0016952670910601597
2015-07-16,29051,29589,28611,29345,251267,0.013539184195074716
2015-07-17,29491,29735,28415,28464,223732,-0.030022150281138194
2015-07-20,28611,29295,28513,29051,228263,0.02062254075323211
2015-07-21,29100,29540,28317,28856,272506,-0.0067123334824963354
2015-07-22,28757,29100,28366,28807,198157,-0.0016980870529526015
2015-07-23,29197,29638,29100,29394,301603,0.020376991703405345
2015-07-24,29393,29491,28708,28953,175663,-0.015003061849356958
2015-07-27,28806,29100,28562,29100,200096,0.005077194073153102
2015-07-28,29051,29051,28366,28758,232153,-0.011752577319587676
2015-07-29,28806,28953,28464,28562,186795,-0.006815494818833034
2015-07-30,28562,28757,27388,27682,223067,-0.030810167355227236
2015-07-31,27241,27828,27241,27682,232790,0.0
2015-08-03,27730,28611,27241,27829,143356,0.005310309948703074
2015-08-04,27975,30176,27926,29932,524080,0.07556865140680591
2015-08-05,30078,30078,29149,29345,263909,-0.019611118535346805
2015-08-06,29540,29687,29149,29540,198513,0.006645084341455165
2015-08-07,29442,29687,29002,29491,168573,-0.0016587677725118377
2015-08-10,29687,30420,29540,30421,244584,0.03153504458987477
2015-08-11,30518,30567,29344,29345,213972,-0.03537030340882941
2015-08-12,29735,29784,27437,28904,405069,-0.015028113818367661
2015-08-13,28366,29295,28024,29149,314199,0.008476335455300354
2015-08-17,29149,29149,27926,28024,287818,-0.03859480599677523
2015-08-18,27339,27388,24356,25774,1573663,-0.08028832429346278
2015-08-19,25040,25138,20834,22498,2082065,-0.12710483432916897
2015-08-20,21812,23622,21812,22546,624421,0.0021335229798205013
2015-08-21,21128,22693,20981,22400,828591,-0.00647564978266657
2015-08-24,21861,22448,20541,21079,844962,-0.05897321428571434
2015-08-25,21470,22644,20785,22057,531127,0.04639688789790797
2015-08-26,22057,23280,21959,23036,478601,0.044385002493539494
2015-08-27,23573,23573,22595,22595,292349,-0.019143948602187932
2015-08-28,22693,23964,22644,23867,364072,0.0562956406284576
2015-08-31,23720,24160,23280,24014,264840,0.006159131855700384
2015-09-01,23475,24160,22595,23231,416838,-0.032605979845090394
2015-09-02,22399,23426,22253,23280,338512,0.0021092505703586006
2015-09-03,23426,24258,22791,23280,187247,0.0
2015-09-04,23329,23329,22253,22546,201515,-0.031529209621993126
2015-09-07,22546,22742,22106,22546,131768,0.0
2015-09-08,22399,22595,21617,22106,270357,-0.01951565687926904
2015-09-09,22693,23622,22595,23476,213705,0.06197412467203467
2015-09-10,23475,24453,23084,24454,238797,0.041659567217583904
2015-09-11,24013,24991,24013,24943,264241,0.019996728551566312
2015-09-14,24698,25089,24356,24650,174411,-0.011746782664475042
2015-09-15,24649,25138,24453,24943,175643,0.011886409736308279
2015-09-16,25040,25236,24502,24943,237679,0.0
2015-09-17,24747,25383,24453,24601,222404,-0.013711261676622732
2015-09-18,24649,25138,24600,24796,152338,0.007926507052558929
2015-09-21,24649,25334,24649,25139,193013,0.013832876270366112
2015-09-22,25138,25236,24747,25139,128250,0.0
2015-09-23,25138,25138,23573,23720,290521,-0.056446159353991776
2015-09-24,24013,24404,23769,24112,143766,0.016526138279932656
2015-09-25,23915,24307,23622,24209,98226,0.004022893165228858
2015-09-30,23720,24649,23573,24601,189635,0.016192325168325805
2015-10-01,24404,24845,24307,24503,113552,-0.003983577903337254
2015-10-02,24551,25040,24551,24845,203028,0.013957474594947561
2015-10-05,25089,25138,24356,24356,122938,-0.01968202857717849
2015-10-06,24796,25236,24209,24307,146445,-0.0020118246017408747
2015-10-07,24111,24453,24062,24356,110829,0.0020158801991196906
2015-10-08,24356,24404,23329,23818,259961,-0.022089012974215838
2015-10-12,23866,24502,23818,24307,124318,0.020530691073977758
2015-10-13,24453,24453,23280,24014,296180,-0.012054140782490674
2015-10-14,23769,24062,22546,23818,538076,-0.008161905555092885
2015-10-15,23426,23769,22693,22742,605888,-0.045175917373415087
2015-10-16,22888,23035,22791,22791,109611,0.00215460381672683
2015-10-19,22986,22986,22301,22791,295763,0.0
2015-10-20,22937,22986,22301,22498,301039,-0.01285595191084199
2015-10-21,22497,22839,22399,22595,217134,0.0043114943550537355
2015-10-22,22644,22742,22204,22204,185901,-0.01730471343217521
2015-10-23,22497,23035,22399,22840,230743,0.028643487659881117
2015-10-26,23035,23133,22742,22742,148618,-0.0042907180385288735
2015-10-27,22693,23280,22693,23231,201707,0.021502066660803898
2015-10-28,23182,23182,22497,22546,258838,-0.029486462055012708
2015-10-29,22595,22742,21617,21715,369036,-0.03685797924243772
2015-10-30,21812,21812,21177,21275,469811,-0.02026249136541558
2015-11-02,21323,21372,20785,20933,216189,-0.016075205640423085
2015-11-03,20981,21323,20834,21177,237791,0.011656236564276501
2015-11-04,21079,21421,20687,20688,253587,-0.02309108938943194
2015-11-05,20834,21421,20639,21226,254432,0.026005413766434726
2015-11-06,21177,21910,21079,21275,204042,0.002308489588240814
2015-11-09,21079,21715,20492,21177,336755,-0.004606345475910656
2015-11-10,20883,21030,20003,20346,437190,-0.03924068564952543
2015-11-11,20443,20687,19660,19857,256033,-0.02403420819817159
2015-11-12,19856,19905,18487,18683,896278,-0.05912272750163672
2015-11-13,18438,19416,18438,18878,451996,0.010437295937483215
2015-11-16,18438,19171,18389,18829,336782,-0.0025956139421549063
2015-11-17,18976,20101,18976,19857,317404,0.054596632853576965
2015-11-18,20247,20394,19318,19759,183132,-0.004935287304225211
2015-11-19,19758,20003,19122,19465,436588,-0.014879295510906387
2015-11-20,19367,19807,19318,19465,335935,0.0
2015-11-23,19465,19563,18829,19514,337466,0.002517338813254666
2015-11-24,19367,19514,18731,19074,384964,-0.022547914317925577
2015-11-25,18976,19220,18731,18878,252479,-0.010275768061235202
2015-11-26,18878,19269,18780,19172,307827,0.015573683652929438
2015-11-27,19269,19318,19025,19074,219124,-0.005111621114124776
2015-11-30,18927,19269,18633,19025,282283,-0.0025689420153087728
2015-12-01,19025,19563,18976,19074,293260,0.0025755584756899097
2015-12-02,19122,19612,18780,19221,229633,0.007706826045926318
2015-12-03,19269,19954,19220,19416,278933,0.010145153738098989
2015-12-04,19367,19465,19025,19025,154626,-0.02013803049031726
2015-12-07,19318,19465,18682,18732,221940,-0.01540078843626802
2015-12-08,18780,18976,18438,18634,190645,-0.0052316890881913825
2015-12-09,18487,18682,18144,18194,252216,-0.023612750885478206
2015-12-10,18095,18878,18095,18536,204005,0.01879740573815547
2015-12-11,18633,18878,18487,18829,143653,0.015807078118256435
2015-12-14,18633,18682,18242,18389,196489,-0.0233682086143715
2015-12-15,18438,18584,17851,18145,168838,-0.0132688020011964
2015-12-16,18193,18438,18193,18340,145874,0.010746762193441617
2015-12-17,18487,19074,18487,18781,218424,0.024045801526717536
2015-12-18,18927,20052,18878,19661,435256,0.04685586496991645
2015-12-21,19514,20052,19416,19857,267628,0.009968974111184581
2015-12-22,19954,19954,19367,19563,237679,-0.014805861912675633
2015-12-23,19612,19807,19171,19221,180338,-0.017481981291213033
2015-12-24,19416,19465,19025,19221,116638,0.0
2015-12-28,19416,19465,18976,19172,115734,-0.002549295041881283
2015-12-29,19171,19465,18731,18781,150305,-0.020394325057375373
2015-12-30,18780,19122,18780,19074,96708,0.015600873222938016
2016-01-04,18976,18976,17949,17949,271760,-0.05898081157596724
2016-01-05,17753,18144,17411,17705,165834,-0.013594072093152776
