Date,Open,High,Low,Close,Volume,Change
2022-01-03,892431,909232,891443,900338,46588,0.008858938272047645
2022-01-04,891443,900338,874642,877607,71942,-0.02524718494609801
2022-01-05,870689,871677,843016,850923,97965,-0.03040540925493984
2022-01-06,850923,855864,825227,828192,82993,-0.02671334539082859
2022-01-07,828192,840052,828192,834122,73039,0.007160175418260417
2022-01-10,843016,843016,824239,826216,49426,-0.009478229803314142
2022-01-11,823251,834122,823251,823251,41667,-0.0035886499414197193
2022-01-12,832145,851911,828192,846970,66082,0.028811383162607784
2022-01-13,844993,854876,835110,854876,62505,0.009334451043130132
2022-01-14,848946,851911,833133,840052,49807,-0.017340526579293414
2022-01-17,828192,840051,812379,816333,71940,-0.02823515687124134
2022-01-18,816332,821274,795578,796567,96807,-0.024213158110722
2022-01-19,791625,816332,790637,806450,48571,0.012406991502284193
2022-01-20,810403,812379,800520,806450,38011,0.0
2022-01-21,801508,820286,800520,808427,38744,0.0024514849029697583
2022-01-24,803485,810403,796566,801508,40919,-0.00855859589053809
2022-01-25,803485,805461,770871,770871,105050,-0.03822419738792371
2022-01-26,772847,774824,748140,748140,98599,-0.029487423965877557
2022-01-27,748140,749128,703667,703667,167769,-0.05944475632902935
2022-01-28,690819,741222,684889,730351,172096,0.0379213463186423
2022-02-03,741222,775812,736280,762965,97154,0.044655241110096444
2022-02-04,752093,770871,751105,760000,42209,-0.003886154672887998
2022-02-07,757035,759011,738257,754070,47312,-0.007802631578947339
2022-02-08,770871,830169,762964,790637,173657,0.04849284549179789
2022-02-09,782730,790637,761976,763953,75014,-0.03375000158100372
2022-02-10,764941,771859,761976,766918,51955,0.003881128812898149
2022-02-11,753081,753081,736280,745176,62423,-0.02834983661877799
2022-02-14,733316,764941,730351,754070,60609,0.01193543538707642
2022-02-15,756046,761976,726397,731339,57677,-0.030144416300873944
2022-02-16,742210,757035,737269,748140,44896,0.02297293047410287
2022-02-17,755058,765929,736280,751105,52108,0.003963161975031326
2022-02-18,737269,750117,736280,748140,38625,-0.0039475173244752915
2022-02-21,736280,760988,734304,758023,33523,0.013210094367364311
2022-02-22,747152,768894,746163,765930,53518,0.010431081906485673
2022-02-23,770871,775812,760000,760000,36801,-0.0077422218740615945
2022-02-24,756046,757035,741222,751105,41599,-0.011703947368421064
2022-02-25,751105,762964,749128,760000,57155,0.011842551973425763
2022-02-28,757000,779000,747000,779000,63114,0.02499999999999991
2022-03-02,789000,794000,762000,768000,63797,-0.014120667522464658
2022-03-03,768000,788000,763000,787000,45302,0.02473958333333326
2022-03-04,788000,794000,770000,775000,42743,-0.015247776365946653
2022-03-07,764000,770000,755000,764000,39433,-0.014193548387096744
2022-03-08,760000,777000,753000,769000,38676,0.00654450261780104
2022-03-10,784000,795000,775000,793000,84286,0.031209362808842567
2022-03-11,785000,799000,780000,787000,39856,-0.007566204287515754
2022-03-14,783000,799000,778000,799000,51580,0.015247776365946653
2022-03-15,800000,815000,793000,811000,58260,0.015018773466833446
2022-03-16,822000,827000,812000,826000,54051,0.018495684340320562
2022-03-17,834000,840000,813000,815000,63072,-0.013317191283293006
2022-03-18,816000,830000,816000,828000,51227,0.01595092024539868
2022-03-21,829000,837000,827000,829000,49535,0.0012077294685990392
2022-03-22,830000,837000,815000,836000,33607,0.008443908323281013
2022-03-23,836000,844000,831000,835000,39884,-0.0011961722488038617
2022-03-24,830000,835000,814000,824000,45561,-0.013173652694610793
2022-03-25,821000,824000,811000,819000,43776,-0.0060679611650485965
2022-03-28,810000,824000,810000,823000,31750,0.004884004884004867
2022-03-29,827000,828000,820000,828000,32949,0.0060753341433779084
2022-03-30,832000,848000,829000,844000,50145,0.019323671497584627
2022-03-31,836000,840000,826000,827000,59199,-0.020142180094786744
2022-04-01,825000,825000,815000,820000,45194,-0.008464328899637219
2022-04-04,810000,819000,803000,816000,46595,-0.004878048780487809
2022-04-05,815000,821000,811000,813000,38306,-0.003676470588235281
2022-04-06,809000,823000,807000,813000,51140,0.0
2022-04-07,808000,821000,808000,810000,48246,-0.0036900369003689537
2022-04-08,812000,817000,800000,809000,36035,-0.0012345679012345512
2022-04-11,801000,813000,797000,801000,31885,-0.00988875154511748
2022-04-12,795000,804000,782000,790000,42326,-0.013732833957553092
2022-04-13,794000,810000,787000,808000,44448,0.022784810126582178
2022-04-14,809000,842000,806000,839000,111394,0.03836633663366329
2022-04-15,830000,851000,822000,835000,57478,-0.004767580452920139
2022-04-18,827000,835000,822000,832000,29124,-0.003592814371257469
2022-04-19,833000,835000,824000,825000,34139,-0.008413461538461564
2022-04-20,826000,826000,805000,805000,44188,-0.024242424242424288
2022-04-21,813000,814000,806000,806000,23476,0.001242236024844745
2022-04-22,804000,805000,796000,801000,38163,-0.006203473945409432
2022-04-25,791000,800000,791000,793000,27420,-0.009987515605493158
2022-04-26,796000,818000,796000,804000,56631,0.013871374527112179
2022-04-27,793000,814000,791000,810000,35379,0.00746268656716409
2022-04-28,820000,835000,812000,835000,98611,0.030864197530864113
2022-04-29,827000,839000,827000,838000,64323,0.00359281437125758
2022-05-02,829000,839000,829000,838000,27315,0.0
2022-05-03,839000,844000,831000,832000,34633,-0.007159904534606243
2022-05-04,833000,837000,806000,815000,43678,-0.02043269230769229
2022-05-06,804000,809000,794000,794000,52249,-0.025766871165644134
2022-05-09,795000,800000,791000,798000,36444,0.005037783375314797
2022-05-10,801000,808000,792000,798000,52666,0.0
2022-05-11,793000,798000,790000,793000,29860,-0.006265664160400974
2022-05-12,790000,800000,781000,788000,50875,-0.006305170239596425
2022-05-13,794000,795000,775000,785000,63186,-0.0038071065989847552
2022-05-16,789000,790000,770000,770000,43738,-0.019108280254777066
2022-05-17,770000,777000,765000,766000,42209,-0.0051948051948051965
2022-05-18,769000,793000,768000,793000,46566,0.03524804177545682
2022-05-19,781000,798000,778000,796000,42562,0.003783102143757988
2022-05-20,799000,811000,795000,808000,38873,0.015075376884422065
2022-05-23,808000,820000,803000,819000,34569,0.013613861386138515
2022-05-24,810000,820000,804000,808000,37925,-0.013431013431013383
2022-05-25,813000,840000,811000,831000,94179,0.02846534653465338
2022-05-26,826000,843000,826000,840000,58955,0.010830324909747224
2022-05-27,837000,843000,829000,834000,32396,-0.0071428571428571175
2022-05-30,835000,844000,830000,843000,34264,0.010791366906474753
2022-05-31,839000,847000,831000,847000,76864,0.004744958481613271
2022-06-02,837000,848000,834000,843000,49405,-0.0047225501770956635
2022-06-03,844000,854000,842000,852000,43400,0.01067615658362997
2022-06-07,845000,846000,818000,822000,71342,-0.035211267605633756
2022-06-08,828000,832000,822000,828000,41013,0.007299270072992803
2022-06-09,816000,820000,804000,811000,90268,-0.020531400966183555
2022-06-10,801000,815000,795000,811000,56259,0.0
2022-06-13,790000,794000,781000,786000,70989,-0.03082614056720101
2022-06-14,780000,796000,779000,784000,61682,-0.0025445292620864812
2022-06-15,791000,805000,783000,790000,61101,0.007653061224489832
2022-06-16,805000,814000,801000,807000,58692,0.021518987341772045
2022-06-17,795000,832000,795000,832000,250445,0.030978934324659146
2022-06-20,825000,826000,807000,822000,53603,-0.012019230769230727
2022-06-21,830000,830000,815000,821000,38656,-0.0012165450121655041
2022-06-22,818000,825000,810000,817000,67848,-0.00487210718635811
2022-06-23,815000,829000,812000,820000,98694,0.003671970624234966
2022-06-24,829000,834000,821000,831000,98390,0.013414634146341475
2022-06-27,833000,833000,805000,806000,73157,-0.030084235860409092
2022-06-28,809000,815000,801000,815000,44514,0.011166253101736912
2022-06-29,812000,815000,799000,801000,46937,-0.01717791411042946
2022-06-30,803000,806000,790000,790000,57985,-0.013732833957553092
2022-07-01,799000,803000,773000,781000,103125,-0.011392405063291089
2022-07-04,782000,794000,775000,791000,79057,0.012804097311139628
2022-07-05,793000,805000,790000,805000,50698,0.017699115044247815
2022-07-06,795000,810000,794000,800000,62898,-0.006211180124223614
2022-07-07,808000,817000,802000,817000,55331,0.02124999999999999
2022-07-08,816000,820000,810000,819000,48501,0.00244798041615657
2022-07-11,818000,831000,815000,829000,62385,0.012210012210012167
2022-07-12,829000,834000,815000,834000,64634,0.006031363088057962
2022-07-13,834000,835000,828000,832000,42820,-0.0023980815347721673
2022-07-14,823000,829000,813000,825000,57296,-0.008413461538461564
2022-07-15,826000,828000,813000,817000,38951,-0.009696969696969648
2022-07-18,813000,817000,803000,810000,46011,-0.008567931456548328
2022-07-19,824000,828000,812000,819000,46882,0.011111111111111072
2022-07-20,823000,827000,817000,823000,35555,0.004884004884004867
2022-07-21,820000,826000,812000,817000,35928,-0.007290400972053468
2022-07-22,816000,830000,815000,829000,56066,0.014687882496940086
2022-07-25,826000,833000,824000,829000,38835,0.0
2022-07-26,826000,829000,820000,828000,28450,-0.0012062726176115257
2022-07-27,829000,847000,828000,841000,84428,0.01570048309178751
2022-07-28,844000,867000,844000,863000,108584,0.026159334126040434
2022-07-29,868000,875000,862000,865000,62152,0.002317497103128563
2022-08-01,857000,879000,856000,878000,63497,0.015028901734104094
2022-08-02,882000,883000,860000,866000,57857,-0.013667425968109326
2022-08-03,870000,875000,866000,871000,40455,0.005773672055427337
2022-08-04,873000,876000,866000,875000,43618,0.004592422502870175
2022-08-05,876000,899000,876000,895000,78645,0.02285714285714291
2022-08-08,894000,900000,886000,900000,49453,0.005586592178770999
2022-08-09,900000,904000,896000,902000,38539,0.0022222222222221255
2022-08-10,904000,910000,880000,892000,43858,-0.011086474501108667
2022-08-11,897000,905000,897000,904000,71857,0.013452914798206317
2022-08-12,905000,910000,890000,910000,39544,0.006637168141592875
2022-08-16,918000,922000,898000,905000,37178,-0.005494505494505475
2022-08-17,907000,909000,870000,871000,85143,-0.037569060773480656
2022-08-18,873000,881000,864000,875000,42475,0.004592422502870175
2022-08-19,877000,879000,867000,868000,29782,-0.008000000000000007
2022-08-22,861000,866000,846000,851000,52452,-0.019585253456221197
2022-08-23,848000,849000,828000,829000,69480,-0.025851938895417148
2022-08-24,830000,835000,822000,828000,49198,-0.0012062726176115257
2022-08-25,836000,845000,829000,845000,37626,0.020531400966183666
2022-08-26,850000,855000,840000,847000,37322,0.002366863905325367
2022-08-29,821000,834000,821000,829000,44007,-0.02125147579693032
2022-08-30,836000,840000,821000,836000,45792,0.008443908323281013
2022-08-31,828000,840000,825000,835000,54257,-0.0011961722488038617
2022-09-01,829000,833000,815000,826000,51619,-0.010778443113772407
2022-09-02,826000,847000,823000,838000,60567,0.014527845036319542
2022-09-05,838000,840000,810000,815000,64477,-0.027446300715990413
2022-09-06,815000,822000,813000,816000,24846,0.0012269938650306678
