Date,Open,High,Low,Close,Volume,Change
2022-01-03,4980,5180,4815,4840,24553387,0.03862660944205998
2022-01-04,5070,5170,4855,5100,22083868,0.05371900826446274
2022-01-05,5350,6630,5220,6630,80544008,0.30000000000000004
2022-01-06,6350,6350,5990,6160,7759123,-0.07088989441930615
2022-01-07,5950,6360,5780,6360,5474383,0.032467532467532534
2022-01-10,6400,6450,6070,6240,4612207,-0.018867924528301883
2022-01-11,6000,6150,5170,5200,18245662,-0.16666666666666663
2022-01-12,5250,5680,5090,5460,24730884,0.050000000000000044
2022-01-13,5370,5890,5280,5810,22793338,0.0641025641025641
2022-01-14,5640,5950,5380,5750,16746353,-0.0103270223752151
2022-01-17,5100,5150,4480,4555,14598536,-0.20782608695652172
2022-01-18,4725,5110,4280,4405,19949246,-0.03293084522502743
2022-01-19,4260,4530,4260,4405,5812889,0.0
2022-01-20,4335,4590,4180,4460,7235381,0.012485811577752637
2022-01-21,4460,4960,4380,4655,18463014,0.043721973094170474
2022-01-24,4485,4535,4215,4215,4872249,-0.09452201933404936
2022-01-25,4215,4495,4025,4025,7956186,-0.04507710557532618
2022-01-26,4005,4350,3920,3960,11990386,-0.016149068322981353
2022-01-27,3970,4000,3595,3645,6196962,-0.07954545454545459
2022-01-28,3710,3780,3550,3745,4622859,0.027434842249657088
2022-02-03,3740,3930,3650,3885,5115876,0.03738317757009346
2022-02-04,3885,3885,3480,3505,9349842,-0.09781209781209776
2022-02-07,3610,3785,3565,3745,13624903,0.0684736091298146
2022-02-08,3700,3720,3505,3520,5161709,-0.060080106809078826
2022-02-09,3550,3680,3545,3590,3918516,0.019886363636363535
2022-02-10,3625,3740,3520,3540,5958514,-0.013927576601671321
2022-02-11,3500,3570,3430,3435,2507006,-0.029661016949152574
2022-02-14,3370,3385,3195,3220,3993166,-0.06259097525473067
2022-02-15,3205,3270,3045,3075,3549014,-0.045031055900621064
2022-02-16,3080,3170,3060,3150,3193164,0.024390243902439046
2022-02-17,3150,3215,3025,3080,2620202,-0.022222222222222254
2022-02-18,3065,3185,3030,3155,1983437,0.024350649350649345
2022-02-21,3045,3110,3015,3110,1690556,-0.014263074484944571
