Date,Open,High,Low,Close,Volume,Change
2022-01-03,22650,22700,22250,22450,16079,-0.006637168141592875
2022-01-04,22450,22450,22000,22150,14115,-0.013363028953229383
2022-01-05,22100,22400,22000,22300,7924,0.006772009029345272
2022-01-06,22000,22400,21900,21900,13235,-0.017937219730941756
2022-01-07,21850,22150,21850,22100,8300,0.009132420091324311
2022-01-10,22300,22750,21900,22050,14508,-0.002262443438914019
2022-01-11,22050,22200,21800,22000,10609,-0.0022675736961451642
2022-01-12,22000,22300,21950,22200,7055,0.009090909090909038
2022-01-13,22500,22500,22000,22100,5873,-0.0045045045045044585
2022-01-14,22100,22500,21800,22400,11888,0.013574660633484115
2022-01-17,22250,22350,21700,21850,11688,-0.024553571428571397
2022-01-18,21750,22300,21550,21700,6942,-0.006864988558352381
2022-01-19,21700,21900,21600,21750,7010,0.0023041474654377225
2022-01-20,21750,22000,21700,21950,4045,0.009195402298850519
2022-01-21,21950,22000,21800,21950,3076,0.0
2022-01-24,21950,21950,21550,21650,8318,-0.013667425968109326
2022-01-25,21750,23600,20650,20850,99991,-0.036951501154734445
2022-01-26,21100,21500,20550,21100,19395,0.011990407673860837
2022-01-27,21300,21300,20500,20550,11066,-0.026066350710900466
2022-01-28,20700,21100,20600,20900,3615,0.017031630170316392
2022-02-03,21100,21850,21100,21750,8876,0.04066985645933019
2022-02-04,21750,21900,21400,21650,9373,-0.0045977011494252595
2022-02-07,21650,22000,21500,21900,7131,0.011547344110854452
2022-02-08,21900,23700,21900,22300,65039,0.0182648401826484
2022-02-09,22300,22450,22000,22200,14988,-0.004484304932735439
2022-02-10,22250,22450,22050,22350,5816,0.006756756756756799
2022-02-11,21900,22500,21900,22150,5281,-0.008948545861297563
2022-02-14,22150,23250,21800,23150,107221,0.04514672686230248
2022-02-15,24100,24850,22450,22550,134280,-0.02591792656587477
2022-02-16,22050,22300,21900,22050,47078,-0.022172949002217335
2022-02-17,22100,22850,22000,22300,46391,0.01133786848072571
2022-02-18,22300,22400,21950,22100,14623,-0.008968609865470878
2022-02-21,22150,22700,22150,22500,21652,0.018099547511312153
2022-02-22,22850,24700,22550,23450,308180,0.04222222222222216
2022-02-23,23300,23900,22700,23100,124302,-0.014925373134328401
2022-02-24,23550,30000,23000,29750,2138372,0.28787878787878785
2022-02-25,25100,37550,23000,27900,5205186,-0.06218487394957983
2022-02-28,30600,32500,27800,28150,1382781,0.008960573476702427
2022-03-02,30950,31500,27500,28400,958365,0.008880994671403242
2022-03-03,27800,28600,26050,26500,538408,-0.06690140845070425
2022-03-04,26800,27300,25350,25700,403920,-0.030188679245283012
2022-03-07,26250,26800,24850,25100,345331,-0.023346303501945553
2022-03-08,25100,25450,23550,23550,282946,-0.06175298804780871
2022-03-10,23000,24150,22700,23700,236615,0.006369426751592355
2022-03-11,23500,23700,22650,22900,164011,-0.03375527426160341
2022-03-14,22700,23400,22650,22700,127830,-0.008733624454148492
2022-03-15,22600,22750,22250,22550,91932,-0.0066079295154185536
2022-03-16,22550,23300,22400,22800,63796,0.011086474501108556
2022-03-17,22750,22900,22300,22800,62181,0.0
2022-03-18,23100,23300,22600,22650,58236,-0.006578947368421018
2022-03-21,22650,23400,22450,23300,109274,0.028697571743929284
2022-03-22,23350,23650,22850,23000,91408,-0.012875536480686733
2022-03-23,23000,23800,22750,23400,129305,0.017391304347825987
2022-03-24,23900,24200,23100,23400,97263,0.0
2022-03-25,23350,23450,22800,22850,48040,-0.023504273504273532
2022-03-28,22800,22950,22600,22750,53278,-0.004376367614879695
2022-03-29,22700,22700,22500,22550,46323,-0.00879120879120876
2022-03-30,22550,22700,22400,22500,106257,-0.0022172949002217113
2022-03-31,23700,23850,22650,22650,170520,0.006666666666666599
2022-04-01,22900,23150,22700,23050,76104,0.017660044150110465
2022-04-04,23050,23100,22750,22900,28418,-0.006507592190889366
2022-04-05,22900,23000,22700,22900,33192,0.0
2022-04-06,22950,23100,22750,22750,28881,-0.0065502183406113135
2022-04-07,22850,22900,22450,22500,49073,-0.01098901098901095
2022-04-08,22500,22700,22450,22550,27810,0.0022222222222221255
2022-04-11,22450,22900,22400,22850,25455,0.013303769401330268
2022-04-12,22850,26800,22650,23750,1362468,0.03938730853391692
2022-04-13,23850,24250,23500,23600,160141,-0.0063157894736841635
2022-04-14,23750,23900,23300,23550,102883,-0.0021186440677966045
2022-04-15,23900,24300,23600,23700,217556,0.006369426751592355
2022-04-18,24200,24500,23800,24000,100557,0.012658227848101333
2022-04-19,24500,24500,23850,24250,85571,0.01041666666666674
2022-04-20,23700,24000,23450,24000,51716,-0.010309278350515427
2022-04-21,24050,24050,23650,23850,26766,-0.006249999999999978
2022-04-22,23850,24800,23600,24750,116757,0.037735849056603765
2022-04-25,24200,24750,23950,24050,47222,-0.028282828282828243
2022-04-26,24000,24500,23550,23700,50800,-0.014553014553014498
2022-04-27,24350,29650,24300,27700,3136637,0.16877637130801681
2022-04-28,28100,28200,25100,25650,1172803,-0.07400722021660655
2022-04-29,25750,27300,25350,26350,529702,0.02729044834308003
2022-05-02,26750,27650,25750,25850,311332,-0.018975332068311146
2022-05-03,25950,27150,25550,26600,245556,0.029013539651837617
2022-05-04,26900,27250,25050,26950,348920,0.013157894736842035
2022-05-06,27550,27650,26250,26700,189231,-0.00927643784786647
2022-05-09,26500,27000,25700,26000,93735,-0.02621722846441943
