Date,Open,High,Low,Close,Volume,Change
2022-01-03,7290,7320,7180,7240,77394,0.005555555555555536
2022-01-04,7250,7300,7190,7300,114688,0.008287292817679592
2022-01-05,7290,7290,7130,7130,121963,-0.023287671232876672
2022-01-06,7050,7220,7000,7020,209582,-0.015427769985974726
2022-01-07,7020,7120,7020,7070,44003,0.007122507122507171
2022-01-10,7090,7090,6930,6970,106792,-0.014144271570014189
2022-01-11,7000,7030,6900,6900,99484,-0.010043041606886627
2022-01-12,6900,6980,6900,6930,98293,0.004347826086956497
2022-01-13,6990,7000,6900,6900,106180,-0.0043290043290042934
2022-01-14,6870,6930,6810,6820,120488,-0.011594202898550732
2022-01-17,6820,6830,6520,6520,163811,-0.04398826979472137
2022-01-18,6510,6600,6310,6310,129217,-0.03220858895705525
2022-01-19,6190,6450,6170,6210,137415,-0.015847860538827252
2022-01-20,6250,6370,6180,6330,79858,0.019323671497584627
2022-01-21,6390,6390,6230,6250,72041,-0.012638230647709303
2022-01-24,6200,6280,6050,6060,112878,-0.030399999999999983
2022-01-25,6080,6100,5750,5870,197546,-0.031353135313531344
2022-01-26,5810,5930,5770,5820,148760,-0.008517887563884163
2022-01-27,5800,5880,5380,5380,280981,-0.07560137457044669
2022-01-28,5500,5710,5380,5690,223585,0.05762081784386619
2022-02-03,5750,5940,5750,5900,100414,0.03690685413005279
2022-02-04,5890,5970,5830,5970,68375,0.011864406779660941
2022-02-07,6000,6070,5860,5980,76935,0.0016750418760469454
2022-02-08,5930,6100,5930,6050,100988,0.0117056856187292
2022-02-09,6050,6210,6050,6180,76364,0.02148760330578514
2022-02-10,6170,6230,6100,6150,85887,-0.004854368932038833
2022-02-11,6030,6250,6010,6160,98710,0.001626016260162677
2022-02-14,6110,6110,5920,5930,131151,-0.037337662337662336
2022-02-15,5990,6040,5850,5980,84958,0.008431703204047292
2022-02-16,6030,6170,6030,6110,65391,0.021739130434782705
2022-02-17,6170,6180,6050,6160,108328,0.008183306055646433
2022-02-18,6130,6230,6040,6230,61872,0.011363636363636465
2022-02-21,6180,6270,6030,6250,69020,0.0032102728731941976
2022-02-22,6170,6320,6110,6320,83570,0.011200000000000099
2022-02-23,6310,6440,6280,6420,85580,0.015822784810126667
2022-02-24,6390,6450,6200,6210,115273,-0.032710280373831724
