Date,Open,High,Low,Close,Volume,Change
2022-09-26,10800,11400,9490,10050,6708980,
2022-09-27,10600,13050,10150,13050,11456650,0.29850746268656714
2022-09-28,14550,15150,11900,13300,13746400,0.019157088122605304
2022-09-29,12750,13950,11750,11950,5100525,-0.10150375939849621
2022-09-30,11650,11900,10550,10550,2641815,-0.11715481171548114
2022-10-04,12000,13700,11900,13700,5916901,0.2985781990521328
2022-10-05,12850,14300,12550,12900,8226322,-0.058394160583941646
2022-10-06,12600,13500,12300,13100,3977914,0.015503875968992276
2022-10-07,12850,13400,11900,11950,2752234,-0.08778625954198471
2022-10-11,11450,11900,10600,10900,1354094,-0.08786610878661083
2022-10-12,10800,11850,10750,11200,2509074,0.02752293577981657
2022-10-13,11350,11400,10300,10450,1237778,-0.0669642857142857
2022-10-14,10850,10900,10400,10400,631809,-0.004784688995215336
2022-10-17,9980,9990,9770,9900,680075,-0.04807692307692313
2022-10-18,10000,10750,9940,10300,1306359,0.04040404040404044
2022-10-19,10300,10450,9930,9950,564025,-0.03398058252427183
2022-10-20,9930,10200,9510,9540,563932,-0.04120603015075375
2022-10-21,9410,9420,8530,8530,938380,-0.1058700209643606
2022-10-24,8750,9600,8660,9060,1747394,0.062133645955451344
2022-10-25,9150,10900,8980,9600,4593585,0.0596026490066226
2022-10-26,9600,9610,8940,8940,740975,-0.06874999999999998
2022-10-27,8850,9370,8830,8890,578647,-0.005592841163310935
2022-10-28,8900,9470,8900,9030,1248759,0.015748031496062964
2022-10-31,9280,10050,9140,9600,2941598,0.06312292358803995
2022-11-01,9740,9760,9340,9340,656908,-0.027083333333333348
2022-11-02,9280,9300,8950,8980,509447,-0.03854389721627405
2022-11-03,8730,9200,8650,8930,449486,-0.0055679287305122616
2022-11-04,9060,9180,8750,8830,336937,-0.011198208286674172
2022-11-07,8940,9140,8860,8870,339827,0.0045300113250283935
2022-11-08,8930,9260,8910,9100,561867,0.025930101465614364
2022-11-09,9140,9170,8950,8950,301454,-0.016483516483516536
2022-11-10,8820,8860,8640,8660,338347,-0.03240223463687153
