Date,Open,High,Low,Close,Volume,Change
2022-01-03,22450,22850,22400,22700,32232,0.008888888888888946
2022-01-04,24250,24250,22900,23050,227695,0.01541850220264318
2022-01-05,22850,23250,22550,22900,53066,-0.006507592190889366
2022-01-06,22500,22900,22100,22100,50242,-0.03493449781659386
2022-01-07,21950,22450,21950,22300,24578,0.009049773755656076
2022-01-10,22550,22600,22000,22000,33793,-0.013452914798206317
2022-01-11,22000,22200,21300,21450,47141,-0.025000000000000022
2022-01-12,21500,25600,21500,23050,1030845,0.07459207459207451
2022-01-13,23350,23600,23000,23000,153601,-0.002169197396963085
2022-01-14,22950,23300,22500,22650,84697,-0.01521739130434785
2022-01-17,22550,22750,22100,22200,56099,-0.019867549668874163
2022-01-18,22000,22550,21700,21850,61859,-0.015765765765765716
2022-01-19,21500,22050,21450,21900,44013,0.0022883295194509046
2022-01-20,21700,22350,21500,22200,28425,0.013698630136986356
2022-01-21,22000,22250,21700,22000,33187,-0.009009009009009028
2022-01-24,21900,22050,21050,21200,41585,-0.036363636363636376
2022-01-25,21000,21300,19600,19750,82619,-0.06839622641509435
2022-01-26,19400,20000,19400,19550,49485,-0.010126582278481067
2022-01-27,19450,24400,17900,19000,1033132,-0.02813299232736577
2022-01-28,18150,19850,18150,19400,185426,0.021052631578947434
2022-02-03,19600,20250,19400,19950,92653,0.028350515463917425
2022-02-04,19550,20550,19550,20400,58990,0.022556390977443552
2022-02-07,20400,20450,20000,20150,40244,-0.01225490196078427
2022-02-08,20150,20300,19550,19700,51731,-0.022332506203473934
2022-02-09,19700,20150,19700,20150,27170,0.02284263959390853
2022-02-10,20200,20200,19800,19950,29110,-0.00992555831265507
2022-02-11,19600,19800,19300,19450,26715,-0.02506265664160401
2022-02-14,18900,19150,18300,18650,37047,-0.041131105398457546
2022-02-15,18600,18850,18250,18400,39562,-0.013404825737265424
2022-02-16,18700,19200,18700,19200,22623,0.04347826086956519
2022-02-17,19250,19500,18600,19000,41348,-0.01041666666666663
2022-02-18,18450,19100,18450,18850,19016,-0.007894736842105288
2022-02-21,18500,18900,18400,18650,30729,-0.010610079575596787
2022-02-22,18200,18600,18200,18200,26644,-0.024128686327077764
2022-02-23,18200,18500,18100,18400,20447,0.01098901098901095
2022-02-24,18150,18300,17350,17450,50488,-0.05163043478260865
2022-02-25,17900,18100,17500,17700,28269,0.014326647564469885
2022-02-28,17700,18150,17650,18100,15808,0.02259887005649719
2022-03-02,18200,18500,18000,18500,17807,0.022099447513812098
2022-03-03,18650,19050,18500,18800,27053,0.016216216216216273
