Date,Open,High,Low,Close,Volume,Change
2022-01-03,1860,1910,1845,1890,205436,0.018867924528301883
2022-01-04,1905,1930,1890,1915,155325,0.013227513227513255
2022-01-05,1915,1925,1890,1895,137301,-0.010443864229765065
2022-01-06,1870,1920,1845,1870,190224,-0.01319261213720313
2022-01-07,1870,1895,1860,1885,99994,0.008021390374331583
2022-01-10,1890,1900,1830,1865,215628,-0.010610079575596787
2022-01-11,1850,1855,1820,1830,113405,-0.018766756032171594
2022-01-12,1835,1875,1830,1870,80667,0.021857923497267784
2022-01-13,1885,1890,1850,1875,70354,0.002673796791443861
2022-01-14,1875,1875,1815,1835,114708,-0.021333333333333315
2022-01-17,1825,1835,1760,1780,243891,-0.02997275204359673
2022-01-18,1780,1805,1750,1780,153089,0.0
2022-01-19,1760,1785,1735,1755,80741,-0.014044943820224698
2022-01-20,1775,1805,1750,1800,61430,0.02564102564102555
2022-01-21,1790,1820,1765,1800,79065,0.0
2022-01-24,1790,1790,1725,1765,114736,-0.019444444444444486
2022-01-25,1755,1765,1650,1670,320011,-0.053824362606232246
2022-01-26,1670,1695,1640,1670,79985,0.0
2022-01-27,1710,1720,1620,1625,124613,-0.026946107784431184
2022-01-28,1625,1680,1595,1675,111736,0.03076923076923066
2022-02-03,1725,1740,1690,1720,120035,0.02686567164179099
2022-02-04,1705,1760,1705,1755,74849,0.02034883720930236
2022-02-07,1760,1765,1725,1760,80405,0.002849002849002913
2022-02-08,1760,1780,1750,1780,80887,0.011363636363636465
2022-02-09,1785,1815,1775,1800,83037,0.011235955056179803
2022-02-10,1810,1810,1770,1770,66726,-0.01666666666666672
2022-02-11,1750,1775,1745,1765,31994,-0.0028248587570621764
2022-02-14,1730,1745,1705,1715,62221,-0.028328611898016942
2022-02-15,1700,1725,1675,1690,59751,-0.014577259475218707
2022-02-16,1700,1765,1700,1760,64470,0.041420118343195256
2022-02-17,1780,1780,1720,1770,106306,0.005681818181818121
2022-02-18,1730,1880,1730,1870,438836,0.05649717514124286
2022-02-21,1830,1885,1830,1870,169093,0.0
2022-02-22,1850,1855,1810,1820,116648,-0.0267379679144385
2022-02-23,1820,1840,1810,1825,46844,0.0027472527472527375
2022-02-24,1835,1835,1745,1760,168561,-0.03561643835616435
2022-02-25,1770,1815,1770,1790,100958,0.017045454545454586
2022-02-28,1795,1810,1770,1800,70391,0.005586592178770999
2022-03-02,1800,1840,1795,1820,79753,0.011111111111111072
2022-03-03,1820,1850,1820,1845,87636,0.013736263736263687
2022-03-04,1835,1865,1820,1865,133679,0.01084010840108407
2022-03-07,1850,1870,1815,1820,121444,-0.024128686327077764
2022-03-08,1800,1805,1750,1775,120752,-0.02472527472527475
2022-03-10,1795,1830,1795,1810,45383,0.019718309859154903
2022-03-11,1820,1850,1800,1830,86723,0.011049723756906049
2022-03-14,1830,1830,1765,1810,88193,-0.010928961748633892
2022-03-15,1795,1830,1795,1830,56460,0.011049723756906049
2022-03-16,1840,1865,1820,1840,98720,0.005464480874316946
2022-03-17,1855,1870,1850,1860,98082,0.010869565217391353
2022-03-18,1900,1900,1840,1865,123059,0.0026881720430107503
2022-03-21,1870,1875,1850,1850,67001,-0.008042895442359255
2022-03-22,1860,1870,1825,1850,103585,0.0
2022-03-23,1860,1880,1845,1845,83206,-0.002702702702702675
2022-03-24,1860,1920,1840,1920,275384,0.04065040650406515
2022-03-25,1940,1940,1900,1930,116971,0.005208333333333259
2022-03-28,1930,1940,1900,1935,90851,0.002590673575129543
2022-03-29,1925,1945,1915,1940,166399,0.0025839793281654533
2022-03-30,1945,1980,1935,1970,195251,0.015463917525773141
2022-03-31,1980,2120,1975,2095,1480933,0.06345177664974622
2022-04-01,2100,2105,2040,2090,247708,-0.0023866348448687846
2022-04-04,2080,2135,2060,2120,326160,0.014354066985645897
2022-04-05,2120,2140,2100,2135,151841,0.007075471698113178
2022-04-06,2085,2120,2085,2090,209993,-0.021077283372365363
2022-04-07,2075,2075,1970,1975,715226,-0.055023923444976086
2022-04-08,1975,2025,1950,1985,280541,0.005063291139240533
2022-04-11,2010,2020,1965,1990,176046,0.0025188916876575096
2022-04-12,1965,1985,1910,1935,193602,-0.027638190954773822
2022-04-13,1935,1995,1930,1995,111903,0.03100775193798455
2022-04-14,1995,2025,1975,1990,154059,-0.0025062656641604564
2022-04-15,1970,1980,1930,1960,152546,-0.015075376884422065
2022-04-18,1970,1970,1910,1915,279133,-0.022959183673469385
2022-04-19,1915,1995,1910,1960,357852,0.023498694516971286
2022-04-20,1980,1985,1960,1975,90117,0.007653061224489832
2022-04-21,1975,1990,1965,1980,120290,0.0025316455696202667
2022-04-22,1960,1970,1940,1955,84575,-0.012626262626262652
2022-04-25,1910,1925,1890,1895,166310,-0.03069053708439895
2022-04-26,1895,1940,1895,1905,121918,0.005277044854881341
2022-04-27,1875,1900,1860,1900,161517,-0.002624671916010457
2022-04-28,1905,1935,1870,1905,132906,0.002631578947368318
2022-04-29,1920,1925,1900,1915,101956,0.005249343832020914
2022-05-02,1915,2060,1900,2000,681033,0.044386422976501416
2022-05-03,2000,2010,1980,1995,138322,-0.0024999999999999467
2022-05-04,2055,2090,1985,1995,491631,0.0
2022-05-06,1980,2015,1960,1995,151649,0.0
2022-05-09,1990,2185,1990,2070,2184592,0.03759398496240607
2022-05-10,2070,2110,1985,2110,668874,0.019323671497584627
2022-05-11,2140,2140,2035,2040,436681,-0.033175355450236976
2022-05-12,2015,2025,1930,1935,387208,-0.05147058823529416
2022-05-13,1935,2010,1935,2010,257474,0.03875968992248069
2022-05-16,2040,2080,2020,2045,350860,0.017412935323383172
