Date,Open,High,Low,Close,Volume,Change
2023-04-28,8990,8990,7230,7330,2724973,
2023-05-02,7330,7400,6380,6500,1298579,-0.11323328785811737
2023-05-03,6580,7070,6140,6540,1944446,0.006153846153846176
2023-05-04,6480,8500,6380,7680,13871898,0.17431192660550465
2023-05-08,7400,7920,7090,7240,2318876,-0.05729166666666663
2023-05-09,7440,9410,7410,9410,15504982,0.29972375690607733
2023-05-10,10300,10530,9040,9480,12402264,0.007438894792773709
2023-05-11,10260,11150,9810,9950,10881725,0.04957805907172985
2023-05-12,10370,12840,10270,12030,21659464,0.20904522613065324
2023-05-15,11750,14900,11270,13490,19155884,0.12136325852036567
2023-05-16,13250,14000,12600,13190,4371243,-0.022238695329873992
2023-05-17,13820,14440,13200,13990,6246749,0.06065200909780133
