Date,Open,High,Low,Close,Volume,Change
2022-01-03,5510,5510,5350,5350,700,-0.029038112522686066
2022-01-04,5350,5350,5350,5350,100,0.0
2022-01-05,5350,5350,5350,5350,0,0.0
2022-01-06,5350,5350,5350,5350,0,0.0
2022-01-07,5350,5350,5350,5350,0,0.0
2022-01-10,5350,5350,5350,5350,0,0.0
2022-01-11,5350,5350,5350,5350,0,0.0
2022-01-12,4600,5890,4600,5600,3390,0.04672897196261672
2022-01-13,5600,5600,5600,5600,0,0.0
2022-01-14,5700,5700,5700,5700,1500,0.017857142857142794
2022-01-17,5700,5700,5700,5700,0,0.0
2022-01-18,5700,5700,5300,5700,4060,0.0
2022-01-19,5310,5310,5310,5310,2500,-0.06842105263157894
2022-01-20,4750,5000,4700,4805,3000,-0.0951035781544256
2022-01-21,5500,5520,5500,5520,3173,0.14880332986472422
2022-01-24,6340,6340,6300,6340,233,0.14855072463768115
2022-01-25,7200,7200,5400,6960,66,0.09779179810725558
2022-01-26,6980,6980,6970,6980,1010,0.002873563218390718
2022-01-27,6970,6970,5940,5980,1715,-0.1432664756446992
2022-01-28,6490,6490,5150,5300,1868,-0.11371237458193983
2022-02-03,5700,5700,5100,5630,1829,0.062264150943396324
2022-02-04,5630,5630,5150,5150,2543,-0.08525754884547065
2022-02-07,5310,5310,5310,5310,1,0.03106796116504862
2022-02-08,5500,5500,5400,5400,1000,0.016949152542372836
2022-02-09,5400,5400,5400,5400,0,0.0
2022-02-10,6190,6190,6190,6190,1,0.14629629629629637
2022-02-11,6190,6190,6190,6190,0,0.0
2022-02-14,6190,6190,6190,6190,0,0.0
2022-02-15,6180,6180,6180,6180,0,-0.001615508885298822
2022-02-16,5260,5500,5260,5500,4255,-0.11003236245954695
2022-02-17,5500,5500,5500,5500,0,0.0
2022-02-18,5500,5500,5500,5500,0,0.0
2022-02-21,5510,5510,5510,5510,0,0.0018181818181817189
2022-02-22,5510,6310,5510,6310,302,0.14519056261343022
2022-02-23,7000,7000,6310,6310,2321,0.0
2022-02-24,5520,6300,5520,6300,4,-0.0015847860538826808
2022-02-25,6270,6270,6270,6270,0,-0.004761904761904745
2022-02-28,6190,6200,6190,6200,302,-0.011164274322169043
2022-03-02,7000,7000,7000,7000,1,0.12903225806451624
2022-03-03,5950,6480,5950,6480,1016,-0.07428571428571429
2022-03-04,5990,5990,5990,5990,0,-0.07561728395061729
2022-03-07,6290,6290,6290,6290,1,0.05008347245409017
2022-03-08,5990,5990,5990,5990,0,-0.04769475357710651
2022-03-10,5200,6250,5200,6250,1001,0.04340567612687818
