Date,Open,High,Low,Close,Volume,Change
2022-12-22,1980,2000,1970,1985,657598,
2022-12-23,1985,1985,1975,1975,86541,-0.005037783375314908
2022-12-26,1975,1985,1975,1980,25321,0.0025316455696202667
2022-12-27,1975,1990,1975,1990,75326,0.005050505050504972
2022-12-28,1980,1995,1980,1995,57283,0.002512562814070307
2022-12-29,1995,2000,1990,1995,24087,0.0
2023-01-02,1995,1995,1985,1990,588,-0.0025062656641604564
2023-01-03,1985,2010,1985,2000,69758,0.005025125628140614
2023-01-04,1990,2005,1990,2005,31399,0.0024999999999999467
2023-01-05,2000,2005,1995,2000,4759,-0.0024937655860348684
2023-01-06,2000,2010,2000,2005,36195,0.0024999999999999467
2023-01-09,2005,2015,2005,2015,10255,0.004987531172069737
2023-01-10,2010,2020,2000,2015,5312,0.0
2023-01-11,2015,2020,2000,2010,28758,-0.002481389578163795
2023-01-12,2015,2015,1980,2005,25280,-0.0024875621890547706
2023-01-13,1995,2015,1995,2015,8077,0.004987531172069737
2023-01-16,2030,2030,1995,2015,28821,0.0
2023-01-17,2015,2025,2010,2025,11389,0.00496277915632759
2023-01-18,2025,2025,2015,2025,143,0.0
2023-01-19,2020,2080,2020,2025,4967,0.0
2023-01-20,2025,2045,2025,2035,433,0.004938271604938205
2023-01-25,2035,2035,2030,2030,16700,-0.002457002457002422
2023-01-26,2065,2065,2005,2010,89458,-0.009852216748768461
2023-01-27,2055,2055,2010,2020,204,0.004975124378109541
2023-01-30,2065,2065,2020,2025,975,0.0024752475247524774
2023-01-31,2020,2045,2020,2045,497,0.009876543209876631
2023-02-01,2045,2045,2040,2040,136,-0.0024449877750610804
2023-02-02,2040,2070,2035,2055,1365,0.007352941176470562
2023-02-03,2030,2070,2030,2045,4198,-0.0048661800486617945
2023-02-06,2045,2050,2040,2050,6878,0.0024449877750611915
2023-02-07,2050,2075,2035,2055,8271,0.0024390243902439046
2023-02-08,2040,2055,2035,2055,1968,0.0
2023-02-09,2065,2065,2045,2055,27,0.0
2023-02-10,2065,2065,2025,2055,12093,0.0
2023-02-13,2055,2055,2035,2035,7108,-0.009732360097323589
2023-02-14,2065,2065,2045,2045,3267,0.004914004914004844
2023-02-15,2095,2095,2050,2055,1096,0.004889975550122161
2023-02-16,2060,2150,2045,2050,9336,-0.0024330900243308973
2023-02-17,2045,2055,2040,2055,23546,0.0024390243902439046
2023-02-20,2090,2090,2040,2060,21220,0.0024330900243310083
2023-02-21,2045,2060,2035,2060,42313,0.0
2023-02-22,2065,2075,2055,2065,8975,0.0024271844660195274
2023-02-23,2090,2090,2050,2080,664,0.007263922518159882
2023-02-24,2055,2060,2030,2040,56541,-0.019230769230769273
2023-02-27,2040,2060,2040,2050,2857,0.004901960784313708
2023-02-28,2045,2050,2045,2045,6032,-0.0024390243902439046
2023-03-02,2055,2060,2040,2060,5378,0.007334963325183352
2023-03-03,2050,2060,2050,2055,310,-0.0024271844660194164
2023-03-06,2045,2055,2040,2055,262,0.0
2023-03-07,2035,2055,2035,2055,189,0.0
2023-03-08,2040,2040,2030,2035,7130,-0.009732360097323589
2023-03-09,2035,2045,2035,2040,51159,0.002457002457002533
2023-03-10,2040,2040,2030,2040,5178,0.0
2023-03-13,2030,2050,2030,2040,3183,0.0
2023-03-14,2035,2045,2030,2040,1680,0.0
2023-03-15,2025,2040,2005,2030,12657,-0.004901960784313708
2023-03-16,2025,2025,2010,2015,12968,-0.007389162561576401
2023-03-17,2015,2015,2010,2015,8944,0.0
2023-03-20,2015,2020,2005,2020,7605,0.002481389578163684
2023-03-21,2020,2025,2010,2020,5315,0.0
2023-03-22,2020,2030,2005,2015,15513,-0.0024752475247524774
2023-03-23,2015,2020,2010,2015,5601,0.0
2023-03-24,2010,2015,2010,2015,7352,0.0
2023-03-27,2010,2015,2010,2015,6333,0.0
2023-03-28,2020,2020,2005,2020,8950,0.002481389578163684
2023-03-29,2010,2020,2010,2010,15001,-0.004950495049504955
2023-03-30,2015,2020,2015,2015,4517,0.0024875621890547706
2023-03-31,2025,2030,2020,2020,1951,0.002481389578163684
2023-04-03,2035,2040,2030,2040,2259,0.00990099009900991
2023-04-04,2040,2040,2015,2020,17636,-0.009803921568627416
2023-04-05,2025,2050,2025,2030,6627,0.004950495049504955
2023-04-06,2030,2035,2010,2030,5520,0.0
2023-04-07,2040,2045,2040,2040,2284,0.0049261083743843415
2023-04-10,2020,2040,2015,2015,2257,-0.01225490196078427
2023-04-11,2020,2025,2010,2015,17922,0.0
2023-04-12,2015,2030,2005,2020,31983,0.002481389578163684
2023-04-13,2030,2030,2010,2015,14567,-0.0024752475247524774
2023-04-14,2020,2195,2020,2020,103923,0.002481389578163684
2023-04-17,2015,2140,2015,2050,6363,0.014851485148514865
2023-04-18,2110,2110,2050,2055,2725,0.0024390243902439046
2023-04-19,2045,2075,2040,2065,2031,0.0048661800486617945
2023-04-20,2055,2060,2035,2040,5518,-0.01210653753026636
2023-04-21,2040,2090,2040,2060,5557,0.009803921568627416
2023-04-24,2060,2085,2060,2065,1550,0.0024271844660195274
2023-04-25,2130,2130,2060,2060,6542,-0.002421307506053294
2023-04-26,2060,2070,2060,2065,5809,0.0024271844660195274
2023-04-27,2080,2085,2070,2070,174,0.002421307506053294
2023-04-28,2085,2085,2070,2085,2244,0.007246376811594235
2023-05-02,2085,2105,2085,2095,8926,0.004796163069544335
2023-05-03,2095,2095,2070,2095,9189,0.0
2023-05-04,2080,2095,2075,2095,6835,0.0
2023-05-08,2085,2095,2065,2095,12160,0.0
2023-05-09,2095,2120,2075,2130,10776,0.01670644391408116
2023-05-10,2095,2125,2090,2125,8713,-0.0023474178403756207
2023-05-11,2105,2130,2100,2130,8880,0.0023529411764706687
2023-05-12,2100,2125,2055,2090,61063,-0.018779342723004744
2023-05-15,2065,2090,2065,2080,7348,-0.004784688995215336
2023-05-16,2085,2095,2080,2095,4090,0.007211538461538547
2023-05-17,2080,2095,2080,2090,6670,-0.0023866348448687846
2023-05-18,2080,2095,2075,2095,6017,0.0023923444976077235
2023-05-19,2080,2110,2080,2105,4309,0.004773269689737569
