Date,Open,High,Low,Close,Volume,Change
2022-01-03,8800,9150,8775,9125,312898,0.03399433427762033
2022-01-04,9125,9150,8975,9125,237677,0.0
2022-01-05,9100,9150,8875,8950,184770,-0.019178082191780854
2022-01-06,8850,8925,8650,8700,202218,-0.027932960893854775
2022-01-07,8700,8850,8700,8750,91761,0.005747126436781658
2022-01-10,8750,8850,8750,8775,106439,0.0028571428571428914
2022-01-11,8775,8825,8450,8525,193328,-0.028490028490028463
2022-01-12,8550,8650,8525,8625,99667,0.011730205278592365
2022-01-13,8625,8750,8575,8700,101429,0.008695652173912993
2022-01-14,8625,8750,8525,8600,113676,-0.011494252873563204
2022-01-17,8625,8625,8275,8300,153313,-0.03488372093023251
2022-01-18,8300,8425,8050,8150,137530,-0.01807228915662651
2022-01-19,8000,8225,8000,8050,113864,-0.012269938650306789
2022-01-20,8025,8250,7975,8250,62900,0.024844720496894457
2022-01-21,8225,8250,7950,8025,99708,-0.027272727272727226
2022-01-24,7900,8000,7700,7725,148654,-0.03738317757009346
2022-01-25,7700,7850,7400,7425,269380,-0.03883495145631066
2022-01-26,7375,7675,7375,7525,146090,0.013468013468013407
2022-01-27,7600,7625,7050,7225,239928,-0.039867109634551534
2022-01-28,7275,7500,7000,7450,209895,0.03114186851211076
2022-02-03,7550,8075,7550,7925,193775,0.06375838926174504
2022-02-04,7875,8125,7825,7975,129256,0.006309148264984188
2022-02-07,7975,8125,7925,8050,104401,0.00940438871473348
2022-02-08,8025,8300,7975,8100,177648,0.006211180124223503
2022-02-09,8150,8200,8100,8150,71868,0.006172839506172867
2022-02-10,8225,8275,8125,8175,132836,0.0030674846625766694
2022-02-11,8050,8350,8050,8200,193500,0.003058103975535076
2022-02-14,8125,8175,7875,8025,206736,-0.021341463414634165
2022-02-15,8000,8250,7700,7750,185999,-0.034267912772585674
2022-02-16,7800,8175,7800,8125,156368,0.048387096774193505
2022-02-17,8125,8200,7325,7500,656322,-0.07692307692307687
2022-02-18,7425,7850,7400,7750,253911,0.03333333333333344
2022-02-21,7700,7800,7575,7750,129173,0.0
2022-02-22,7625,7925,7475,7650,362034,-0.012903225806451646
