Date,Open,High,Low,Close,Volume,Change
2022-01-03,4690,4780,4545,4550,100819,-0.02777777777777779
2022-01-04,4670,4670,4395,4410,132890,-0.03076923076923077
2022-01-05,4415,4425,4140,4200,191432,-0.04761904761904767
2022-01-06,4100,4270,4005,4015,129663,-0.044047619047619
2022-01-07,4015,4180,4015,4040,51087,0.0062266500622665255
2022-01-10,4065,4070,3910,4055,76616,0.003712871287128605
2022-01-11,4100,4130,3935,3950,116578,-0.025893958076448786
2022-01-12,3990,4090,3905,4090,52854,0.03544303797468351
2022-01-13,4160,4160,4020,4095,69327,0.0012224938875304847
2022-01-14,4095,4130,3995,4115,72120,0.004884004884004867
2022-01-17,4080,4115,3920,4010,102631,-0.025516403402187082
2022-01-18,4015,4050,3825,3855,76756,-0.03865336658354113
2022-01-19,3895,3910,3660,3855,92753,0.0
2022-01-20,3855,3955,3750,3900,63423,0.011673151750972721
2022-01-21,3920,3940,3785,3810,55783,-0.023076923076923106
2022-01-24,3780,3805,3590,3710,98400,-0.026246719160105014
2022-01-25,3630,3705,3555,3570,161414,-0.037735849056603765
2022-01-26,3570,3695,3540,3635,62093,0.0182072829131652
2022-01-27,3585,3635,3365,3595,103642,-0.011004126547455306
2022-01-28,3595,3700,3475,3665,90678,0.01947148817802513
2022-02-03,3700,3820,3680,3720,48112,0.01500682128240105
2022-02-04,3735,3795,3680,3795,39715,0.02016129032258074
2022-02-07,3835,3835,3595,3700,125172,-0.025032938076416378
2022-02-08,3765,3765,3625,3650,41102,-0.013513513513513487
2022-02-09,3650,3780,3650,3780,61739,0.03561643835616435
2022-02-10,3785,3800,3660,3695,31456,-0.022486772486772444
2022-02-11,3640,3700,3575,3600,44276,-0.025710419485791558
2022-02-14,3530,3565,3350,3365,88241,-0.06527777777777777
2022-02-15,3680,3680,3300,3410,96470,0.013372956909361022
2022-02-16,3430,3620,3410,3460,98273,0.014662756598240456
2022-02-17,3460,3500,3380,3380,69024,-0.023121387283236983
2022-02-18,3345,3460,3310,3455,40953,0.022189349112426093
2022-02-21,3460,3485,3255,3485,26896,0.00868306801736618
2022-02-22,3415,3465,3290,3325,92131,-0.045911047345767564
2022-02-23,3325,3365,3310,3330,43552,0.0015037593984963404
2022-02-24,3330,3390,3100,3205,123251,-0.037537537537537524
2022-02-25,3245,3290,3170,3235,62755,0.009360374414976613
2022-02-28,3255,3290,3190,3235,31461,0.0
2022-03-02,3255,3480,3200,3410,79886,0.054095826893354015
2022-03-03,3400,3565,3380,3465,82121,0.016129032258064502
2022-03-04,3500,3500,3350,3465,40823,0.0
2022-03-07,3470,3470,3310,3345,63005,-0.03463203463203468
2022-03-08,3330,3330,3000,3090,154975,-0.07623318385650224
2022-03-10,3190,3385,3140,3190,78914,0.032362459546925626
2022-03-11,3205,3255,3160,3195,37656,0.0015673981191222097
2022-03-14,3195,3225,3070,3225,95720,0.009389671361502261
2022-03-15,3130,3345,3125,3240,70260,0.0046511627906977715
2022-03-16,3260,3345,3255,3285,43157,0.01388888888888884
2022-03-17,3290,3365,3245,3285,45294,0.0
2022-03-18,3290,3335,3250,3290,22429,0.0015220700152207556
2022-03-21,3325,3350,3230,3285,50398,-0.001519756838905817
2022-03-22,3270,3320,3200,3305,121339,0.0060882800608828
2022-03-23,3355,3360,3230,3250,54064,-0.016641452344931973
2022-03-24,3260,3295,3225,3285,50569,0.010769230769230864
2022-03-25,3285,3315,3250,3315,32755,0.009132420091324311
