Date,Open,High,Low,Close,Volume,Change
2022-01-03,83800,84600,83400,84000,27216,0.007194244604316502
2022-01-04,83300,84000,82900,84000,27011,0.0
2022-01-05,83100,83900,82300,82900,61001,-0.013095238095238049
2022-01-06,82300,82600,81000,81300,77317,-0.0193003618817853
2022-01-07,81000,82000,80600,81900,43418,0.007380073800737907
2022-01-10,81600,82200,80700,81500,34854,-0.004884004884004867
2022-01-11,80900,82200,80200,80300,59723,-0.014723926380368124
2022-01-12,80500,82500,80500,82500,49638,0.027397260273972712
2022-01-13,82000,83300,82000,82900,68776,0.00484848484848488
2022-01-14,82800,82800,80600,81300,43173,-0.0193003618817853
2022-01-17,80900,81200,79600,79700,44647,-0.019680196801967975
2022-01-18,80300,80800,79400,80000,56886,0.0037641154328733606
2022-01-19,80000,80900,79600,79700,45435,-0.003750000000000031
2022-01-20,80400,81000,79400,80500,60097,0.010037641154328814
2022-01-21,79900,80500,79500,80000,38969,-0.006211180124223614
2022-01-24,80300,80600,77800,78000,62505,-0.025000000000000022
2022-01-25,78100,78200,75200,76700,119508,-0.01666666666666672
2022-01-26,76600,78500,76500,77600,62901,0.011734028683181297
2022-01-27,78500,78500,75200,75800,91972,-0.023195876288659822
2022-01-28,76900,80300,75300,79400,89615,0.0474934036939314
2022-02-03,79600,81200,79100,80400,49616,0.012594458438287104
2022-02-04,80700,82000,79800,81800,57665,0.017412935323383172
2022-02-07,82100,83500,81000,83500,75979,0.020782396088019572
2022-02-08,83600,84400,82500,83800,55584,0.00359281437125758
2022-02-09,84200,84400,82700,83800,46716,0.0
2022-02-10,83500,85500,83400,85000,75016,0.014319809069212486
2022-02-11,84300,85100,83400,83700,65051,-0.015294117647058791
2022-02-14,82000,83000,81500,81800,39544,-0.022700119474313052
2022-02-15,81700,82500,81100,81500,34486,-0.003667481662591676
2022-02-16,82200,82900,81700,82500,41890,0.012269938650306678
2022-02-17,83300,84400,81800,83600,49414,0.01333333333333342
2022-02-18,82500,84300,82400,83800,43125,0.0023923444976077235
2022-02-21,83300,83700,81900,83200,32174,-0.007159904534606243
2022-02-22,82200,83800,81600,82800,43796,-0.004807692307692291
2022-02-23,84000,84000,82100,82700,30724,-0.0012077294685990392
2022-02-24,81800,82600,81000,81400,42971,-0.01571946795646917
2022-02-25,81600,82500,81000,82000,28427,0.0073710073710073765
2022-02-28,82400,84400,81700,84100,59439,0.025609756097561
2022-03-02,84000,84900,83300,84100,32212,0.0
2022-03-03,84800,84900,84100,84900,42296,0.009512485136742077
2022-03-04,84400,84600,82700,82800,39129,-0.02473498233215543
2022-03-07,82100,82500,79600,80500,49191,-0.02777777777777779
2022-03-08,79500,80100,78500,78500,54191,-0.024844720496894457
2022-03-10,80300,80600,79400,80200,64242,0.021656050955414008
2022-03-11,79500,81300,79300,81000,51222,0.009975062344139696
2022-03-14,81000,81700,79900,80000,37049,-0.012345679012345734
2022-03-15,79100,80100,79000,79200,27272,-0.010000000000000009
2022-03-16,79800,81900,79200,81500,44057,0.029040404040403978
2022-03-17,82300,82600,81000,81000,51041,-0.006134969325153339
2022-03-18,81000,81700,80700,81700,57731,0.00864197530864197
2022-03-21,81600,81900,80800,81100,36622,-0.007343941248470043
2022-03-22,81500,83000,81100,82600,44673,0.018495684340320562
2022-03-23,82900,83700,82500,83400,43695,0.009685230024213176
2022-03-24,82300,83700,82100,82900,36218,-0.005995203836930418
2022-03-25,83100,84000,82800,83600,30390,0.008443908323281013
2022-03-28,83000,84500,82700,84500,33710,0.010765550239234534
2022-03-29,84900,84900,83300,83600,36443,-0.010650887573964485
2022-03-30,84500,84500,83500,84000,27392,0.004784688995215225
2022-03-31,83800,84600,83700,84400,25876,0.004761904761904745
2022-04-01,84000,84600,83500,84200,34623,-0.0023696682464454666
2022-04-04,84200,85700,83800,85500,46424,0.015439429928741033
2022-04-05,85700,85700,84600,85200,27917,-0.0035087719298245723
2022-04-06,85100,85400,83800,84200,36721,-0.011737089201877882
2022-04-07,85100,87500,84400,86900,136265,0.03206650831353919
2022-04-08,86900,88200,86400,86900,87070,0.0
2022-04-11,86900,87700,86300,87400,48490,0.005753739930955071
2022-04-12,86600,87400,85800,85800,39858,-0.01830663615560646
2022-04-13,86400,88300,86300,88000,61398,0.02564102564102555
2022-04-14,87200,88000,86600,88000,58151,0.0
2022-04-15,87200,87500,86700,87200,26020,-0.009090909090909038
2022-04-18,86800,87700,86600,86900,24776,-0.0034403669724770714
2022-04-19,87100,88200,86600,87900,46288,0.011507479861910141
2022-04-20,87100,89000,87000,89000,57630,0.012514220705347023
2022-04-21,89800,89800,88300,88800,29585,-0.0022471910112359383
2022-04-22,88000,89000,87100,88400,33798,-0.0045045045045044585
2022-04-25,87400,88100,86400,86500,30843,-0.021493212669683293
2022-04-26,87100,87800,86200,86400,37372,-0.0011560693641619046
2022-04-27,85100,85700,83500,83700,54329,-0.03125
2022-04-28,83800,85800,83500,85800,43060,0.02508960573476693
2022-04-29,85800,87500,85000,87000,36959,0.013986013986013957
2022-05-02,86500,87600,86300,87000,21858,0.0
2022-05-03,87000,87100,85100,85100,35618,-0.02183908045977012
2022-05-04,85200,86100,84800,85100,27397,0.0
2022-05-06,85000,86800,84300,85600,40997,0.005875440658049458
2022-05-09,85500,86300,83400,83700,36410,-0.02219626168224298
2022-05-10,83100,84600,81500,84100,46514,0.004778972520907976
2022-05-11,83800,84600,83500,84500,30466,0.0047562425683709275
2022-05-12,83700,84700,83000,83200,37951,-0.01538461538461533
2022-05-13,83300,84600,83000,84100,30712,0.01081730769230771
2022-05-16,84200,84800,83500,84000,14646,-0.0011890606420927874
2022-05-17,83400,84800,82600,83100,47186,-0.010714285714285676
2022-05-18,83000,83700,81800,83100,41693,0.0
2022-05-19,82000,82000,80000,81000,69603,-0.02527075812274371
2022-05-20,81600,83000,81000,82800,31152,0.022222222222222143
2022-05-23,82800,83200,82100,82700,22059,-0.0012077294685990392
2022-05-24,82100,83100,81500,81700,28910,-0.01209189842805325
2022-05-25,82700,83000,81600,82000,26233,0.003671970624234966
2022-05-26,81900,82600,81300,81800,30347,-0.0024390243902439046
2022-05-27,82800,82800,82200,82400,19629,0.007334963325183352
2022-05-30,83900,85000,83100,84200,45794,0.02184466019417486
2022-05-31,84500,85900,84100,85400,79590,0.014251781472684133
2022-06-02,83600,85300,83400,83600,41030,-0.021077283372365363
2022-06-03,84600,85600,83900,85300,32832,0.020334928229664984
2022-06-07,84600,85200,84000,84200,30340,-0.01289566236811257
2022-06-08,84000,85100,83800,84100,22782,-0.001187648456057011
2022-06-09,84800,84800,82600,83000,57321,-0.013079667063020217
2022-06-10,83000,83200,82100,82300,40350,-0.008433734939759074
