Date,Open,High,Low,Close,Volume,Change
2022-01-03,22143,22483,22095,22435,47517,0.013141257225433467
2022-01-04,22483,22629,22289,22581,47393,0.006507688878983675
2022-01-05,22775,23017,22240,22387,97561,-0.008591293565386793
2022-01-06,22386,22872,22143,22144,115965,-0.010854513780318986
2022-01-07,22192,22337,22095,22095,39288,-0.0022127890173410103
2022-01-10,22435,22629,22143,22192,69611,0.004390133514369676
2022-01-11,22095,22386,21560,21707,83023,-0.021854722422494643
2022-01-12,21803,22143,21658,21755,34757,0.0022112682544801476
2022-01-13,21755,21755,21269,21270,72896,-0.022293725580326385
2022-01-14,21269,21269,21026,21221,50130,-0.0023037141513869708
2022-01-17,21123,21123,20444,20541,69818,-0.03204373026718821
2022-01-18,20395,20589,19764,19861,101096,-0.03310452266199304
2022-01-19,19618,19812,19375,19424,61871,-0.02200292029605755
2022-01-20,19424,19667,18890,19667,78149,0.012510296540362509
2022-01-21,19618,19909,19327,19521,49709,-0.007423602989779843
2022-01-24,19278,19424,18598,18744,129685,-0.03980328876594441
2022-01-25,18695,18841,18064,18356,98325,-0.020699957319675666
2022-01-26,17967,20104,17676,18696,346075,0.018522553933318697
2022-01-27,18647,18695,17870,17967,91303,-0.03899229781771507
2022-01-28,18016,19812,17821,18696,212631,0.04057438637502098
2022-02-03,18938,19618,18890,19424,51177,0.038938810440735994
2022-02-04,19327,19570,19278,19424,42464,0.0
2022-02-07,19521,19812,19230,19764,33648,0.01750411861614487
2022-02-08,19570,19861,19570,19861,45309,0.004907913377858675
2022-02-09,19861,20978,19861,20881,97719,0.05135693066814362
2022-02-10,20881,20881,20249,20250,97441,-0.030218859250035868
2022-02-11,20249,20249,19715,19861,44673,-0.019209876543209825
2022-02-14,19764,21706,19230,20153,317336,0.01470218015205682
2022-02-15,20007,20346,19715,19861,54323,-0.014489157941745656
2022-02-16,20249,20881,20201,20735,75714,0.0440058405921151
2022-02-17,20784,21172,20541,20978,98138,0.011719315167590949
2022-02-18,20686,21512,20541,21367,95550,0.01854323577080752
2022-02-21,21366,22435,21123,22047,187736,0.03182477652454718
2022-02-22,21706,22435,21658,21998,70650,-0.0022225246065223914
2022-02-23,22143,22726,22095,22581,117185,0.026502409309937303
2022-02-24,22920,23017,21755,21755,136147,-0.03657942518046142
2022-02-25,21949,22823,21900,21949,134680,0.00891749023213051
2022-02-28,22483,25834,22435,24426,1158729,0.1128525217549774
2022-03-02,24426,24474,23843,23892,213898,-0.02186195038074179
2022-03-03,24086,24134,23551,23552,139560,-0.01423070483843969
2022-03-04,23843,24814,23843,24280,280481,0.03091032608695654
2022-03-07,24280,24620,23551,23989,155359,-0.011985172981878067
2022-03-08,23843,24183,23357,23698,89393,-0.012130559839926613
2022-03-10,24668,26659,24377,26417,928542,0.11473542071060838
2022-03-11,26222,27291,26222,27145,430611,0.02755801188628526
2022-03-14,27436,27971,26319,26708,351034,-0.016098729047706706
2022-03-15,26756,30981,26319,26951,3099585,0.009098397483899845
2022-03-16,28602,28893,25445,25446,1397146,-0.055842083781677876
2022-03-17,25591,26854,25445,26029,529488,0.022911263066886844
2022-03-18,26222,26368,24571,24717,535871,-0.050405317146259954
2022-03-21,24717,25057,24523,24717,143870,0.0
2022-03-22,24717,27825,24717,27097,1409825,0.0962900028320588
2022-03-23,27096,27922,26854,27485,404242,0.014318928294645206
2022-03-24,27485,27776,26562,27485,210248,0.0
2022-03-25,27582,28699,26902,28311,477957,0.030052756048753793
2022-03-28,28165,28650,27388,27777,211467,-0.01886192645967999
2022-03-29,28068,28068,26659,26660,275629,-0.04021312596752713
2022-03-30,26951,27048,26222,26563,106037,-0.003638409602400583
2022-03-31,26368,27145,26222,26563,123444,0.0
2022-04-01,26368,26659,26077,26514,94983,-0.0018446711591311171
2022-04-04,26417,28213,26222,27922,280537,0.053104020517462436
2022-04-05,27922,28650,27582,27922,206061,0.0
2022-04-06,27825,29330,27339,27874,478271,-0.001719074564859202
2022-04-07,27922,29136,27922,27922,437939,0.0017220348712061462
2022-04-08,28116,28602,27096,27291,168752,-0.022598667717212195
2022-04-11,27436,27728,26611,26806,138889,-0.017771426477593333
2022-04-12,26562,26854,25251,25883,271603,-0.03443258971871965
2022-04-13,25980,28553,25882,28165,605581,0.08816597766874001
2022-04-14,27971,28699,27533,27583,160898,-0.020663944612107188
2022-04-15,27533,27971,26805,27000,164107,-0.02113620708407349
2022-04-18,26999,27048,26368,26466,78301,-0.019777777777777783
2022-04-19,26465,27631,26465,27291,140241,0.0311720698254363
2022-04-20,28068,29136,27631,27922,401043,0.023121175479095646
2022-04-21,27728,28116,27388,27777,73797,-0.005193037748012275
2022-04-22,27776,28650,27145,28408,161283,0.02271663606580976
2022-04-25,27728,28310,26999,27145,148261,-0.04445930723739788
2022-04-26,27242,27825,26999,27534,54146,0.014330447596242468
2022-04-27,26999,28408,26854,27777,186348,0.008825452168228276
2022-04-28,28116,30059,27971,29476,693579,0.06116571263995385
2022-04-29,29622,30010,28990,30011,266700,0.018150359614601763
2022-05-02,29767,29816,29136,29671,154895,-0.011329179300923031
2022-05-03,29427,29670,28650,28748,150566,-0.031107815712311693
2022-05-04,28747,28845,27194,27777,190207,-0.03377626269653544
2022-05-06,27194,27631,26417,26951,200846,-0.02973683263131366
2022-05-09,26854,27048,25785,26271,160434,-0.02523097473192093
2022-05-10,25834,26028,24766,25640,197642,-0.024018880133988008
2022-05-11,25931,26028,25008,25203,126078,-0.01704368174726989
2022-05-12,24863,24960,23600,23892,341009,-0.052017616950363
2022-05-13,24134,24523,23794,24329,147116,0.01829064121881796
2022-05-16,24474,24960,23989,24232,88778,-0.003987011385589212
2022-05-17,24231,24668,23989,24038,70974,-0.00800594255529874
2022-05-18,24377,24571,23891,24086,91998,0.001996838339296092
2022-05-19,23600,23697,23212,23455,100751,-0.026197791248027902
2022-05-20,23551,23989,23551,23601,67473,0.006224685568109178
2022-05-23,23989,25008,23940,24523,153897,0.03906614126520069
2022-05-24,24668,25348,24377,24717,146839,0.007910940749500384
2022-05-25,24960,25785,24814,25154,187669,0.01768013917546618
2022-05-26,25348,25785,25154,25203,94042,0.0019480003180407657
2022-05-27,25300,25591,24814,25203,81081,0.0
2022-05-30,25397,25882,25203,25397,66488,0.007697496329801989
2022-05-31,25397,25785,24911,25154,95285,-0.009568059219592917
2022-06-02,25251,25251,24814,24863,46510,-0.011568736582650896
2022-06-03,24960,25154,24814,24863,27697,0.0
2022-06-07,25057,25057,24280,24426,48040,-0.017576318223866738
2022-06-08,24377,24474,23891,24038,42572,-0.015884713010726248
2022-06-09,24134,25105,23940,25106,104745,0.04442965304933866
2022-06-10,25008,25154,24377,24815,93414,-0.011590854775750836
2022-06-13,24474,24620,23746,23746,79409,-0.043078782994156795
2022-06-14,23600,23891,23066,23843,102319,0.0040848985092225565
2022-06-15,23843,24086,22726,22872,95655,-0.04072474101413415
2022-06-16,23066,23406,22095,22144,110859,-0.03182931094788388
2022-06-17,21609,22580,21366,22047,100387,-0.004380419075144526
