Date,Open,High,Low,Close,Volume,Change
2022-01-03,19350,19400,18900,19050,21834,-0.015503875968992276
2022-01-04,19100,19100,18500,18700,28373,-0.018372703412073532
2022-01-05,18700,18850,18000,18400,31890,-0.016042780748663055
2022-01-06,18100,18700,18100,18400,14987,0.0
2022-01-07,18550,18600,18150,18600,8062,0.010869565217391353
2022-01-10,19000,19000,18300,18600,12157,0.0
2022-01-11,18600,18750,18100,18400,16796,-0.010752688172043001
2022-01-12,18650,18650,18350,18500,4437,0.005434782608695565
2022-01-13,18650,18650,18000,18150,21879,-0.018918918918918948
2022-01-14,18100,18700,17950,18150,15585,0.0
2022-01-17,18250,18250,17100,17950,22392,-0.011019283746556474
2022-01-18,17850,18400,17850,18300,13614,0.01949860724233976
2022-01-19,17850,18100,17100,17450,29421,-0.04644808743169404
2022-01-20,17400,17700,17150,17650,6658,0.011461318051575908
2022-01-21,17500,18000,17450,17750,11380,0.0056657223796034994
2022-01-24,17600,17700,17100,17500,11261,-0.014084507042253502
2022-01-25,17200,17500,15750,15850,166179,-0.0942857142857143
2022-01-26,15700,16050,15250,16000,52285,0.009463722397476282
2022-01-27,15750,16100,15700,16050,11887,0.0031250000000000444
2022-01-28,16050,16200,15650,16100,8601,0.0031152647975076775
2022-02-03,16350,16650,16100,16600,13321,0.03105590062111796
2022-02-04,16600,16700,16300,16650,8941,0.003012048192771122
2022-02-07,16650,17050,16500,16850,16077,0.012012012012011963
2022-02-08,17000,17300,16900,17200,13190,0.020771513353115667
2022-02-09,17500,17500,16950,17350,14558,0.008720930232558155
2022-02-10,17400,17400,16950,17300,10715,-0.0028818443804035088
2022-02-11,17300,17400,16950,17200,8424,-0.005780346820809301
2022-02-14,17150,17150,16200,16600,20986,-0.03488372093023251
2022-02-15,16450,16650,16150,16350,14054,-0.015060240963855387
2022-02-16,16600,17200,16350,17200,14072,0.051987767584097844
2022-02-17,17300,17700,16850,17100,15991,-0.005813953488372103
2022-02-18,16900,17250,16750,17150,2906,0.0029239766081872176
2022-02-21,17250,17300,16850,17200,4696,0.00291545189504383
2022-02-22,17050,17150,16450,16700,16400,-0.029069767441860517
2022-02-23,16750,16900,16400,16600,14107,-0.005988023952095856
2022-02-24,16600,16600,15900,16350,17470,-0.015060240963855387
2022-02-25,16600,16700,16250,16550,8327,0.012232415902140747
2022-02-28,16600,16900,16500,16800,8588,0.015105740181268867
2022-03-02,16600,16750,16350,16600,23487,-0.011904761904761862
2022-03-03,16750,17150,16450,17100,21775,0.030120481927710774
2022-03-04,17050,17050,16550,16700,9413,-0.023391812865497075
2022-03-07,16500,16600,16400,16550,9313,-0.008982035928143728
2022-03-08,16300,16500,16150,16350,11399,-0.012084592145015116
2022-03-10,16650,16650,16350,16450,18235,0.006116207951070374
2022-03-11,16500,16600,16150,16450,15402,0.0
2022-03-14,16450,16500,16000,16300,13111,-0.00911854103343468
2022-03-15,16300,16400,16000,16400,7631,0.006134969325153339
2022-03-16,16600,16950,16400,16800,23206,0.024390243902439046
2022-03-17,17000,17100,16750,17000,22437,0.011904761904761862
2022-03-18,16900,17150,16750,17050,14560,0.002941176470588225
2022-03-21,17200,17250,16950,17000,7889,-0.0029325513196480912
2022-03-22,17100,17100,16700,16900,12665,-0.00588235294117645
2022-03-23,17100,17500,16950,17100,38810,0.01183431952662728
2022-03-24,17100,17300,16850,17250,17797,0.00877192982456143
2022-03-25,17300,17300,17000,17200,10157,-0.0028985507246376274
2022-03-28,17300,20500,17100,18100,474942,0.05232558139534893
2022-03-29,18100,18250,17750,18000,51238,-0.0055248618784530246
2022-03-30,18000,18250,17600,17900,48881,-0.005555555555555536
2022-03-31,17900,18750,17900,18600,60921,0.03910614525139655
