Date,Open,High,Low,Close,Volume,Change
2022-01-03,3675,3735,3660,3710,63887,0.00952380952380949
2022-01-04,3710,3775,3685,3760,139734,0.013477088948786964
2022-01-05,3760,4505,3750,3980,2733228,0.0585106382978724
2022-01-06,4010,4660,3990,4415,3867112,0.10929648241206036
2022-01-07,4345,4435,4240,4265,588048,-0.033975084937712396
2022-01-10,4340,4345,4150,4150,283267,-0.026963657678780728
2022-01-11,4295,4295,3975,4045,324810,-0.025301204819277112
2022-01-12,4050,4110,4010,4095,207631,0.012360939431396822
2022-01-13,4140,4170,3970,4020,287935,-0.01831501831501836
2022-01-14,3990,4120,3955,4035,223288,0.003731343283582156
2022-01-17,4030,4125,3855,3880,243260,-0.0384138785625775
2022-01-18,3920,3920,3730,3750,313120,-0.03350515463917525
2022-01-19,3680,3780,3680,3710,155656,-0.010666666666666713
2022-01-20,3650,3765,3650,3765,81259,0.014824797843665749
2022-01-21,3760,3765,3675,3710,125369,-0.014608233731739695
2022-01-24,3650,3725,3475,3485,311789,-0.06064690026954178
2022-01-25,3485,3540,3330,3345,194403,-0.04017216642754662
2022-01-26,3290,3420,3290,3360,117285,0.004484304932735439
2022-01-27,3375,3385,3170,3275,192823,-0.02529761904761907
2022-01-28,3275,3410,3260,3410,104335,0.04122137404580162
2022-02-03,3425,3555,3425,3445,120619,0.01026392961876832
2022-02-04,3440,3510,3390,3500,78964,0.0159651669085632
2022-02-07,3510,3510,3450,3465,58075,-0.010000000000000009
2022-02-08,3425,3625,3425,3500,177783,0.010101010101010166
2022-02-09,3530,3590,3505,3570,47978,0.020000000000000018
2022-02-10,3600,3600,3540,3550,50451,-0.0056022408963585235
2022-02-11,3550,3550,3435,3450,70027,-0.028169014084507005
2022-02-14,3350,3395,3225,3250,182410,-0.05797101449275366
2022-02-15,3255,3330,3200,3200,82137,-0.01538461538461533
2022-02-16,3275,3335,3275,3330,56099,0.04062499999999991
2022-02-17,3310,3440,3250,3360,94004,0.009009009009008917
2022-02-18,3270,3435,3225,3355,41597,-0.0014880952380952328
2022-02-21,3355,3405,3305,3390,101441,0.010432190760059523
2022-02-22,3385,3435,3300,3315,101151,-0.02212389380530977
2022-02-23,3350,3785,3350,3615,936196,0.09049773755656099
2022-02-24,3620,3770,3515,3545,428591,-0.019363762102351356
2022-02-25,3610,3650,3515,3550,289400,0.0014104372355430161
2022-02-28,3550,3615,3490,3575,135255,0.007042253521126751
2022-03-02,3580,3730,3580,3655,217741,0.02237762237762242
2022-03-03,3640,3685,3625,3655,105533,0.0
2022-03-04,3655,3735,3630,3705,153038,0.013679890560875485
2022-03-07,3730,3730,3600,3605,129908,-0.026990553306342813
2022-03-08,3620,3660,3460,3485,150256,-0.03328710124826628
2022-03-10,3450,3525,3385,3460,135588,-0.00717360114777621
2022-03-11,3460,3550,3460,3545,67928,0.024566473988439252
2022-03-14,3590,3590,3390,3500,99192,-0.012693935119887145
2022-03-15,3485,3500,3410,3445,69827,-0.01571428571428568
2022-03-16,3445,3540,3435,3520,78178,0.021770682148040565
2022-03-17,3595,3595,3515,3525,42750,0.0014204545454545858
2022-03-18,3530,3570,3490,3540,47879,0.004255319148936065
2022-03-21,3545,3590,3525,3535,41612,-0.0014124293785310327
