Date,Open,High,Low,Close,Volume,Change
2022-01-03,1675,1685,1660,1680,1243015,0.012048192771084265
2022-01-04,1675,1690,1660,1675,688916,-0.0029761904761904656
2022-01-05,1680,1680,1645,1650,1080581,-0.014925373134328401
2022-01-06,1615,1645,1600,1605,1135827,-0.027272727272727226
2022-01-07,1600,1655,1595,1645,620379,0.024922118380062308
2022-01-10,1645,1660,1620,1630,378922,-0.00911854103343468
2022-01-11,1630,1640,1595,1605,828438,-0.015337423312883458
2022-01-12,1605,1630,1605,1605,594566,0.0
2022-01-13,1630,1630,1610,1620,442922,0.009345794392523255
2022-01-14,1610,1640,1600,1600,639120,-0.012345679012345734
2022-01-17,1600,1620,1540,1565,1267654,-0.021874999999999978
2022-01-18,1590,1605,1535,1545,1043931,-0.012779552715655007
2022-01-19,1510,1575,1505,1540,1127248,-0.003236245954692518
2022-01-20,1515,1575,1515,1560,708905,0.01298701298701288
2022-01-21,1565,1570,1520,1530,613810,-0.019230769230769273
2022-01-24,1525,1525,1450,1465,976433,-0.042483660130718914
2022-01-25,1470,1485,1360,1385,1697583,-0.05460750853242324
2022-01-26,1365,1435,1365,1425,940843,0.028880866425992746
2022-01-27,1420,1445,1330,1345,1072459,-0.056140350877192935
2022-01-28,1345,1395,1300,1395,1225650,0.037174721189590976
2022-02-03,1400,1460,1400,1450,776565,0.03942652329749108
2022-02-04,1430,1475,1430,1470,878146,0.01379310344827589
2022-02-07,1520,1520,1465,1475,725144,0.00340136054421758
2022-02-08,1475,1520,1465,1470,894447,-0.003389830508474523
2022-02-09,1490,1530,1490,1510,606511,0.027210884353741527
2022-02-10,1535,1540,1480,1490,1044232,-0.013245033112582738
2022-02-11,1495,1495,1445,1460,969874,-0.020134228187919434
2022-02-14,1420,1435,1380,1390,1267039,-0.047945205479452024
2022-02-15,1380,1410,1360,1365,899849,-0.017985611510791366
2022-02-16,1400,1475,1400,1455,2088782,0.06593406593406592
2022-02-17,1455,1510,1410,1495,1493037,0.027491408934707806
2022-02-18,1465,1510,1445,1505,540923,0.006688963210702337
2022-02-21,1470,1515,1460,1515,513158,0.006644518272425293
2022-02-22,1460,1505,1445,1455,769683,-0.03960396039603964
2022-02-23,1460,1475,1445,1465,408249,0.0068728522336769515
2022-02-24,1450,1460,1390,1405,887469,-0.04095563139931746
2022-02-25,1420,1445,1410,1435,598259,0.021352313167259718
2022-02-28,1445,1480,1435,1450,546352,0.010452961672473782
2022-03-02,1470,1475,1455,1460,354170,0.006896551724137945
2022-03-03,1470,1485,1455,1475,503472,0.010273972602739656
2022-03-04,1480,1495,1445,1460,496994,-0.01016949152542368
2022-03-07,1445,1460,1410,1410,412273,-0.03424657534246578
2022-03-08,1385,1420,1365,1400,436835,-0.007092198581560294
2022-03-10,1435,1445,1410,1430,291958,0.021428571428571352
2022-03-11,1415,1440,1415,1435,210596,0.0034965034965035446
2022-03-14,1430,1445,1405,1420,310200,-0.010452961672473893
2022-03-15,1420,1425,1390,1395,583403,-0.017605633802816878
2022-03-16,1420,1420,1395,1415,529546,0.014336917562723928
2022-03-17,1435,1485,1420,1475,1196877,0.042402826855123754
2022-03-18,1475,1490,1455,1490,707921,0.01016949152542379
2022-03-21,1500,1500,1465,1470,433716,-0.01342281879194629
2022-03-22,1480,1495,1465,1485,461858,0.010204081632652962
2022-03-23,1495,1545,1485,1545,1484338,0.04040404040404044
2022-03-24,1530,1555,1510,1555,723647,0.006472491909385036
2022-03-25,1560,1575,1515,1530,1266017,-0.01607717041800638
2022-03-28,1545,1610,1525,1570,3033009,0.02614379084967311
2022-03-29,1560,1570,1525,1535,1322352,-0.022292993630573243
2022-03-30,1535,1540,1505,1535,847729,0.0
2022-03-31,1530,1580,1515,1540,1607726,0.0032573289902280145
2022-04-01,1530,1555,1520,1535,659947,-0.0032467532467532756
2022-04-04,1540,1560,1525,1555,967149,0.013029315960912058
2022-04-05,1560,1565,1540,1555,673537,0.0
2022-04-06,1555,1610,1540,1595,2897887,0.025723472668810254
2022-04-07,1585,1590,1545,1560,906640,-0.021943573667711602
2022-04-08,1550,1580,1520,1540,561097,-0.012820512820512775
2022-04-11,1540,1540,1495,1515,1106002,-0.016233766233766267
2022-04-12,1500,1520,1475,1515,779374,0.0
2022-04-13,1505,1520,1500,1515,733086,0.0
2022-04-14,1520,1525,1505,1515,537490,0.0
2022-04-15,1490,1510,1485,1495,559817,-0.01320132013201325
2022-04-18,1495,1525,1490,1495,927830,0.0
2022-04-19,1495,1505,1485,1505,460218,0.006688963210702337
2022-04-20,1505,1510,1485,1500,820645,-0.0033222591362126463
2022-04-21,1500,1575,1490,1575,1783417,0.050000000000000044
2022-04-22,1535,1540,1505,1515,3519498,-0.03809523809523807
2022-04-25,1690,1790,1595,1670,43444314,0.10231023102310233
2022-04-26,1700,1930,1675,1835,45032286,0.0988023952095809
2022-04-27,1750,1760,1685,1725,7850315,-0.05994550408719346
2022-04-28,1720,1740,1645,1675,4742481,-0.02898550724637683
2022-04-29,1675,1710,1665,1685,2086815,0.005970149253731405
2022-05-02,1640,1670,1615,1630,2964921,-0.03264094955489616
2022-05-03,1640,1695,1630,1655,3934858,0.015337423312883347
2022-05-04,1680,1820,1655,1730,22096648,0.0453172205438066
2022-05-06,1675,1760,1640,1725,5023451,-0.0028901734104046506
2022-05-09,1760,1850,1725,1800,14654510,0.04347826086956519
2022-05-10,1765,1815,1705,1750,5678051,-0.02777777777777779
2022-05-11,1745,1770,1710,1725,2461912,-0.014285714285714235
2022-05-12,1700,1735,1665,1675,2795150,-0.02898550724637683
2022-05-13,1670,1745,1665,1725,2081553,0.029850746268656803
2022-05-16,1720,1750,1690,1710,1568025,-0.008695652173912993
2022-05-17,1710,1765,1685,1700,1866595,-0.005847953216374324
2022-05-18,1725,1730,1680,1685,931010,-0.008823529411764675
2022-05-19,1635,1660,1630,1645,1210455,-0.023738872403560873
2022-05-20,1640,1680,1640,1660,731506,0.00911854103343468
2022-05-23,1660,1670,1645,1650,663584,-0.0060240963855421326
2022-05-24,1645,1660,1580,1585,1613618,-0.039393939393939426
2022-05-25,1585,1615,1580,1605,737149,0.012618296529968376
2022-05-26,1605,1660,1605,1635,903976,0.01869158878504673
2022-05-27,1660,1660,1625,1630,458771,-0.003058103975535187
2022-05-30,1640,1665,1635,1660,528242,0.018404907975460016
2022-05-31,1680,1680,1650,1675,567107,0.009036144578313143
2022-06-02,1665,1680,1650,1665,532056,-0.005970149253731294
2022-06-03,1665,1680,1620,1645,1042845,-0.012012012012011963
2022-06-07,1645,1655,1605,1620,469427,-0.015197568389057725
2022-06-08,1620,1645,1605,1610,600437,-0.006172839506172867
2022-06-09,1600,1755,1590,1730,4865538,0.07453416149068315
2022-06-10,1870,1895,1730,1740,23706757,0.005780346820809301
2022-06-13,1715,1735,1640,1645,4454031,-0.054597701149425304
2022-06-14,1660,1810,1640,1750,18783338,0.06382978723404253
2022-06-15,1730,1780,1670,1695,4549886,-0.03142857142857147
2022-06-16,1705,1800,1705,1745,4849551,0.029498525073746285
2022-06-17,1700,1765,1680,1755,3211090,0.005730659025787954
2022-06-20,1755,1780,1695,1710,3509951,-0.02564102564102566
2022-06-21,1765,1825,1735,1780,10627665,0.040935672514619936
2022-06-22,1775,1810,1745,1765,5758353,-0.008426966292134797
2022-06-23,1775,1800,1595,1615,6687460,-0.08498583569405094
2022-06-24,1630,1685,1620,1655,7052888,0.024767801857585203
2022-06-27,1655,1700,1645,1670,2041286,0.009063444108761365
2022-06-28,1665,1720,1650,1710,2466667,0.0239520958083832
2022-06-29,1685,1700,1655,1695,1307304,-0.00877192982456143
2022-06-30,1680,1835,1625,1750,22846396,0.032448377581120846
2022-07-01,1715,1730,1610,1640,4429709,-0.06285714285714283
2022-07-04,1660,1670,1520,1520,2968716,-0.07317073170731703
2022-07-05,1525,1575,1500,1550,1695776,0.019736842105263053
2022-07-06,1555,1600,1520,1535,1337911,-0.009677419354838679
2022-07-07,1550,1570,1535,1550,746936,0.009771986970684043
2022-07-08,1565,1595,1540,1550,1837452,0.0
2022-07-11,1560,1565,1530,1535,841774,-0.009677419354838679
2022-07-12,1520,1530,1430,1435,2271930,-0.06514657980456029
2022-07-13,1435,1455,1395,1395,2274471,-0.027874564459930307
2022-07-14,1385,1415,1370,1395,987829,0.0
2022-07-15,1400,1410,1350,1360,1181398,-0.02508960573476704
2022-07-18,1375,1405,1370,1395,690697,0.025735294117646967
2022-07-19,1395,1415,1390,1395,524168,0.0
2022-07-20,1420,1460,1415,1445,1409140,0.03584229390680993
2022-07-21,1445,1485,1420,1460,1249604,0.01038062283737018
2022-07-22,1450,1465,1435,1440,474920,-0.013698630136986356
2022-07-25,1450,1510,1445,1455,1259450,0.01041666666666674
2022-07-26,1460,1475,1445,1450,372756,-0.0034364261168384758
2022-07-27,1445,1455,1430,1435,601668,-0.010344827586206917
2022-07-28,1445,1495,1445,1465,925048,0.020905923344947785
2022-07-29,1470,1485,1460,1465,407851,0.0
2022-08-01,1465,1500,1455,1480,547708,0.010238907849829282
2022-08-02,1470,1525,1470,1485,1575611,0.0033783783783782884
2022-08-03,1480,1495,1475,1485,397614,0.0
2022-08-04,1485,1515,1485,1500,829940,0.010101010101010166
2022-08-05,1520,1520,1485,1490,500158,-0.00666666666666671
2022-08-08,1485,1500,1475,1490,391404,0.0
2022-08-09,1480,1505,1480,1480,468991,-0.006711409395973145
2022-08-10,1485,1485,1450,1455,478921,-0.016891891891891886
2022-08-11,1465,1490,1465,1475,427517,0.013745704467353903
2022-08-12,1475,1490,1470,1485,431004,0.006779661016949046
2022-08-16,1485,1520,1475,1480,990830,-0.0033670033670033517
2022-08-17,1470,1480,1455,1465,523161,-0.010135135135135087
2022-08-18,1445,1515,1440,1500,1179421,0.023890784982935065
2022-08-19,1500,1505,1465,1465,456937,-0.023333333333333317
2022-08-22,1450,1650,1420,1435,11200354,-0.020477815699658675
2022-08-23,1415,1435,1400,1410,803123,-0.017421602787456414
2022-08-24,1410,1455,1400,1410,931815,0.0
2022-08-25,1410,1430,1410,1430,608093,0.014184397163120588
2022-08-26,1430,1445,1410,1420,416778,-0.006993006993006978
2022-08-29,1400,1400,1370,1375,788546,-0.03169014084507038
2022-08-30,1385,1405,1380,1400,404519,0.018181818181818077
2022-08-31,1395,1415,1380,1400,436189,0.0
2022-09-01,1380,1395,1360,1365,947108,-0.025000000000000022
2022-09-02,1375,1415,1370,1370,803745,0.00366300366300365
2022-09-05,1355,1470,1350,1375,5005031,0.0036496350364962904
2022-09-06,1410,1500,1410,1425,9247643,0.036363636363636376
2022-09-07,1420,1420,1380,1380,1034916,-0.03157894736842104
2022-09-08,1380,1395,1375,1375,576939,-0.0036231884057971175
2022-09-13,1385,1410,1385,1390,615978,0.01090909090909098
2022-09-14,1350,1380,1335,1375,470765,-0.010791366906474864
2022-09-15,1380,1390,1370,1375,320789,0.0
2022-09-16,1365,1370,1340,1340,501859,-0.025454545454545507
2022-09-19,1340,1350,1265,1265,998879,-0.05597014925373134
2022-09-20,1270,1290,1265,1270,814557,0.0039525691699604515
2022-09-21,1250,1275,1250,1270,643084,0.0
2022-09-22,1245,1255,1200,1240,541839,-0.023622047244094446
2022-09-23,1235,1245,1190,1190,789699,-0.040322580645161255
2022-09-26,1150,1175,1085,1085,2453304,-0.08823529411764708
2022-09-27,1060,1120,1035,1075,1336911,-0.009216589861751112
2022-09-28,1065,1130,1020,1040,1712467,-0.032558139534883734
2022-09-29,1055,1105,1055,1060,839082,0.019230769230769162
2022-09-30,1035,1080,1030,1060,662107,0.0
2022-10-04,1085,1105,1080,1105,627390,0.04245283018867929
2022-10-05,1115,1130,1075,1080,599434,-0.022624434389140302
2022-10-06,1085,1120,1085,1110,443539,0.02777777777777768
2022-10-07,1110,1120,1095,1100,322172,-0.009009009009009028
2022-10-11,1075,1080,1030,1030,757529,-0.0636363636363636
2022-10-12,1025,1040,1010,1020,544874,-0.009708737864077666
2022-10-13,1015,1020,948,948,1035044,-0.07058823529411762
2022-10-14,966,1020,966,1015,982635,0.07067510548523215
2022-10-17,980,1020,980,1005,306862,-0.009852216748768461
2022-10-18,1020,1055,1020,1050,602506,0.04477611940298498
2022-10-19,1060,1060,1035,1040,231309,-0.00952380952380949
2022-10-20,1030,1055,1020,1025,293464,-0.014423076923076872
2022-10-21,1015,1030,1010,1015,239612,-0.009756097560975618
2022-10-24,1035,1055,1025,1040,319578,0.024630541871921263
2022-10-25,1040,1350,1040,1235,51274250,0.1875
2022-10-26,1225,1280,1215,1260,9710189,0.020242914979757165
2022-10-27,1245,1270,1225,1265,2786519,0.003968253968253954
2022-10-28,1245,1250,1190,1230,2334587,-0.02766798418972327
2022-10-31,1250,1255,1150,1185,3902201,-0.03658536585365857
2022-11-01,1175,1190,1160,1190,2126045,0.00421940928270037
2022-11-02,1180,1180,1150,1150,1523181,-0.03361344537815125
2022-11-03,1130,1170,1120,1160,1264066,0.008695652173912993
2022-11-04,1145,1195,1130,1170,2844819,0.008620689655172376
2022-11-07,1170,1190,1155,1160,1148482,-0.008547008547008517
2022-11-08,1160,1180,1160,1170,1136370,0.008620689655172376
2022-11-09,1180,1185,1165,1165,848582,-0.004273504273504258
2022-11-10,1150,1170,1150,1160,588294,-0.0042918454935622075
2022-11-11,1205,1205,1175,1195,1892084,0.030172413793103425
2022-11-14,1195,1265,1185,1205,4559946,0.008368200836819994
2022-11-15,1205,1245,1185,1225,1049771,0.016597510373443924
2022-11-16,1230,1230,1190,1200,1232039,-0.020408163265306145
2022-11-17,1205,1205,1175,1190,734804,-0.008333333333333304
2022-11-18,1195,1220,1190,1200,777106,0.008403361344537785
2022-11-21,1210,1230,1130,1145,2209415,-0.04583333333333328
2022-11-22,1130,1170,1130,1155,661132,0.008733624454148492
2022-11-23,1145,1255,1145,1170,4010855,0.01298701298701288
2022-11-24,1170,1245,1170,1240,2439457,0.05982905982905984
2022-11-25,1220,1250,1210,1230,1814289,-0.008064516129032251
2022-11-28,1245,1285,1205,1220,4921647,-0.008130081300813052
2022-11-29,1280,1325,1210,1235,11538938,0.012295081967213184
2022-11-30,1230,1235,1200,1225,1485127,-0.0080971659919028
2022-12-01,1240,1250,1220,1230,1477298,0.004081632653061273
2022-12-02,1230,1275,1230,1250,2283814,0.016260162601626105
2022-12-05,1245,1270,1215,1230,1169299,-0.016000000000000014
2022-12-06,1220,1220,1160,1170,1138878,-0.04878048780487809
2022-12-07,1165,1185,1140,1180,1512836,0.008547008547008517
2022-12-08,1170,1185,1135,1150,905507,-0.025423728813559365
2022-12-09,1155,1170,1130,1145,1155155,-0.004347826086956497
2022-12-12,1140,1150,1110,1140,695258,-0.004366812227074246
2022-12-13,1145,1160,1130,1150,592244,0.00877192982456143
2022-12-14,1150,1170,1140,1165,468041,0.01304347826086949
2022-12-15,1160,1170,1150,1165,488150,0.0
2022-12-16,1140,1145,1125,1135,462956,-0.025751072961373356
2022-12-19,1130,1150,1120,1140,770743,0.004405286343612369
2022-12-20,1125,1140,1100,1110,950864,-0.02631578947368418
2022-12-21,1115,1125,1080,1085,1274131,-0.022522522522522515
2022-12-22,1095,1105,1085,1095,639808,0.009216589861751112
2022-12-23,1075,1085,1030,1045,1442960,-0.045662100456621
2022-12-26,1050,1055,1000,1010,1721120,-0.03349282296650713
2022-12-27,1005,1045,1005,1040,801192,0.02970297029702973
2022-12-28,1030,1080,1030,1075,989444,0.033653846153846256
2022-12-29,1060,1075,1035,1065,747091,-0.009302325581395321
2023-01-02,1065,1085,1040,1055,1082958,-0.009389671361502372
2023-01-03,1035,1055,1015,1045,970162,-0.009478672985781977
2023-01-04,1030,1060,1030,1055,366133,0.009569377990430672
2023-01-05,1070,1085,1050,1065,622241,0.009478672985782088
2023-01-06,1055,1120,1050,1085,2044767,0.018779342723004744
2023-01-09,1085,1100,1080,1100,1233593,0.01382488479262678
2023-01-10,1095,1140,1080,1130,1497994,0.027272727272727337
2023-01-11,1135,1160,1110,1155,2011873,0.022123893805309658
2023-01-12,1170,1195,1150,1165,1819958,0.008658008658008587
2023-01-13,1190,1195,1165,1175,1322881,0.008583690987124415
2023-01-16,1180,1280,1170,1220,8691852,0.038297872340425476
2023-01-17,1245,1255,1200,1245,2413451,0.020491803278688492
2023-01-18,1240,1250,1225,1240,855989,-0.004016064257028162
2023-01-19,1215,1220,1200,1210,643485,-0.024193548387096753
2023-01-20,1205,1215,1200,1210,291803,0.0
2023-01-25,1211,1310,1211,1267,7524843,0.047107438016528835
2023-01-26,1286,1295,1259,1260,1528136,-0.0055248618784530246
2023-01-27,1260,1268,1240,1263,775373,0.0023809523809523725
2023-01-30,1287,1287,1243,1252,867659,-0.008709422011084711
2023-01-31,1240,1250,1220,1221,679091,-0.024760383386581486
2023-02-01,1225,1236,1206,1214,474093,-0.005733005733005725
2023-02-02,1216,1246,1216,1240,637272,0.021416803953871577
2023-02-03,1242,1244,1210,1211,612702,-0.023387096774193594
2023-02-06,1220,1220,1185,1191,483614,-0.01651527663088359
2023-02-07,1185,1198,1184,1187,466894,-0.0033585222502099388
2023-02-08,1205,1240,1200,1235,1280536,0.04043807919123843
2023-02-09,1235,1269,1225,1237,1221743,0.0016194331983805377
2023-02-10,1230,1237,1191,1196,1653912,-0.03314470493128541
2023-02-13,1205,1205,1186,1188,411915,-0.006688963210702337
2023-02-14,1188,1206,1188,1204,521906,0.013468013468013407
2023-02-15,1194,1205,1160,1170,719169,-0.028239202657807327
2023-02-16,1184,1206,1183,1201,645377,0.0264957264957264
2023-02-17,1185,1197,1170,1170,505304,-0.025811823480432983
2023-02-20,1167,1184,1166,1178,397894,0.006837606837606813
2023-02-21,1174,1185,1150,1157,1066416,-0.017826825127334467
2023-02-22,1138,1154,1135,1137,426548,-0.01728608470181503
2023-02-23,1126,1142,1066,1126,667366,-0.009674582233949014
2023-02-24,1121,1135,1114,1114,326170,-0.010657193605683846
2023-02-27,1105,1112,1087,1089,336718,-0.022441651705565557
2023-02-28,1087,1105,1087,1105,232189,0.01469237832874204
2023-03-02,1106,1122,1100,1119,343608,0.012669683257918507
2023-03-03,1119,1150,1111,1127,372786,0.0071492403932083
2023-03-06,1126,1129,1109,1120,308950,-0.006211180124223614
2023-03-07,1099,1119,1091,1108,377451,-0.010714285714285676
2023-03-08,1095,1143,1091,1091,790658,-0.01534296028880866
2023-03-09,1085,1101,1080,1088,249446,-0.002749770852429001
2023-03-10,1080,1080,1056,1056,364235,-0.02941176470588236
2023-03-13,1026,1126,1017,1051,483315,-0.004734848484848508
2023-03-14,1057,1065,1012,1012,581725,-0.0371075166508088
2023-03-15,1020,1050,1020,1045,387615,0.032608695652173836
2023-03-16,1039,1048,1017,1035,435295,-0.009569377990430672
2023-03-17,1042,1073,1035,1044,526757,0.008695652173912993
