Date,Open,High,Low,Close,Volume,Change
2022-01-03,10750,11100,10600,11100,153532,0.032558139534883734
2022-01-04,11200,11650,11100,11550,244272,0.04054054054054057
2022-01-05,11550,11550,11050,11550,177157,0.0
2022-01-06,11400,11850,11350,11500,159940,-0.0043290043290042934
2022-01-07,11350,11900,11350,11800,163697,0.026086956521739202
2022-01-10,11950,12100,11850,11950,271139,0.012711864406779627
2022-01-11,12000,12100,11450,11500,211519,-0.03765690376569042
2022-01-12,11700,11800,11350,11650,108577,0.01304347826086949
2022-01-13,11450,11700,11450,11650,90007,0.0
2022-01-14,11600,11700,11450,11700,92216,0.0042918454935623185
2022-01-17,11650,12150,11550,12150,188995,0.03846153846153855
2022-01-18,12200,12550,12150,12450,270156,0.024691358024691468
2022-01-19,12300,12600,12100,12200,146769,-0.02008032128514059
2022-01-20,12100,12400,12050,12200,131926,0.0
2022-01-21,12100,12150,11450,11650,182379,-0.04508196721311475
2022-01-24,11500,11500,10450,10550,453966,-0.09442060085836912
2022-01-25,10550,10650,9880,10350,247210,-0.018957345971563955
2022-01-26,10050,10950,10050,10700,178471,0.033816425120772875
2022-01-27,10700,10900,10350,10650,110779,-0.004672897196261627
2022-01-28,10600,10950,10450,10950,102250,0.028169014084507005
2022-02-03,11100,11850,11100,11800,217788,0.07762557077625565
2022-02-04,11800,12250,11600,12150,190026,0.029661016949152463
2022-02-07,12150,12350,11900,12200,142743,0.004115226337448652
2022-02-08,12150,12300,11450,11750,183630,-0.03688524590163933
2022-02-09,11750,12050,11750,11900,52189,0.012765957446808418
2022-02-10,12000,12050,11750,12050,63813,0.012605042016806678
2022-02-11,11800,12250,11800,11950,66147,-0.008298755186721962
2022-02-14,11650,11800,11100,11300,181554,-0.05439330543933052
2022-02-15,11300,11450,11050,11050,91964,-0.02212389380530977
2022-02-16,11450,12100,11350,11950,192055,0.08144796380090491
2022-02-17,12150,12400,11650,12200,429693,0.02092050209205021
2022-02-18,11850,12650,11850,12500,434951,0.024590163934426146
2022-02-21,12300,13300,12250,12850,619358,0.028000000000000025
2022-02-22,12700,13200,12550,12900,379170,0.0038910505836575737
2022-02-23,13050,13050,12700,12850,197956,-0.003875968992248069
2022-02-24,12750,12850,12200,12350,294451,-0.03891050583657585
2022-02-25,12550,12850,12450,12700,177296,0.028340080971659853
2022-02-28,12700,12800,12300,12600,126468,-0.007874015748031482
2022-03-02,12600,12650,12350,12500,152267,-0.007936507936507908
2022-03-03,12600,12750,12400,12600,113113,0.008000000000000007
2022-03-04,12500,12550,12350,12450,89377,-0.011904761904761862
2022-03-07,12450,12450,11800,11850,260285,-0.048192771084337394
2022-03-08,11650,11850,11000,11350,373083,-0.04219409282700426
2022-03-10,11750,11750,11400,11500,124582,0.013215859030837107
2022-03-11,11400,12150,11350,12100,286480,0.05217391304347818
2022-03-14,12000,12200,11750,11900,134085,-0.016528925619834656
2022-03-15,11800,12000,11650,11900,88587,0.0
2022-03-16,12150,12150,11800,12050,114077,0.012605042016806678
2022-03-17,12200,12250,11950,12250,142063,0.016597510373443924
2022-03-18,12200,12250,12050,12100,69489,-0.01224489795918371
2022-03-21,12100,12150,11800,11950,102140,-0.012396694214875992
2022-03-22,11950,12100,11800,12100,79951,0.012552301255230214
2022-03-23,12100,12100,11650,11850,216793,-0.02066115702479343
2022-03-24,11750,11950,11700,11900,111031,0.00421940928270037
2022-03-25,11900,11950,11750,11900,91349,0.0
2022-03-28,11800,12100,11750,12100,147067,0.01680672268907557
2022-03-29,12200,12850,12150,12850,475262,0.06198347107438007
2022-03-30,13000,13050,12550,12700,236741,-0.011673151750972721
2022-03-31,12600,12800,12400,12700,218597,0.0
2022-04-01,12650,12750,12550,12600,119002,-0.007874015748031482
2022-04-04,12550,12900,12450,12800,168858,0.015873015873015817
2022-04-05,12850,12850,12650,12700,92915,-0.0078125
2022-04-06,12500,12600,12300,12450,153117,-0.019685039370078705
2022-04-07,12300,12650,12200,12650,132079,0.016064257028112428
2022-04-08,12700,12750,12400,12600,153554,-0.0039525691699604515
2022-04-11,12500,12700,12350,12450,157085,-0.011904761904761862
2022-04-12,12400,12450,12000,12050,133317,-0.032128514056224855
2022-04-13,12100,12200,12050,12100,63547,0.004149377593360981
2022-04-14,12150,12300,11900,11950,164136,-0.012396694214875992
2022-04-15,11800,12050,11700,11950,183313,0.0
2022-04-18,11950,11950,11700,11750,112174,-0.01673640167364021
2022-04-19,11800,11900,11500,11550,191907,-0.017021276595744705
2022-04-20,11550,11600,11000,11200,390347,-0.030303030303030276
2022-04-21,11200,11250,11100,11200,116087,0.0
2022-04-22,11100,11100,10750,10850,201561,-0.03125
2022-04-25,10650,10700,10250,10250,276249,-0.055299539170506895
2022-04-26,10350,10500,10250,10300,118694,0.004878048780487809
2022-04-27,10050,10150,9910,10150,139169,-0.014563106796116498
2022-04-28,10200,10250,10000,10100,91715,-0.0049261083743842304
2022-04-29,10100,10550,10100,10550,136701,0.044554455445544594
2022-05-02,10300,10750,10300,10600,132442,0.004739336492890933
2022-05-03,10650,10650,10400,10450,87690,-0.014150943396226467
2022-05-04,10450,10450,10100,10100,144308,-0.03349282296650713
2022-05-06,9930,10050,9910,9990,124146,-0.0108910891089109
2022-05-09,9990,10050,9450,9520,194973,-0.0470470470470471
2022-05-10,9350,9420,9000,9400,175572,-0.012605042016806678
2022-05-11,9460,9470,8980,9010,274209,-0.04148936170212769
2022-05-12,8930,8970,8670,8680,153391,-0.03662597114317423
2022-05-13,8680,8850,8680,8780,83157,0.011520737327188835
2022-05-16,8790,9080,8790,8880,76940,0.011389521640091216
2022-05-17,8920,9060,8760,9060,57442,0.020270270270270174
2022-05-18,9070,9090,8900,8910,50575,-0.01655629139072845
2022-05-19,8730,8730,8500,8660,82175,-0.02805836139169471
2022-05-20,8700,8820,8700,8740,50317,0.009237875288683695
2022-05-23,8780,8910,8760,8880,38590,0.016018306636155666
2022-05-24,8890,9020,8830,8830,52863,-0.005630630630630629
2022-05-25,8850,8890,8790,8840,24943,0.0011325028312569874
2022-05-26,8870,8980,8830,8850,30727,0.0011312217194570096
2022-05-27,8860,8940,8850,8940,40840,0.01016949152542379
2022-05-30,8950,9040,8930,9010,42679,0.007829977628635243
2022-05-31,9010,9030,8950,8990,27719,-0.002219755826859071
2022-06-02,9000,9000,8950,9000,28143,0.0011123470522802492
2022-06-03,9050,9080,8990,9030,53501,0.0033333333333334103
2022-06-07,9070,11000,8860,9440,3892585,0.04540420819490576
2022-06-08,9490,10800,9450,9970,3652773,0.056144067796610075
2022-06-09,9970,9970,9530,9540,434632,-0.04312938816449352
2022-06-10,9440,9540,9270,9350,164520,-0.01991614255765195
2022-06-13,9090,9690,9090,9140,284632,-0.022459893048128343
2022-06-14,9080,9210,8990,9100,144329,-0.004376367614879695
2022-06-15,9090,9160,8600,8660,147218,-0.0483516483516484
2022-06-16,8720,8940,8530,8560,110734,-0.011547344110854452
2022-06-17,8390,8450,8160,8450,139280,-0.012850467289719614
2022-06-20,8450,8460,7700,7810,202473,-0.07573964497041419
2022-06-21,7810,8000,7710,7890,77622,0.010243277848911658
2022-06-22,7950,8060,7400,7450,86001,-0.055766793409378956
2022-06-23,7410,7480,6990,7010,137448,-0.059060402684563806
2022-06-24,6900,7360,6900,7310,113666,0.042796005706134066
2022-06-27,7350,7650,7320,7630,79470,0.04377564979480164
2022-06-28,7630,8680,7630,7940,834255,0.04062909567496731
