Date,Open,High,Low,Close,Volume,Change
2022-01-03,1045,1050,1030,1050,81610,0.009615384615384581
2022-01-04,1060,1065,1050,1065,210397,0.014285714285714235
2022-01-05,1065,1065,1035,1055,192008,-0.009389671361502372
2022-01-06,1050,1060,1035,1055,143440,0.0
2022-01-07,1045,1070,1045,1070,102044,0.014218009478673022
2022-01-10,1070,1085,1060,1085,211125,0.014018691588784993
2022-01-11,1085,1090,1055,1070,132491,-0.01382488479262678
2022-01-12,1080,1080,1040,1070,143202,0.0
2022-01-13,1075,1075,1050,1050,81645,-0.01869158878504673
2022-01-14,1055,1060,1040,1050,116543,0.0
2022-01-17,1050,1060,1035,1050,99154,0.0
2022-01-18,1050,1055,1020,1025,139787,-0.023809523809523836
2022-01-19,1015,1045,1005,1030,172153,0.004878048780487809
2022-01-20,1020,1040,1020,1030,80180,0.0
2022-01-21,1035,1050,1025,1050,171171,0.01941747572815533
2022-01-24,1050,1050,1025,1025,227226,-0.023809523809523836
2022-01-25,1020,1030,995,996,275466,-0.028292682926829293
2022-01-26,972,1010,972,1000,148672,0.004016064257028162
2022-01-27,1010,1010,980,985,281874,-0.015000000000000013
2022-01-28,985,1015,983,1000,160411,0.015228426395939021
2022-02-03,1005,1040,1005,1035,145693,0.03499999999999992
2022-02-04,1035,1055,1025,1050,168691,0.01449275362318847
2022-02-07,1050,1090,1040,1075,237839,0.023809523809523725
2022-02-08,1075,1100,1055,1065,248556,-0.009302325581395321
2022-02-09,1060,1075,1060,1070,73437,0.0046948356807512415
2022-02-10,1070,1150,1065,1090,721745,0.01869158878504673
2022-02-11,1095,1140,1075,1120,622644,0.02752293577981657
2022-02-14,1105,1150,1060,1145,737395,0.022321428571428603
2022-02-15,1150,1155,1080,1080,567931,-0.05676855895196509
2022-02-16,1110,1130,1090,1130,180625,0.04629629629629628
2022-02-17,1115,1145,1110,1130,482679,0.0
2022-02-18,1115,1140,1110,1135,174424,0.004424778761061843
2022-02-21,1135,1135,1110,1135,73760,0.0
2022-02-22,1125,1130,1075,1100,436595,-0.03083700440528636
2022-02-23,1100,1135,1095,1130,139084,0.027272727272727337
2022-02-24,1115,1125,1080,1085,249917,-0.03982300884955747
2022-02-25,1100,1180,1100,1175,980410,0.08294930875576045
2022-02-28,1165,1205,1160,1180,686646,0.004255319148936065
