Date,Open,High,Low,Close,Volume,Change
2022-01-03,1385,1585,1360,1435,4097432,0.036101083032491044
2022-01-04,1435,1450,1390,1400,1067961,-0.024390243902439046
2022-01-05,1400,1400,1325,1325,1279708,-0.0535714285714286
2022-01-06,1300,1355,1295,1340,715983,0.01132075471698113
2022-01-07,1355,1470,1335,1380,2380871,0.029850746268656803
2022-01-10,1380,1380,1335,1340,753099,-0.02898550724637683
2022-01-11,1330,1450,1330,1360,2366463,0.014925373134328401
2022-01-12,1350,1380,1335,1370,826869,0.007352941176470562
2022-01-13,1380,1380,1330,1330,575249,-0.029197080291970767
2022-01-14,1380,1430,1340,1350,3463215,0.015037593984962516
2022-01-17,1385,1460,1365,1410,4284550,0.04444444444444451
2022-01-18,1395,1400,1345,1360,1222140,-0.03546099290780147
2022-01-19,1325,1365,1320,1335,805230,-0.018382352941176516
2022-01-20,1320,1345,1315,1325,619748,-0.0074906367041198685
2022-01-21,1310,1320,1255,1265,1115811,-0.04528301886792452
2022-01-24,1255,1255,1185,1185,1037546,-0.06324110671936756
2022-01-25,1115,1125,1050,1065,3955595,-0.10126582278481011
2022-01-26,1060,1180,1060,1145,3725618,0.07511737089201875
2022-01-27,1140,1175,1090,1150,3048001,0.004366812227074135
2022-01-28,1160,1190,1115,1185,2267488,0.0304347826086957
2022-02-03,1185,1245,1165,1225,2211604,0.03375527426160341
2022-02-04,1210,1240,1205,1220,1058975,-0.004081632653061273
2022-02-07,1220,1235,1205,1210,627113,-0.008196721311475419
2022-02-08,1220,1300,1205,1215,3519249,0.004132231404958775
2022-02-09,1220,1275,1215,1265,1539102,0.04115226337448563
2022-02-10,1270,1270,1220,1220,923250,-0.035573122529644285
2022-02-11,1215,1250,1190,1225,748437,0.004098360655737654
2022-02-14,1205,1225,1150,1160,1160465,-0.05306122448979589
2022-02-15,1175,1180,1125,1130,883654,-0.025862068965517238
2022-02-16,1150,1250,1150,1225,2330840,0.08407079646017701
2022-02-17,1225,1260,1190,1240,1724325,0.012244897959183598
2022-02-18,1240,1350,1225,1270,5776517,0.024193548387096753
2022-02-21,1240,1315,1230,1260,2200806,-0.007874015748031482
2022-02-22,1230,1255,1205,1210,930394,-0.03968253968253965
2022-02-23,1220,1240,1205,1220,838986,0.008264462809917328
2022-02-24,1260,1325,1160,1165,4724475,-0.04508196721311475
2022-02-25,1195,1250,1185,1245,2245697,0.06866952789699576
2022-02-28,1225,1250,1195,1235,1581359,-0.008032128514056214
2022-03-02,1235,1265,1225,1260,954859,0.020242914979757165
2022-03-03,1310,1485,1265,1365,37283288,0.08333333333333326
2022-03-04,1350,1385,1305,1340,4487211,-0.01831501831501836
2022-03-07,1380,1445,1365,1380,12778751,0.029850746268656803
2022-03-08,1330,1380,1325,1355,2653284,-0.018115942028985477
2022-03-10,1440,1475,1375,1405,9646813,0.03690036900368998
2022-03-11,1415,1685,1400,1580,60349309,0.12455516014234869
2022-03-14,1595,1595,1530,1595,7776463,0.009493670886076
2022-03-15,1640,1730,1570,1570,12185796,-0.01567398119122254
2022-03-16,1625,1710,1570,1650,24888318,0.05095541401273884
2022-03-17,1645,1650,1580,1600,5564730,-0.030303030303030276
2022-03-18,1590,1605,1555,1590,2726565,-0.006249999999999978
2022-03-21,1790,2065,1785,2065,81588780,0.2987421383647799
2022-03-22,2025,2170,1940,1990,89192283,-0.03631961259079908
2022-03-23,1990,2050,1945,2045,33695572,0.027638190954773822
2022-03-24,2010,2185,1975,2065,54536011,0.009779951100244544
2022-03-25,2080,2200,2060,2200,27505606,0.06537530266343827
2022-03-28,2380,2520,2160,2160,74631758,-0.018181818181818188
2022-03-29,2450,2450,2130,2195,36698470,0.01620370370370372
2022-03-30,2075,2330,2010,2180,47622499,-0.006833712984054663
2022-03-31,2210,2300,2135,2140,19105683,-0.01834862385321101
2022-04-01,2120,2155,2030,2030,8476907,-0.051401869158878455
2022-04-04,2095,2175,2035,2105,17245566,0.03694581280788167
