Date,Open,High,Low,Close,Volume,Change
2022-01-03,18850,19050,18700,18950,11068,0.0053050397877985045
2022-01-04,18950,19300,18900,19200,28727,0.013192612137203241
2022-01-05,19200,19500,19100,19400,43614,0.01041666666666674
2022-01-06,19350,19350,18850,19050,21962,-0.01804123711340211
2022-01-07,19050,19200,18850,18850,13992,-0.01049868766404205
2022-01-10,18950,19100,18500,18750,9791,-0.0053050397877983935
2022-01-11,18600,18950,18300,18450,26343,-0.016000000000000014
2022-01-12,18450,18700,18450,18550,7716,0.005420054200542035
2022-01-13,18550,18750,18450,18550,9124,0.0
2022-01-14,18550,18550,17800,18100,27363,-0.02425876010781669
2022-01-17,17950,18000,17350,17500,36844,-0.03314917127071826
2022-01-18,17500,17750,16950,17000,14745,-0.02857142857142858
2022-01-19,16750,17200,16600,17000,9506,0.0
2022-01-20,17000,17250,16900,17150,6743,0.008823529411764675
2022-01-21,17100,17250,16950,17250,9726,0.005830903790087438
2022-01-24,17100,17100,16600,17000,9699,-0.01449275362318836
2022-01-25,16900,16900,15900,16300,26118,-0.04117647058823526
2022-01-26,16300,16600,16100,16250,10796,-0.0030674846625766694
2022-01-27,16050,16300,14950,15100,42406,-0.0707692307692308
2022-01-28,15550,15550,14800,15150,50596,0.0033112582781456013
2022-02-03,15500,15800,15250,15600,48362,0.02970297029702973
2022-02-04,15550,15900,15500,15750,48575,0.009615384615384581
2022-02-07,15750,15800,15450,15550,35196,-0.012698412698412653
2022-02-08,15600,15650,15400,15450,26379,-0.006430868167202619
2022-02-09,15550,15950,15450,15700,34484,0.016181229773462702
2022-02-10,15700,15950,15650,15900,16387,0.01273885350318471
2022-02-11,15900,15900,15400,15400,20279,-0.03144654088050314
2022-02-14,15350,15350,14100,14850,36850,-0.0357142857142857
2022-02-15,14800,14850,14250,14550,51419,-0.02020202020202022
2022-02-16,14650,15000,14600,14900,50896,0.02405498281786933
2022-02-17,14900,15100,14600,14700,31691,-0.01342281879194629
2022-02-18,14700,15350,14550,15250,42728,0.03741496598639449
2022-02-21,15300,15350,15000,15300,9433,0.003278688524590123
2022-02-22,15000,15400,14850,15250,21810,-0.0032679738562091387
2022-02-23,15300,16200,15250,16050,38444,0.05245901639344264
2022-02-24,16000,16350,15750,16100,54803,0.0031152647975076775
2022-02-25,16100,16400,15950,16150,24714,0.0031055900621117516
2022-02-28,16250,16650,16150,16500,18855,0.021671826625387025
2022-03-02,16500,16700,16250,16450,21389,-0.00303030303030305
2022-03-03,16400,16600,16350,16450,34763,0.0
2022-03-04,16650,17050,16500,16850,23383,0.024316109422492405
2022-03-07,16700,17000,15600,16300,15284,-0.03264094955489616
2022-03-08,16150,16300,15950,16300,17326,0.0
2022-03-10,16300,16650,16200,16550,6234,0.015337423312883347
2022-03-11,16600,17000,16400,16950,18338,0.024169184290030232
2022-03-14,16900,17200,16700,17000,20074,0.002949852507374562
2022-03-15,16850,17200,16500,16800,52706,-0.0117647058823529
2022-03-16,17000,17200,16700,17100,18411,0.017857142857142794
2022-03-17,17100,17200,17000,17100,11778,0.0
2022-03-18,17100,17350,17050,17350,44997,0.014619883040935644
2022-03-21,17350,17450,17150,17200,9986,-0.008645533141210415
2022-03-22,17200,17400,17050,17150,3801,-0.0029069767441860517
2022-03-23,17150,17450,17100,17300,18285,0.008746355685131268
2022-03-24,17200,17200,17000,17050,10948,-0.014450867052023142
2022-03-25,17250,17300,16950,17250,18024,0.011730205278592365
2022-03-28,17250,17600,17000,17350,43198,0.005797101449275255
2022-03-29,17400,17700,17350,17550,14466,0.011527377521613813
2022-03-30,17700,17700,17300,17350,6974,-0.01139601139601143
2022-03-31,17400,17450,17100,17450,9216,0.0057636887608070175
2022-04-01,17450,17650,17100,17550,19428,0.005730659025787954
2022-04-04,17550,17600,17400,17550,3857,0.0
2022-04-05,17500,17550,17100,17150,8761,-0.022792022792022748
2022-04-06,17150,17250,16800,16900,12483,-0.014577259475218707
2022-04-07,16900,16900,16300,16600,19565,-0.017751479289940808
2022-04-08,16600,16950,16600,16800,22888,0.012048192771084265
2022-04-11,16800,16900,16500,16600,6052,-0.011904761904761862
2022-04-12,16300,16500,16200,16350,7930,-0.015060240963855387
2022-04-13,16350,16500,16350,16450,3464,0.006116207951070374
2022-04-14,16500,16700,16400,16650,7307,0.012158054711246091
2022-04-15,16700,16700,16450,16600,1812,-0.0030030030030030463
2022-04-18,16750,17300,16450,16900,18525,0.01807228915662651
2022-04-19,17000,17350,16900,17200,26138,0.01775147928994092
2022-04-20,17250,17300,16900,17000,5129,-0.011627906976744207
2022-04-21,16950,17050,16650,16900,6445,-0.00588235294117645
2022-04-22,16800,16850,16450,16800,7995,-0.00591715976331364
2022-04-25,16500,16600,16100,16100,12189,-0.04166666666666663
2022-04-26,16400,16450,16100,16300,8190,0.012422360248447228
2022-04-27,16050,16300,15800,16200,10169,-0.006134969325153339
2022-04-28,16150,16250,15950,16050,7825,-0.0092592592592593
2022-04-29,16050,16650,16050,16500,11949,0.028037383177569986
2022-05-02,16500,16600,16000,16200,9588,-0.018181818181818188
2022-05-03,16150,16500,16100,16300,5783,0.006172839506172867
2022-05-04,16300,16600,16100,16400,5791,0.006134969325153339
2022-05-06,16100,16650,15950,16250,9742,-0.009146341463414642
2022-05-09,16200,16250,15900,16050,10754,-0.012307692307692353
2022-05-10,15600,16000,15350,15800,17345,-0.015576323987538943
2022-05-11,15800,16250,15700,15950,54343,0.009493670886076
2022-05-12,15750,15950,15500,15750,7506,-0.01253918495297801
2022-05-13,15600,15950,15500,15800,6614,0.0031746031746031633
2022-05-16,15800,16000,15600,15700,7042,-0.006329113924050667
2022-05-17,15700,16000,15550,15700,7468,0.0
2022-05-18,15700,16300,15600,15850,15582,0.009554140127388644
2022-05-19,15550,15800,15400,15650,9053,-0.012618296529968487
2022-05-20,15650,15700,15300,15400,20071,-0.015974440894568676
2022-05-23,15400,15700,15350,15500,5332,0.006493506493506551
2022-05-24,15400,15550,15000,15000,19163,-0.032258064516129004
2022-05-25,15000,15300,14950,15050,10000,0.0033333333333334103
2022-05-26,15200,15250,15000,15150,4990,0.006644518272425293
2022-05-27,15300,15300,15050,15100,2706,-0.0033003300330033403
2022-05-30,15150,15450,15150,15400,6970,0.019867549668874274
2022-05-31,15500,15500,14950,15150,14358,-0.016233766233766267
2022-06-02,15100,15300,15050,15200,5021,0.0033003300330032292
2022-06-03,15200,15300,15050,15200,8606,0.0
2022-06-07,15300,15350,14850,15100,17494,-0.006578947368421018
2022-06-08,15050,15400,15050,15150,4097,0.0033112582781456013
2022-06-09,15200,15200,14800,14850,11246,-0.01980198019801982
2022-06-10,14950,15200,14600,15200,8505,0.023569023569023573
2022-06-13,15000,15050,14550,14550,11346,-0.042763157894736836
2022-06-14,14450,14650,14200,14400,11771,-0.010309278350515427
2022-06-15,14050,14300,13800,14000,20220,-0.02777777777777779
2022-06-16,14400,14400,13450,13450,20825,-0.03928571428571426
2022-06-17,13300,13300,12350,12650,84399,-0.059479553903345694
2022-06-20,12750,12850,12350,12400,50616,-0.01976284584980237
2022-06-21,12400,12700,12200,12700,11295,0.024193548387096753
2022-06-22,12700,12800,12100,12200,13364,-0.03937007874015752
2022-06-23,12000,12300,11450,11750,34885,-0.03688524590163933
2022-06-24,11550,12300,11550,12250,16886,0.042553191489361764
2022-06-27,12250,12700,12250,12600,23375,0.02857142857142847
2022-06-28,12700,12750,12450,12750,25245,0.011904761904761862
2022-06-29,12750,13500,12550,13300,20746,0.04313725490196085
2022-06-30,13300,13500,13100,13300,11430,0.0
2022-07-01,13050,13650,13050,13350,33256,0.003759398496240518
2022-07-04,13350,13600,13100,13250,9688,-0.0074906367041198685
2022-07-05,13100,13550,13100,13550,4633,0.02264150943396226
2022-07-06,13650,13800,13250,13700,6906,0.011070110701107083
2022-07-07,13550,13900,13350,13750,6980,0.0036496350364962904
2022-07-08,13650,14100,13650,13850,4035,0.0072727272727273196
2022-07-11,13850,13950,13550,13950,8609,0.0072202166064982976
2022-07-12,13900,13900,13450,13750,3439,-0.014336917562724039
2022-07-13,13700,13850,13450,13800,16636,0.0036363636363636598
2022-07-14,13450,13800,13300,13750,25154,-0.0036231884057971175
2022-07-15,13750,13900,13450,13850,3711,0.0072727272727273196
2022-07-18,13950,14000,13700,13950,4950,0.0072202166064982976
2022-07-19,13850,14000,13800,13850,3403,-0.007168458781361964
2022-07-20,14000,14000,13800,13800,6359,-0.0036101083032491488
2022-07-21,14050,14050,13700,13950,4958,0.010869565217391353
2022-07-22,14100,14100,13700,13950,2469,0.0
2022-07-25,13950,13950,13600,13750,4308,-0.014336917562724039
2022-07-26,13600,13900,13500,13600,1068,-0.010909090909090868
2022-07-27,13700,13950,13500,13600,4891,0.0
2022-07-28,13750,13800,13450,13700,2570,0.007352941176470562
2022-07-29,13750,13850,13100,13800,3627,0.007299270072992803
2022-08-01,13800,14000,13750,13950,2942,0.010869565217391353
2022-08-02,13950,14000,13550,13800,4097,-0.010752688172043001
2022-08-03,13800,13800,13500,13800,3830,0.0
2022-08-04,13750,13900,13500,13700,17532,-0.007246376811594235
2022-08-05,13700,14550,13650,14450,34449,0.054744525547445244
2022-08-08,14600,14700,13900,14050,28903,-0.02768166089965396
2022-08-09,13900,14050,13650,13950,9425,-0.007117437722419906
2022-08-10,13800,13850,13350,13600,12207,-0.02508960573476704
2022-08-11,13550,13850,13350,13800,36236,0.014705882352941124
2022-08-12,14000,14000,13600,13750,28239,-0.0036231884057971175
2022-08-16,13750,13750,13450,13600,15916,-0.010909090909090868
2022-08-17,13600,13600,13250,13250,14682,-0.02573529411764708
2022-08-18,13300,13350,13000,13250,8422,0.0
2022-08-19,13200,13350,13150,13200,5402,-0.0037735849056603765
2022-08-22,13050,13200,12650,12800,15756,-0.030303030303030276
2022-08-23,12850,13200,12400,12950,52506,0.01171875
2022-08-24,13200,13200,12600,12700,26895,-0.019305019305019266
2022-08-25,12650,13400,12650,13200,62788,0.03937007874015741
2022-08-26,13300,13350,13000,13150,37733,-0.0037878787878787845
2022-08-29,12700,12900,12450,12600,23027,-0.041825095057034245
2022-08-30,12500,12850,12500,12700,6800,0.007936507936507908
2022-08-31,12600,12850,12550,12850,10439,0.011811023622047223
2022-09-01,12850,12850,12400,12500,13398,-0.027237354085603127
2022-09-02,12500,12600,12150,12400,11779,-0.008000000000000007
2022-09-05,12600,12600,11850,11950,21563,-0.03629032258064513
2022-09-06,12050,12250,11950,12100,7137,0.012552301255230214
2022-09-07,12250,12250,11700,11850,12350,-0.02066115702479343
2022-09-08,11900,12000,11850,11850,5296,0.0
2022-09-13,11950,12300,11900,12250,23324,0.03375527426160341
2022-09-14,11900,12200,11850,12200,18791,-0.004081632653061273
2022-09-15,12350,12550,12050,12150,15990,-0.004098360655737654
2022-09-16,12200,12200,11850,11900,13792,-0.020576131687242816
2022-09-19,11900,11950,11600,11600,19790,-0.025210084033613467
2022-09-20,11700,12000,11700,11800,10434,0.01724137931034475
2022-09-21,11950,12000,11600,11850,9676,0.004237288135593209
2022-09-22,11700,12250,11500,12100,18269,0.021097046413502074
2022-09-23,12150,12150,11700,11700,9323,-0.03305785123966942
2022-09-26,11650,11650,11050,11050,29044,-0.05555555555555558
2022-09-27,11100,11300,10700,11000,19433,-0.004524886877828038
2022-09-28,11000,11250,10550,11200,72177,0.018181818181818077
2022-09-29,11300,11700,11000,11100,41555,-0.008928571428571397
2022-09-30,10900,11300,10800,11100,11434,0.0
2022-10-04,11150,11400,10950,11400,18706,0.027027027027026973
2022-10-05,11400,11550,11000,11000,19968,-0.03508771929824561
2022-10-06,11050,11150,10950,11000,14332,0.0
2022-10-07,11000,11100,10800,10800,11062,-0.018181818181818188
2022-10-11,10750,10800,10450,10800,22805,0.0
2022-10-12,10700,11050,10550,10600,7463,-0.01851851851851849
2022-10-13,10700,10700,10300,10400,9113,-0.018867924528301883
2022-10-14,10500,10750,10500,10750,12309,0.033653846153846256
2022-10-17,10700,11000,10500,11000,38084,0.023255813953488413
2022-10-18,11150,11350,11050,11200,8268,0.018181818181818077
2022-10-19,11200,11350,11050,11050,11452,-0.013392857142857095
2022-10-20,11050,11050,10500,10800,8752,-0.022624434389140302
2022-10-21,10700,11750,10700,11450,88660,0.06018518518518512
2022-10-24,11650,11750,11150,11300,76421,-0.013100436681222738
2022-10-25,11250,11450,11000,11300,14892,0.0
2022-10-26,11350,11350,11100,11200,8735,-0.008849557522123908
2022-10-27,11150,11500,11100,11400,13551,0.017857142857142794
2022-10-28,11400,11450,11100,11100,8154,-0.02631578947368418
2022-10-31,11150,11350,11050,11200,9396,0.009009009009008917
2022-11-01,11100,11400,11100,11350,15475,0.013392857142857206
2022-11-02,11350,11900,11350,11600,14143,0.022026431718061623
2022-11-03,11450,11600,11250,11450,10372,-0.012931034482758674
2022-11-04,11600,11600,11300,11350,6444,-0.008733624454148492
2022-11-07,11350,12050,11350,11900,49998,0.048458149779735615
2022-11-08,11900,12050,11450,11600,69652,-0.025210084033613467
2022-11-09,11600,11750,11450,11600,25396,0.0
2022-11-10,11550,11850,11450,11650,22019,0.004310344827586299
2022-11-11,11950,12100,11750,11750,44312,0.008583690987124415
2022-11-14,11750,11950,11750,11850,12166,0.008510638297872353
2022-11-15,11950,12050,11800,12050,17163,0.016877637130801704
2022-11-16,12050,12200,11850,12100,11701,0.004149377593360981
2022-11-17,12050,12200,11950,12200,15505,0.008264462809917328
2022-11-18,12200,12350,12050,12100,6770,-0.008196721311475419
2022-11-21,12100,12200,11750,11900,8029,-0.016528925619834656
2022-11-22,11900,12100,11800,11900,5981,0.0
2022-11-23,12150,12400,11900,12250,14746,0.02941176470588225
2022-11-24,12250,12500,12200,12300,7633,0.004081632653061273
2022-11-25,12300,12350,12050,12100,7127,-0.016260162601625994
2022-11-28,12200,12200,11850,11850,4252,-0.02066115702479343
