Date,Open,High,Low,Close,Volume,Change
2022-01-03,5520,5640,5430,5460,249458,0.011111111111111072
2022-01-04,5490,5640,5460,5630,186086,0.031135531135531025
2022-01-05,5630,5650,5510,5580,143274,-0.008880994671403242
2022-01-06,5500,5660,5480,5540,157617,-0.007168458781361964
2022-01-07,5590,5840,5450,5790,291352,0.045126353790613694
2022-01-10,5790,5790,5570,5570,209066,-0.03799654576856648
2022-01-11,5570,5630,5450,5450,131803,-0.021543985637342944
2022-01-12,5470,5550,5420,5470,79264,0.003669724770642091
2022-01-13,5480,5550,5450,5500,55005,0.005484460694698434
2022-01-14,5400,5530,5350,5400,91291,-0.018181818181818188
2022-01-17,5590,6480,5510,5960,5947178,0.10370370370370363
2022-01-18,5920,6180,5800,6180,1254759,0.03691275167785224
2022-01-19,5990,6060,5840,5940,731184,-0.03883495145631066
2022-01-20,5860,6030,5620,5860,552475,-0.013468013468013518
2022-01-21,5780,6170,5640,6130,955216,0.04607508532423199
2022-01-24,6050,6400,5500,5700,1817965,-0.07014681892332786
2022-01-25,5660,5770,5290,5380,564702,-0.056140350877192935
2022-01-26,5360,5590,5240,5240,206756,-0.026022304832713727
2022-01-27,5200,5300,4945,4950,306838,-0.05534351145038163
2022-01-28,4955,5440,4795,5290,359245,0.06868686868686869
2022-02-03,5330,5480,5210,5430,282979,0.026465028355387554
2022-02-04,5390,5550,5320,5480,191091,0.009208103130755152
2022-02-07,5480,6200,5410,5540,1515330,0.010948905109489093
2022-02-08,5560,5700,5400,5420,211060,-0.02166064981949456
2022-02-09,5540,5610,5460,5460,156552,0.007380073800737907
2022-02-10,5480,5710,5480,5620,276428,0.0293040293040292
2022-02-11,5510,5630,5300,5330,233908,-0.051601423487544484
2022-02-14,5170,5250,5020,5040,289570,-0.054409005628517804
2022-02-15,5080,5140,4925,4945,159816,-0.018849206349206393
2022-02-16,5040,5200,5040,5150,114834,0.04145601617795758
2022-02-17,5150,5320,5050,5220,166132,0.013592233009708687
2022-02-18,5170,5370,5150,5310,97571,0.01724137931034475
2022-02-21,5170,5390,5170,5310,58143,0.0
2022-02-22,5130,5320,5130,5160,103073,-0.02824858757062143
2022-02-23,5220,5270,5080,5160,71632,0.0
2022-02-24,5090,5190,4910,4910,161485,-0.04844961240310075
2022-02-25,4955,5150,4915,4990,87587,0.016293279022403295
2022-02-28,4965,5130,4965,5040,65128,0.01002004008016022
2022-03-02,5100,5470,5040,5320,403668,0.05555555555555558
2022-03-03,5310,5470,5270,5380,149684,0.011278195488721776
2022-03-04,5380,5700,5310,5370,195242,-0.0018587360594795044
2022-03-07,5320,5370,5200,5240,98194,-0.02420856610800748
2022-03-08,5110,5220,5100,5100,92652,-0.026717557251908386
2022-03-10,5220,5440,5170,5330,136178,0.045098039215686336
2022-03-11,5360,5700,5350,5700,486717,0.06941838649155718
2022-03-14,5690,5740,5560,5610,144269,-0.015789473684210575
2022-03-15,5610,5710,5480,5670,123198,0.010695187165775444
2022-03-16,5730,5900,5570,5770,429382,0.01763668430335108
2022-03-17,5920,5920,5710,5780,237851,0.0017331022530329143
2022-03-18,5800,5820,5590,5690,141537,-0.01557093425605538
2022-03-21,5680,5790,5650,5740,129736,0.008787346221441172
2022-03-22,5700,5850,5650,5740,100463,0.0
2022-03-23,5850,5950,5770,5950,378770,0.03658536585365857
2022-03-24,5990,6040,5850,5990,235051,0.006722689075630228
2022-03-25,6040,6040,5950,5950,143932,-0.006677796327211993
2022-03-28,6000,6100,5810,5810,224246,-0.02352941176470591
2022-03-29,5870,6050,5870,5920,172485,0.018932874354561147
2022-03-30,5920,5930,5730,5790,115667,-0.02195945945945943
2022-03-31,5860,5930,5800,5920,86254,0.022452504317789224
2022-04-01,5820,5910,5770,5800,95574,-0.020270270270270285
2022-04-04,5760,5850,5760,5810,47536,0.0017241379310344307
2022-04-05,5840,5850,5760,5820,64350,0.001721170395869276
2022-04-06,5760,5830,5630,5680,90880,-0.02405498281786944
2022-04-07,5660,5680,5460,5650,137542,-0.005281690140845119
2022-04-08,5670,5720,5510,5550,75507,-0.017699115044247815
2022-04-11,5550,5700,5550,5590,84979,0.007207207207207134
2022-04-12,5600,6080,5540,5870,940684,0.050089445438282754
2022-04-13,5760,6030,5600,5630,690115,-0.040885860306643984
2022-04-14,5650,5840,5650,5700,147407,0.01243339253996445
2022-04-15,5680,5810,5630,5770,103934,0.012280701754386003
2022-04-18,5850,5950,5750,5820,177604,0.008665511265164572
2022-04-19,5790,5920,5790,5850,99954,0.005154639175257714
2022-04-20,5810,5850,5760,5770,75386,-0.013675213675213627
2022-04-21,5760,5970,5750,5960,167740,0.032928942807625594
2022-04-22,5960,5990,5860,5930,119609,-0.005033557046979831
2022-04-25,5880,5920,5770,5870,127921,-0.010118043844856706
2022-04-26,5870,6260,5780,6060,983207,0.03236797274275971
2022-04-27,5900,6130,5850,6070,309854,0.0016501650165017256
2022-04-28,6270,6270,5950,6010,382714,-0.009884678747940745
2022-04-29,6040,6160,5990,6160,203890,0.024958402662229595
2022-05-02,6010,6150,5980,6030,129185,-0.02110389610389607
2022-05-03,6010,6070,5890,5890,159233,-0.023217247097844118
2022-05-04,5900,5980,5860,5890,108826,0.0
2022-05-06,5800,5890,5730,5790,95736,-0.01697792869269954
2022-05-09,5700,5800,5570,5600,153224,-0.032815198618307395
2022-05-10,5420,5610,5370,5610,100706,0.0017857142857142794
2022-05-11,5600,5700,5590,5610,48906,0.0
2022-05-12,5510,5900,5460,5500,166012,-0.019607843137254943
2022-05-13,5500,5660,5500,5590,45811,0.016363636363636358
2022-05-16,5600,5880,5550,5730,115907,0.025044722719141266
2022-05-17,5660,5940,5660,5790,66991,0.010471204188481575
2022-05-18,5830,5980,5830,5830,119080,0.006908462867012188
2022-05-19,5780,5850,5700,5840,74730,0.0017152658662091813
2022-05-20,5840,5900,5740,5750,57152,-0.015410958904109595
2022-05-23,5750,5770,5600,5670,95411,-0.013913043478260834
2022-05-24,5680,5830,5640,5730,123607,0.010582010582010692
2022-05-25,5730,5890,5680,5850,78536,0.020942408376963373
2022-05-26,5890,5940,5780,5820,75041,-0.00512820512820511
2022-05-27,5890,5890,5700,5700,84924,-0.020618556701030966
2022-05-30,5750,6150,5750,5880,784227,0.03157894736842115
2022-05-31,5880,5970,5840,5910,90917,0.005102040816326481
2022-06-02,5910,6030,5900,5980,134609,0.011844331641285955
2022-06-03,5970,6120,5920,6090,191335,0.018394648829431537
2022-06-07,6160,6190,5990,6000,144735,-0.014778325123152691
2022-06-08,6000,6150,6000,6050,141125,0.008333333333333304
2022-06-09,6050,7200,5930,6430,6843071,0.062809917355372
2022-06-10,6370,6490,6250,6430,1212205,0.0
2022-06-13,6260,6270,5790,5790,752375,-0.09953343701399686
2022-06-14,5560,6000,5550,5950,447529,0.02763385146804831
2022-06-15,5880,6250,5880,5950,523303,0.0
2022-06-16,6090,6140,5900,5900,206432,-0.008403361344537785
2022-06-17,5660,6080,5650,6040,284806,0.023728813559322104
2022-06-20,6060,6080,5500,5570,381907,-0.07781456953642385
2022-06-21,5610,5780,5570,5720,170524,0.026929982046678624
2022-06-22,5760,5830,5190,5200,298447,-0.09090909090909094
2022-06-23,5200,5310,4720,4810,451407,-0.07499999999999996
2022-06-24,4810,5110,4810,5060,170567,0.05197505197505192
2022-06-27,5140,5490,5140,5440,149770,0.07509881422924902
2022-06-28,5480,5590,5420,5540,99595,0.018382352941176405
2022-06-29,5420,6240,5420,5820,2631761,0.05054151624548742
