Date,Open,High,Low,Close,Volume,Change
2022-01-03,149900,154400,148900,152600,42152,0.02760942760942764
2022-01-04,153000,154000,147900,152500,61173,-0.000655307994757548
2022-01-05,152400,152400,145600,146700,53234,-0.03803278688524592
2022-01-06,143800,147000,140600,143200,35788,-0.02385821404226307
2022-01-07,143200,145000,142000,142800,26448,-0.0027932960893854997
2022-01-10,143000,143000,133500,135500,69314,-0.05112044817927175
2022-01-11,137100,137100,131300,132500,67717,-0.022140221402214055
2022-01-12,137900,140400,135100,137400,84473,0.0369811320754716
2022-01-13,138000,139700,136700,137100,41374,-0.0021834061135370675
2022-01-14,136900,142800,136100,138500,116293,0.010211524434719177
2022-01-17,139200,142800,138600,141900,50764,0.024548736462093768
2022-01-18,142100,143900,139900,141900,37157,0.0
2022-01-19,139900,141700,136100,137800,39764,-0.028893587033121948
2022-01-20,135500,140600,135500,140000,32428,0.0159651669085632
2022-01-21,134200,134600,128400,128400,131445,-0.08285714285714285
2022-01-24,128400,130000,126000,129600,55281,0.009345794392523255
2022-01-25,129400,132600,127800,130300,53626,0.005401234567901314
2022-01-26,132000,132000,127100,129200,40974,-0.008442056792018371
2022-01-27,128600,129900,122400,126000,66560,-0.024767801857585092
2022-01-28,126000,128100,123300,127400,37876,0.011111111111111072
2022-02-03,130600,131000,125500,126800,53854,-0.004709576138147598
2022-02-04,127100,127700,125100,126000,33063,-0.006309148264984188
2022-02-07,126500,126600,120000,121600,74693,-0.03492063492063491
2022-02-08,121600,122400,119500,119500,55241,-0.01726973684210531
2022-02-09,120300,125200,120300,125200,41817,0.04769874476987446
2022-02-10,126400,127600,121200,123500,41294,-0.013578274760383424
2022-02-11,121000,121600,119500,119800,36793,-0.029959514170040502
2022-02-14,118000,119800,115500,116400,43229,-0.028380634390651083
2022-02-15,116400,117500,114500,116300,27600,-0.0008591065292096189
2022-02-16,118800,121700,117100,121700,34084,0.04643164230438512
2022-02-17,121600,122300,118400,120400,38977,-0.010682004930156141
2022-02-18,117600,120000,115700,120000,33597,-0.0033222591362126463
2022-02-21,117000,118400,115300,117700,23561,-0.019166666666666665
2022-02-22,113900,115600,113400,113600,36753,-0.034834324553950746
2022-02-23,114200,116800,113200,116400,20104,0.02464788732394374
2022-02-24,114700,115100,113200,113400,27456,-0.02577319587628868
2022-02-25,115700,118000,115400,118000,35682,0.040564373897707284
2022-02-28,115600,117600,113500,117600,32023,-0.003389830508474523
2022-03-02,117600,119400,115200,118900,21400,0.011054421768707412
2022-03-03,119300,122200,118000,119800,35115,0.007569386038688064
2022-03-04,119000,119000,115900,116600,28380,-0.026711185308848084
2022-03-07,114100,114800,112600,113300,26289,-0.028301886792452824
2022-03-08,112300,113800,110800,111500,26990,-0.015887025595763493
2022-03-10,113900,116900,111500,116800,48227,0.047533632286995475
2022-03-11,116000,117800,115500,116600,17474,-0.001712328767123239
