Date,Open,High,Low,Close,Volume,Change
2022-01-03,5270,5400,5270,5360,188466,0.017077798861480087
2022-01-04,5360,5450,5330,5410,189826,0.009328358208955168
2022-01-05,5390,5500,5260,5410,244129,0.0
2022-01-06,5350,5480,5250,5250,173570,-0.02957486136783738
2022-01-07,5260,5490,5250,5450,276739,0.03809523809523818
2022-01-10,5500,5530,5320,5400,297744,-0.00917431192660545
2022-01-11,5410,5740,5350,5520,485486,0.022222222222222143
2022-01-12,5520,5610,5490,5520,234922,0.0
2022-01-13,5530,5630,5490,5560,305335,0.007246376811594235
2022-01-14,5510,5510,5290,5320,189511,-0.043165467625899234
2022-01-17,5300,5490,5290,5400,250601,0.015037593984962516
2022-01-18,5400,5490,5090,5150,404717,-0.04629629629629628
2022-01-19,5070,5220,4960,5040,258102,-0.021359223300970842
2022-01-20,5060,5120,4970,5090,113171,0.009920634920634885
2022-01-21,5060,5090,4955,4985,152885,-0.02062868369351667
2022-01-24,4865,4925,4745,4745,218379,-0.0481444332998997
2022-01-25,4750,4800,4360,4380,327523,-0.07692307692307687
2022-01-26,4380,4485,4340,4350,141284,-0.006849315068493178
2022-01-27,4350,4780,4200,4220,1150759,-0.029885057471264354
2022-01-28,4255,4425,4255,4425,201052,0.04857819905213279
2022-02-03,4535,4695,4450,4585,139784,0.0361581920903955
2022-02-04,4610,4715,4565,4685,151692,0.021810250817884347
2022-02-07,4700,4750,4640,4670,74078,-0.0032017075773745907
2022-02-08,4685,4850,4680,4830,114617,0.03426124197002145
2022-02-09,4825,4940,4785,4870,227232,0.008281573498964745
2022-02-10,4870,4895,4655,4830,90062,-0.008213552361396315
2022-02-11,4780,4780,4630,4730,97285,-0.020703933747411973
2022-02-14,4640,4700,4535,4585,82125,-0.030655391120507414
2022-02-15,4585,4585,4445,4450,252331,-0.0294438386041439
2022-02-16,4450,4610,4425,4610,57633,0.035955056179775235
2022-02-17,4680,4695,4430,4600,79915,-0.002169197396963085
2022-02-18,4485,4595,4485,4570,38944,-0.006521739130434745
2022-02-21,4560,4560,4450,4550,92543,-0.004376367614879695
2022-02-22,4410,4500,4395,4430,71213,-0.02637362637362639
2022-02-23,4415,4445,4395,4430,46439,0.0
2022-02-24,4430,4430,4200,4210,117030,-0.04966139954853277
2022-02-25,4240,4355,4240,4330,88586,0.028503562945368266
2022-02-28,4395,4680,4350,4590,142673,0.06004618937644346
2022-03-02,4630,4950,4630,4770,1051311,0.03921568627450989
2022-03-03,4770,4810,4715,4755,136615,-0.0031446540880503138
2022-03-04,4700,4730,4560,4570,160169,-0.03890641430073605
2022-03-07,4480,4540,4335,4425,114048,-0.03172866520787743
2022-03-08,4370,4370,4230,4235,150780,-0.04293785310734466
2022-03-10,4290,4510,4290,4460,171243,0.053128689492325964
2022-03-11,4495,4580,4375,4570,115359,0.024663677130044803
2022-03-14,4600,4695,4455,4490,163762,-0.017505470459518557
2022-03-15,4490,4580,4430,4505,77409,0.0033407572383072903
2022-03-16,4510,4560,4460,4490,57122,-0.0033296337402886067
2022-03-17,4545,4645,4535,4645,148008,0.034521158129176
2022-03-18,4645,4700,4600,4650,62958,0.0010764262648008671
2022-03-21,4685,4725,4600,4655,61961,0.0010752688172042113
2022-03-22,4655,4750,4635,4720,65597,0.013963480128893702
2022-03-23,4750,4760,4615,4685,71740,-0.007415254237288171
2022-03-24,4685,4735,4630,4690,59070,0.0010672358591248265
