Date,Open,High,Low,Close,Volume,Change
2022-01-03,23700,24000,23300,23800,135235,0.00421940928270037
2022-01-04,24000,24000,22750,23050,164060,-0.031512605042016806
2022-01-05,22950,23000,21800,21900,234028,-0.049891540130151846
2022-01-06,21800,22150,20950,21400,324406,-0.022831050228310557
2022-01-07,21400,21450,20950,21050,191759,-0.016355140186915862
2022-01-10,21050,21300,20350,20650,169641,-0.019002375296912066
2022-01-11,20750,21000,20550,20600,158758,-0.002421307506053294
2022-01-12,20950,21550,20950,21450,198041,0.04126213592233019
2022-01-13,21950,22250,21100,21100,240173,-0.01631701631701632
2022-01-14,21100,21350,20750,20850,144869,-0.011848341232227444
2022-01-17,20800,21150,20600,20800,184133,-0.0023980815347721673
2022-01-18,21200,21200,20050,20100,324288,-0.033653846153846145
2022-01-19,20350,20950,20300,20800,270413,0.03482587064676612
2022-01-20,20950,21000,20100,20550,326967,-0.012019230769230727
2022-01-21,20100,20450,19750,20050,847782,-0.024330900243308973
2022-01-24,20100,21800,20000,21650,441956,0.07980049875311712
2022-01-25,21650,22150,21050,21600,419839,-0.002309468822170868
2022-01-26,21850,21900,21100,21350,311854,-0.01157407407407407
2022-01-27,21700,21700,20050,20050,263364,-0.060889929742388715
2022-01-28,20300,20700,19800,20500,260989,0.02244389027431426
2022-02-03,21450,21450,20150,20200,272857,-0.014634146341463428
2022-02-04,20200,20450,20000,20300,310992,0.004950495049504955
2022-02-07,20300,20300,20000,20100,362270,-0.009852216748768461
2022-02-08,20250,20350,19900,19900,438397,-0.00995024875621886
2022-02-09,20000,20200,19750,20100,119063,0.01005025125628145
2022-02-10,20200,20250,19800,19900,424159,-0.00995024875621886
2022-02-11,19800,20050,19600,19850,129699,-0.002512562814070307
2022-02-14,19450,19700,18700,19250,410633,-0.030226700251889116
2022-02-15,19350,19800,19150,19250,122907,0.0
2022-02-16,19600,19800,19300,19650,155965,0.020779220779220786
2022-02-17,19650,19800,19300,19400,183467,-0.012722646310432517
2022-02-18,19000,19400,18650,19300,192270,-0.005154639175257714
2022-02-21,18950,19150,18600,18850,169761,-0.023316062176165775
2022-02-22,18450,18900,18300,18650,153234,-0.010610079575596787
2022-02-23,18700,19150,18550,19150,117464,0.02680965147453085
2022-02-24,18900,19050,18350,18450,212738,-0.036553524804177506
2022-02-25,18600,19400,18600,19250,192707,0.04336043360433606
2022-02-28,19000,19200,18700,19050,183145,-0.010389610389610393
2022-03-02,18900,19350,18350,18550,330161,-0.026246719160105014
2022-03-03,18650,19400,18550,19200,282729,0.03504043126684642
