Date,Open,High,Low,Close,Volume,Change
2022-01-03,46650,48800,46100,48500,127742,0.055495103373231824
2022-01-04,48650,49450,48150,49400,104383,0.01855670103092777
2022-01-05,49400,49400,48100,49000,64623,-0.0080971659919028
2022-01-06,48000,49000,46800,46800,86831,-0.04489795918367345
2022-01-07,46800,48100,46800,47750,46763,0.020299145299145227
2022-01-10,47900,48400,46650,47250,34328,-0.010471204188481686
2022-01-11,47000,47450,45450,45600,38868,-0.03492063492063491
2022-01-12,45700,46800,45700,46800,30686,0.026315789473684292
2022-01-13,47200,49400,46400,47950,114178,0.024572649572649485
2022-01-14,47350,49150,47300,48350,67344,0.008342022940563076
2022-01-17,48400,48700,46700,46800,40617,-0.03205791106514999
2022-01-18,46550,47300,45400,45950,32089,-0.01816239316239321
2022-01-19,44950,45550,43800,44100,67789,-0.040261153427638696
2022-01-20,44100,45550,44100,45550,30570,0.03287981859410438
2022-01-21,45350,45500,44050,44700,29347,-0.01866081229418226
2022-01-24,44000,44500,41900,41900,66929,-0.06263982102908272
2022-01-25,41800,42400,40000,40250,60415,-0.039379474940334114
2022-01-26,40050,41350,40050,40750,39635,0.012422360248447228
2022-01-27,40600,41000,38850,39150,82853,-0.03926380368098159
2022-01-28,39150,41000,37750,39600,75107,0.011494252873563315
2022-02-03,40050,40850,39600,40550,32491,0.023989898989899006
2022-02-04,40200,40900,40000,40900,24217,0.008631319358816336
2022-02-07,41350,41700,40500,41000,26804,0.0024449877750611915
2022-02-08,41000,41000,39600,40000,44734,-0.024390243902439046
2022-02-09,40350,41350,40150,41250,23507,0.03125
2022-02-10,41250,41450,40750,40850,13022,-0.009696969696969648
2022-02-11,40550,40850,39400,39600,37588,-0.030599755201958345
2022-02-14,38750,39050,37750,38150,54531,-0.03661616161616166
2022-02-15,38200,38400,37750,38000,23147,-0.003931847968545177
2022-02-16,38600,39250,38550,39050,23158,0.02763157894736845
2022-02-17,39100,40000,38200,39400,29889,0.008962868117797784
2022-02-18,38400,39800,38400,39250,15401,-0.0038071065989847552
2022-02-21,38750,39600,38350,39600,22639,0.008917197452229297
2022-02-22,38450,39250,38400,38800,18786,-0.02020202020202022
2022-02-23,39150,39400,38700,39100,15072,0.0077319587628865705
2022-02-24,39100,39150,37750,38000,33192,-0.02813299232736577
2022-02-25,38750,39600,38300,39450,36868,0.03815789473684217
2022-02-28,40550,42100,40200,41250,118345,0.04562737642585546
2022-03-02,41550,42400,41100,41950,56157,0.01696969696969708
2022-03-03,42000,42150,41550,41900,30799,-0.0011918951132300348
2022-03-04,41900,43000,41850,42650,45667,0.017899761336515496
2022-03-07,42050,42550,41650,41800,34078,-0.01992966002344665
2022-03-08,41500,41600,40050,40700,36135,-0.02631578947368418
2022-03-10,41700,41800,41000,41300,26418,0.014742014742014753
2022-03-11,41450,43500,41450,43500,74258,0.0532687651331718
