Date,Open,High,Low,Close,Volume,Change
2022-01-03,4775,4890,4775,4860,173954,0.01144640998959412
2022-01-04,4870,5020,4820,5010,638616,0.030864197530864113
2022-01-05,4960,5690,4915,5130,5507653,0.0239520958083832
2022-01-06,5000,5210,4810,4925,2341191,-0.0399610136452242
2022-01-07,4925,5120,4745,4880,718545,-0.009137055837563413
2022-01-10,4880,5060,4880,4880,457565,0.0
2022-01-11,4840,4940,4730,4795,263383,-0.01741803278688525
2022-01-12,4840,4990,4800,4985,511690,0.03962460896767461
2022-01-13,5010,5140,4960,4990,530824,0.0010030090270811698
2022-01-14,4920,5130,4920,5030,546144,0.008016032064128265
2022-01-17,5040,5090,4950,4980,376722,-0.00994035785288272
2022-01-18,4985,5130,4880,4910,408421,-0.014056224899598346
2022-01-19,4755,4925,4755,4835,197907,-0.01527494908350302
2022-01-20,4775,4905,4740,4830,175109,-0.0010341261633919352
2022-01-21,4795,4850,4630,4710,299676,-0.024844720496894457
2022-01-24,4680,4680,4455,4490,295952,-0.04670912951167727
2022-01-25,4430,4535,4295,4330,364523,-0.03563474387527843
2022-01-26,4315,4425,4100,4310,278747,-0.004618937644341847
2022-01-27,4290,4350,4055,4130,286128,-0.04176334106728541
2022-01-28,4105,4280,4055,4255,193438,0.030266343825665842
2022-02-03,4325,4390,4255,4340,130376,0.0199764982373678
2022-02-04,4295,4415,4295,4400,96268,0.01382488479262678
2022-02-07,4410,4415,4330,4400,93585,0.0
2022-02-08,4410,4510,4310,4355,117986,-0.010227272727272751
2022-02-09,4365,4495,4365,4475,93047,0.027554535017221493
2022-02-10,4520,4545,4415,4430,75030,-0.010055865921787754
2022-02-11,4330,4435,4320,4360,59044,-0.015801354401805856
2022-02-14,4205,4350,4205,4220,116834,-0.032110091743119296
2022-02-15,4155,4260,4110,4125,136485,-0.02251184834123221
2022-02-16,4135,4375,4135,4375,118837,0.06060606060606055
2022-02-17,4375,4400,4255,4310,92981,-0.014857142857142902
2022-02-18,4300,4370,4240,4345,61614,0.008120649651972123
2022-02-21,4295,4385,4270,4325,37983,-0.004602991944764101
2022-02-22,4190,4315,4190,4220,84314,-0.024277456647398887
2022-02-23,4230,4320,4215,4260,52150,0.009478672985782088
2022-02-24,4245,4245,4060,4080,137529,-0.04225352112676062
2022-02-25,4225,4225,4095,4140,64708,0.014705882352941124
2022-02-28,4180,4200,4115,4170,41669,0.007246376811594235
2022-03-02,4160,4240,4160,4230,90981,0.014388489208633004
2022-03-03,4365,4365,4230,4280,55275,0.011820330969267046
2022-03-04,4285,4285,4190,4205,48570,-0.017523364485981352
2022-03-07,4210,4210,4065,4120,77643,-0.02021403091557672
2022-03-08,4050,4185,4045,4070,76215,-0.012135922330097082
2022-03-10,4115,4200,4100,4135,45244,0.01597051597051591
2022-03-11,4135,4185,4125,4170,58311,0.00846432889963733
2022-03-14,4170,5090,4040,4200,2617834,0.007194244604316502
2022-03-15,4195,4465,4155,4290,635395,0.021428571428571352
2022-03-16,4390,4390,4230,4265,178264,-0.005827505827505797
2022-03-17,4305,4355,4260,4340,188326,0.017584994138335253
2022-03-18,4315,4520,4305,4435,362069,0.02188940092165903
2022-03-21,4435,4555,4370,4390,191289,-0.01014656144306647
2022-03-22,4430,4540,4375,4510,160374,0.02733485193621865
2022-03-23,4500,4565,4440,4500,179639,-0.0022172949002217113
2022-03-24,4490,4540,4405,4465,118619,-0.007777777777777772
2022-03-25,4465,4545,4420,4495,96686,0.006718924972004547
2022-03-28,4455,4675,4425,4530,294359,0.007786429365962189
2022-03-29,4565,5100,4500,4610,4391462,0.017660044150110465
2022-03-30,4650,4650,4570,4645,348523,0.00759219088937102
2022-03-31,4620,4705,4570,4660,267755,0.0032292787944026013
2022-04-01,4625,4630,4570,4605,218635,-0.011802575107296098
2022-04-04,4610,4700,4605,4680,220587,0.016286644951140072
2022-04-05,4680,4755,4650,4690,228802,0.002136752136752129
2022-04-06,4650,4980,4615,4790,1451067,0.021321961620469176
2022-04-07,4715,4855,4715,4765,352433,-0.005219206680584509
2022-04-08,4815,4930,4735,4765,395880,0.0
2022-04-11,4765,4795,4650,4690,170007,-0.015739769150052485
2022-04-12,4615,4690,4545,4660,139898,-0.006396588486140775
2022-04-13,4730,5150,4430,4620,8447173,-0.008583690987124415
2022-04-14,4580,4775,4545,4600,868278,-0.0043290043290042934
2022-04-15,4600,4600,4505,4505,325789,-0.020652173913043526
2022-04-18,4505,4555,4460,4530,185999,0.005549389567147678
2022-04-19,4490,4570,4480,4545,159604,0.0033112582781456013
2022-04-20,4545,4630,4535,4625,154907,0.017601760176017667
2022-04-21,4625,4715,4600,4705,288453,0.017297297297297343
2022-04-22,4705,4705,4620,4635,172340,-0.014877789585547307
