Date,Open,High,Low,Close,Volume,Change
2022-01-03,68100,68700,63300,63800,440801,-0.07132459970887917
2022-01-04,64700,65700,61900,63900,265331,0.0015673981191222097
2022-01-05,62800,63800,60400,60500,274095,-0.05320813771517996
2022-01-06,59200,62400,59000,59900,259172,-0.00991735537190086
2022-01-07,59900,62000,59900,61500,169728,0.026711185308847973
2022-01-10,60500,60900,58400,59300,206166,-0.03577235772357723
2022-01-11,59300,60400,56300,57100,313708,-0.03709949409780777
2022-01-12,57600,60700,57500,59900,204332,0.049036777583187474
2022-01-13,60700,61400,58800,59600,157205,-0.005008347245408995
2022-01-14,58300,58600,57000,57500,164245,-0.03523489932885904
2022-01-17,57100,59000,57000,57600,114062,0.0017391304347826875
2022-01-18,57800,61000,57300,59500,191119,0.03298611111111116
2022-01-19,58900,59900,57800,58300,140079,-0.020168067226890796
2022-01-20,58300,62800,57400,62800,317853,0.07718696397941671
2022-01-21,62000,63400,60000,61100,220291,-0.027070063694267565
2022-01-24,60200,60200,57200,58200,214554,-0.04746317512274956
2022-01-25,58700,59000,54900,56100,218971,-0.03608247422680411
2022-01-26,56000,57000,54000,54000,202890,-0.03743315508021394
2022-01-27,54200,55100,50700,51300,247800,-0.050000000000000044
2022-01-28,50500,51500,45900,50700,494188,-0.011695906432748537
2022-02-03,51300,54300,51300,53300,240264,0.05128205128205132
2022-02-04,53300,54900,52300,54400,138775,0.02063789868667909
2022-02-07,54900,54900,50900,52200,191206,-0.0404411764705882
2022-02-08,52500,54200,51500,53000,167900,0.015325670498084198
2022-02-09,54500,61300,53700,58900,775451,0.11132075471698122
2022-02-10,59000,60600,57500,57700,289021,-0.02037351443123936
2022-02-11,56900,59900,56500,57200,216703,-0.008665511265164683
2022-02-14,55200,56500,52500,53300,310754,-0.06818181818181823
2022-02-15,53500,55000,52000,52800,268533,-0.009380863039399667
2022-02-16,54500,56900,53700,56500,260888,0.07007575757575757
2022-02-17,56200,58400,53000,55900,339766,-0.010619469026548645
2022-02-18,54400,57200,54300,57100,105026,0.02146690518783534
