Date,Open,High,Low,Close,Volume,Change
2022-01-03,29300,29400,28400,29100,60499,-0.0017152658662092923
2022-01-04,29100,29100,27950,28350,75314,-0.02577319587628868
2022-01-05,28000,28750,27450,27800,63492,-0.01940035273368612
2022-01-06,27350,27700,26700,27000,76539,-0.02877697841726623
2022-01-07,27000,29000,27000,28850,67276,0.06851851851851842
2022-01-10,28550,28700,27600,28600,49673,-0.008665511265164683
2022-01-11,28300,29250,28000,29100,50144,0.0174825174825175
2022-01-12,29250,31500,29200,30200,294512,0.037800687285223455
2022-01-13,30250,30300,28000,28300,151951,-0.0629139072847682
2022-01-14,28000,28250,27050,27250,95162,-0.03710247349823326
2022-01-17,27200,27200,25450,25700,121666,-0.056880733944954076
2022-01-18,25400,26400,25000,25500,57911,-0.0077821011673151474
2022-01-19,25000,25250,24000,24800,59093,-0.027450980392156876
2022-01-20,24800,25150,24200,25000,51089,0.008064516129032251
2022-01-21,24500,25350,24350,24650,47694,-0.014000000000000012
2022-01-24,24050,24500,22150,22600,153587,-0.08316430020283971
2022-01-25,22500,22700,20500,21300,119345,-0.05752212389380529
2022-01-26,21150,22200,21150,22000,70578,0.032863849765258246
2022-01-27,22200,22400,20250,20500,105058,-0.06818181818181823
2022-01-28,20350,22050,20350,21850,61714,0.06585365853658542
2022-02-03,22150,23700,22150,23100,75851,0.05720823798626995
2022-02-04,22450,23350,22450,22800,37883,-0.012987012987012991
2022-02-07,23150,23150,22200,22700,31523,-0.004385964912280715
2022-02-08,22450,23150,22200,22500,46713,-0.008810572687224627
2022-02-09,22600,23450,22500,22600,30675,0.004444444444444473
2022-02-10,22700,22850,21800,21850,41414,-0.0331858407079646
2022-02-11,21750,21750,21000,21150,36819,-0.03203661327231122
2022-02-14,20300,20600,19850,20000,56395,-0.05437352245862881
2022-02-15,20000,20650,19300,19500,45614,-0.025000000000000022
2022-02-16,20050,20850,20050,20750,35255,0.0641025641025641
2022-02-17,20750,22100,20250,20600,114956,-0.0072289156626506035
2022-02-18,20150,21200,20150,21050,22424,0.02184466019417486
2022-02-21,20850,21300,19600,20800,24176,-0.01187648456057011
2022-02-22,20100,20700,19900,20000,54500,-0.038461538461538436
2022-02-23,20100,20450,19950,20050,15180,0.0024999999999999467
2022-02-24,19850,19950,18900,19150,59822,-0.04488778054862841
2022-02-25,19450,20150,19450,19750,23328,0.031331592689294974
2022-02-28,19700,20050,19550,19850,16917,0.005063291139240533
2022-03-02,19650,20500,19650,20100,25671,0.012594458438287104
2022-03-03,20150,20850,20100,20650,25593,0.027363184079602032
2022-03-04,20850,20850,20050,20300,39226,-0.016949152542372836
2022-03-07,20000,20000,19450,19850,29867,-0.022167487684729092
2022-03-08,19300,24150,19300,20300,762917,0.02267002518891692
2022-03-10,20300,21200,20300,20550,78103,0.012315270935960632
2022-03-11,20550,21200,20100,21200,50288,0.031630170316301776
2022-03-14,21350,21350,20050,20300,46587,-0.04245283018867929
2022-03-15,20300,20600,20000,20300,32010,0.0
2022-03-16,20900,21050,20500,20900,37374,0.029556650246305383
2022-03-17,21200,21750,21000,21750,70780,0.04066985645933019
2022-03-18,21750,22050,21250,21900,32295,0.006896551724137945
2022-03-21,22150,22600,21350,21650,87698,-0.011415525114155223
2022-03-22,21600,21800,21150,21700,20752,0.002309468822170979
2022-03-23,21600,22150,21400,21550,31631,-0.00691244239631339
2022-03-24,21150,21600,20950,21400,39521,-0.00696055684454755
2022-03-25,21300,21600,21150,21400,25467,0.0
2022-03-28,21400,21400,20550,20550,44971,-0.03971962616822433
2022-03-29,20650,21900,20300,21350,71663,0.038929440389294356
2022-03-30,21050,22000,21050,21700,39020,0.016393442622950838
2022-03-31,21500,21950,21250,21450,24016,-0.011520737327188946
2022-04-01,21450,21550,20850,21000,29490,-0.020979020979020935
2022-04-04,20850,22250,20850,22200,54615,0.05714285714285716
2022-04-05,22450,22900,21950,22500,59249,0.013513513513513598
2022-04-06,22150,22350,21550,22100,33280,-0.01777777777777778
2022-04-07,21900,22350,21100,21450,37886,-0.02941176470588236
2022-04-08,21500,23600,21500,23100,193189,0.07692307692307687
2022-04-11,23100,23700,22950,23200,82928,0.0043290043290042934
2022-04-12,22550,23200,22400,22900,50563,-0.012931034482758674
