Date,Open,High,Low,Close,Volume,Change
2022-01-03,4420,4420,4330,4390,92536,0.0022831050228311334
2022-01-04,4385,4440,4325,4410,134953,0.004555808656036442
2022-01-05,4430,4430,4300,4325,107558,-0.019274376417233507
2022-01-06,4270,4295,4180,4190,85445,-0.031213872832369982
2022-01-07,4120,4245,4120,4210,49011,0.004773269689737569
2022-01-10,4200,4210,4050,4090,109774,-0.028503562945368155
2022-01-11,4075,4105,4000,4045,79879,-0.011002444987775029
2022-01-12,4060,4145,4055,4115,60295,0.017305315203955507
2022-01-13,4120,4140,4075,4100,55802,-0.0036452004860266785
2022-01-14,4100,4200,4040,4160,101755,0.014634146341463428
2022-01-17,4160,4165,4070,4100,71630,-0.014423076923076872
2022-01-18,4060,4140,4045,4070,63794,-0.007317073170731714
2022-01-19,4040,4090,3970,4000,74797,-0.017199017199017175
2022-01-20,4000,4095,3970,4095,56993,0.023749999999999938
2022-01-21,4095,4095,4000,4060,63592,-0.008547008547008517
2022-01-24,4050,4050,3940,3940,66556,-0.029556650246305383
2022-01-25,3920,3975,3740,3760,107779,-0.045685279187817285
2022-01-26,3705,3830,3705,3760,71968,0.0
2022-01-27,4090,4160,3765,3795,446569,0.009308510638297962
2022-01-28,3745,3970,3745,3955,164167,0.04216073781291163
2022-02-03,4000,4345,4000,4310,449036,0.08975979772439957
2022-02-04,4310,4350,4260,4345,147122,0.008120649651972123
2022-02-07,4350,4425,4265,4340,112726,-0.0011507479861909697
2022-02-08,4300,4345,4050,4235,359112,-0.024193548387096753
2022-02-09,4840,5150,4545,4650,11297153,0.09799291617473438
2022-02-10,4730,4770,4570,4585,990416,-0.013978494623655968
2022-02-11,4505,4570,4290,4405,766359,-0.03925845147219198
2022-02-14,4265,4350,4215,4295,450890,-0.024971623155505163
2022-02-15,4210,4310,4175,4220,345657,-0.0174621653084982
2022-02-16,4345,4430,4280,4380,467713,0.03791469194312791
2022-02-17,4380,4450,4220,4375,295801,-0.0011415525114155667
2022-02-18,4260,4420,4260,4365,194657,-0.0022857142857143353
2022-02-21,4285,4410,4255,4400,182153,0.008018327605956443
2022-02-22,4280,4400,4200,4265,218508,-0.030681818181818143
2022-02-23,4265,4300,4245,4285,106926,0.004689331770222793
2022-02-24,4245,4270,4080,4135,152276,-0.035005834305717576
2022-02-25,4190,4250,4145,4215,124618,0.0193470374848852
2022-02-28,4165,4245,4135,4220,54172,0.0011862396204034287
2022-03-02,4230,4265,4195,4260,69504,0.009478672985782088
2022-03-03,4290,4350,4275,4315,96219,0.012910798122065748
2022-03-04,4275,4305,4225,4275,81983,-0.009269988412514474
2022-03-07,4195,4235,4135,4160,91969,-0.026900584795321647
2022-03-08,4075,4100,3990,4035,277438,-0.030048076923076872
2022-03-10,4160,4160,4050,4075,71473,0.00991325898389106
2022-03-11,4075,4140,4020,4130,73697,0.013496932515337345
2022-03-14,4130,4155,4070,4115,76906,-0.003631961259079941
2022-03-15,4100,4170,4080,4150,83635,0.008505467800729027
2022-03-16,4155,4570,4155,4490,1863044,0.08192771084337358
2022-03-17,4640,4640,4455,4520,464041,0.006681514476614803
2022-03-18,4560,4560,4380,4515,222217,-0.0011061946902655162
2022-03-21,4485,4565,4465,4500,173502,-0.0033222591362126463
2022-03-22,4475,4535,4465,4520,99617,0.004444444444444473
2022-03-23,4555,4555,4490,4520,102339,0.0
2022-03-24,4510,4600,4455,4575,150382,0.012168141592920456
2022-03-25,4615,4620,4525,4600,120066,0.005464480874316946
2022-03-28,4600,4675,4500,4630,165126,0.006521739130434856
2022-03-29,4615,4630,4505,4570,118499,-0.01295896328293733
2022-03-30,4660,4800,4585,4745,508998,0.038293216630197024
2022-03-31,4845,4920,4740,4740,546517,-0.0010537407797681642
2022-04-01,4740,4800,4650,4720,149433,-0.00421940928270037
2022-04-04,4770,4830,4680,4765,195988,0.009533898305084776
