Date,Open,High,Low,Close,Volume,Change
2022-01-03,2950,2980,2925,2960,32648,0.003389830508474523
2022-01-04,2960,3000,2940,2965,50535,0.0016891891891892552
2022-01-05,2965,3010,2900,2940,106360,-0.00843170320404718
2022-01-06,2895,2965,2885,2920,124491,-0.006802721088435382
2022-01-07,2915,2985,2915,2970,75843,0.017123287671232834
2022-01-10,2970,2970,2885,2885,97564,-0.028619528619528656
2022-01-11,2870,2915,2860,2895,68503,0.0034662045060658286
2022-01-12,2890,2955,2890,2900,61253,0.0017271157167531026
2022-01-13,2900,3030,2900,2935,112766,0.012068965517241459
2022-01-14,2925,2980,2910,2940,56437,0.0017035775127767216
2022-01-17,2940,2945,2900,2920,49396,-0.006802721088435382
2022-01-18,2910,2990,2905,2970,78710,0.017123287671232834
2022-01-19,2905,2970,2900,2935,44512,-0.011784511784511786
2022-01-20,2905,2955,2900,2935,32486,0.0
2022-01-21,2935,2950,2870,2910,94357,-0.008517887563884163
2022-01-24,2890,2910,2770,2810,117240,-0.03436426116838487
2022-01-25,2790,2810,2670,2690,144148,-0.042704626334519546
2022-01-26,2660,2900,2550,2690,69286,0.0
2022-01-27,2665,2705,2595,2615,95762,-0.027881040892193343
2022-01-28,2630,2705,2560,2705,161825,0.03441682600382401
2022-02-03,2720,2835,2720,2825,111557,0.0443622920517559
2022-02-04,2775,3050,2775,3025,290105,0.07079646017699126
2022-02-07,3050,3145,2970,3085,394279,0.01983471074380172
2022-02-08,3050,3210,3050,3105,435610,0.006482982171799101
2022-02-09,3260,3260,3110,3220,336918,0.03703703703703698
2022-02-10,3350,3650,3230,3280,4647344,0.01863354037267073
2022-02-11,3215,3525,3150,3330,2199214,0.015243902439024293
2022-02-14,3250,3390,3240,3300,487189,-0.009009009009009028
2022-02-15,3255,3320,3205,3230,391677,-0.021212121212121238
2022-02-16,3350,3350,3265,3350,246644,0.037151702786377694
2022-02-17,3355,3540,3320,3460,1192732,0.032835820895522394
2022-02-18,3425,3530,3395,3510,495545,0.014450867052023142
2022-02-21,3405,3500,3400,3450,213855,-0.017094017094017144
2022-02-22,3380,3425,3300,3360,239141,-0.02608695652173909
2022-02-23,3365,3430,3325,3420,172809,0.017857142857142794
2022-02-24,3390,3395,3240,3270,346350,-0.04385964912280704
2022-02-25,3325,3370,3325,3350,135348,0.024464831804281273
2022-02-28,3320,3405,3300,3370,178156,0.005970149253731405
2022-03-02,3365,3440,3325,3430,162858,0.017804154302670572
2022-03-03,3475,3480,3400,3440,137338,0.00291545189504383
2022-03-04,3440,3460,3355,3400,144768,-0.011627906976744207
