Date,Open,High,Low,Close,Volume,Change
2022-01-03,4800,4800,4715,4755,17753,0.008483563096500557
2022-01-04,4380,4380,4220,4300,857970,-0.09568874868559407
2022-01-05,4330,4330,4200,4220,205221,-0.018604651162790753
2022-01-06,4195,4360,4190,4260,335054,0.009478672985782088
2022-01-07,4240,4375,4240,4275,174068,0.0035211267605634866
2022-01-10,4260,4275,3960,3975,377797,-0.07017543859649122
2022-01-11,3975,4020,3820,3840,207130,-0.03396226415094339
2022-01-12,3855,3955,3805,3940,117611,0.02604166666666674
2022-01-13,3960,3960,3810,3880,115202,-0.015228426395939132
2022-01-14,3880,3905,3790,3820,120700,-0.015463917525773141
2022-01-17,3820,3820,3510,3515,1126547,-0.07984293193717273
2022-01-18,3535,3630,3475,3485,172327,-0.008534850640113834
2022-01-19,3410,3485,3365,3420,107563,-0.0186513629842181
2022-01-20,3350,3510,3350,3500,72750,0.023391812865497075
2022-01-21,3500,3575,3450,3575,86290,0.021428571428571352
2022-01-24,3530,3545,3350,3350,99811,-0.06293706293706292
2022-01-25,3340,3360,3125,3185,131004,-0.04925373134328359
2022-01-26,3185,3290,3180,3195,76138,0.0031397174254317317
2022-01-27,3190,3205,2965,2970,195858,-0.07042253521126762
2022-01-28,3050,3565,2990,3330,423537,0.1212121212121211
2022-02-03,3400,3485,3350,3380,110014,0.01501501501501501
2022-02-04,3405,3565,3330,3540,133441,0.047337278106508895
2022-02-07,3540,3565,3460,3560,97128,0.005649717514124353
2022-02-08,3575,3790,3505,3635,361193,0.02106741573033699
2022-02-09,3690,3760,3635,3740,204353,0.028885832187070193
2022-02-10,3850,3935,3675,3745,405885,0.0013368983957218195
2022-02-11,3700,3825,3350,3620,208899,-0.03337783711615483
2022-02-14,3560,3560,3340,3395,208505,-0.06215469613259672
2022-02-15,3365,3440,3230,3370,183202,-0.007363770250368162
2022-02-16,3455,3580,3400,3580,130559,0.06231454005934722
2022-02-17,3640,4130,3470,3890,1664952,0.08659217877094982
2022-02-18,3830,4375,3770,4350,1595983,0.11825192802056561
2022-02-21,4310,4750,4220,4750,2342486,0.09195402298850586
2022-02-22,4660,4920,4620,4800,1481552,0.010526315789473717
2022-02-23,4735,5110,4715,4850,1002627,0.01041666666666674
2022-02-24,4830,4910,4445,4460,822968,-0.08041237113402067
2022-02-25,4665,4850,4220,4795,848452,0.07511210762331832
2022-02-28,4795,4845,4530,4635,657443,-0.033368091762252305
2022-03-02,4620,4700,4485,4680,441085,0.009708737864077666
2022-03-03,4800,4875,4590,4625,494921,-0.01175213675213671
2022-03-04,4655,4690,4575,4610,232269,-0.00324324324324321
2022-03-07,4540,4585,4325,4340,356516,-0.0585683297180043
2022-03-08,4280,4315,4145,4215,281417,-0.02880184331797231
2022-03-10,4315,4540,4250,4425,279473,0.04982206405693956
2022-03-11,4470,4665,4450,4600,330356,0.039548022598870025
2022-03-14,4630,4690,4425,4465,258659,-0.02934782608695652
2022-03-15,4405,4455,4275,4300,201121,-0.03695408734602468
2022-03-16,4350,4430,4270,4375,196375,0.01744186046511631
2022-03-17,4500,4500,4365,4385,178682,0.0022857142857142243
2022-03-18,4395,4395,4280,4300,125887,-0.019384264538198415
2022-03-21,4300,4445,4255,4380,176300,0.018604651162790642
2022-03-22,4450,4450,4280,4350,148607,-0.006849315068493178
2022-03-23,4400,4400,4290,4320,160007,-0.006896551724137945
2022-03-24,4350,4350,4220,4320,151088,0.0
2022-03-25,4320,4350,4255,4335,153166,0.003472222222222321
2022-03-28,4335,4335,4250,4330,63073,-0.0011534025374856371
2022-03-29,4365,4695,4360,4640,905483,0.07159353348729791
2022-03-30,4640,5240,4600,4975,2289558,0.07219827586206895
2022-03-31,4980,4985,4855,4950,515517,-0.005025125628140725
2022-04-01,4950,5940,4840,5750,7549990,0.16161616161616155
2022-04-04,5890,6060,5720,5820,2103405,0.012173913043478368
2022-04-05,5830,5870,5490,5810,959479,-0.0017182130584192379
2022-04-06,5700,5780,5600,5640,371872,-0.029259896729776247
2022-04-07,5630,5640,5300,5380,545365,-0.046099290780141855
2022-04-08,5380,5390,5120,5270,522989,-0.020446096654275103
2022-04-11,5270,5620,5170,5370,695151,0.018975332068311257
2022-04-12,5350,5390,5050,5240,469624,-0.02420856610800748
2022-04-13,5240,5340,5130,5290,246593,0.009541984732824416
2022-04-14,5340,5680,5310,5680,1358217,0.07372400756143671
2022-04-15,5480,5700,5440,5600,623348,-0.014084507042253502
2022-04-18,5600,6150,5600,6010,2096835,0.07321428571428568
2022-04-19,6100,6240,5890,6120,1168337,0.01830282861896837
2022-04-20,6270,6340,6050,6120,898314,0.0
2022-04-21,6100,6100,5950,6000,769269,-0.019607843137254943
2022-04-22,5950,6290,5860,6250,1019531,0.04166666666666674
2022-04-25,6100,6280,6070,6130,547626,-0.019199999999999995
2022-04-26,6130,6210,6100,6180,452257,0.00815660685154973
2022-04-27,6080,6230,5930,6110,585767,-0.01132686084142398
2022-04-28,6180,6670,6150,6460,2237428,0.05728314238952548
2022-04-29,6900,8080,6690,7040,8502742,0.08978328173374606
2022-05-02,7050,7240,6560,6810,1629463,-0.032670454545454586
2022-05-03,6810,6880,6540,6590,873684,-0.032305433186490484
2022-05-04,6480,6520,6030,6110,1010002,-0.07283763277693478
2022-05-06,6020,6150,5940,6150,359571,0.00654664484451728
2022-05-09,6030,6110,5650,5730,456292,-0.06829268292682922
2022-05-10,5570,5680,5340,5640,408704,-0.015706806282722474
2022-05-11,5580,6030,5570,5950,634287,0.054964539007092306
2022-05-12,5900,5900,5490,5550,263462,-0.0672268907563025
2022-05-13,5550,5670,5450,5590,174395,0.007207207207207134
2022-05-16,5730,5830,5620,5680,159707,0.01610017889087656
2022-05-17,5710,5710,5480,5590,188382,-0.015845070422535246
2022-05-18,5590,5610,5400,5410,192914,-0.03220035778175312
2022-05-19,5210,5290,5080,5160,224505,-0.04621072088724587
2022-05-20,5160,5240,5150,5190,107578,0.005813953488372103
2022-05-23,5160,5280,5000,5180,171809,-0.0019267822736031004
2022-05-24,5210,5230,5030,5050,122283,-0.025096525096525046
2022-05-25,5050,5110,4915,5050,88308,0.0
2022-05-26,5080,5230,5060,5110,115333,0.011881188118811892
2022-05-27,5130,5190,5110,5160,68213,0.009784735812133016
2022-05-30,5300,5500,5230,5470,352299,0.06007751937984507
2022-05-31,5640,5920,5410,5840,720323,0.06764168190127973
2022-06-02,5860,5860,5600,5630,283663,-0.03595890410958902
2022-06-03,5630,5800,5600,5740,227271,0.019538188277087087
2022-06-07,5750,5770,5540,5600,147100,-0.024390243902439046
2022-06-08,5600,5700,5440,5490,104136,-0.019642857142857184
2022-06-09,5460,5470,5260,5390,100689,-0.01821493624772308
2022-06-10,5320,5320,5200,5250,111778,-0.025974025974025983
2022-06-13,5050,5070,4950,5010,143629,-0.04571428571428571
2022-06-14,4660,4960,4660,4800,147699,-0.041916167664670656
2022-06-15,4940,4950,4450,4555,175183,-0.05104166666666665
2022-06-16,4840,4840,4600,4675,77781,0.026344676180021898
2022-06-17,4450,4730,4250,4700,121449,0.005347593582887722
2022-06-20,4720,4725,4350,4410,95159,-0.0617021276595745
2022-06-21,4320,4545,4320,4545,77208,0.030612244897959107
2022-06-22,4585,4585,4145,4185,107282,-0.07920792079207917
2022-06-23,4100,4150,3805,3965,121099,-0.05256869772998807
2022-06-24,3965,4165,3935,4040,90490,0.018915510718789497
2022-06-27,4300,4480,4105,4385,186115,0.08539603960396036
2022-06-28,4305,4445,4305,4370,73800,-0.0034207525655644
2022-06-29,4215,4535,4200,4480,103966,0.02517162471395884
2022-06-30,4520,4520,4255,4300,84322,-0.0401785714285714
2022-07-01,4305,4335,4000,4090,72974,-0.0488372093023256
2022-07-04,4090,4190,3950,4060,68072,-0.007334963325183352
2022-07-05,4005,4235,4005,4200,62016,0.034482758620689724
2022-07-06,4150,4295,4100,4200,87459,0.0
2022-07-07,4200,4280,4195,4245,57016,0.010714285714285676
2022-07-08,4250,4310,4215,4220,57445,-0.005889281507656108
2022-07-11,4215,4215,4035,4065,72435,-0.03672985781990523
2022-07-12,4060,4060,3875,3955,117333,-0.027060270602705994
2022-07-13,3990,4380,3905,4115,399074,0.04045512010113783
2022-07-14,4090,4660,4060,4660,631795,0.13244228432563787
2022-07-15,4655,4655,4265,4295,230601,-0.0783261802575107
2022-07-18,4310,4400,4195,4195,125774,-0.023282887077997638
2022-07-19,4230,4230,4115,4160,58903,-0.008343265792610244
2022-07-20,4180,4235,4180,4195,58235,0.008413461538461453
2022-07-21,4210,4225,4145,4185,55394,-0.0023837902264600697
2022-07-22,4185,4280,4130,4145,89160,-0.009557945041816063
2022-07-25,4160,4160,3830,4085,51476,-0.014475271411338975
2022-07-26,4085,4120,4030,4060,25919,-0.006119951040391647
2022-07-27,4060,4165,4010,4125,56613,0.016009852216748666
2022-07-28,4125,4190,4040,4060,58105,-0.015757575757575748
2022-07-29,4105,4125,4005,4045,44555,-0.003694581280788145
2022-08-01,4090,4130,4045,4100,39309,0.013597033374536549
2022-08-02,4100,4125,4010,4020,41216,-0.019512195121951237
2022-08-03,4145,4185,4035,4090,80333,0.017412935323383172
2022-08-04,4125,4180,4105,4145,45670,0.01344743276283622
2022-08-05,4180,4355,4180,4290,121594,0.03498190591073591
2022-08-08,4205,4250,4135,4165,68252,-0.029137529137529095
2022-08-09,4165,4265,4115,4240,62805,0.01800720288115243
2022-08-10,4250,4250,4110,4130,66334,-0.02594339622641506
2022-08-11,4155,4175,4100,4155,51261,0.006053268765133124
2022-08-12,4155,4225,4110,4155,42315,0.0
2022-08-16,4155,4185,4110,4130,37611,-0.006016847172081841
2022-08-17,4110,4160,4035,4080,73585,-0.01210653753026636
2022-08-18,4100,4100,3990,4055,48899,-0.006127450980392135
2022-08-19,4090,4090,4015,4020,41361,-0.008631319358816225
2022-08-22,3920,3980,3920,3960,48622,-0.014925373134328401
2022-08-23,3925,3930,3770,3820,77108,-0.03535353535353536
2022-08-24,3800,3870,3795,3860,46187,0.010471204188481575
2022-08-25,3850,4015,3850,3945,84251,0.022020725388601115
2022-08-26,3990,4585,3990,4110,901997,0.041825095057034245
2022-08-29,4060,4060,3800,4020,82636,-0.021897810218978075
2022-08-30,4000,4355,3980,4195,531798,0.04353233830845782
2022-08-31,4160,4305,4130,4220,196696,0.005959475566150285
2022-09-01,4210,4500,4155,4355,613979,0.03199052132701419
2022-09-02,4395,4480,4345,4450,455421,0.021814006888633664
2022-09-05,4375,4385,4175,4175,250792,-0.061797752808988804
2022-09-06,4205,4300,4165,4250,94156,0.017964071856287456
2022-09-07,4290,4290,4050,4100,100891,-0.03529411764705881
2022-09-08,4160,4185,4090,4115,53279,0.003658536585365857
2022-09-13,4140,4280,4140,4275,72623,0.03888213851761857
2022-09-14,4085,4435,4085,4410,199906,0.03157894736842115
2022-09-15,4505,4820,4150,4210,1456721,-0.04535147392290251
2022-09-16,4135,4200,3850,4095,538804,-0.027315914489311144
2022-09-19,4095,4350,3935,4180,477688,0.020757020757020683
2022-09-20,4280,4385,4145,4365,294918,0.04425837320574155
2022-09-21,4435,4605,4345,4400,470020,0.008018327605956443
2022-09-22,4385,4635,4250,4635,587644,0.05340909090909096
2022-09-23,4750,4780,4200,4245,624685,-0.08414239482200647
2022-09-26,4245,4245,3905,3990,238286,-0.060070671378091856
2022-09-27,3950,4115,3950,4055,122638,0.01629072681704269
2022-09-28,4085,4185,3855,3915,145679,-0.03452527743526512
2022-09-29,3995,4060,3850,3865,102412,-0.012771392081736943
2022-09-30,3850,3850,3665,3790,110602,-0.019404915912031084
2022-10-04,3930,3930,3810,3870,63526,0.02110817941952514
2022-10-05,3910,3935,3730,3770,77271,-0.025839793281653756
2022-10-06,3785,3865,3770,3815,81188,0.011936339522546469
2022-10-07,3840,3870,3770,3800,55569,-0.003931847968545177
2022-10-11,3800,3800,3515,3515,84414,-0.07499999999999996
2022-10-12,3490,3570,3405,3525,60001,0.002844950213371167
2022-10-13,3525,3535,3185,3185,152815,-0.09645390070921989
2022-10-14,3200,3380,3200,3245,83684,0.018838304552590168
2022-10-17,3210,3325,3125,3320,38590,0.023112480739599484
2022-10-18,3410,3450,3355,3425,34105,0.031626506024096335
2022-10-19,3415,3460,3355,3360,39311,-0.01897810218978102
2022-10-20,3380,3405,3250,3345,73126,-0.004464285714285698
2022-10-21,3335,3450,3290,3350,69526,0.001494768310911887
2022-10-24,3500,3500,3350,3360,27644,0.0029850746268655914
2022-10-25,3430,3430,3220,3225,77131,-0.0401785714285714
