Date,Open,High,Low,Close,Volume,Change
2022-01-03,9120,9140,8980,9010,53722,-0.009890109890109855
2022-01-04,9010,9100,8940,8960,61400,-0.005549389567147567
2022-01-05,9010,9010,8840,8850,70530,-0.012276785714285698
2022-01-06,8790,8880,8630,8630,117619,-0.024858757062146908
2022-01-07,8700,8900,8640,8720,48694,0.010428736964078755
2022-01-10,8810,8850,8700,8770,62185,0.005733944954128489
2022-01-11,8880,8880,8610,8640,64939,-0.014823261117445807
2022-01-12,8640,8700,8610,8640,40539,0.0
2022-01-13,8640,8720,8610,8620,37258,-0.0023148148148147696
2022-01-14,8580,8630,8460,8530,85057,-0.01044083526682138
2022-01-17,8600,8600,8080,8100,127499,-0.05041031652989447
2022-01-18,8040,8180,7740,7820,85782,-0.03456790123456788
2022-01-19,7810,7810,7510,7640,98118,-0.023017902813299185
2022-01-20,7690,7790,7560,7760,53524,0.015706806282722585
2022-01-21,7680,7920,7680,7820,59271,0.0077319587628865705
2022-01-24,7850,8230,7830,7920,125887,0.01278772378516635
2022-01-25,8010,8020,7360,7390,117343,-0.06691919191919193
2022-01-26,7330,7700,7250,7270,86167,-0.016238159675236785
2022-01-27,7230,7750,6910,7090,182041,-0.024759284731774467
2022-01-28,7100,8490,7100,8140,1248993,0.14809590973201692
2022-02-03,8250,9580,8200,9030,2493388,0.10933660933660927
2022-02-04,9150,9170,8110,8250,435176,-0.08637873754152825
2022-02-07,8300,10200,8200,9520,6195566,0.15393939393939404
2022-02-08,9500,9700,8900,9270,1190347,-0.02626050420168069
2022-02-09,9270,9370,9010,9030,336811,-0.02588996763754048
2022-02-10,9030,9120,8570,8690,335396,-0.03765227021040973
2022-02-11,8690,8790,8360,8390,259656,-0.03452243958573076
2022-02-14,8160,8340,8020,8130,176858,-0.030989272943980906
2022-02-15,8010,8080,7520,7570,146426,-0.06888068880688802
2022-02-16,7600,8000,7600,7960,171721,0.05151915455746359
2022-02-17,8000,8350,7740,8050,135579,0.011306532663316604
2022-02-18,7810,8080,7760,7940,94081,-0.013664596273291973
2022-02-21,7850,7850,7560,7650,122922,-0.03652392947103278
2022-02-22,7510,7590,7260,7300,110595,-0.04575163398692805
2022-02-23,7380,7450,7120,7220,89324,-0.010958904109588996
2022-02-24,7220,7260,6790,6840,160381,-0.052631578947368474
2022-02-25,6950,7060,6840,7050,83004,0.030701754385964897
2022-02-28,6980,7130,6950,7100,49146,0.007092198581560183
2022-03-02,7080,7180,7030,7180,45317,0.011267605633802802
2022-03-03,7170,7950,7170,7490,333879,0.04317548746518107
2022-03-04,7440,7900,7160,7420,184402,-0.009345794392523366
2022-03-07,7420,7420,7200,7240,57357,-0.02425876010781669
2022-03-08,7150,7280,6960,7120,43038,-0.016574585635359074
2022-03-10,7200,8430,7120,7260,920194,0.0196629213483146
2022-03-11,7350,7910,7310,7400,368778,0.019283746556473913
2022-03-14,7480,7640,7110,7150,118652,-0.03378378378378377
2022-03-15,7040,7220,7040,7130,57668,-0.002797202797202747
2022-03-16,7500,7500,7130,7180,94363,0.007012622720897532
2022-03-17,7240,7320,7190,7280,64201,0.013927576601671321
2022-03-18,7350,7350,7180,7260,54723,-0.0027472527472527375
2022-03-21,7260,7300,7150,7200,60549,-0.008264462809917328
2022-03-22,7200,9360,7100,9360,1961073,0.30000000000000004
2022-03-23,9710,10850,9050,9180,8863598,-0.019230769230769273
2022-03-24,9140,10950,8730,9250,7553712,0.007625272331154731
2022-03-25,9720,10400,9370,9390,3167321,0.015135135135135203
2022-03-28,9180,9920,9130,9150,1270922,-0.025559105431309903
2022-03-29,9260,10150,9000,10050,5820365,0.09836065573770503
2022-03-30,9700,12000,9600,10200,9382145,0.014925373134328401
2022-03-31,10250,10350,9620,9860,1503933,-0.033333333333333326
2022-04-01,9750,9780,9310,9310,627008,-0.055780933062880345
2022-04-04,9140,9320,8890,8950,487165,-0.03866809881847477
2022-04-05,8960,9010,8490,8620,543124,-0.036871508379888285
2022-04-06,8540,8590,8350,8420,296126,-0.023201856148491906
2022-04-07,8350,9180,8160,8360,1282667,-0.0071258907363420665
2022-04-08,8450,8450,8160,8190,178641,-0.020334928229665095
2022-04-11,8160,8800,8120,8120,446823,-0.008547008547008517
2022-04-12,7900,8680,7900,8240,1216705,0.014778325123152802
2022-04-13,8230,8480,8120,8240,197411,0.0
2022-04-14,8620,8650,8240,8240,201262,0.0
2022-04-15,8310,8340,8030,8170,130288,-0.008495145631068013
2022-04-18,8050,8070,7710,7780,200971,-0.04773561811505511
2022-04-19,7780,7880,7720,7780,80000,0.0
2022-04-20,7790,7790,7530,7580,142732,-0.02570694087403602
2022-04-21,7600,7890,7600,7690,125982,0.014511873350923521
2022-04-22,7690,7690,7560,7640,87975,-0.006501950585175553
2022-04-25,7470,7580,7300,7390,108718,-0.0327225130890052
2022-04-26,7400,7510,7350,7420,79140,0.004059539918809252
2022-04-27,7280,8000,7220,7380,377601,-0.005390835579514808
2022-04-28,7410,8300,7350,7690,1240759,0.042005420054200604
2022-04-29,7730,7860,7650,7670,110911,-0.002600780234070177
2022-05-02,7590,7720,7510,7690,62611,0.0026075619295957697
2022-05-03,7650,7820,7590,7700,68164,0.0013003901170351995
2022-05-04,7710,7800,7600,7600,45726,-0.012987012987012991
2022-05-06,7550,7590,7320,7430,50136,-0.022368421052631593
2022-05-09,7430,7480,7220,7300,68205,-0.01749663526244949
2022-05-10,7150,7250,6930,7060,120191,-0.0328767123287671
2022-05-11,6980,7060,6930,6970,76461,-0.012747875354107596
2022-05-12,6980,7280,6880,6970,148640,0.0
2022-05-13,7000,7010,6900,7000,62341,0.004304160688665792
2022-05-16,7000,7150,6900,6940,86682,-0.008571428571428563
2022-05-17,6940,7290,6900,7000,166707,0.008645533141210304
2022-05-18,7010,7160,6970,7000,59494,0.0
2022-05-19,6880,6970,6820,6900,55777,-0.014285714285714235
2022-05-20,6900,6970,6850,6900,42457,0.0
2022-05-23,6950,8020,6850,7930,914560,0.14927536231884053
2022-05-24,7430,10300,7370,10000,14754831,0.26103404791929385
2022-05-25,9790,9930,9350,9430,3601191,-0.05700000000000005
2022-05-26,9890,10600,9280,10150,8000828,0.07635206786850479
2022-05-27,10000,11300,9770,11300,4842630,0.11330049261083741
2022-05-30,10800,13000,10400,11750,12052183,0.03982300884955747
2022-05-31,11550,12900,11100,12300,8921242,0.04680851063829783
2022-06-02,12100,12100,11600,11800,839810,-0.04065040650406504
2022-06-03,11900,12150,11650,12150,717634,0.029661016949152463
2022-06-07,12050,12100,11450,11450,901003,-0.057613168724279795
2022-06-08,11250,11400,10450,10900,2316409,-0.048034934497816595
2022-06-09,10800,11550,10300,10650,1961184,-0.022935779816513735
2022-06-10,10350,10850,10300,10700,1309773,0.0046948356807512415
2022-06-13,10100,10250,9100,9310,1620883,-0.12990654205607477
2022-06-14,8930,10550,8410,9740,6317796,0.04618689581095592
2022-06-15,10050,12650,10000,12650,13681031,0.29876796714579057
2022-06-16,12650,13650,12100,13250,11578614,0.04743083003952564
2022-06-17,13400,16050,12950,14950,20058729,0.1283018867924528
2022-06-20,14700,16100,14500,14950,5094253,0.0
2022-06-21,15250,15650,12800,14200,8340592,-0.050167224080267525
2022-06-22,17450,18450,16750,18450,15248889,0.29929577464788726
2022-06-23,17950,19100,16300,18400,12445168,-0.0027100271002710175
2022-06-24,19800,20500,17200,18400,10047510,0.0
2022-06-27,15750,17600,15300,16700,6681776,-0.09239130434782605
2022-06-28,16400,16450,13550,13850,7001217,-0.1706586826347305
2022-06-29,14100,14450,13350,13650,4393770,-0.014440433212996373
2022-06-30,14300,15500,14150,14850,12852240,0.08791208791208782
2022-07-01,14700,14700,11850,12050,5048427,-0.18855218855218858
2022-07-04,12450,13000,11100,12200,7736174,0.012448132780082943
2022-07-05,11850,12450,11400,11750,4180570,-0.03688524590163933
2022-07-06,11550,11650,10900,11100,3788147,-0.05531914893617018
2022-07-07,11500,11950,11150,11400,3362707,0.027027027027026973
2022-07-08,11400,12300,11250,12200,4597134,0.07017543859649122
2022-07-11,12250,12650,11900,12050,3136142,-0.012295081967213073
2022-07-12,11950,12250,11200,11950,2916773,-0.008298755186721962
2022-07-13,12350,13100,12050,12100,5279061,0.012552301255230214
2022-07-14,12350,13650,12250,13450,9107478,0.11157024793388426
2022-07-15,13150,13650,12800,13250,3069710,-0.014869888475836479
2022-07-18,13150,14250,12800,14050,4527287,0.060377358490566024
2022-07-19,14050,14200,13450,13950,2627728,-0.007117437722419906
