Date,Open,High,Low,Close,Volume,Change
2022-01-03,8660,9100,8460,9090,616506,0.05208333333333326
2022-01-04,9050,9800,8830,9170,1133017,0.008800880088008833
2022-01-05,9180,9360,8700,8700,429606,-0.05125408942202836
2022-01-06,8600,9020,8380,8390,377213,-0.03563218390804601
2022-01-07,8530,9030,8510,8870,337407,0.05721096543504167
2022-01-10,8900,9100,8600,9050,354555,0.02029312288613294
2022-01-11,8920,9100,8640,8870,408444,-0.019889502762430955
2022-01-12,8940,9070,8720,9060,224544,0.021420518602029315
2022-01-13,9090,9240,8970,9010,347134,-0.0055187637969095205
2022-01-14,8840,9100,8730,8940,275951,-0.007769145394006638
2022-01-17,8910,8930,8580,8580,182962,-0.04026845637583898
2022-01-18,8550,9190,8540,8700,488524,0.013986013986013957
2022-01-19,8480,8690,8460,8470,146984,-0.02643678160919538
2022-01-20,8440,8580,8180,8450,138680,-0.0023612750885477762
2022-01-21,8330,8490,8200,8240,113054,-0.02485207100591713
2022-01-24,8180,8180,7770,7880,115809,-0.043689320388349495
2022-01-25,7850,7930,7390,7430,159267,-0.05710659898477155
2022-01-26,7330,7690,7110,7500,105620,0.009421265141319024
2022-01-27,7510,7620,7300,7370,95829,-0.01733333333333331
2022-01-28,7370,7820,7250,7720,102398,0.04748982360922649
2022-02-03,7880,8010,7850,7870,50116,0.01943005181347157
2022-02-04,7760,8030,7750,8020,92177,0.019059720457433205
2022-02-07,8020,8240,7830,8180,99042,0.01995012468827939
2022-02-08,8110,8280,7930,7950,71577,-0.028117359413202925
2022-02-09,8030,8140,8000,8080,37825,0.01635220125786163
2022-02-10,8090,8160,7900,7980,50618,-0.012376237623762387
2022-02-11,7840,7890,7590,7590,88161,-0.048872180451127845
2022-02-14,7350,7470,7210,7260,97814,-0.04347826086956519
2022-02-15,7210,7410,7120,7230,46038,-0.004132231404958664
2022-02-16,7340,7590,7340,7580,33509,0.048409405255878335
2022-02-17,7590,7740,7400,7550,52350,-0.00395778364116095
2022-02-18,7450,7600,7350,7570,34517,0.0026490066225166586
2022-02-21,7500,7560,7310,7470,43965,-0.013210039630118908
2022-02-22,7360,7500,7250,7290,58274,-0.02409638554216864
2022-02-23,7300,7410,7270,7400,166041,0.015089163237311354
2022-02-24,7350,7350,7040,7070,70546,-0.04459459459459458
2022-02-25,7250,7410,7190,7340,57659,0.03818953323903829
2022-02-28,7350,7580,7340,7440,56689,0.013623978201634968
2022-03-02,7490,7650,7430,7610,41123,0.02284946236559149
2022-03-03,7670,7730,7500,7650,48288,0.005256241787122251
2022-03-04,7650,7680,7450,7650,50987,0.0
2022-03-07,7630,7630,7410,7420,47522,-0.030065359477124187
2022-03-08,7250,7440,7170,7330,45059,-0.0121293800539084
2022-03-10,7370,7550,7370,7410,30475,0.01091405184174632
2022-03-11,7410,7500,7220,7400,36340,-0.0013495276653171517
2022-03-14,7400,7670,7270,7450,101205,0.006756756756756799
2022-03-15,7450,7820,7390,7730,137595,0.037583892617449655
2022-03-16,7790,7790,7600,7730,76767,0.0
2022-03-17,7890,8670,7820,8580,2244777,0.10996119016817585
2022-03-18,8290,9110,8220,8630,1657534,0.005827505827505908
2022-03-21,8600,8760,8450,8500,277537,-0.015063731170335992
2022-03-22,8500,8570,8380,8500,116031,0.0
2022-03-23,8500,8730,8430,8690,180710,0.022352941176470686
2022-03-24,8660,8660,8460,8520,125126,-0.019562715765247374
2022-03-25,8640,8920,8300,8620,416967,0.011737089201877993
2022-03-28,8560,9290,8520,9040,778678,0.04872389791183296
2022-03-29,8980,8980,8720,8720,225260,-0.03539823008849563
2022-03-30,8720,8790,8450,8460,153801,-0.029816513761467878
2022-03-31,8570,8700,8370,8550,64813,0.010638297872340496
2022-04-01,8650,8650,8360,8630,127456,0.009356725146198785
2022-04-04,8730,8910,8670,8900,282092,0.03128621089223649
2022-04-05,8920,9000,8730,8750,147841,-0.016853932584269704
2022-04-06,8890,8890,8590,8630,131198,-0.013714285714285679
2022-04-07,8600,8600,8330,8330,90604,-0.03476245654692933
2022-04-08,8460,8700,8330,8460,90172,0.015606242496998712
2022-04-11,8460,8680,8410,8500,87000,0.004728132387706863
2022-04-12,8490,8550,8320,8340,59523,-0.018823529411764683
2022-04-13,8340,8470,8310,8400,38538,0.007194244604316502
2022-04-14,8420,8530,8400,8450,43663,0.005952380952380931
2022-04-15,8530,8530,8330,8370,48776,-0.009467455621301801
2022-04-18,8370,8400,8300,8370,51499,0.0
2022-04-19,8370,8470,8370,8400,35366,0.0035842293906809264
2022-04-20,8450,8540,8300,8330,65679,-0.008333333333333304
2022-04-21,8390,8390,8290,8310,55372,-0.0024009603841537164
2022-04-22,8350,8400,8200,8220,65007,-0.010830324909747335
2022-04-25,8070,8210,7980,8040,99163,-0.021897810218978075
2022-04-26,8040,8250,8040,8150,67963,0.013681592039801016
2022-04-27,7870,8040,7870,8010,55676,-0.01717791411042946
2022-04-28,8100,8100,7870,7910,43552,-0.012484394506866447
2022-04-29,8020,8090,7560,7940,48399,0.0037926675094817064
2022-05-02,7930,7970,7750,7920,62886,-0.0025188916876573986
2022-05-03,7970,8370,7950,8250,114011,0.04166666666666674
2022-05-04,8320,8340,8070,8140,53698,-0.013333333333333308
2022-05-06,8000,8100,7770,8000,74544,-0.017199017199017175
2022-05-09,8010,8010,7550,7590,133517,-0.05125000000000002
2022-05-10,7480,7700,6840,7570,119150,-0.0026350461133070047
2022-05-11,7690,7690,7420,7510,41384,-0.00792602377807139
2022-05-12,7600,7600,7100,7170,111968,-0.045272969374167804
2022-05-13,7010,7150,6900,7130,121228,-0.00557880055788007
2022-05-16,7150,7230,7070,7070,47622,-0.008415147265077194
2022-05-17,7080,7200,7070,7180,27034,0.01555869872701554
2022-05-18,7130,7890,7130,7310,442238,0.01810584958217265
2022-05-19,7210,7330,7100,7300,47167,-0.001367989056087593
2022-05-20,7250,7400,7250,7360,37218,0.008219178082191858
2022-05-23,7430,7480,7310,7360,39482,0.0
2022-05-24,7360,7570,7310,7310,50511,-0.006793478260869512
2022-05-25,7340,7410,7260,7270,25685,-0.005471956224350261
2022-05-26,7260,7330,7230,7290,17060,0.0027510316368637433
2022-05-27,7290,7350,7260,7290,27807,0.0
2022-05-30,7290,7450,7290,7420,40187,0.017832647462277196
2022-05-31,7430,7450,7340,7440,20234,0.0026954177897573484
2022-06-02,7530,7650,7400,7520,58094,0.010752688172043001
2022-06-03,7620,7620,7430,7510,32823,-0.0013297872340425343
2022-06-07,7510,7510,7310,7310,37992,-0.026631158455392767
2022-06-08,7300,7430,7200,7200,23233,-0.015047879616963078
2022-06-09,7170,7330,7020,7200,66252,0.0
2022-06-10,7210,7500,7160,7250,44638,0.00694444444444442
2022-06-13,7100,7100,6690,6690,110711,-0.0772413793103448
2022-06-14,6450,6650,6400,6560,68242,-0.019431988041853532
2022-06-15,6560,6600,6220,6270,53355,-0.044207317073170715
2022-06-16,6290,6510,6220,6220,45054,-0.00797448165869219
2022-06-17,6050,6220,5890,6030,94982,-0.030546623794212246
2022-06-20,6040,6070,5500,5570,111186,-0.07628524046434493
2022-06-21,5570,5760,5500,5680,52188,0.019748653500897717
2022-06-22,5700,5800,5330,5560,89784,-0.021126760563380254
2022-06-23,5530,5590,5050,5090,145205,-0.08453237410071945
2022-06-24,5070,5380,5050,5330,65088,0.047151277013752546
2022-06-27,5360,5830,5330,5780,82943,0.08442776735459656
2022-06-28,5670,5790,5590,5700,40399,-0.01384083044982698
2022-06-29,5590,5730,5520,5720,18270,0.0035087719298245723
2022-06-30,5750,5750,5440,5440,23735,-0.04895104895104896
2022-07-01,5500,5550,5270,5390,29095,-0.009191176470588203
2022-07-04,5390,5420,5110,5220,28196,-0.03153988868274582
2022-07-05,5220,5520,5220,5490,26658,0.051724137931034475
2022-07-06,5380,5690,5380,5630,51187,0.02550091074681249
2022-07-07,5630,5780,5630,5760,21848,0.023090586145648295
2022-07-08,5780,5820,5680,5680,27060,-0.01388888888888884
2022-07-11,5680,5840,5640,5700,35544,0.0035211267605634866
2022-07-12,5700,5700,5420,5420,28004,-0.0491228070175439
2022-07-13,5380,5550,5370,5450,24884,0.005535055350553542
2022-07-14,5450,5670,5410,5640,15676,0.034862385321100975
2022-07-15,5680,5760,5500,5570,18430,-0.012411347517730542
2022-07-18,5600,5730,5600,5680,12591,0.019748653500897717
2022-07-19,5620,5760,5620,5710,16836,0.005281690140845008
2022-07-20,5730,6300,5730,6150,231475,0.07705779334500873
2022-07-21,6150,6170,6030,6160,38570,0.001626016260162677
2022-07-22,6160,6180,6040,6040,19214,-0.01948051948051943
2022-07-25,6050,6050,5870,6000,29055,-0.0066225165562914245
2022-07-26,5980,6020,5890,6020,17139,0.0033333333333334103
2022-07-27,6020,6200,5930,6160,28018,0.023255813953488413
2022-07-28,6200,6260,6080,6080,37029,-0.012987012987012991
2022-07-29,6120,6230,6100,6170,19526,0.014802631578947345
2022-08-01,6160,6200,6140,6150,13837,-0.0032414910858995505
2022-08-02,6170,6780,6170,6300,173200,0.024390243902439046
2022-08-03,6280,6530,6200,6440,57672,0.022222222222222143
2022-08-04,6470,8060,6450,6720,4857787,0.04347826086956519
2022-08-05,6690,6730,6550,6560,350462,-0.023809523809523836
2022-08-08,6520,7270,6380,6850,2798028,0.044207317073170715
2022-08-09,6820,7180,6760,7070,552586,0.03211678832116793
2022-08-10,7100,7180,6880,6910,237232,-0.022630834512022635
2022-08-11,7070,7090,6940,7010,93253,0.01447178002894356
2022-08-12,7000,7440,7000,7190,602308,0.02567760342368053
2022-08-16,7200,7830,7040,7160,636010,-0.004172461752433909
2022-08-17,7050,7170,6960,6960,124648,-0.027932960893854775
2022-08-18,6900,7150,6850,6980,91575,0.002873563218390718
2022-08-19,7000,7100,6830,6830,47511,-0.021489971346704828
2022-08-22,6760,7430,6720,6850,980508,0.002928257686676483
2022-08-23,6800,6980,6740,6830,68846,-0.0029197080291970545
2022-08-24,6920,7010,6850,6880,45359,0.007320644216691097
2022-08-25,6990,7000,6880,6880,47480,0.0
2022-08-26,6980,6990,6830,6850,37070,-0.0043604651162790775
2022-08-29,6700,6760,6530,6550,69405,-0.04379562043795615
2022-08-30,6550,6780,6530,6730,31490,0.027480916030534264
2022-08-31,6680,6790,6660,6720,29050,-0.0014858841010401136
2022-09-01,6740,6790,6520,6550,34315,-0.02529761904761907
2022-09-02,6790,6790,6510,6580,25362,0.004580152671755711
2022-09-05,6540,6700,6330,6330,38764,-0.037993920972644424
2022-09-06,6350,6500,6350,6390,17769,0.009478672985782088
2022-09-07,6460,6460,6220,6250,34108,-0.021909233176838794
2022-09-08,6300,6450,6240,6330,24998,0.012799999999999923
2022-09-13,6370,6530,6370,6510,20716,0.028436018957346043
2022-09-14,6320,6560,6250,6510,24457,0.0
2022-09-15,6600,6600,6390,6480,19056,-0.004608294930875556
2022-09-16,6360,6470,6300,6370,26520,-0.016975308641975273
2022-09-19,6360,6360,6130,6200,35321,-0.026687598116169498
2022-09-20,6190,6630,6190,6410,68008,0.03387096774193554
2022-09-21,6400,6430,6260,6350,31316,-0.009360374414976613
2022-09-22,6330,6390,6150,6200,39991,-0.023622047244094446
2022-09-23,6270,6270,5990,6090,36593,-0.01774193548387093
2022-09-26,5980,6100,5610,5660,52047,-0.07060755336617408
2022-09-27,5330,5680,5330,5650,51676,-0.0017667844522968323
2022-09-28,5600,5750,5300,5300,54281,-0.06194690265486724
2022-09-29,5330,5520,5330,5340,26372,0.007547169811320753
2022-09-30,5300,5370,5150,5340,23022,0.0
2022-10-04,5450,5560,5370,5550,25008,0.0393258426966292
2022-10-05,5610,5630,5400,5530,27995,-0.003603603603603567
2022-10-06,5530,5720,5430,5670,16444,0.025316455696202445
2022-10-07,5690,5790,5580,5670,22630,0.0
2022-10-11,5670,5670,5250,5280,23441,-0.06878306878306883
2022-10-12,5290,5620,5250,5290,39179,0.0018939393939394478
2022-10-13,5320,5380,5050,5070,30759,-0.041587901701323204
2022-10-14,5100,5330,5100,5300,23077,0.04536489151873768
2022-10-17,5070,5380,5070,5370,27589,0.013207547169811429
2022-10-18,5440,5510,5410,5500,15681,0.024208566108007368
2022-10-19,5550,5590,5420,5430,17498,-0.012727272727272698
2022-10-20,5420,5460,5340,5350,12860,-0.014732965009208066
2022-10-21,5350,5380,5300,5310,14070,-0.00747663551401867
2022-10-24,5360,5500,5300,5300,10049,-0.0018832391713747842
2022-10-25,5390,5450,5250,5250,34822,-0.009433962264150941
2022-10-26,5330,5340,5200,5200,13628,-0.00952380952380949
2022-10-27,5290,5340,5180,5330,18406,0.02499999999999991
2022-10-28,5280,5400,5240,5290,30798,-0.007504690431519689
2022-10-31,5380,5490,5330,5350,35568,0.011342155009451904
2022-11-01,5400,5410,5310,5400,9731,0.009345794392523255
2022-11-02,5430,5510,5390,5400,20385,0.0
2022-11-03,5250,5380,5250,5340,10809,-0.011111111111111072
2022-11-04,5270,5430,5250,5380,11625,0.0074906367041198685
2022-11-07,5510,5820,5460,5820,80820,0.08178438661710041
2022-11-08,5820,5990,5800,5830,88973,0.0017182130584192379
2022-11-09,5830,5890,5730,5730,33493,-0.01715265866209259
2022-11-10,5720,5720,5600,5600,21780,-0.022687609075043635
2022-11-11,5730,5880,5690,5730,30821,0.023214285714285632
2022-11-14,5770,5830,5760,5830,15423,0.017452006980802848
2022-11-15,5800,5900,5760,5900,16059,0.012006861063464935
2022-11-16,5900,5900,5800,5830,18196,-0.011864406779661052
2022-11-17,6030,6030,5840,5860,29369,0.005145797598627766
2022-11-18,5800,5940,5800,5820,15139,-0.0068259385665528916
2022-11-21,5850,5850,5620,5680,11735,-0.02405498281786944
2022-11-22,5630,5720,5580,5580,14792,-0.017605633802816878
2022-11-23,5590,6000,5590,5740,50942,0.028673835125448077
2022-11-24,5820,5910,5750,5780,14661,0.006968641114982521
2022-11-25,5860,5900,5620,5680,18420,-0.01730103806228378
2022-11-28,5680,5880,5580,5670,20424,-0.0017605633802817433
2022-11-29,5670,5730,5590,5720,12479,0.008818342151675429
2022-11-30,5720,5800,5650,5790,15394,0.012237762237762295
2022-12-01,5830,5910,5770,5860,25304,0.012089810017271052
2022-12-02,5820,5900,5790,5860,21960,0.0
2022-12-05,5860,5980,5850,5960,46224,0.017064846416382284
2022-12-06,5900,6000,5870,5970,25420,0.001677852348993314
2022-12-07,5910,5910,5800,5810,22035,-0.02680067001675046
2022-12-08,5800,5800,5680,5700,22364,-0.018932874354561147
2022-12-09,5730,5790,5720,5730,6952,0.0052631578947368585
2022-12-12,5760,5880,5670,5700,23528,-0.005235602094240788
2022-12-13,5750,5760,5640,5700,12384,0.0
2022-12-14,5700,6090,5700,5890,110340,0.03333333333333344
2022-12-15,6000,7190,5970,6190,4607824,0.05093378607809851
2022-12-16,6250,6280,6030,6090,253504,-0.016155088852988664
2022-12-19,6100,6230,6010,6130,200404,0.006568144499178974
2022-12-20,6130,6500,5630,6240,692225,0.01794453507340954
2022-12-21,6300,6300,6130,6230,146541,-0.0016025641025640969
2022-12-22,6270,6270,6090,6090,75827,-0.022471910112359605
2022-12-23,6080,6150,5900,6110,84578,0.003284072249589487
2022-12-26,6060,6280,6020,6090,59010,-0.00327332242225864
2022-12-27,6150,6150,6030,6120,55845,0.0049261083743843415
2022-12-28,6080,6160,6030,6110,70710,-0.0016339869281045694
2022-12-29,6070,6110,5860,5900,57877,-0.03436988543371522
2023-01-02,5900,5960,5520,5610,92803,-0.04915254237288136
2023-01-03,5620,5620,5390,5550,62430,-0.010695187165775444
2023-01-04,5400,7040,5400,5960,6205278,0.07387387387387379
2023-01-05,5930,6290,5880,6010,697443,0.008389261744966348
2023-01-06,6210,6230,5910,6090,331569,0.01331114808652245
2023-01-09,6150,6290,6100,6210,182466,0.019704433497536922
2023-01-10,6220,6400,6120,6340,226954,0.02093397745571668
2023-01-11,6480,6600,6350,6450,244378,0.017350157728706517
2023-01-12,6490,6590,6300,6310,98595,-0.02170542635658912
2023-01-13,6380,6840,6350,6660,332856,0.05546751188589538
2023-01-16,6770,7050,6490,6750,617489,0.013513513513513598
2023-01-17,6750,6750,6470,6570,154222,-0.026666666666666616
2023-01-18,6510,6960,6510,6810,392006,0.0365296803652968
2023-01-19,6730,6810,6600,6710,100113,-0.014684287812041119
2023-01-20,6700,6790,6620,6670,99495,-0.005961251862891204
2023-01-25,6750,7130,6750,7010,388697,0.050974512743628075
2023-01-26,7080,7230,6780,6900,258906,-0.015691868758915817
2023-01-27,6930,7570,6830,7440,894918,0.07826086956521738
2023-01-30,7600,7650,7160,7530,442463,0.012096774193548487
2023-01-31,7340,7540,7330,7440,210745,-0.01195219123505975
2023-02-01,7460,7460,7020,7170,226336,-0.03629032258064513
2023-02-02,7200,7280,7130,7210,117268,0.00557880055788007
