Date,Open,High,Low,Close,Volume,Change
2023-03-13,19000,19570,14600,16200,16926708,
2023-03-14,15710,21050,15620,21050,15037370,0.2993827160493827
2023-03-15,23700,27350,22750,24750,15711396,0.17577197149643697
2023-03-16,24750,28900,22450,26000,14668711,0.05050505050505061
2023-03-17,26750,27650,24100,24550,4243934,-0.05576923076923079
2023-03-20,23800,26150,23400,24200,2724423,-0.014256619144602856
2023-03-21,24250,27150,24150,24900,4240509,0.02892561983471076
2023-03-22,25500,26200,24200,24200,1260007,-0.028112449799196804
2023-03-23,24900,25800,23300,23900,2301803,-0.012396694214875992
2023-03-24,24600,25550,24000,24250,912595,0.014644351464435212
2023-03-27,24650,24650,23050,23150,680314,-0.04536082474226799
2023-03-28,22500,23100,21350,21450,841490,-0.07343412526997839
2023-03-29,21900,23900,21650,22400,1901520,0.04428904428904423
2023-03-30,22850,23350,22100,22150,758101,-0.011160714285714302
2023-03-31,22150,22500,20600,20750,608550,-0.06320541760722342
2023-04-03,20500,21550,20450,20550,486939,-0.009638554216867434
2023-04-04,21100,22450,20650,20900,1100840,0.017031630170316392
2023-04-05,20950,21650,20700,21050,356046,0.0071770334928229484
2023-04-06,21300,25750,20750,24600,7209614,0.1686460807600949
2023-04-07,24300,24450,22250,22850,1628042,-0.07113821138211385
2023-04-10,23000,25000,22300,22950,2390282,0.004376367614879584
2023-04-11,23700,25750,22500,25650,3140172,0.11764705882352944
2023-04-12,24650,24750,23300,23350,1319546,-0.08966861598440545
2023-04-13,22600,22750,21050,21650,820605,-0.0728051391862955
2023-04-14,21950,23250,21750,21900,993158,0.011547344110854452
2023-04-17,22150,23100,21950,22300,608300,0.0182648401826484
2023-04-18,22800,24550,22250,22250,1450001,-0.0022421524663677195
2023-04-19,22300,23100,22200,22400,481430,0.006741573033707926
2023-04-20,22450,22950,21450,21450,404854,-0.0424107142857143
2023-04-21,21400,21650,20200,20600,259677,-0.03962703962703962
2023-04-24,20700,21900,20300,21000,288869,0.01941747572815533
2023-04-25,20400,21550,20250,20250,311866,-0.0357142857142857
2023-04-26,20200,20400,18400,18400,363987,-0.09135802469135801
2023-04-27,18300,18880,17510,18450,242144,0.0027173913043478937
2023-04-28,18520,20950,17800,17870,762699,-0.03143631436314365
2023-05-02,18000,20500,17950,19090,631818,0.06827084499160607
2023-05-03,19190,20150,18700,18700,322370,-0.020429544264012556
2023-05-04,18970,19800,18710,19210,312204,0.027272727272727337
2023-05-08,19410,20100,19240,19250,291981,0.0020822488287350893
2023-05-09,19510,19520,18610,19000,101651,-0.012987012987012991
2023-05-10,19000,19800,18650,19000,289206,0.0
2023-05-11,19080,19550,18700,18950,184735,-0.0026315789473684292
2023-05-12,19050,19080,18190,18370,112218,-0.030606860158311378
2023-05-15,17830,18360,17500,17640,112915,-0.03973870440936311
2023-05-16,17690,18200,17440,17440,114596,-0.0113378684807256
2023-05-17,17440,17950,17220,17360,110817,-0.004587155963302725
2023-05-18,17600,18620,17510,18000,365299,0.03686635944700467
2023-05-19,18400,18470,17860,18050,115437,0.002777777777777768
2023-05-22,18210,18850,18060,18200,276624,0.008310249307479145
2023-05-23,18520,18700,18330,18470,124527,0.014835164835164782
2023-05-24,18500,19420,18350,18750,407874,0.015159718462371519
2023-05-25,18610,18800,17970,18000,105932,-0.040000000000000036
2023-05-26,17990,17990,17400,17450,102290,-0.030555555555555558
2023-05-30,17650,17670,16710,16890,81520,-0.03209169054441263
2023-05-31,17010,17120,16570,16850,59186,-0.002368265245707546
2023-06-01,16840,17120,16670,16820,51517,-0.0017804154302670794
2023-06-02,16970,17000,16750,16830,46006,0.0005945303210463937
2023-06-05,17360,17900,17160,17450,251671,0.036838978015448554
2023-06-07,17280,17420,17180,17200,71691,-0.014326647564469885
2023-06-08,17230,17280,16960,17050,54513,-0.008720930232558155
2023-06-09,17200,18200,17120,17510,333450,0.026979472140762573
