Date,Open,High,Low,Close,Volume,Change
2022-01-03,2445,2445,2395,2445,44055,0.008247422680412342
2022-01-04,2470,2470,2340,2455,66653,0.004089979550102152
2022-01-05,2490,2535,2435,2435,93303,-0.008146639511201648
2022-01-06,2415,2490,2415,2420,30361,-0.006160164271047264
2022-01-07,2420,2470,2410,2430,50680,0.004132231404958775
2022-01-10,2435,2550,2435,2550,116434,0.04938271604938271
2022-01-11,2550,2550,2460,2530,52909,-0.007843137254901933
2022-01-12,2510,2580,2510,2580,60672,0.01976284584980248
2022-01-13,2580,2620,2580,2620,51146,0.015503875968992276
2022-01-14,2595,2640,2565,2600,35610,-0.007633587786259555
2022-01-17,2585,2615,2490,2600,39355,0.0
2022-01-18,2600,2620,2530,2540,35259,-0.023076923076923106
2022-01-19,2540,2540,2370,2500,53145,-0.015748031496062964
2022-01-20,2505,2595,2380,2595,29523,0.038000000000000034
2022-01-21,2550,2550,2485,2490,33296,-0.040462427745664775
2022-01-24,2470,2510,2405,2405,15984,-0.034136546184738936
2022-01-25,2440,2445,2300,2380,67894,-0.01039501039501034
2022-01-26,2380,2435,2350,2425,20213,0.018907563025210017
2022-01-27,2425,2445,2330,2420,26023,-0.0020618556701030855
2022-01-28,2430,2500,2385,2440,27962,0.008264462809917328
2022-02-03,2465,2500,2435,2485,13321,0.018442622950819665
2022-02-04,2490,2510,2470,2500,12532,0.006036217303822866
2022-02-07,2525,2525,2460,2495,12227,-0.0020000000000000018
2022-02-08,2520,2530,2450,2490,27369,-0.002004008016032066
2022-02-09,2490,2555,2360,2525,110636,0.014056224899598346
2022-02-10,2515,2545,2460,2515,40733,-0.003960396039603964
2022-02-11,2505,2520,2420,2505,67951,-0.003976143141153132
2022-02-14,2455,2485,2430,2440,80599,-0.02594810379241519
2022-02-15,2440,2455,2415,2445,33800,0.002049180327868827
2022-02-16,2450,2540,2450,2500,17851,0.02249488752556239
2022-02-17,2500,2520,2415,2490,55115,-0.0040000000000000036
2022-02-18,2500,2540,2465,2530,72628,0.016064257028112428
2022-02-21,2520,2520,2480,2515,37984,-0.005928853754940677
2022-02-22,2490,2515,2455,2500,29762,-0.005964214711729587
2022-02-23,2495,2520,2470,2500,40053,0.0
2022-02-24,2500,2500,2430,2450,27542,-0.020000000000000018
2022-02-25,2440,2505,2440,2480,17840,0.012244897959183598
2022-02-28,2485,2520,2455,2485,31501,0.002016129032258007
2022-03-02,2480,2500,2460,2485,16169,0.0
2022-03-03,2485,2490,2470,2490,16230,0.002012072434607548
2022-03-04,2490,2490,2470,2490,9714,0.0
2022-03-07,2485,2495,2465,2475,8546,-0.0060240963855421326
2022-03-08,2455,2480,2450,2480,9357,0.002020202020202033
2022-03-10,2480,2515,2465,2500,20270,0.008064516129032251
2022-03-11,2500,2515,2465,2500,27095,0.0
2022-03-14,2495,2495,2440,2460,26858,-0.016000000000000014
2022-03-15,2445,2470,2385,2470,32209,0.004065040650406582
2022-03-16,2475,2490,2445,2480,28982,0.004048582995951344
2022-03-17,2490,2515,2470,2500,73188,0.008064516129032251
2022-03-18,2510,2570,2485,2540,71721,0.016000000000000014
2022-03-21,2535,2560,2505,2530,44817,-0.003937007874015741
2022-03-22,2535,2585,2535,2570,40780,0.015810276679841806
