Date,Open,High,Low,Close,Volume,Change
2022-01-03,6530,6700,6370,6540,875632,-0.009090909090909038
2022-01-04,6540,6700,6430,6470,539222,-0.010703363914373099
2022-01-05,6500,6530,6180,6300,531000,-0.026275115919629055
2022-01-06,6270,6650,5990,6080,1359371,-0.03492063492063491
2022-01-07,6080,6220,6020,6220,280424,0.023026315789473673
2022-01-10,6220,6240,5950,6000,317811,-0.03536977491961413
2022-01-11,6040,6040,5500,5650,657602,-0.05833333333333335
2022-01-12,5650,5810,5550,5750,186713,0.017699115044247815
2022-01-13,5870,5930,5660,5680,188260,-0.012173913043478257
2022-01-14,5570,5850,5550,5620,176101,-0.010563380281690127
2022-01-17,5650,5660,5350,5400,237930,-0.039145907473309594
2022-01-18,5400,5590,5200,5280,144888,-0.022222222222222254
2022-01-19,5240,5390,5160,5360,131489,0.015151515151515138
2022-01-20,5390,5630,5300,5630,126809,0.050373134328358216
2022-01-21,5630,5630,5440,5500,84816,-0.023090586145648295
2022-01-24,5350,5530,5150,5400,173229,-0.018181818181818188
2022-01-25,5400,5460,5040,5180,224691,-0.040740740740740744
2022-01-26,5190,5340,5100,5100,208678,-0.015444015444015413
2022-01-27,5100,5180,4730,4865,251672,-0.04607843137254897
2022-01-28,4865,4970,4710,4920,191917,0.01130524152106882
2022-02-03,5110,5110,4955,5000,113103,0.016260162601626105
2022-02-04,5000,5070,4960,5070,58738,0.014000000000000012
2022-02-07,5140,5140,4900,4985,69156,-0.0167652859960552
2022-02-08,5000,5000,4775,4795,116872,-0.03811434302908723
2022-02-09,4820,4995,4820,4930,64090,0.028154327424400494
2022-02-10,4970,5000,4820,4830,112766,-0.020283975659229236
2022-02-11,4830,4830,4570,4590,136598,-0.0496894409937888
2022-02-14,4515,4590,4315,4590,188133,0.0
2022-02-15,4680,4680,4405,4545,109146,-0.009803921568627416
2022-02-16,4600,4835,4560,4750,69544,0.04510451045104502
2022-02-17,4750,4800,4600,4715,90448,-0.00736842105263158
2022-02-18,4690,4745,4620,4705,42761,-0.0021208907741251393
2022-02-21,4725,4735,4620,4700,42586,-0.0010626992561104665
2022-02-22,4635,4670,4405,4455,107795,-0.05212765957446808
2022-02-23,4595,4595,4400,4570,87247,0.02581369248035914
2022-02-24,4570,4780,4480,4480,153360,-0.01969365426695846
2022-02-25,4525,4740,4525,4640,86423,0.03571428571428581
2022-02-28,4635,4635,4480,4540,102012,-0.02155172413793105
