Date,Open,High,Low,Close,Volume,Change
2022-06-24,36000,36000,29100,29350,1597002,
2022-06-27,30400,31750,29600,31300,455425,0.06643952299829636
2022-06-28,31450,31650,29900,30300,189155,-0.03194888178913735
2022-06-29,29650,39350,29600,39350,1288506,0.2986798679867986
2022-06-30,40550,42300,37500,39550,3647399,0.0050825921219821435
2022-07-01,39850,46900,36650,37300,3646342,-0.05689001264222504
2022-07-04,38050,43800,34800,40650,3043289,0.08981233243967823
2022-07-05,40400,47700,40000,44200,3947183,0.08733087330873301
2022-07-06,44000,46750,40150,40950,1264487,-0.07352941176470584
2022-07-07,41300,43250,39400,39400,628160,-0.03785103785103783
2022-07-08,40350,48500,38850,48000,3544221,0.218274111675127
2022-07-11,49800,52600,44500,45500,1597957,-0.05208333333333337
2022-07-12,44650,47250,42050,42150,698647,-0.07362637362637359
2022-07-13,42600,45200,41150,41700,789428,-0.010676156583629859
2022-07-14,41950,42900,39850,40450,332856,-0.029976019184652314
2022-07-15,40950,42300,37550,41300,462590,0.021013597033374465
2022-07-18,41000,43000,40300,40850,306836,-0.010895883777239712
2022-07-19,40850,41250,38900,38950,219330,-0.046511627906976716
2022-07-20,39400,40800,38200,38200,230887,-0.019255455712451908
2022-07-21,38900,39050,36900,37700,157462,-0.01308900523560208
2022-07-22,37550,39000,37400,37400,113853,-0.007957559681697646
2022-07-25,37200,40750,37150,40000,599230,0.06951871657754016
2022-07-26,39600,42000,39200,40450,490191,0.011249999999999982
2022-07-27,40800,41500,39000,39750,229333,-0.017305315203955507
2022-07-28,40200,40900,39150,39350,273082,-0.010062893081761004
2022-07-29,39800,39800,38200,38300,136276,-0.026683608640406642
2022-08-01,38550,39200,37800,38550,97102,0.006527415143603221
2022-08-02,39600,41900,38900,41500,693170,0.0765239948119325
2022-08-03,41650,42200,40700,41650,249902,0.0036144578313253017
2022-08-04,42000,43850,41000,41750,470266,0.0024009603841537164
2022-08-05,42200,45300,41550,44300,800967,0.061077844311377305
2022-08-08,44000,44550,41450,41700,355401,-0.05869074492099324
2022-08-09,41750,42600,40850,41400,229256,-0.007194244604316502
2022-08-10,41800,42450,40900,41550,213154,0.0036231884057971175
2022-08-11,41900,41900,41050,41150,117396,-0.009626955475330878
2022-08-12,41700,43450,40700,41150,610880,0.0
2022-08-16,41250,46600,40800,46600,1220548,0.13244228432563787
2022-08-17,45750,46000,43350,43400,586094,-0.06866952789699576
2022-08-18,47250,49300,43650,43650,1693417,0.005760368663594528
2022-08-19,42950,44000,42050,42050,236245,-0.03665521191294385
2022-08-22,41400,42800,40050,40100,174699,-0.046373365041617154
2022-08-23,39950,40800,39000,40000,162353,-0.0024937655860348684
2022-08-24,41900,42250,40700,40750,149476,0.018750000000000044
2022-08-25,40400,41200,40150,41050,81273,0.007361963190184007
2022-08-26,41100,41150,40050,40150,72220,-0.02192448233861144
2022-08-29,38350,39300,37900,38600,106706,-0.03860523038605235
2022-08-30,38900,40450,38650,40100,99092,0.03886010362694292
2022-08-31,40000,40400,39200,40050,53568,-0.0012468827930174342
2022-09-01,39900,41250,39300,39350,132332,-0.017478152309613026
2022-09-02,39550,40500,38750,39400,70277,0.0012706480304955914
2022-09-05,39300,39450,37450,37550,95416,-0.04695431472081213
2022-09-06,37450,38500,36500,37550,78045,0.0
2022-09-07,37150,38300,36350,37150,77355,-0.010652463382157085
