Date,Open,High,Low,Close,Volume,Change
2022-01-03,2330,2330,2287,2309,7026,0.016732716864817254
2022-01-04,2362,2437,2260,2261,341917,-0.020788220008661762
2022-01-05,2298,2298,2244,2261,13632,0.0
2022-01-06,2271,2287,2260,2261,4008,0.0
2022-01-07,2292,2292,2260,2261,920,0.0
2022-01-10,2298,2298,2265,2266,2260,0.002211410880141429
2022-01-11,2298,2405,2276,2282,192229,0.007060900264783676
2022-01-12,2319,2319,2271,2287,26335,0.002191060473269113
2022-01-13,2335,2335,2260,2277,8705,-0.004372540445999107
2022-01-14,2276,2314,2255,2255,20606,-0.009661835748792313
2022-01-17,2265,2276,2255,2277,18529,0.009756097560975618
2022-01-18,2276,2292,2260,2277,950,0.0
2022-01-19,2276,2287,2265,2266,4993,-0.004830917874396157
2022-01-20,2260,2287,2260,2271,5341,0.0022065313327448433
2022-01-21,2271,2308,2271,2287,2546,0.007045354469396692
2022-01-24,2330,2330,2271,2271,4086,-0.006996064713598593
2022-01-25,2314,2314,2249,2271,15687,0.0
2022-01-26,2303,2303,2255,2277,3849,0.0026420079260238705
2022-01-27,2276,2276,2255,2277,29612,0.0
2022-01-28,2303,2303,2260,2277,473,0.0
2022-02-03,2292,2292,2265,2271,5068,-0.0026350461133070047
2022-02-04,2282,2282,2276,2282,4083,0.00484368119771017
2022-02-07,2292,2292,2276,2282,3232,0.0
2022-02-08,2292,2292,2255,2266,8117,-0.007011393514461006
2022-02-09,2287,2287,2265,2282,2700,0.007060900264783676
2022-02-10,2282,2292,2276,2282,4987,0.0
2022-02-11,2287,2287,2271,2282,8727,0.0
2022-02-14,2292,2298,2260,2282,3354,0.0
2022-02-15,2298,2298,2260,2266,2524,-0.007011393514461006
2022-02-16,2292,2298,2260,2277,2943,0.004854368932038833
2022-02-17,2292,2292,2265,2287,190,0.004391743522178304
2022-02-18,2298,2298,2265,2271,1518,-0.006996064713598593
2022-02-21,2287,2292,2255,2287,22672,0.007045354469396692
2022-02-22,2260,2287,2255,2287,4554,0.0
2022-02-23,2298,2298,2255,2287,2199,0.0
2022-02-24,2287,2287,2255,2255,15650,-0.013992129427197186
2022-02-25,2260,2287,2255,2271,2809,0.0070953436807095205
2022-02-28,2271,2271,2255,2266,32799,-0.0022016732716865217
2022-03-02,2265,2265,2249,2266,298,0.0
2022-03-03,2265,2265,2249,2266,1090,0.0
2022-03-04,2265,2265,2244,2255,8201,-0.004854368932038833
2022-03-07,2255,2260,2255,2255,7665,0.0
2022-03-08,2249,2255,2244,2250,19029,-0.0022172949002217113
2022-03-10,2271,2271,2255,2266,7447,0.007111111111111068
2022-03-11,2282,2282,2255,2277,1738,0.004854368932038833
2022-03-14,2287,2287,2255,2287,2319,0.004391743522178304
2022-03-15,2287,2287,2265,2277,1454,-0.004372540445999107
2022-03-16,2287,2287,2260,2271,1879,-0.0026350461133070047
2022-03-17,2282,2282,2265,2277,1833,0.0026420079260238705
2022-03-18,2292,2292,2265,2282,677,0.002195871761089263
2022-03-21,2292,2303,2276,2298,14791,0.007011393514460895
2022-03-22,2314,2335,2271,2287,11828,-0.004786771105309007
2022-03-23,2287,2287,2260,2277,4959,-0.004372540445999107
2022-03-24,2282,2335,2255,2282,3902,0.002195871761089263
2022-03-25,2308,2308,2271,2282,1116,0.0
2022-03-28,2319,2319,2265,2287,5065,0.002191060473269113
2022-03-29,2308,2308,2271,2277,4877,-0.004372540445999107
2022-03-30,2325,2325,2276,2298,10734,0.00922266139657446
2022-03-31,2319,2319,2276,2298,5504,0.0
2022-04-01,2298,2308,2287,2309,3729,0.004786771105308896
2022-04-04,2308,2314,2292,2314,26236,0.002165439584235651
2022-04-05,2308,2314,2292,2314,9956,0.0
2022-04-06,2314,2335,2303,2330,21338,0.006914433880726101
2022-04-07,2330,2410,2319,2379,69630,0.021030042918454894
2022-04-08,2357,2416,2357,2411,22779,0.01345102984447255
2022-04-11,2405,2421,2346,2416,89233,0.0020738282870178537
2022-04-12,2416,2470,2394,2470,110142,0.022350993377483475
2022-04-13,0,0,0,2470,0,0.0
2022-04-14,0,0,0,2470,0,0.0
2022-04-15,0,0,0,2470,0,0.0
2022-04-18,0,0,0,2470,0,0.0
2022-04-19,0,0,0,2470,0,0.0
2022-04-20,0,0,0,2470,0,0.0
2022-04-21,0,0,0,2470,0,0.0
2022-04-22,0,0,0,2470,0,0.0
2022-04-25,0,0,0,2470,0,0.0
2022-04-26,0,0,0,2470,0,0.0
2022-04-27,0,0,0,2470,0,0.0
2022-04-28,0,0,0,2470,0,0.0
2022-04-29,0,0,0,2470,0,0.0
2022-05-02,0,0,0,2470,0,0.0
2022-05-03,0,0,0,2470,0,0.0
2022-05-04,0,0,0,2470,0,0.0
2022-05-06,0,0,0,2470,0,0.0
2022-05-09,0,0,0,2470,0,0.0
2022-05-10,0,0,0,2470,0,0.0
2022-05-11,0,0,0,2470,0,0.0
2022-05-12,0,0,0,2470,0,0.0
2022-05-13,0,0,0,2470,0,0.0
2022-05-16,0,0,0,2470,0,0.0
2022-05-17,0,0,0,2470,0,0.0
2022-05-18,0,0,0,2470,0,0.0
2022-05-19,0,0,0,2470,0,0.0
2022-05-20,0,0,0,2470,0,0.0
2022-05-23,0,0,0,2470,0,0.0
2022-05-24,0,0,0,2470,0,0.0
2022-05-25,0,0,0,2470,0,0.0
2022-05-26,0,0,0,2470,0,0.0
2022-05-27,0,0,0,2470,0,0.0
2022-05-30,0,0,0,2470,0,0.0
2022-05-31,0,0,0,2470,0,0.0
2022-06-02,0,0,0,2470,0,0.0
2022-06-03,0,0,0,2470,0,0.0
2022-06-07,0,0,0,2470,0,0.0
2022-06-08,0,0,0,2470,0,0.0
2022-06-09,0,0,0,2470,0,0.0
2022-06-10,0,0,0,2470,0,0.0
2022-06-13,0,0,0,2470,0,0.0
2022-06-14,0,0,0,2470,0,0.0
2022-06-15,0,0,0,2470,0,0.0
2022-06-16,0,0,0,2470,0,0.0
2022-06-17,0,0,0,2470,0,0.0
2022-06-20,0,0,0,2470,0,0.0
2022-06-21,0,0,0,2470,0,0.0
2022-06-22,0,0,0,2470,0,0.0
2022-06-23,0,0,0,2470,0,0.0
2022-06-24,0,0,0,2470,0,0.0
2022-06-27,0,0,0,2470,0,0.0
2022-06-28,0,0,0,2470,0,0.0
2022-06-29,0,0,0,2470,0,0.0
2022-06-30,0,0,0,2470,0,0.0
2022-07-01,0,0,0,2470,0,0.0
2022-07-04,0,0,0,2470,0,0.0
2022-07-05,0,0,0,2470,0,0.0
2022-07-06,0,0,0,2470,0,0.0
2022-07-07,0,0,0,2470,0,0.0
2022-07-08,0,0,0,2470,0,0.0
2022-07-11,0,0,0,2470,0,0.0
2022-07-12,0,0,0,2470,0,0.0
2022-07-13,0,0,0,2470,0,0.0
2022-07-14,0,0,0,2470,0,0.0
2022-07-15,2470,2645,2205,2365,2371950,-0.04251012145748989
2022-07-18,2400,2880,2330,2690,10762764,0.13742071881606766
2022-07-19,2645,2685,2455,2520,1684824,-0.06319702602230481
2022-07-20,2570,2630,2415,2450,1115893,-0.02777777777777779
2022-07-21,2520,2560,2400,2415,563475,-0.014285714285714235
2022-07-22,2415,2435,2265,2300,518758,-0.04761904761904767
2022-07-25,2295,2410,2240,2305,740739,0.0021739130434783593
2022-07-26,2305,2320,2195,2220,412345,-0.03687635574837311
2022-07-27,2225,2250,2160,2165,199558,-0.024774774774774744
2022-07-28,2195,2195,2100,2135,219726,-0.01385681293302543
2022-07-29,2120,2195,2115,2130,151139,-0.0023419203747072626
2022-08-01,2135,2215,2120,2190,218635,0.028169014084507005
2022-08-02,2195,2205,2140,2185,101139,-0.0022831050228310223
2022-08-03,2160,2230,2145,2190,98339,0.0022883295194509046
