Date,Open,High,Low,Close,Volume,Change
2022-01-03,2300,2320,2285,2290,240494,-0.004347826086956497
2022-01-04,2310,2450,2295,2370,1069316,0.03493449781659397
2022-01-05,2365,2370,2285,2320,550950,-0.021097046413502074
2022-01-06,2270,2335,2270,2290,483171,-0.012931034482758674
2022-01-07,2280,2330,2280,2300,353775,0.004366812227074135
2022-01-10,2300,2410,2275,2355,981695,0.023913043478260843
2022-01-11,2360,2375,2300,2375,810006,0.00849256900212314
2022-01-12,2420,2420,2350,2400,731441,0.010526315789473717
2022-01-13,2390,2400,2345,2345,290481,-0.022916666666666696
2022-01-14,2305,2330,2290,2305,302876,-0.017057569296375252
2022-01-17,2310,2310,2195,2205,568745,-0.04338394793926248
2022-01-18,2185,2230,2110,2110,457828,-0.04308390022675734
2022-01-19,2065,2140,2065,2090,234482,-0.009478672985781977
2022-01-20,2075,2165,2060,2165,180769,0.03588516746411474
2022-01-21,2140,2175,2110,2145,121805,-0.009237875288683584
2022-01-24,2125,2160,2015,2050,283077,-0.044289044289044344
2022-01-25,2055,2070,1915,1920,485248,-0.06341463414634141
2022-01-26,1925,1995,1920,1940,223107,0.01041666666666674
2022-01-27,1955,1955,1850,1860,265259,-0.04123711340206182
2022-01-28,1855,1925,1800,1910,311521,0.026881720430107503
2022-02-03,1930,2040,1930,2000,264588,0.04712041884816753
2022-02-04,1985,2035,1980,2020,119276,0.010000000000000009
2022-02-07,2065,2190,1980,2180,406757,0.07920792079207928
2022-02-08,2155,2155,2035,2125,428616,-0.025229357798165153
2022-02-09,2125,2135,2065,2070,306832,-0.025882352941176467
2022-02-10,2090,2100,2040,2055,189792,-0.007246376811594235
2022-02-11,2015,2050,2000,2005,170961,-0.024330900243308973
2022-02-14,1935,1980,1855,1890,485179,-0.05735660847880297
2022-02-15,1880,1905,1660,1685,1117764,-0.10846560846560849
2022-02-16,1740,1740,1700,1700,318490,0.008902077151335286
2022-02-17,1690,1885,1690,1710,911175,0.00588235294117645
2022-02-18,1660,1745,1660,1740,285227,0.01754385964912286
2022-02-21,1750,1750,1660,1670,467920,-0.04022988505747127
2022-02-22,1610,1665,1595,1640,436198,-0.017964071856287456
2022-02-23,1640,1665,1630,1640,154704,0.0
2022-02-24,1620,1670,1575,1600,350643,-0.024390243902439046
2022-02-25,1615,1645,1595,1605,148783,0.0031250000000000444
2022-02-28,1615,1695,1605,1650,358654,0.028037383177569986
2022-03-02,1650,1705,1640,1690,293347,0.024242424242424176
2022-03-03,1705,1725,1675,1710,340803,0.01183431952662728
2022-03-04,1700,1715,1630,1690,323184,-0.011695906432748537
2022-03-07,1675,1685,1615,1640,288364,-0.029585798816568087
2022-03-08,1610,1620,1580,1585,210919,-0.03353658536585369
2022-03-10,1615,1640,1600,1615,136989,0.018927444794952786
2022-03-11,1615,1715,1615,1650,378959,0.021671826625387025
2022-03-14,1655,1655,1585,1600,229028,-0.030303030303030276
2022-03-15,1590,1610,1575,1590,312184,-0.006249999999999978
2022-03-16,1610,1710,1590,1645,733088,0.03459119496855356
2022-03-17,1660,1745,1660,1690,598269,0.02735562310030404
2022-03-18,1705,1720,1685,1705,297925,0.008875739644970349
