Date,Open,High,Low,Close,Volume,Change
2022-06-03,6500,8400,6300,7640,23777858,
2022-06-07,8840,9930,8490,9930,6543016,0.29973821989528804
2022-06-08,10800,12700,10400,11450,24892596,0.15307150050352458
2022-06-09,11300,11350,9800,10300,5489144,-0.10043668122270744
2022-06-10,10000,13350,9820,13350,12251642,0.296116504854369
2022-06-13,14450,16500,13250,13700,24419167,0.02621722846441954
2022-06-14,12800,15350,11450,14050,11001965,0.025547445255474477
2022-06-15,14400,15500,12200,12950,4922838,-0.07829181494661919
2022-06-16,12600,14100,12050,12200,2454814,-0.05791505791505791
2022-06-17,12700,13450,11050,11400,2352307,-0.06557377049180324
2022-06-20,11500,11500,9960,10300,1468792,-0.0964912280701754
2022-06-21,10300,10300,9600,9720,1236559,-0.05631067961165048
2022-06-22,9810,10650,9490,9960,2872234,0.024691358024691468
2022-06-23,9900,11550,9720,10900,4045456,0.0943775100401607
2022-06-24,10800,11300,10500,10750,1282339,-0.013761467889908285
2022-06-27,11100,11950,10750,11700,1846737,0.08837209302325588
2022-06-28,11850,12350,10250,10800,2065948,-0.07692307692307687
2022-06-29,10700,10700,10100,10250,881768,-0.05092592592592593
2022-06-30,10350,11350,9920,10200,3090679,-0.004878048780487809
2022-07-01,10900,12800,10600,11250,18982831,0.10294117647058831
2022-07-04,10950,11000,9280,9500,3557280,-0.15555555555555556
2022-07-05,9610,10150,9080,9700,4542492,0.021052631578947434
2022-07-06,9400,9600,9120,9170,1494443,-0.05463917525773199
2022-07-07,9170,9460,9000,9090,1326197,-0.008724100327153761
2022-07-08,9150,9340,9090,9150,951352,0.0066006600660066805
2022-07-11,9160,9290,8740,8780,876620,-0.040437158469945333
2022-07-12,8750,8760,8090,8150,873383,-0.07175398633257402
2022-07-13,8160,9280,7690,8360,5620673,0.025766871165644245
2022-07-14,8200,8300,7940,8010,793469,-0.04186602870813394
2022-07-15,8000,8100,7670,7670,630716,-0.04244694132334581
2022-07-18,7710,7890,7650,7720,438142,0.006518904823989535
2022-07-19,7700,7920,7530,7800,552518,0.010362694300518172
2022-07-20,7900,10100,7870,10100,13151451,0.29487179487179493
2022-07-21,9880,10250,9530,10050,9966440,-0.004950495049504955
2022-07-22,9850,10450,9710,10100,4958190,0.004975124378109541
2022-07-25,10000,11050,9660,9850,8156031,-0.024752475247524774
2022-07-26,10800,11600,10050,10300,13481024,0.045685279187817285
2022-07-27,10050,12000,10000,11650,11565131,0.13106796116504849
2022-07-28,11450,11500,10800,11200,2787902,-0.03862660944206009
2022-07-29,11100,11750,10900,11650,2907338,0.0401785714285714
2022-08-01,11450,12000,11300,11650,2010526,0.0
2022-08-02,11700,12150,11300,11650,3479428,0.0
2022-08-03,11600,11600,10900,11000,1461885,-0.05579399141630903
2022-08-04,10950,11450,10500,11300,2260141,0.027272727272727337
2022-08-05,11100,11200,10600,10700,1281707,-0.053097345132743334
2022-08-08,10450,10900,10400,10700,858423,0.0
2022-08-09,10550,10800,10400,10650,707603,-0.004672897196261627
2022-08-10,10600,11150,10500,10500,1125079,-0.014084507042253502
2022-08-11,10650,10950,10550,10550,885954,0.004761904761904745
2022-08-12,10600,10700,10100,10150,842979,-0.03791469194312791
2022-08-16,10100,10250,9850,10100,687974,-0.0049261083743842304
2022-08-17,10200,10200,9840,9900,626862,-0.01980198019801982
2022-08-18,9860,10350,9860,9940,839823,0.004040404040404066
2022-08-19,9980,10300,9840,9870,626606,-0.007042253521126751
2022-08-22,9600,9660,9160,9170,708843,-0.07092198581560283
2022-08-23,9010,9700,8940,9000,589255,-0.018538713195201728
2022-08-24,9020,9400,8710,8780,600871,-0.02444444444444449
2022-08-25,8780,9010,8780,8900,431694,0.013667425968109326
2022-08-26,8890,9340,8880,9040,657211,0.01573033707865168
2022-08-29,8630,8850,8530,8660,411469,-0.042035398230088505
2022-08-30,8730,10000,8730,9320,3972862,0.07621247113163965
2022-08-31,9190,9650,9130,9220,907156,-0.010729613733905574
2022-09-01,9430,9930,9180,9220,2089905,0.0
2022-09-02,9260,9480,8910,8940,587117,-0.030368763557483747
2022-09-05,8810,9020,8220,8250,670475,-0.07718120805369133
2022-09-06,8200,8350,8010,8200,526187,-0.0060606060606061
2022-09-07,8200,8220,7850,7890,408043,-0.03780487804878052
2022-09-08,7970,8270,7940,8000,405670,0.013941698352344822
