Date,Open,High,Low,Close,Volume,Change
2022-06-23,14600,15700,10300,11000,10132269,
2022-06-24,11100,11500,10200,10950,2261936,-0.004545454545454519
2022-06-27,11600,11950,11100,11300,2695483,0.03196347031963476
2022-06-28,11800,12850,11500,12100,4532256,0.07079646017699126
2022-06-29,11600,11900,11150,11750,1694389,-0.02892561983471076
2022-06-30,11700,12050,11250,11750,1664858,0.0
2022-07-01,12350,12600,11550,11800,3898742,0.004255319148936065
2022-07-04,11800,11950,10750,10950,1050931,-0.07203389830508478
2022-07-05,11100,11600,10950,11300,1114770,0.03196347031963476
2022-07-06,11450,12000,11250,11400,1582762,0.008849557522123908
2022-07-07,11600,11800,10950,11200,896315,-0.01754385964912286
2022-07-08,11400,11750,11250,11700,1012196,0.044642857142857206
2022-07-11,11650,11700,11100,11150,549772,-0.047008547008547064
2022-07-12,11000,11100,10350,10350,696221,-0.0717488789237668
2022-07-13,10250,10500,10150,10400,354526,0.004830917874396157
2022-07-14,10350,10400,10050,10100,333482,-0.028846153846153855
2022-07-15,10150,10250,9520,9550,697940,-0.054455445544554504
2022-07-18,9650,9930,9480,9610,533319,0.006282722513089034
2022-07-19,9590,9810,9540,9630,326321,0.0020811654526535772
2022-07-20,9750,9950,9670,9720,301559,0.009345794392523255
2022-07-21,9830,10250,9800,9960,454002,0.024691358024691468
2022-07-22,10000,10150,9850,9860,270202,-0.010040160642570295
2022-07-25,9940,10200,9860,10050,283274,0.01926977687626774
2022-07-26,10050,10450,9990,10050,499950,0.0
2022-07-27,10000,10100,9880,9960,164663,-0.008955223880596996
2022-07-28,10000,10100,9900,9960,224351,0.0
2022-07-29,10100,10250,9700,9750,557234,-0.02108433734939763
2022-08-01,9750,9790,9530,9570,193409,-0.018461538461538418
2022-08-02,9580,9600,9290,9330,218275,-0.025078369905956133
2022-08-03,9330,9420,9270,9350,102140,0.002143622722400762
2022-08-04,9430,9440,9310,9330,119836,-0.002139037433155133
2022-08-05,9370,9500,9370,9400,106922,0.007502679528403
2022-08-08,9400,9480,9340,9360,94215,-0.004255319148936176
2022-08-09,9390,9390,9210,9300,101769,-0.0064102564102563875
2022-08-10,9350,9350,9100,9120,163961,-0.01935483870967747
2022-08-11,9200,9210,9130,9130,102579,0.0010964912280702066
2022-08-12,9200,9840,9160,9470,638989,0.03723986856516981
2022-08-16,9600,10450,9490,9990,1598573,0.05491024287222812
2022-08-17,10050,10100,9730,9850,397709,-0.014014014014014031
2022-08-18,9850,9940,9640,9900,339994,0.0050761421319796
2022-08-19,9920,10400,9910,9990,763155,0.009090909090909038
2022-08-22,9780,9860,9620,9620,361697,-0.03703703703703709
2022-08-23,9490,9540,9180,9200,224471,-0.043659043659043606
2022-08-24,9010,9280,9010,9220,260912,0.0021739130434783593
2022-08-25,9220,9370,9200,9300,72519,0.008676789587852562
2022-08-26,9380,9490,9220,9230,125684,-0.007526881720430145
2022-08-29,8880,8950,8810,8830,131725,-0.0433369447453954
2022-08-30,8900,9250,8840,8970,214211,0.015855039637599155
2022-08-31,9000,9180,8970,9060,108216,0.010033444816053505
2022-09-01,9060,9080,8820,8820,129807,-0.026490066225165587
2022-09-02,8880,8890,8630,8660,117273,-0.01814058956916098
2022-09-05,8520,8660,8400,8420,117767,-0.02771362586605086
2022-09-06,8460,8520,8410,8470,50134,0.005938242280284944
2022-09-07,8460,8460,8060,8170,122500,-0.0354191263282172
2022-09-08,8200,8240,8010,8040,98040,-0.01591187270501837
2022-09-13,8110,8210,8110,8150,68479,0.013681592039801016
2022-09-14,7970,7970,7820,7890,67331,-0.031901840490797584
2022-09-15,7990,8280,7890,8050,89549,0.020278833967046994
2022-09-16,7930,8050,7850,7880,90667,-0.02111801242236022
2022-09-19,7830,7920,7570,7570,76194,-0.03934010152284262
2022-09-20,7560,7940,7560,7650,146637,0.010568031704095038
2022-09-21,7570,7680,7510,7550,65533,-0.013071895424836555
2022-09-22,7450,7830,7430,7610,115625,0.007947019867549754
2022-09-23,7520,7610,7480,7540,80478,-0.009198423127463884
2022-09-26,7460,7520,7040,7100,106198,-0.05835543766578244
2022-09-27,7000,7170,6960,7060,75702,-0.005633802816901401
2022-09-28,7020,7190,6670,6730,67079,-0.04674220963172804
2022-09-29,6800,6900,6680,6680,62172,-0.007429420505200568
2022-09-30,6530,6640,6440,6550,112590,-0.019461077844311392
2022-10-04,6640,6880,6640,6820,46896,0.04122137404580162
2022-10-05,7010,7070,6630,6630,49667,-0.027859237536656867
2022-10-06,6620,6820,6590,6730,45151,0.015082956259426794
2022-10-07,6720,7000,6560,6790,70558,0.008915304606240682
2022-10-11,6610,6610,6260,6390,99225,-0.05891016200294552
2022-10-12,6390,6450,6270,6380,38336,-0.0015649452269170805
2022-10-13,6430,6430,6110,6160,80273,-0.03448275862068961
2022-10-14,6260,6440,6260,6420,74104,0.04220779220779214
2022-10-17,6360,6490,6160,6400,29803,-0.0031152647975077885
2022-10-18,6560,6680,6410,6530,44976,0.020312499999999956
2022-10-19,6580,6900,6470,6470,140558,-0.009188361408882129
2022-10-20,6470,6520,6320,6400,44153,-0.010819165378670781
2022-10-21,6350,6390,6230,6280,33582,-0.018750000000000044
2022-10-24,6330,6470,6330,6410,30732,0.02070063694267521
2022-10-25,6420,6530,6380,6400,39987,-0.0015600624024960652
2022-10-26,6470,6470,6260,6370,47487,-0.004687499999999956
2022-10-27,6320,6680,6250,6490,65385,0.018838304552590168
2022-10-28,6470,6500,6330,6390,36634,-0.015408320493066285
2022-10-31,6440,6630,6370,6550,74819,0.025039123630672844
2022-11-01,6550,6690,6490,6580,40456,0.004580152671755711
2022-11-02,6580,6580,6470,6480,22917,-0.015197568389057725
2022-11-03,6410,6530,6310,6460,31987,-0.0030864197530864335
2022-11-04,6490,6490,6310,6350,38556,-0.017027863777089758
2022-11-07,6380,6540,6330,6390,49968,0.006299212598425141
2022-11-08,6410,6590,6400,6550,52181,0.025039123630672844
2022-11-09,6610,6640,6540,6550,41902,0.0
2022-11-10,6430,6640,6420,6490,43873,-0.009160305343511421
2022-11-11,6660,6700,6560,6650,98802,0.024653312788905923
2022-11-14,6640,6700,6590,6590,43898,-0.009022556390977488
2022-11-15,6600,6680,6530,6680,52032,0.01365705614567525
2022-11-16,6730,6740,6590,6660,42968,-0.0029940119760478723
2022-11-17,6610,6660,6550,6560,33348,-0.01501501501501501
2022-11-18,6510,6640,6510,6580,35219,0.0030487804878047697
2022-11-21,6580,6630,6360,6380,56222,-0.03039513677811545
2022-11-22,6320,6410,6320,6390,25901,0.0015673981191222097
2022-11-23,6410,6430,6350,6420,25351,0.0046948356807512415
2022-11-24,6420,6460,6390,6420,36901,0.0
2022-11-25,6420,6600,6400,6490,33800,0.010903426791277315
2022-11-28,6550,6550,6290,6380,45242,-0.016949152542372836
2022-11-29,6290,6370,6290,6360,35111,-0.0031347962382445305
2022-11-30,6220,6310,6210,6220,80666,-0.022012578616352196
2022-12-01,6380,6380,6230,6260,54005,0.006430868167202508
2022-12-02,6260,6560,6260,6440,102896,0.028753993610223683
2022-12-05,6500,6540,6360,6440,38295,0.0
2022-12-06,6400,8370,6380,8250,6338917,0.28105590062111796
2022-12-07,8250,8450,7430,7430,4612000,-0.09939393939393937
2022-12-08,7340,7390,6910,6970,721426,-0.0619111709286676
2022-12-09,7060,7160,6860,6950,555404,-0.0028694404591105283
2022-12-12,7000,7000,6770,6830,219764,-0.01726618705035976
2022-12-13,6930,7700,6810,7120,3997748,0.04245973645680823
2022-12-14,7040,7090,6850,6960,435967,-0.022471910112359605
2022-12-15,7070,7400,7010,7060,1129996,0.014367816091954033
2022-12-16,6920,7110,6730,7010,286353,-0.007082152974504208
2022-12-19,6970,6980,6830,6950,157271,-0.008559201141226769
2022-12-20,6910,7140,6750,6800,253272,-0.021582733812949617
