Date,Open,High,Low,Close,Volume,Change
2022-10-24,10000,11500,10000,11500,120,
2022-10-25,13200,13200,13200,13200,3221,0.14782608695652177
2022-10-26,15150,15150,15150,15150,2048,0.1477272727272727
2022-10-27,17400,17400,15150,15250,982,0.0066006600660066805
2022-10-28,17200,17500,16500,17350,834,0.13770491803278695
2022-10-31,19800,19800,14750,15500,1243,-0.10662824207492794
2022-11-01,17350,17350,13300,17150,1557,0.1064516129032258
2022-11-02,19600,19600,14650,17100,185,-0.002915451895043719
2022-11-03,19350,19350,14550,17600,599,0.029239766081871288
2022-11-04,19700,19700,15000,17550,313,-0.0028409090909090606
2022-11-07,17800,18000,14950,15600,4027,-0.11111111111111116
2022-11-08,15800,17800,15100,15300,182,-0.019230769230769273
2022-11-09,16800,16800,14000,15600,493,0.019607843137254832
2022-11-10,17000,17000,14100,14700,492,-0.05769230769230771
2022-11-11,16450,16450,13950,14650,250,-0.003401360544217691
2022-11-14,15500,15500,12500,14450,1056,-0.013651877133105783
2022-11-15,14450,16550,12300,12500,2086,-0.1349480968858131
2022-11-16,13900,13900,11850,13300,2205,0.06400000000000006
2022-11-17,13950,13950,12800,13250,220,-0.003759398496240629
2022-11-18,13100,15200,11700,14900,1243,0.12452830188679243
2022-11-21,17000,17000,12700,15350,2464,0.030201342281879207
2022-11-22,13400,15900,13050,14000,1585,-0.08794788273615639
2022-11-23,13900,14900,12700,14850,891,0.06071428571428572
2022-11-24,16900,16900,13000,16000,1707,0.07744107744107742
2022-11-25,17900,17900,14450,15000,791,-0.0625
2022-11-28,16500,16500,14000,14900,226,-0.00666666666666671
2022-11-29,15800,15800,13700,14250,425,-0.043624161073825496
2022-11-30,14500,15000,13300,14050,467,-0.01403508771929829
2022-12-01,15800,15800,13050,13800,460,-0.017793594306049876
2022-12-02,14000,14000,13050,14000,825,0.01449275362318847
2022-12-05,15900,15900,13050,14150,845,0.010714285714285676
2022-12-06,14100,14100,13050,13050,474,-0.07773851590106007
2022-12-07,13050,14800,13050,14800,353,0.13409961685823757
2022-12-08,15500,15950,13800,14050,51,-0.05067567567567566
2022-12-09,14700,14700,13400,14100,215,0.003558718861210064
2022-12-12,15900,15900,13750,14050,152,-0.0035460992907800915
2022-12-13,15850,15850,13500,14350,297,0.021352313167259718
2022-12-14,14750,14750,13500,14200,316,-0.010452961672473893
2022-12-15,13550,14800,13250,14000,411,-0.014084507042253502
2022-12-16,15150,15150,13700,13950,158,-0.0035714285714285587
